party,constituency,name,margin,state,votes,color
Haryana Janhit Congress (BL),Adampur,KULDEEP BISHNOI,17249,Haryana,56757,#000000
Bharatiya Janata Party,Ambala Cantt.,ANIL VIJ,15462,Haryana,66605,#FB7B0D
Bharatiya Janata Party,Ambala City,ASEEM GOEL,23252,Haryana,60216,#FB7B0D
Bharatiya Janata Party,Assandh,BAKHSHISH  SINGH VIRK,4608,Haryana,30723,#FB7B0D
Bharatiya Janata Party,Ateli,SANTOSH YADAV,48601,Haryana,64659,#FB7B0D
Bharatiya Janata Party,Badhra,SUKHVINDER,5006,Haryana,39139,#FB7B0D
Bharatiya Janata Party,Badkhal,SEEMA TRIKHA,36609,Haryana,70218,#FB7B0D
Bharatiya Janata Party,Badli,OM PARKASH DHANKAR,9266,Haryana,41549,#FB7B0D
Bharatiya Janata Party,Badshahpur,NARBIR SINGH,18132,Haryana,86672,#FB7B0D
Bharatiya Janata Party,Bahadurgarh,NARESH KAUSHIK,4882,Haryana,38341,#FB7B0D
Bharatiya Janata Party,Ballabhgarh,MOOL CHAND SHARMA,53098,Haryana,69074,#FB7B0D
Indian National Congress,Baroda,SRI KRISHAN,5183,Haryana,50530,#019733
Indian National Lok Dal,Barwala,VED NARANG,10261,Haryana,34941,#0C6965
Bharatiya Janata Party,Bawal (SC),DR. BANWARI LAL,37391,Haryana,72792,#FB7B0D
Bharatiya Janata Party,Bawani Khera (SC),BISHAMBER SINGH,2559,Haryana,47323,#FB7B0D
Indian National Congress,Beri,DR.RAGHUVIR SINGH KADIAN,4493,Haryana,36793,#019733
Bharatiya Janata Party,Bhiwani,GHANSHYAM SARAF,28597,Haryana,50020,#FB7B0D
Indian National Lok Dal,Dabwali,NAINA SINGH CHAUTALA,8545,Haryana,68029,#0C6965
Indian National Lok Dal,Dadri,RAJDEEP,1610,Haryana,43400,#0C6965
Indian National Lok Dal,Ellenabad,ABHAY SINGH CHAUTALA,11539,Haryana,69162,#0C6965
Bharatiya Janata Party,Faridabad,VIPUL GOEL,44781,Haryana,72679,#FB7B0D
Indian National Lok Dal,Faridabad NIT,NAGENDER BHADANA,2914,Haryana,45740,#0C6965
Indian National Lok Dal,Fatehabad,BALWAN SINGH DAULATPURIA,3505,Haryana,60539,#0C6965
Indian National Lok Dal,Ferozepur Jhirka,NASEEM AHMED,3245,Haryana,40320,#0C6965
Indian National Congress,Ganaur,KULDIP SHARMA,7543,Haryana,46146,#019733
Indian National Congress,Garhi Sampla-Kiloi,BHUPINDER SINGH HOODA,47185,Haryana,80693,#019733
Bharatiya Janata Party,Gharaunda,HARVINDER KALYAN,17883,Haryana,55247,#FB7B0D
Indian National Congress,Gohana,JAGBIR SINGH MALIK,3228,Haryana,41393,#019733
Bharatiya Janata Party,Guhla (SC),KULWANT RAM BAZIGAR,2440,Haryana,36598,#FB7B0D
Bharatiya Janata Party,Gurgaon,UMESH AGGARWAL,84095,Haryana,106106,#FB7B0D
Haryana Janhit Congress (BL),Hansi,RENUKA BISHNOI,14652,Haryana,46335,#000000
Indian National Lok Dal,Hathin,KEHAR SINGH,6372,Haryana,44703,#0C6965
Bharatiya Janata Party,Hisar,DR.KAMAL GUPTA S/O MANPHOOL SINGH,13646,Haryana,42285,#FB7B0D
Indian National Congress,Hodal (SC),UDAI BHAN,11680,Haryana,50723,#019733
Bharatiya Janata Party,Indri,KARAN DEV KAMBOJ,23875,Haryana,45756,#FB7B0D
Bharatiya Janata Party,Israna (SC),KRISHAN LAL PANWAR,1828,Haryana,40277,#FB7B0D
Bharatiya Janata Party,Jagadhri,KANWAR PAL S/O CHANDAN SINGH,34156,Haryana,74203,#FB7B0D
Indian National Congress,Jhajjar (SC),GEETA BHUKKAL,26584,Haryana,51697,#019733
Indian National Lok Dal,Jind,DR. HARI CHAND MIDDHA,2257,Haryana,31631,#0C6965
Indian National Lok Dal,Julana,PARMINDER SINGH DHULL,22806,Haryana,54632,#0C6965
Indian National Congress,Kaithal,RANDEEP SINGH SURJEWALA,23675,Haryana,65524,#019733
Indian National Congress,Kalanaur (SC),SHAKUNTLA KHATAK,3972,Haryana,50451,#019733
Shiromani Akali Dal,Kalawali (SC),BALKAUR SINGH,12965,Haryana,54112,#999
Independent,Kalayat,BHAI JAI PARKASH (J.P.),8390,Haryana,51106,#95b3d7
Bharatiya Janata Party,Kalka,LATIKA SHARMA,19027,Haryana,50347,#FB7B0D
Bharatiya Janata Party,Karnal,MANOHAR LAL KHATTAR,63773,Haryana,82485,#FB7B0D
Indian National Congress,Kharkhauda (SC),JAIVEER SINGH,14182,Haryana,37829,#019733
Bharatiya Janata Party,Kosli,BIKRAM SINGH THEKEDAR,10767,Haryana,63264,#FB7B0D
Bharatiya Janata Party,Ladwa,DR. PAWAN SAINI,2992,Haryana,42445,#FB7B0D
Indian National Lok Dal,Loharu,OM PARKASH BARWA,2095,Haryana,40693,#0C6965
Bharatiya Janata Party,Mahendragarh,RAM  BILASH  SHARMA,34491,Haryana,83724,#FB7B0D
Indian National Congress,Meham,ANAND SINGH DANGI,9657,Haryana,50728,#019733
Bharatiya Janata Party,Mulana (SC),SANTOSH CHAUHAN SARWAN,5649,Haryana,49970,#FB7B0D
Indian National Lok Dal,Nalwa,RANBIR GANGWA,7115,Haryana,41950,#0C6965
Bharatiya Janata Party,Nangal chaudhry,ABHE SINGH YADAV,981,Haryana,33929,#FB7B0D
Bharatiya Janata Party,Naraingarh,NAYAB SINGH,24361,Haryana,55931,#FB7B0D
Bharatiya Janata Party,Narnaul,OM PRAKASH,4573,Haryana,31664,#FB7B0D
Bharatiya Janata Party,Narnaund,CAPTAIN ABHIMANYU,5761,Haryana,53770,#FB7B0D
Indian National Lok Dal,Narwana (SC),PIRTHI SINGH,9152,Haryana,72166,#0C6965
Bharatiya Janata Party,Nilokheri (SC),BHAGWAN DASS KABIR PANTHI,34410,Haryana,58354,#FB7B0D
Indian National Lok Dal,Nuh,ZAKIR HUSSAIN,32796,Haryana,64221,#0C6965
Indian National Congress,Palwal,KARAN SINGH DALAL,5642,Haryana,57423,#019733
Bharatiya Janata Party,Panchkula,GIAN CHAND GUPTA,44602,Haryana,69916,#FB7B0D
Bharatiya Janata Party,Panipat City,ROHITA REWRI,53721,Haryana,92757,#FB7B0D
Bharatiya Janata Party,Panipat Rural,MAHIPAL DHANDA,36132,Haryana,62074,#FB7B0D
Bharatiya Janata Party,Pataudi (SC),BIMLA CHAUDHARY,38963,Haryana,75198,#FB7B0D
Indian National Lok Dal,Pehowa,JASWINDER SINGH SANDHU,9347,Haryana,49110,#0C6965
Bahujan Samaj Party,Prithla,TEK CHAND SHARMA,1179,Haryana,37178,#77968E
Independent,Punahana,RAHISH KHAN,3141,Haryana,34281,#95b3d7
Independent,Pundri,DINESH KAUSHIK,4832,Haryana,38312,#95b3d7
Bharatiya Janata Party,Radaur,SHYAM SINGH,38707,Haryana,67076,#FB7B0D
Indian National Congress,Rai,JAI TIRATH,3,Haryana,36703,#019733
Indian National Lok Dal,Rania,RAM CHAND KAMBOJ,4315,Haryana,43971,#0C6965
Indian National Lok Dal,Ratia (SC),PROF. RAVINDER BALIALA,453,Haryana,50905,#0C6965
Bharatiya Janata Party,Rewari,RANDHIR SINGH KAPRIWAS,45466,Haryana,81103,#FB7B0D
Bharatiya Janata Party,Rohtak,MANISH KUMAR GROVER,11132,Haryana,57718,#FB7B0D
Bharatiya Janata Party,Sadhaura (SC),BALWANT SINGH,14146,Haryana,63772,#FB7B0D
Independent,Safidon,JASBIR DESWAL,1422,Haryana,29369,#95b3d7
Independent,Samalkha,RAVINDER MACHHROULI,20373,Haryana,53294,#95b3d7
Bharatiya Janata Party,Shahbad (SC),KRISHAN KUMAR,562,Haryana,45715,#FB7B0D
Indian National Lok Dal,Sirsa,MAKHAN LAL SINGLA,2938,Haryana,46573,#0C6965
Bharatiya Janata Party,Sohna,TEJPAL TAWAR,24547,Haryana,53797,#FB7B0D
Bharatiya Janata Party,Sonipat,KAVITA JAIN,25810,Haryana,56832,#FB7B0D
