constituency,category,name,sex,party,votes,color
Hosur,GEN,K. Gopinath,M,INC,65034,#019733
Aravakurichi,GEN,Pallanishamy.K.C,M,DMK,72831,#800000
Maduravoyal,GEN,Beem Rao. G,M,CPM,96844,#DE0000
Athoor,GEN,Periyasamy.I,M,DMK,112751,#800000
Ambattur,GEN,Vedhachalam. S,M,AIADMK,99330,#9DBC2A
Kurinjipadi,GEN,R.Rajendran,M,AIADMK,88345,#9DBC2A
Anna Nagar,GEN,Gokula Indira S,F,AIADMK,88954,#9DBC2A
Thiruvarur,GEN,Karunanidhi. M,M,DMK,109014,#800000
Cumbum,GEN,Eramakrishnan.N,M,DMK,80307,#800000
Salem South,GEN,Selvaraju.M.K.,M,AIADMK,112691,#9DBC2A
Mannargudi,GEN,"Rajaa, T.R.B.",M,DMK,81320,#800000
Salem North,GEN,Alagapuram R Mohanraj,M,DMDK,88956,#8064a2
Sankari,GEN,Vijayalakshmi Palanisamy.P,F,AIADMK,105502,#9DBC2A
Tittakudi,(SC),K.Tamil Azhagan,M,DMDK,61897,#8064a2
Poompuhar,GEN,Pavunraj.S,M,AIADMK,85839,#9DBC2A
Veerapandi,GEN,Selvam.S.K,M,AIADMK,100155,#9DBC2A
Nagapattinam,GEN,K A Jayapal,M,AIADMK,61870,#9DBC2A
Singanallur,GEN,Chinnasamy R,M,AIADMK,89487,#9DBC2A
Edappadi,GEN,Palaniswami.K,M,AIADMK,104586,#9DBC2A
Jolarpet,GEN,"Veeramani, K.C.",M,AIADMK,86273,#9DBC2A
Sirkazhi,(SC),Sakthi . M,F,AIADMK,83881,#9DBC2A
Villivakkam,GEN,Prabhakar Jcd,M,AIADMK,68612,#9DBC2A
Saidapet,GEN,Senthamizhan.G,M,AIADMK,79856,#9DBC2A
Papanasam,GEN,R. Doraikkannu,M,AIADMK,85635,#9DBC2A
Mailam,GEN,Nagarajan.P,M,AIADMK,81656,#9DBC2A
Tiruchengode,GEN,Sampathkumar. P,M,DMDK,78103,#8064a2
Thiru-Vi-Ka-Nagar,(SC),Neelakandan. V,M,AIADMK,72887,#9DBC2A
Kovilpatti,GEN,Kadambur Raju C,M,AIADMK,73007,#9DBC2A
Ottapidaram,(SC),Dr.K.Krishnasamy,M,PT,71330,#4bacc6
Bhuvanagiri,GEN,Selvi.R,F,AIADMK,87413,#9DBC2A
Tiruppur South,GEN,Thangavel.K,M,CPM,75424,#DE0000
Kanyakumari,GEN,Patchaimal.K.T,M,AIADMK,86903,#9DBC2A
Villupuram,GEN,Shanmugam.C.V,M,AIADMK,90304,#9DBC2A
Alangulam,GEN,P. G. Rajendran,M,AIADMK,78098,#9DBC2A
Manachanallur,GEN,Poonachi. T.P.,M,AIADMK,83105,#9DBC2A
Bargur,GEN,K.E.Krishnamurthi,M,AIADMK,88711,#9DBC2A
Panruti,GEN,P.Sivakolunthu,M,DMDK,82187,#8064a2
Udhagamandalam,GEN,Budhichandhiran,M,AIADMK,61605,#9DBC2A
Tiruchirappalli East,GEN,Manoharan R,M,AIADMK,83046,#9DBC2A
Kilvaithinankuppam,(SC),Thamizharasan.C.K,M,AIADMK,72002,#9DBC2A
Thiruvottiyur,GEN,"Kuppan, K.",M,AIADMK,93944,#9DBC2A
Vedaranyam,GEN,N.V.Kamaraj,M,AIADMK,53799,#9DBC2A
Alangudi,GEN,Krishnan.Kupa,M,AIADMK,57250,#9DBC2A
Tirupattur,GEN,K.G.Ramesh,M,AIADMK,82895,#9DBC2A
Madurai Central,GEN,Sundarrajan R,M,DMDK,76063,#8064a2
Omalur,GEN,Krishnan.C,M,AIADMK,112102,#9DBC2A
Bodinayakkanur,GEN,Panneerselvam O,M,AIADMK,95235,#9DBC2A
Thousand Lights,GEN,Valarmathi. B,F,AIADMK,67522,#9DBC2A
Tiruchendur,GEN,Anitha R Radhakrishnan,M,DMK,68741,#800000
Pappireddippatti,GEN,Palaniappan P,M,AIADMK,76582,#9DBC2A
Nagercoil,GEN,Nanjil Murugesan.A,M,AIADMK,58819,#9DBC2A
Namakkal,GEN,Baskar.K.P.P.,M,AIADMK,95579,#9DBC2A
Palani,GEN,"Venugopalu. K.S.N,",M,AIADMK,82051,#9DBC2A
Gudiyatham,(SC),K. Lingamuthu,M,CPI,79416,#F05A00
Ulundurpettai,GEN,Kumaraguru.R,M,AIADMK,114794,#9DBC2A
Thuraiyur,(SC),Indraganthi T,F,AIADMK,75228,#9DBC2A
Kinathukadavu,GEN,Damodaran S,M,AIADMK,94123,#9DBC2A
Katpadi,GEN,Duraimurugan,M,DMK,75064,#800000
Kavundampalayam,GEN,Arukutty V C,M,AIADMK,137058,#9DBC2A
Manapparai,GEN,Chandra Sekar R,M,AIADMK,81020,#9DBC2A
Coimbatore South,GEN,Doraiswamy R Alias Challenger Dorai,M,AIADMK,80637,#9DBC2A
Melur,GEN,Samy R,M,AIADMK,85869,#9DBC2A
Palacode,GEN,Anbalagan K P,M,AIADMK,94877,#9DBC2A
Thondamuthur,GEN,Velumani S P,M,AIADMK,99886,#9DBC2A
Madurai West,GEN,Raju K,M,AIADMK,94798,#9DBC2A
Thiruverumbur,GEN,S.Senthilkumar,M,DMDK,71356,#8064a2
Thanjavur,GEN,M.Rengasamy,M,AIADMK,75415,#9DBC2A
Kalasapakkam,GEN,Agri.Krishnamurti.S.S,M,AIADMK,91833,#9DBC2A
Nannilam,GEN,Kamaraj.R,M,AIADMK,92071,#9DBC2A
