constituency,pc,condition
Adilabad,Adilabad,TRUE
Agra,Agra,TRUE
Ahmedabad East,Ahmedabad East,TRUE
Ahmedabad West,Ahmedabad West,TRUE
Ahmednagar,Ahmadnagar,FALSE
Ajmer,Ajmer,TRUE
Akbarpur,Akbarpur,TRUE
Akola,Akola,TRUE
Alappuzha,Alappuzha,TRUE
Alathur,Alathur,TRUE
Aligarh,Aligarh,TRUE
Alipurduars,Alipurduars,TRUE
Allahabad,Allahabad,TRUE
Almora,Almora,TRUE
Alwar,Alwar,TRUE
Amalapuram,Amalapuram,TRUE
Ambala,Ambala,TRUE
Ambedkar Nagar,Ambedkar Nagar,TRUE
Amethi,Amethi,TRUE
Amravati,Amravati,TRUE
Amreli,Amreli,TRUE
Amritsar,Amritsar,TRUE
Amroha,Amroha,TRUE
Anakapalle,Anakapalli,FALSE
Anand,Anand,TRUE
Anandpur Sahib,Anandpur Sahib,TRUE
Anantapur,Anantapur,TRUE
Anantnag,Anantnag,TRUE
Andaman Nicobar Islands,Andaman & Nicobar Islands,FALSE
Aonla,Aonla,TRUE
Arakkonam,Arakkonam,TRUE
Araku,Aruku,FALSE
Arambag,Arambagh,FALSE
Arani,Arani,TRUE
Araria,Araria,TRUE
Arrah,Arrah,TRUE
Arunachal East,Arunachal East,TRUE
Arunachal West,Arunachal West,TRUE
Asansol,Asansol,TRUE
Aska,Aska,TRUE
Attingal,Attingal,TRUE
Aurangabad,Aurangabad,TRUE
Autonomous District,Autonomous District,TRUE
Azamgarh,Azamgarh,TRUE
Badaun,Badaun,TRUE
Bagalkot,Bagalkot,TRUE
Baghpat,Baghpat,TRUE
Baharampur,Baharampur,TRUE
Bahraich,Bahraich,TRUE
Balaghat,Balaghat,TRUE
Balasore,Balasore,TRUE
Ballia,Ballia,TRUE
Balurghat,Balurghat,TRUE
Banaskantha,Banaskantha,TRUE
Banda,Banda,TRUE
Bangalore Central,Bangalore Central,TRUE
Bangalore North,Bangalore North,TRUE
Bangalore Rural,Bangalore Rural,TRUE
Bangalore South,Bangalore South,TRUE
Bangaon,Bangaon,TRUE
Banka,Banka,TRUE
Bankura,Bankura,TRUE
Bansgaon,Bansgaon,TRUE
Banswara,Banswara,TRUE
Bapatla,Bapatla,TRUE
Barabanki,Barabanki,TRUE
Baramati,Baramati,TRUE
Baramulla,Baramulla,TRUE
Barasat,Barasat,TRUE
Bardhaman Purba,Bardhaman Purba,TRUE
Bardhaman-Durgapur,Burdwan - Durgapur,FALSE
Bardoli,Bardoli,TRUE
Bareilly,Bareilly,TRUE
Bargarh,Bargarh,TRUE
Barmer,Barmer,TRUE
Barpeta,Barpeta,TRUE
