state,constituency,party,name,age,category,gender,votes,polled_votes,year,poll_date,education,assets,criminal_cases,color
Uttar Pradesh,Maharajganj,Bharatiya Janata Party,PANKAJ,44,GEN,Male,471542,1902732,2014,12-05-2014,12th,191819151,0,#FB7B0D
Uttar Pradesh,Hamirpur,Bharatiya Janata Party,KUNWAR PUSHPENDRA SINGH CHANDEL,40,GEN,Male,453884,1810445,2014,30-04-2014,Post Graduate,71265181,1,#FB7B0D
Maharashtra,Aurangabad,Shivsena,CHANDRAKANT BHAURAO KHAIRE,62,GEN,Male,520902,1769207,2014,24-04-2014,12th,90614560,8,#F05A00
Andhra Pradesh,Malkajgiri,Telugu Desam,CH.MALLA REDDY,56,GEN,Male,523336,1620397,2014,30-04-2014,12th,488525332,0,#4bacc6
Assam,Gauhati,Bharatiya Janata Party,BIJOYA CHAKRAVARTY,75,GEN,Female,764985,1511729,2014,24-04-2014,Post Graduate,12574493,0,#FB7B0D
Karnataka,Bangalore Rural,Indian National Congress,D K SURESH,47,GEN,Male,652723,1455244,2014,17-04-2014,12th,858713138,7,#019733
Assam,Dhubri,All India United Democratic Front,BADRUDDIN AJMAL,50,GEN,Male,592569,1369624,2014,24-04-2014,Others,432748134,1,#999
West Bengal,Ghatal,All India Trinamool Congress,ADHIKARI DEEPAK (DEV),32,GEN,Male,685696,1366709,2014,12-05-2014,10th,152447159,0,#0C6965
West Bengal,Arambagh,All India Trinamool Congress,APARUPA PODDAR (AFRIN ALI),28,GEN,Female,748764,1361934,2014,30-04-2014,Post Graduate,3271869,0,#0C6965
Karnataka,Bangalore North,Bharatiya Janata Party,D.V SADANANDA GOWDA,61,GEN,Male,718326,1356718,2014,17-04-2014,Graduate Professional,98888874,0,#FB7B0D
Nct Of Delhi,North West Delhi,Bharatiya Janata Party,UDIT RAJ,56,GEN,Male,629860,1356036,2014,10-04-2014,Doctorate,44902363,1,#FB7B0D
West Bengal,Ranaghat,All India Trinamool Congress,TAPAS MANDAL,42,GEN,Male,590451,1353196,2014,12-05-2014,Doctorate,8169115,0,#0C6965
West Bengal,Hooghly,All India Trinamool Congress,DR. RATNA DE (NAG),62,GEN,Female,614312,1348870,2014,30-04-2014,Post Graduate,18617758,0,#0C6965
Nct Of Delhi,West Delhi,Bharatiya Janata Party,PARVESH SAHIB SINGH VERMA,36,GEN,Male,651395,1347971,2014,10-04-2014,Post Graduate,107235461,1,#FB7B0D
Uttar Pradesh,Ghaziabad,Bharatiya Janata Party,VIJAY KUMAR SINGH,62,GEN,Male,758482,1342320,2014,10-04-2014,Doctorate,41137044,2,#FB7B0D
West Bengal,Tamluk,All India Trinamool Congress,ADHIKARI SUVENDU,44,GEN,Male,716928,1337684,2014,12-05-2014,Post Graduate,6480767,2,#0C6965
West Bengal,Cooch Behar,All India Trinamool Congress,RENUKA SINHA,65,GEN,Female,526499,1332409,2014,17-04-2014,Graduate Professional,13017282,0,#0C6965
West Bengal,Burdwan - Durgapur,All India Trinamool Congress,DR. MAMTAZ SANGHAMITA,68,GEN,Female,554521,1331242,2014,30-04-2014,Post Graduate,107680000,0,#0C6965
West Bengal,Bardhaman Purba,All India Trinamool Congress,SUNIL KUMAR MONDAL,55,GEN,Male,574660,1320922,2014,30-04-2014,Graduate Professional,11841000,0,#0C6965
Uttar Pradesh,Jhansi,Bharatiya Janata Party,UMA BHARATI,55,GEN,Female,575889,1320804,2014,30-04-2014,5th,14376218,13,#FB7B0D
Haryana,Gurgaon,Bharatiya Janata Party,INDERJIT SINGH RAO,64,GEN,Male,644780,1320619,2014,10-04-2014,Graduate Professional,250698763,0,#FB7B0D
Nct Of Delhi,North East Delhi,Bharatiya Janata Party,MANOJ TIWARI,43,GEN,Male,596125,1317338,2014,10-04-2014,Post Graduate,199483924,0,#FB7B0D
Madhya Pradesh,Indore,Bharatiya Janata Party,SUMITRA MAHAJAN (TAI),70,GEN,Female,854972,1316817,2014,24-04-2014,Post Graduate,18732234,0,#FB7B0D
Andhra Pradesh,Chelvella,Telangana Rashtra Samithi,KONDA VISHWESHWAR REDDY,54,GEN,Male,435077,1315862,2014,30-04-2014,Post Graduate,5286230210,0,#999
West Bengal,Bolpur,All India Trinamool Congress,ANUPAM HAZRA,32,GEN,Male,630693,1304756,2014,30-04-2014,Doctorate,4866883,0,#0C6965
West Bengal,Jalpaiguri,All India Trinamool Congress,BIJOY CHANDRA BARMAN,57,GEN,Male,494773,1302117,2014,17-04-2014,Post Graduate,9396430,0,#0C6965
Rajasthan,Jaipur,Bharatiya Janata Party,RAMCHARAN BOHARA,56,GEN,Male,863358,1296806,2014,17-04-2014,12th,135809546,0,#FB7B0D
West Bengal,Kanthi,All India Trinamool Congress,ADHIKARI SISIR KUMAR,74,GEN,Male,676749,1290811,2014,12-05-2014,12th,19498381,1,#0C6965
West Bengal,Srerampur,All India Trinamool Congress,KALYAN BANERJEE,57,GEN,Male,514933,1290433,2014,30-04-2014,Graduate Professional,88512676,1,#0C6965
West Bengal,Murshidabad,Communist Party of India  (Marxist),BADARUDDOZA KHAN,59,GEN,Male,426947,1287763,2014,24-04-2014,Graduate,2758610,0,#DE0000
Tamil Nadu,Sriperumbudur,All India Anna Dravida Munnetra Kazhagam,"RAMACHANDRAN, K.N. THIRU",59,GEN,Male,545820,1286647,2014,24-04-2014,Post Graduate,936721057,0,#9DBC2A
West Bengal,Bangaon,All India Trinamool Congress,KAPIL KRISHNA THAKUR,73,GEN,Male,551213,1283688,2014,12-05-2014,Graduate,9667890,0,#0C6965
Andhra Pradesh,Narasaraopet,Telugu Desam,SAMBASIVA RAO RAYAPATI,70,GEN,Male,632464,1282058,2014,07-05-2014,Graduate,595838093,2,#4bacc6
Haryana,Sirsa,Indian National Lok Dal,CHARANJEET SINGH RORI,43,GEN,Male,506370,1279105,2014,10-04-2014,10th,8146887,0,#999
West Bengal,Birbhum,All India Trinamool Congress,SATABDI ROY,45,GEN,Female,460568,1275819,2014,30-04-2014,Graduate,54972174,0,#0C6965
West Bengal,Basirhat,All India Trinamool Congress,IDRIS ALI,64,GEN,Male,492326,1273771,2014,12-05-2014,Graduate Professional,9800277,9,#0C6965
West Bengal,Jadavpur,All India Trinamool Congress,SUGATA BOSE,57,GEN,Male,584244,1272362,2014,12-05-2014,Doctorate,46315770,0,#0C6965
West Bengal,Bishnupur,All India Trinamool Congress,KHAN SAUMITRA,34,GEN,Male,578870,1272070,2014,07-05-2014,12th,1197255,1,#0C6965
West Bengal,Barasat,All India Trinamool Congress,DR. KAKALI GHOSHDOSTIDAR,55,GEN,Female,525387,1269331,2014,12-05-2014,Graduate Professional,31254311,0,#0C6965
West Bengal,Mathurapur,All India Trinamool Congress,CHOUDHURY MOHAN JATUA,75,GEN,Male,627761,1265531,2014,12-05-2014,Post Graduate,4857752,0,#0C6965
Karnataka,Chikkballapur,Indian National Congress,M VEERAPPA MOILY,74,GEN,Male,424800,1263274,2014,17-04-2014,Graduate Professional,137366682,0,#019733
West Bengal,Diamond Harbour,All India Trinamool Congress,ABHISHEK BANERJEE,26,GEN,Male,508481,1261296,2014,12-05-2014,Post Graduate,15199272,0,#0C6965
Maharashtra,Kolhapur,Nationalist Congress Party,DHANANJAY BHIMRAO MAHADIK,42,GEN,Male,607665,1260289,2014,17-04-2014,Graduate,448882000,1,#999
