state,constituency,poll_date,name,party,age,gender,education,category,assets,criminal_cases,color
Bihar,Vaishali,12-05-2014,Mdhasib,RASHTRIYA SAMANTA DAL,-, -,-,-,-,-,
Uttar Pradesh,Deoria,12-05-2014,Baleshwar Yadav,SP,-, -,-,-,-,-,#B15928
Uttar Pradesh,Ghazipur,12-05-2014,Dharm Yadav Urf Dpyadav,RASHTRIYA PARIVARTAN DAL,-, -,-,-,-,-,
Uttar Pradesh,Machhlishahr,12-05-2014,Suresh Gautam,ADARSH RASHTRIYA VIKAS PARTY,-, -,-,-,-,-,
Andhra Pradesh,Vijayawada,07-05-2014,Sunkara Krishna Murthy,ANDHRA RASTRA PRAJA SAMITHI,-, -,-,-,-,-,
Uttar Pradesh,Ambedkar Nagar,07-05-2014,Sriram,MOST BACKWARD CLASSES OF INDIA,-, -,-,-,-,-,
Uttar Pradesh,Ambedkar Nagar,07-05-2014,Gopal Nishad,SUHELDEV BHARTIYA SAMAJ PARTY,-, -,-,-,-,-,
Uttar Pradesh,Lucknow,30-04-2014,Tara Patkar,SWARAJYA PARTY OF INDIA,-, -,-,-,-,-,
Madhya Pradesh,Indore,24-04-2014,Harish Chandra Sahu,SAMANTA SAMADHAN PARTY,-, -,-,-,-,-,
Bihar,Buxar,17-04-2014,Dr Shio Kumar Sharma,JANVADI PARTYSOCIALIST,-, -,-,-,-,-,
Jharkhand,Jamshedpur,17-04-2014,Bidyut Baran Mahato,BJP,-, -,-,-,-,-,#FB7B0D
Madhya Pradesh,Khajuraho,17-04-2014,Durga Sharma,BUNDELKHAND CONGRESS,-, -,-,-,-,-,
Maharashtra,Hingoli,17-04-2014,Desai Pandurang Devrao,JDS,-, -,-,-,-,-,#8064a2
Maharashtra,Beed,17-04-2014,Shingare Govind Bharat,SHIVRAJYA PARTY,-, -,-,-,-,-,
Maharashtra,Madha,17-04-2014,Sadabhau Ramchandra Khot,SWABHIMANI PAKSHA,-, -,-,-,-,-,
Maharashtra,Satara,17-04-2014,Shrimant Chh Udayanraje Pratapsinha Bhonsale,NCP,-, -,-,-,-,-,
Uttar Pradesh,Sambhal,17-04-2014,Dharam Yadav Alias D P Yadav,RASHTRIYA PARIVARTAN DAL,-, -,-,-,-,-,
Uttar Pradesh,Nagina,17-04-2014,Yashvir Singh,SP,-, -,-,-,-,-,#B15928
Kerala,Malappuram,10-04-2014,Pksainaba,CPIM,-, -,-,-,-,-,#DE0000
Kerala,Palakkad,10-04-2014,M P Veerendrakumar,SOCIALIST JANATA DEMOCRATIC,-, -,-,-,-,-,
Kerala,Chalakudy,10-04-2014,Jayan Konikara,CPIML RED STAR,-, -,-,-,-,-,
Madhya Pradesh,Sidhi,10-04-2014,Urmila,CPIML RED STAR,-, -,-,-,-,-,
Madhya Pradesh,Sidhi,10-04-2014,Sunil Soni,BAHUJAN SANGHARSHH DAL,-, -,-,-,-,-,
Madhya Pradesh,Jabalpur,10-04-2014,Er Pravin Gajbhiye Dada,BAHUJAN MUKTI PARTY,-, -,-,-,-,-,
Madhya Pradesh,Hoshangabad,10-04-2014,Devendra Patel Guddu Bhaiya,INC,-, -,-,-,-,-,#019733
Maharashtra,Chandrapur,10-04-2014,Qureshi M Ekhalak M Yusuf,SOCIALIST PARTY INDIA,-, -,-,-,-,-,
Orissa,Sundargarh,10-04-2014,Das Charan Majhi,JHARKHAND DISOM PARTY,-, -,-,-,-,-,
Jharkhand,Chatra,10-04-2014,Dhiraj Prasad Sahu,INC,-, -,-,-,-,-,#019733
Jharkhand,Kodarma,10-04-2014,Raj Kumar Yadav,CPIMLL,-, -,-,-,-,-,
Karnataka,Bangalore South,17-04-2014,Nandan Nilekani,INC,58,Male,Graduate Professional,GEN,77102957219,0,#019733
West Bengal,Jadavpur,12-05-2014,Shamali Das,IND,56,Female,8th,GEN,20000060000,0,
West Bengal,Kolkata Dakshin,12-05-2014,Shamali Das,IND,56,Female,8th,GEN,20000060000,0,
Bihar,Jahanabad,17-04-2014,Anil Kumar Sharma,JDU,50,Male,Doctorate,GEN,8498803720,1,#8064a2
Andhra Pradesh,Guntur,07-05-2014,Jayadev Galla,TDP,48,Male,Graduate,GEN,6830581361,0,#4bacc6
Andhra Pradesh,Narasaraopet,07-05-2014,Ayodhya Rami Reddy Alla,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,50,Male,Post Graduate,GEN,6543381756,1,
Andhra Pradesh,Chevella,30-04-2014,Konda Vishweshwar Reddy,TRS,54,Male,Post Graduate,GEN,5286230210,0,
Andhra Pradesh,Khammam,30-04-2014,Nama Nageswara Rao,TDP,56,Male,12th,GEN,3382293440,1,#4bacc6
Haryana,Kurukshetra,10-04-2014,Naveen Jindal,INC,44,Male,Post Graduate,GEN,3083154000,2,#019733
Assam,Tezpur,07-04-2014,Moni Kumar Subba,IND,56,Male,8th,GEN,3067535137,2,
Uttar Pradesh,Bijnor,10-04-2014,Malook Nagar,BSP,48,Male,Graduate,GEN,2896200000,0,#77968E
Andhra Pradesh,Narsapuram,07-05-2014,Gokaraju Ganga Raju,BJP,69,Male,Graduate,GEN,2883567122,1,#FB7B0D
Tamil Nadu,Kanniyakumari,24-04-2014,Vasantha Kumar H,INC,63,Male,Post Graduate,GEN,2857786803,5,#019733
Andhra Pradesh,Peddapalle,30-04-2014,Drgaddam Vivekanand,INC,56,Male,Graduate Professional,GEN,2665292981,1,#019733
Andhra Pradesh,Nellore,07-05-2014,Vakati Narayana Reddy,INC,51,Male,Graduate,GEN,2513866365,0,#019733
Andhra Pradesh,Kurnool,07-05-2014,Butta Renuka,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,42,Female,10th,GEN,2426240513,1,
Karnataka,Bangalore Rural,17-04-2014,R Prabhakara Reddy,JDS,43,Male,Graduate,GEN,2243612066,0,#8064a2
Madhya Pradesh,Chhindwara,10-04-2014,Kamal Nath,INC,67,Male,Graduate,GEN,2069080434,0,#019733
Uttar Pradesh,Meerut,10-04-2014,M Shahid,BSP,45,Male,5th,GEN,1989984945,0,#77968E
Maharashtra,Bhandara-gondiya,10-04-2014,Patel Praful Manoharbhai,NCP,57,Male,Graduate,GEN,1959685779,0,
Karnataka,Bangalore Central,17-04-2014,V Bala Krishnan,AAP,49,Male,Graduate Professional,GEN,1894253519,0,
Uttar Pradesh,Amroha,17-04-2014,Kanwar Singh Tanwar,BJP,52,Male,5th,GEN,1788430770,0,#FB7B0D
Uttar Pradesh,Mathura,24-04-2014,Deol Hema Malini Dharmendra,BJP,65,Female,Doctorate,GEN,1782015620,0,#FB7B0D
Andhra Pradesh,Medak,30-04-2014,Narendranath Chaganla,BJP,49,Male,10th,GEN,1764805829,13,#FB7B0D
Karnataka,Chikkballapur,17-04-2014,H D Kumara Swamy,JDS,54,Male,Graduate,GEN,1677777589,1,#8064a2
Uttarakhand,Tehri Garhwal,07-05-2014,Mala Rajya Laxmi Shah,BJP,64,Female,12th,GEN,1662109875,0,#FB7B0D
Maharashtra,Raver,24-04-2014,Jain Manish Ishwarlal,NCP,45,Male,Graduate,GEN,1515146765,7,
Bihar,Purnia,24-04-2014,Uday Singh Urf Pappu Singh,BJP,61,Male,12th,GEN,1466364725,4,#FB7B0D
Punjab,Fatehgarh Sahib,30-04-2014,Kulwant Singh,SAD,52,Male,10th,GEN,1396118874,0,
Andhra Pradesh,Vijayawada,07-05-2014,Rajendra Prasad Koneru,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,63,Male,Graduate,GEN,1377963388,1,
Orissa,Puri,17-04-2014,Pinaki Mishra,BJD,54,Male,Graduate Professional,GEN,1370991203,0,#000000
Bihar,Patna Sahib,17-04-2014,Shatrughan Sinha,BJP,67,Male,Graduate,GEN,1317405961,1,#FB7B0D
Meghalaya,Shillong,09-04-2014,Denis Siangshai,IND,49,Male,Graduate,GEN,1287025457,0,
Andhra Pradesh,Vijayawada,07-05-2014,Srinivas Kesineni,TDP,48,Male,10th,GEN,1284122669,3,#4bacc6
Andhra Pradesh,Nellore,07-05-2014,Adala Prabhakara Reddy,TDP,64,Male,12th,GEN,1282585640,0,#4bacc6
Andhra Pradesh,Nalgonda,30-04-2014,Tera Chinnapa Reddy,TDP,50,Male,Doctorate,GEN,1269815389,5,#4bacc6
Andhra Pradesh,Narsapuram,07-05-2014,Vanka Ravindranath So Satyanarayana,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,53,Male,12th,GEN,1267907245,0,
Uttar Pradesh,Etah,24-04-2014,Kunwar Devendra Singh Yadav,SP,65,Male,Doctorate,GEN,1249971797,1,#B15928
Rajasthan,Dausa,24-04-2014,Chandu Lal Meena,BSP,47,Male,10th,GEN,1218571031,3,#77968E
Punjab,Anandpur Sahib,30-04-2014,Ambika Soni,INC,71,Female,Post Graduate,GEN,1180035973,0,#019733
Bihar,Bhagalpur,24-04-2014,Purushottam Choubey,SP,47,Male,10th,GEN,1156393030,2,#B15928
National Capital Territory Of Delhi,Chandni Chowk,10-04-2014,Kapil Sibal,INC,65,Male,Graduate Professional,GEN,1144747216,0,#019733
Maharashtra,Baramati,17-04-2014,Supriya Sule,NCP,44,Female,Graduate,GEN,1139090851,0,
Punjab,Amritsar,30-04-2014,Arun Jaitley,BJP,61,Male,Graduate Professional,GEN,1130216000,0,#FB7B0D
