party,constituency,state,poll_date,name,age,gender,education,category,assets,criminal_cases,color,sub_name,constituency_name,party_name
SP,Deoria,Uttar Pradesh,12-05-2014,Baleshwar Yadav,-, -,-,-,-,-,#B15928,baleshwaryadav,Deoria,Samajwadi Party
BJP,Jamshedpur,Jharkhand,17-04-2014,Bidyut Baran Mahato,-, -,-,-,-,-,#FB7B0D,bidyutbaranmahato,Jamshedpur,Bharatiya Janata Party
JDS,Hingoli,Maharashtra,17-04-2014,Desai Pandurang Devrao,-, -,-,-,-,-,#8064a2,desaipandurangdevrao,Hingoli,Janata Dal  (Secular)
SWABHIMANI PAKSHA,Madha,Maharashtra,17-04-2014,Sadabhau Ramchandra Khot,-, -,-,-,-,-,,sadabhauramchandrakhot,Madha,Swabhimani Paksha
NCP,Satara,Maharashtra,17-04-2014,Shrimant Chh Udayanraje Pratapsinha Bhonsale,-, -,-,-,-,-,,shrimantchhudayanrajepratapsinhabhonsale,Satara,Nationalist Congress Party
SP,Nagina,Uttar Pradesh,17-04-2014,Yashvir Singh,-, -,-,-,-,-,#B15928,yashvirsingh,Nagina,Samajwadi Party
CPIM,Malappuram,Kerala,10-04-2014,Pksainaba,-, -,-,-,-,-,#DE0000,pksainaba,Malappuram,Communist Party of India  (Marxist)
INC,Hoshangabad,Madhya Pradesh,10-04-2014,Devendra Patel Guddu Bhaiya,-, -,-,-,-,-,#019733,devendrapatelguddubhaiya,Hoshangabad,Indian National Congress
INC,Chatra,Jharkhand,10-04-2014,Dhiraj Prasad Sahu,-, -,-,-,-,-,#019733,dhirajprasadsahu,Chatra,Indian National Congress
INC,Bangalore South,Karnataka,17-04-2014,Nandan Nilekani,58,Male,Graduate Professional,GEN,77102957219,0,#019733,nandannilekani,Bangalore South,Indian National Congress
IND,Jadavpur,West Bengal,12-05-2014,Shamali Das,56,Female,8th,GEN,20000060000,0,,shamalidas,Jadavpur,Independent
IND,Kolkata Dakshin,West Bengal,12-05-2014,Shamali Das,56,Female,8th,GEN,20000060000,0,,shamalidas,Kolkata Dakshin,Independent
JDU,Jahanabad,Bihar,17-04-2014,Anil Kumar Sharma,50,Male,Doctorate,GEN,8498803720,1,#8064a2,anilkumarsharma,Jahanabad,Janata Dal  (United)
TDP,Guntur,Andhra Pradesh,07-05-2014,Jayadev Galla,48,Male,Graduate,GEN,6830581361,0,#4bacc6,jayadevgalla,Guntur,Telugu Desam
YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,Narasaraopet,Andhra Pradesh,07-05-2014,Ayodhya Rami Reddy Alla,50,Male,Post Graduate,GEN,6543381756,1,,ayodhyaramireddyalla,Narasaraopet,Yuvajana Sramika Rythu Congress Party
TRS,Chevella,Andhra Pradesh,30-04-2014,Konda Vishweshwar Reddy,54,Male,Post Graduate,GEN,5286230210,0,,kondavishweshwarreddy,Chelvella,Telangana Rashtra Samithi
TDP,Khammam,Andhra Pradesh,30-04-2014,Nama Nageswara Rao,56,Male,12th,GEN,3382293440,1,#4bacc6,namanageswararao,Khammam,Telugu Desam
INC,Kurukshetra,Haryana,10-04-2014,Naveen Jindal,44,Male,Post Graduate,GEN,3083154000,2,#019733,naveenjindal,Kurukshetra,Indian National Congress
IND,Tezpur,Assam,07-04-2014,Moni Kumar Subba,56,Male,8th,GEN,3067535137,2,,monikumarsubba,Tezpur,Independent
BJP,Narsapuram,Andhra Pradesh,07-05-2014,Gokaraju Ganga Raju,69,Male,Graduate,GEN,2883567122,1,#FB7B0D,gokarajugangaraju,Narsapuram,Bharatiya Janata Party
INC,Kanniyakumari,Tamil Nadu,24-04-2014,Vasantha Kumar H,63,Male,Post Graduate,GEN,2857786803,5,#019733,vasanthakumarh,Kanniyakumari,Indian National Congress
INC,Peddapalle,Andhra Pradesh,30-04-2014,Drgaddam Vivekanand,56,Male,Graduate Professional,GEN,2665292981,1,#019733,drgaddamvivekanand,Peddapalle,Indian National Congress
INC,Nellore,Andhra Pradesh,07-05-2014,Vakati Narayana Reddy,51,Male,Graduate,GEN,2513866365,0,#019733,vakatinarayanareddy,Nellore,Indian National Congress
YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,Kurnool,Andhra Pradesh,07-05-2014,Butta Renuka,42,Female,10th,GEN,2426240513,1,,buttarenuka,Kurnool,Yuvajana Sramika Rythu Congress Party
JDS,Bangalore Rural,Karnataka,17-04-2014,R Prabhakara Reddy,43,Male,Graduate,GEN,2243612066,0,#8064a2,rprabhakarareddy,Bangalore Rural,Janata Dal  (Secular)
INC,Chhindwara,Madhya Pradesh,10-04-2014,Kamal Nath,67,Male,Graduate,GEN,2069080434,0,#019733,kamalnath,Chhindwara,Indian National Congress
