party,state,constituency,poll_date,name,age,gender,education,category,assets,criminal_cases,color,party_name
SP,Uttar Pradesh,Deoria,12-05-2014,baleshwaryadav,-, -,-,-,-,-,#B15928,Samajwadi Party
BJP,Jharkhand,Jamshedpur,17-04-2014,bidyutbaranmahato,-, -,-,-,-,-,#FB7B0D,Bharatiya Janata Party
JDS,Maharashtra,Hingoli,17-04-2014,desaipandurangdevrao,-, -,-,-,-,-,#8064a2,Janata Dal  (Secular)
SWABHIMANI PAKSHA,Maharashtra,Madha,17-04-2014,sadabhauramchandrakhot,-, -,-,-,-,-,,Swabhimani Paksha
NCP,Maharashtra,Satara,17-04-2014,shrimantchhudayanrajepratapsinhabhonsale,-, -,-,-,-,-,,Nationalist Congress Party
SP,Uttar Pradesh,Nagina,17-04-2014,yashvirsingh,-, -,-,-,-,-,#B15928,Samajwadi Party
CPIM,Kerala,Malappuram,10-04-2014,pksainaba,-, -,-,-,-,-,#DE0000,Communist Party of India  (Marxist)
INC,Madhya Pradesh,Hoshangabad,10-04-2014,devendrapatelguddubhaiya,-, -,-,-,-,-,#019733,Indian National Congress
INC,Jharkhand,Chatra,10-04-2014,dhirajprasadsahu,-, -,-,-,-,-,#019733,Indian National Congress
INC,Karnataka,Bangalore South,17-04-2014,nandannilekani,58,Male,Graduate Professional,GEN,77102957219,0,#019733,Indian National Congress
IND,West Bengal,Jadavpur,12-05-2014,shamalidas,56,Female,8th,GEN,20000060000,0,,Independent
IND,West Bengal,Kolkata Dakshin,12-05-2014,shamalidas,56,Female,8th,GEN,20000060000,0,,Independent
JDU,Bihar,Jahanabad,17-04-2014,anilkumarsharma,a,Male,Doctorate,GEN,8498803720,1,#8064a2,Janata Dal  (United)
TDP,Andhra Pradesh,Guntur,07-05-2014,jayadevgalla,48,Male,Graduate,GEN,6830581361,0,#4bacc6,Telugu Desam
YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,Andhra Pradesh,Narasaraopet,07-05-2014,ayodhyaramireddyalla,50,Male,Post Graduate,GEN,6543381756,1,,Yuvajana Sramika Rythu Congress Party
TRS,Andhra Pradesh,Chevella,30-04-2014,kondavishweshwarreddy,54,Male,Post Graduate,GEN,5286230210,0,,Telangana Rashtra Samithi
TDP,Andhra Pradesh,Khammam,30-04-2014,namanageswararao,56,Male,12th,GEN,3382293440,1,#4bacc6,Telugu Desam
INC,Haryana,Kurukshetra,10-04-2014,naveenjindal,44,Male,Post Graduate,GEN,3083154000,2,#019733,Indian National Congress
IND,Assam,Tezpur,07-04-2014,monikumarsubba,56,Male,8th,GEN,3067535137,2,,Independent
BJP,Andhra Pradesh,Narsapuram,07-05-2014,gokarajugangaraju,69,Male,Graduate,GEN,2883567122,1,#FB7B0D,Bharatiya Janata Party
INC,Tamil Nadu,Kanniyakumari,24-04-2014,vasanthakumarh,63,Male,Post Graduate,GEN,2857786803,5,#019733,Indian National Congress
INC,Andhra Pradesh,Peddapalle,30-04-2014,drgaddamvivekanand,56,Male,Graduate Professional,GEN,2665292981,1,#019733,Indian National Congress
INC,Andhra Pradesh,Nellore,07-05-2014,vakatinarayanareddy,51,Male,Graduate,GEN,2513866365,0,#019733,Indian National Congress
YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,Andhra Pradesh,Kurnool,07-05-2014,buttarenuka,42,Female,10th,GEN,2426240513,1,,Yuvajana Sramika Rythu Congress Party
JDS,Karnataka,Bangalore Rural,17-04-2014,rprabhakarareddy,43,Male,Graduate,GEN,2243612066,0,#8064a2,Janata Dal  (Secular)
INC,Madhya Pradesh,Chhindwara,10-04-2014,kamalnath,67,Male,Graduate,GEN,2069080434,0,#019733,Indian National Congress
NCP,Maharashtra,Bhandara-Gondiya,10-04-2014,patelprafulmanoharbhai,57,Male,Graduate,GEN,1959685779,0,,Nationalist Congress Party
AAP,Karnataka,Bangalore Central,17-04-2014,vbalakrishnan,49,Male,Graduate Professional,GEN,1894253519,0,,Aam Aadmi Party
BJP,Uttar Pradesh,Amroha,17-04-2014,kanwarsinghtanwar,52,Male,5th,GEN,1788430770,0,#FB7B0D,Bharatiya Janata Party
BJP,Uttar Pradesh,Mathura,24-04-2014,deolhemamalinidharmendra,65,Female,Doctorate,GEN,1782015620,0,#FB7B0D,Bharatiya Janata Party
BJP,Andhra Pradesh,Medak,30-04-2014,narendranathchaganla,49,Male,10th,GEN,1764805829,13,#FB7B0D,Bharatiya Janata Party
JDS,Karnataka,Chikkballapur,17-04-2014,hdkumaraswamy,54,Male,Graduate,GEN,1677777589,1,#8064a2,Janata Dal  (Secular)
BJP,Uttarakhand,Tehri Garhwal,07-05-2014,malarajyalaxmishah,64,Female,12th,GEN,1662109875,0,#FB7B0D,Bharatiya Janata Party
NCP,Maharashtra,Raver,24-04-2014,jainmanishishwarlal,45,Male,Graduate,GEN,1515146765,7,,Nationalist Congress Party
BJP,Bihar,Purnia,24-04-2014,udaysinghurfpappusingh,61,Male,12th,GEN,1466364725,4,#FB7B0D,Bharatiya Janata Party
SAD,Punjab,Fatehgarh Sahib,30-04-2014,kulwantsingh,52,Male,10th,GEN,1396118874,0,,Shiromani Akali Dal
YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,Andhra Pradesh,Vijayawada,07-05-2014,rajendraprasadkoneru,63,Male,Graduate,GEN,1377963388,1,,Yuvajana Sramika Rythu Congress Party
BJD,Orissa,Puri,17-04-2014,pinakimishra,54,Male,Graduate Professional,GEN,1370991203,0,#000000,Biju Janata Dal
BJP,Bihar,Patna Sahib,17-04-2014,shatrughansinha,67,Male,Graduate,GEN,1317405961,1,#FB7B0D,Bharatiya Janata Party
IND,Meghalaya,Shillong,09-04-2014,denissiangshai,49,Male,Graduate,GEN,1287025457,0,,Independent
TDP,Andhra Pradesh,Vijayawada,07-05-2014,srinivaskesineni,48,Male,10th,GEN,1284122669,3,#4bacc6,Telugu Desam
TDP,Andhra Pradesh,Nellore,07-05-2014,adalaprabhakarareddy,64,Male,12th,GEN,1282585640,0,#4bacc6,Telugu Desam
TDP,Andhra Pradesh,Nalgonda,30-04-2014,terachinnapareddy,50,Male,Doctorate,GEN,1269815389,5,#4bacc6,Telugu Desam
YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,Andhra Pradesh,Narsapuram,07-05-2014,vankaravindranathsosatyanarayana,53,Male,12th,GEN,1267907245,0,,Yuvajana Sramika Rythu Congress Party
SP,Uttar Pradesh,Etah,24-04-2014,kunwardevendrasinghyadav,65,Male,Doctorate,GEN,1249971797,1,#B15928,Samajwadi Party
INC,Punjab,Anandpur Sahib,30-04-2014,ambikasoni,71,Female,Post Graduate,GEN,1180035973,0,#019733,Indian National Congress
SP,Bihar,Bhagalpur,24-04-2014,purushottamchoubey,47,Male,10th,GEN,1156393030,2,#B15928,Samajwadi Party
INC,National Capital Territory Of Delhi,Chandni Chowk,10-04-2014,kapilsibal,65,Male,Graduate Professional,GEN,1144747216,0,#019733,Indian National Congress
