sub_name,pc,party,age,category,color,electors,name,polled_votes,rank,sex,state,votes,year,poll_date,education,gender,assets,criminal_cases
kalvakuntlachandrasekharrao,Medak,Telangana Rashtra Samithi,,,#999,,KALVAKUNTLA CHANDRASEKHAR RAO,1191096,1,,Andhra Pradesh,657492,2014,,,,,
yellaiahnandi,Nagarkurnool,Indian National Congress,,,#019733,,YELLAIAH NANDI,1108968,1,,Andhra Pradesh,420075,2014,,,,,
drbooranarsaiahgoud,Bhongir,Telangana Rashtra Samithi,,,#999,,DR. BOORA NARSAIAH GOUD,1211943,1,,Andhra Pradesh,448245,2014,,,,,
kambhampatiharibabu,Visakhapatnam,Bharatiya Janata Party,,,#FB7B0D,,KAMBHAMPATI HARI BABU,1163558,1,,Andhra Pradesh,566832,2014,,,,,
muttamsettisrinivasaraoavanthi,Anakapalli,Telugu Desam,,,#4bacc6,,MUTTAMSETTI SRINIVASA RAO (AVANTHI),1148072,1,,Andhra Pradesh,568463,2014,,,,,
thotanarasimham,Kakinada,Telugu Desam,,,#4bacc6,,THOTA NARASIMHAM,1099999,1,,Andhra Pradesh,514402,2014,,,,,
drpandularavindrababu,Amalapuram,Telugu Desam,,,#4bacc6,,DR PANDULA RAVINDRA BABU,1120927,1,,Andhra Pradesh,594547,2014,,,,,
magantivenkateswararaobabu,Eluru,Telugu Desam,,,#4bacc6,,MAGANTI VENKATESWARA RAO (BABU),1201696,1,,Andhra Pradesh,623471,2014,,,,,
kesinenisrinivas,Vijayawada,Telugu Desam,,,#4bacc6,,KESINENI SRINIVAS,1195075,1,,Andhra Pradesh,592696,2014,,,,,
sambasivaraorayapati,Narasaraopet,Telugu Desam,,,#4bacc6,,SAMBASIVA RAO RAYAPATI,1282058,1,,Andhra Pradesh,632464,2014,,,,,
yvsubbareddy,Ongole,Yuvajana Sramika Rythu Congress Party,,,#999,,Y.V.SUBBA REDDY,1208225,1,,Andhra Pradesh,589960,2014,,,,,
jcdivakarreddi,Anantapur,Telugu Desam,,,#4bacc6,,J.C. DIVAKAR REDDI,1205054,1,,Andhra Pradesh,606509,2014,,,,,
ysavinashreddy,Kadapa,Yuvajana Sramika Rythu Congress Party,,,#999,,Y.S. AVINASH REDDY,1200662,1,,Andhra Pradesh,671983,2014,,,,,
