name,state,pc,party,age,category,color,electors,polled_votes,rank,sex,votes,year,poll_date,education,gender,assets,criminal_cases
godamnagesh,Andhra Pradesh,Adilabad,Telangana Rashtra Samithi,49,GEN,#999,,1045839,1,,430847,2014,30-04-2014,Post Graduate,Male,10378857,0
balkasuman,Andhra Pradesh,Peddapalle,Telangana Rashtra Samithi,31,GEN,#999,,1022184,1,,565496,2014,30-04-2014,Post Graduate,Male,7351329,1
vinodkumarboinapally,Andhra Pradesh,Karimnagar,Telangana Rashtra Samithi,54,GEN,#999,,1125691,1,,505783,2014,30-04-2014,Graduate Professional,Male,97275990,0
kalvakuntlakavitha,Andhra Pradesh,Nizamabad,Telangana Rashtra Samithi,36,GEN,#999,,1033924,1,,439307,2014,30-04-2014,Graduate Professional,Female,61955750,8
bbpatil,Andhra Pradesh,Zahirabad,Telangana Rashtra Samithi,58,GEN,#999,,1094806,1,,508661,2014,30-04-2014,Graduate,Male,1023173039,0
kalvakuntlachandrasekharrao,Andhra Pradesh,Medak,Telangana Rashtra Samithi,,,#999,,1191096,1,,657492,2014,,,,,
chmallareddy,Andhra Pradesh,Malkajgiri,Telugu Desam,56,GEN,#4bacc6,,1620397,1,,523336,2014,30-04-2014,12th,Male,488525332,0
bandarudattatreya,Andhra Pradesh,Secundrabad,Bharatiya Janata Party,,,#FB7B0D,,1003769,1,,438271,2014,,,,,
asaduddinowaisi,Andhra Pradesh,Hyderabad,All India Majlis-E-Ittehadul Muslimeen,43,GEN,#999,,971421,1,,513868,2014,30-04-2014,Graduate Professional,Male,40611099,4
kondavishweshwarreddy,Andhra Pradesh,Chelvella,Telangana Rashtra Samithi,,,#999,,1315862,1,,435077,2014,,,,,
apjithenderreddy,Andhra Pradesh,Mahbubnagar,Telangana Rashtra Samithi,60,GEN,#999,,1014800,1,,334228,2014,30-04-2014,Graduate,Male,140831576,4
yellaiahnandi,Andhra Pradesh,Nagarkurnool,Indian National Congress,,,#019733,,1108968,1,,420075,2014,,,,,
guthasukhenderreddy,Andhra Pradesh,Nalgonda,Indian National Congress,60,GEN,#019733,,1189399,1,,472093,2014,30-04-2014,12th,Male,85907866,1
drbooranarsaiahgoud,Andhra Pradesh,Bhongir,Telangana Rashtra Samithi,,,#999,,1211943,1,,448245,2014,,,,,
kadiyamsrihari,Andhra Pradesh,Warangal,Telangana Rashtra Samithi,63,GEN,#999,,1174631,1,,661639,2014,30-04-2014,Post Graduate,Male,13495000,6
profazmeeraseetaramnaik,Andhra Pradesh,Mahabubabad,Telangana Rashtra Samithi,56,GEN,#999,,1124370,1,,320569,2014,30-04-2014,Doctorate,Male,8008000,0
ponguletisrinivasareddy,Andhra Pradesh,Khammam,Yuvajana Sramika Rythu Congress Party,48,GEN,#999,,1182897,1,,421957,2014,30-04-2014,12th,Male,346150516,0
kothapalligeetha,Andhra Pradesh,Aruku,Yuvajana Sramika Rythu Congress Party,,,#999,,909614,1,,413191,2014,,,,,
rammohannaidukinjarapu,Andhra Pradesh,Srikakulam,Telugu Desam,27,GEN,#4bacc6,,1051446,1,,556163,2014,07-05-2014,Post Graduate,Male,84173423,0
ashokgajapathirajupusapati,Andhra Pradesh,Vizianagaram,Telugu Desam,62,GEN,#4bacc6,,1120316,1,,536549,2014,07-05-2014,10th,Male,39054905,0
kambhampatiharibabu,Andhra Pradesh,Visakhapatnam,Bharatiya Janata Party,,,#FB7B0D,,1163558,1,,566832,2014,,,,,
muttamsettisrinivasaraoavanthi,Andhra Pradesh,Anakapalli,Telugu Desam,,,#4bacc6,,1148072,1,,568463,2014,,,,,
thotanarasimham,Andhra Pradesh,Kakinada,Telugu Desam,,,#4bacc6,,1099999,1,,514402,2014,,,,,
drpandularavindrababu,Andhra Pradesh,Amalapuram,Telugu Desam,,,#4bacc6,,1120927,1,,594547,2014,,,,,
muralimohanmaganti,Andhra Pradesh,Rajahmundry,Telugu Desam,73,GEN,#4bacc6,,1154381,1,,630573,2014,07-05-2014,12th,Male,180822216,1
gokarajugangaraju,Andhra Pradesh,Narsapuram,Bharatiya Janata Party,69,GEN,#FB7B0D,,1088951,1,,540306,2014,07-05-2014,Graduate,Male,2883567122,1
magantivenkateswararaobabu,Andhra Pradesh,Eluru,Telugu Desam,,,#4bacc6,,1201696,1,,623471,2014,,,,,
konakallanarayanarao,Andhra Pradesh,Machilipatnam,Telugu Desam,64,GEN,#4bacc6,,1141065,1,,587280,2014,07-05-2014,12th,Male,34850000,0
kesinenisrinivas,Andhra Pradesh,Vijayawada,Telugu Desam,,,#4bacc6,,1195075,1,,592696,2014,,,,,
jayadevgalla,Andhra Pradesh,Guntur,Telugu Desam,48,GEN,#4bacc6,,1244926,1,,618417,2014,07-05-2014,Graduate,Male,6830581361,0
sambasivaraorayapati,Andhra Pradesh,Narasaraopet,Telugu Desam,,,#4bacc6,,1282058,1,,632464,2014,,,,,
malyadrisriram,Andhra Pradesh,Bapatla,Telugu Desam,60,GEN,#4bacc6,,1184634,1,,578145,2014,07-05-2014,Post Graduate,Male,45359744,0
yvsubbareddy,Andhra Pradesh,Ongole,Yuvajana Sramika Rythu Congress Party,,,#999,,1208225,1,,589960,2014,,,,,
spyreddy,Andhra Pradesh,Nandyal,Yuvajana Sramika Rythu Congress Party,64,GEN,#999,,1204956,1,,622411,2014,07-05-2014,Graduate,Male,219578079,2
buttarenuka,Andhra Pradesh,Kurnool,Yuvajana Sramika Rythu Congress Party,42,GEN,#999,,1065732,1,,472782,2014,07-05-2014,10th,Female,2426240513,1
jcdivakarreddi,Andhra Pradesh,Anantapur,Telugu Desam,,,#4bacc6,,1205054,1,,606509,2014,,,,,
kristappanimmala,Andhra Pradesh,Hindupur,Telugu Desam,57,GEN,#4bacc6,,1177257,1,,604291,2014,07-05-2014,Graduate,Male,35793637,2
ysavinashreddy,Andhra Pradesh,Kadapa,Yuvajana Sramika Rythu Congress Party,,,#999,,1200662,1,,671983,2014,,,,,
mekapatirajamohanreddy,Andhra Pradesh,Nellore,Yuvajana Sramika Rythu Congress Party,69,GEN,#999,,1187648,1,,576396,2014,07-05-2014,Graduate Professional,Male,361746068,2
varaprasadraovelagapalli,Andhra Pradesh,Tirupati,Yuvajana Sramika Rythu Congress Party,61,GEN,#999,,1213064,1,,580376,2014,07-05-2014,Doctorate,Male,129128388,0
pvmidhunreddy,Andhra Pradesh,Rajampet,Yuvajana Sramika Rythu Congress Party,36,GEN,#999,,1158317,1,,601752,2014,07-05-2014,Post Graduate,Male,225984036,1
naramallisivaprasad,Andhra Pradesh,Chittoor,Telugu Desam,62,GEN,#4bacc6,,1198915,1,,594862,2014,07-05-2014,Graduate Professional,Male,14878003,0
kirenrijiju,Arunachal Pradesh,Arunachal West,Bharatiya Janata Party,42,GEN,#FB7B0D,,335665,1,,169367,2014,09-04-2014,Graduate,Male,12539868,0
ninongering,Arunachal Pradesh,Arunachal East,Indian National Congress,55,GEN,#019733,,261291,1,,118455,2014,09-04-2014,Graduate,Male,88065000,0
radheshyambiswas,Assam,Karimganj,All India United Democratic Front,59,GEN,#999,,886920,1,,362866,2014,12-04-2014,12th,Male,7068281,0
sushmitadev,Assam,Silchar,Indian National Congress,41,GEN,#019733,,799830,1,,336451,2014,12-04-2014,Post Graduate,Female,87495844,1
birensinghengti,Assam,Autonomous District,Indian National Congress,74,GEN,#019733,,543280,1,,213152,2014,12-04-2014,Post Graduate,Male,35367390,0
badruddinajmal,Assam,Dhubri,All India United Democratic Front,50,GEN,#999,,1369624,1,,592569,2014,24-04-2014,Others,Male,432748134,1
nabakumarsaraniahira,Assam,Kokrajhar,Independent,,,#95b3d7,,1223869,1,,634428,2014,,,,,
sirajuddinajmal,Assam,Barpeta,All India United Democratic Front,57,GEN,#999,,1205863,1,,394702,2014,24-04-2014,Graduate,Male,670806607,0
bijoyachakravarty,Assam,Gauhati,Bharatiya Janata Party,,,#FB7B0D,,1511729,1,,764985,2014,,,,,
ramendeka,Assam,Mangaldoi,Bharatiya Janata Party,59,GEN,#FB7B0D,,1233237,1,,486357,2014,24-04-2014,Graduate,Male,14782357,0
ramprasadsarmah,Assam,Tezpur,Bharatiya Janata Party,,,#FB7B0D,,980688,1,,446511,2014,,,,,
rajengohain,Assam,Nowgong,Bharatiya Janata Party,63,GEN,#FB7B0D,,1230074,1,,494146,2014,24-04-2014,Graduate Professional,Male,24736544,1
gouravgogoi,Assam,Kaliabor,Indian National Congress,31,GEN,#019733,,1166490,1,,443315,2014,07-04-2014,Post Graduate,Male,5473199,0
kamakhyaprasadtasa,Assam,Jorhat,Bharatiya Janata Party,38,GEN,#FB7B0D,,931336,1,,456420,2014,07-04-2014,Post Graduate,Male,1694785,0
rameswarteli,Assam,Dibrugarh,Bharatiya Janata Party,,,#FB7B0D,,890968,1,,494364,2014,,,,,
sarbanandasonowal,Assam,Lakhimpur,Bharatiya Janata Party,52,GEN,#FB7B0D,,1111975,1,,612543,2014,07-04-2014,Graduate Professional,Male,14497515,0
satishchandradubey,Bihar,Valmiki Nagar,Bharatiya Janata Party,,,#FB7B0D,,900114,1,,364011,2014,,,,,
drsanjayjaiswal,Bihar,Paschim Champaran,Bharatiya Janata Party,,,#FB7B0D,,854800,1,,371232,2014,,,,,
radhamohansingh,Bihar,Purvi Champaran,Bharatiya Janata Party,64,GEN,#FB7B0D,,822671,1,,400452,2014,12-05-2014,Graduate,Male,22558073,0
ramadevi,Bihar,Sheohar,Bharatiya Janata Party,65,GEN,#FB7B0D,,842894,1,,372506,2014,07-05-2014,Post Graduate,Female,308591850,5
ramkumarsharma,Bihar,Sitamarhi,Rashtriya Lok Samta Party,50,GEN,#999,,900588,1,,411265,2014,07-05-2014,Post Graduate,Male,9265000,0
hukmdeonarayanyadav,Bihar,Madhubani,Bharatiya Janata Party,,,#FB7B0D,,860453,1,,358040,2014,,,,,
birendrakumarchaudhary,Bihar,Jhanjharpur,Bharatiya Janata Party,60,GEN,#FB7B0D,,941249,1,,335481,2014,30-04-2014,Post Graduate,Male,5158792,0
ranjeetranjan,Bihar,Supaul,Indian National Congress,41,GEN,#019733,,970528,1,,332927,2014,24-04-2014,12th,Female,81242965,5
tasleemuddin,Bihar,Araria,Rashtriya Janata Dal,,,#999,,975811,1,,407978,2014,,,,,
mohammadasrarulhaque,Bihar,Kishanganj,Indian National Congress,67,GEN,#019733,,928490,1,,493461,2014,24-04-2014,Post Graduate,Male,4616629,2
tariqanwar,Bihar,Katihar,Nationalist Congress Party,,,#999,,977830,1,,431292,2014,,,,,
santoshkumar,Bihar,Purnia,Janata Dal  (United),35,GEN,#8064a2,,1017732,1,,418826,2014,24-04-2014,12th,Male,22316594,3
rajeshranjan@pappuyadav,Bihar,Madhepura,Rashtriya Janata Dal,,,#999,,1034799,1,,368937,2014,,,,,
kirtiazad,Bihar,Darbhanga,Bharatiya Janata Party,55,GEN,#FB7B0D,,828342,1,,314949,2014,30-04-2014,Graduate,Male,28531267,4
ajaynishad,Bihar,Muzaffarpur,Bharatiya Janata Party,45,GEN,#FB7B0D,,948887,1,,469295,2014,07-05-2014,Graduate,Male,145712654,0
ramakishoresingh,Bihar,Vaishali,Lok Jan Shakti Party,51,GEN,#999,,925937,1,,305450,2014,12-05-2014,Graduate,Male,21610218,4
janakram,Bihar,Gopalganj (Sc),Bharatiya Janata Party,,,#FB7B0D,,903583,1,,478773,2014,,,,,
omprakashyadav,Bihar,Siwan,Bharatiya Janata Party,48,GEN,#FB7B0D,,884021,1,,372670,2014,12-05-2014,Graduate,Male,2213023,1
pankaj,Uttar Pradesh,Maharajganj,Bharatiya Janata Party,44,GEN,#FB7B0D,,1902732,1,,471542,2014,12-05-2014,12th,Male,191819151,0
rajivprataprudy,Bihar,Saran,Bharatiya Janata Party,53,GEN,#FB7B0D,,863254,1,,355120,2014,07-05-2014,Post Graduate,Male,62545997,1
ramvilaspaswan,Bihar,Hajipur (Sc),Lok Jan Shakti Party,,,#999,,904753,1,,455652,2014,,,,,
nityanandrai,Bihar,Ujiarpur,Bharatiya Janata Party,48,GEN,#FB7B0D,,858920,1,,317352,2014,07-05-2014,Graduate,Male,146743540,1
ramchandrapaswan,Bihar,Samastipur (Sc),Lok Jan Shakti Party,,,#999,,863199,1,,270401,2014,,,,,
bholasingh,Bihar,Begusarai,Bharatiya Janata Party,75,GEN,#FB7B0D,,1077855,1,,428227,2014,30-04-2014,Doctorate,Male,25248102,0
choudharymahboobalikaiser,Bihar,Khagaria,Lok Jan Shakti Party,47,GEN,#999,,896231,1,,313806,2014,30-04-2014,Graduate,Male,66569502,1
shaileshkumarurphbulomandal,Bihar,Bhagalpur,Rashtriya Janata Dal,38,GEN,#999,,974016,1,,367623,2014,24-04-2014,12th,Male,20216734,1
jaiprakashnarayanyadav,Bihar,Banka,Rashtriya Janata Dal,60,GEN,#999,,899353,1,,285150,2014,24-04-2014,Post Graduate,Male,27846274,2
veenadevi,Bihar,Munger,Lok Jan Shakti Party,41,GEN,#999,,914350,1,,352911,2014,17-04-2014,8th,Female,31162836,0
kaushlendrakumar,Bihar,Nalanda,Janata Dal  (United),49,GEN,#8064a2,,921761,1,,321982,2014,17-04-2014,12th,Male,11815717,0
shatrughanasinha,Bihar,Patna Sahib,Bharatiya Janata Party,,,#FB7B0D,,882262,1,,485905,2014,,,,,
ramkripalyadav,Bihar,Pataliputra,Bharatiya Janata Party,53,GEN,#FB7B0D,,978649,1,,383262,2014,17-04-2014,Graduate,Male,13989431,1
rajkumarsingh,Bihar,Arrah,Bharatiya Janata Party,61,GEN,#FB7B0D,,893213,1,,391074,2014,17-04-2014,Graduate Professional,Male,48403293,0
ashwinikumarchoubey,Bihar,Buxar,Bharatiya Janata Party,61,GEN,#FB7B0D,,888204,1,,319012,2014,17-04-2014,Graduate,Male,22094499,0
chhedipaswan,Bihar,Sasaram (Sc),Bharatiya Janata Party,,,#FB7B0D,,846788,1,,366087,2014,,,,,
upendrakushwaha,Bihar,Karakat,Rashtriya Lok Samta Party,51,GEN,#999,,789927,1,,338892,2014,10-04-2014,Post Graduate,Male,24829741,4
drarunkumar,Bihar,Jahanabad,Rashtriya Lok Samta Party,55,GEN,#999,,811516,1,,322647,2014,17-04-2014,Doctorate,Male,38846631,1
chandrakantbhauraokhaire,Maharashtra,Aurangabad,Shivsena,62,GEN,#F05A00,,1769207,1,,520902,2014,24-04-2014,12th,Male,90614560,8
harimanjhi,Bihar,Gaya (Sc),Bharatiya Janata Party,,,#FB7B0D,,809378,1,,326230,2014,,,,,
girirajsingh,Bihar,Nawada,Bharatiya Janata Party,61,GEN,#FB7B0D,,884441,1,,390248,2014,10-04-2014,Graduate,Male,50054771,1
chiragkumarpaswan,Bihar,Jamui (Sc),Lok Jan Shakti Party,,,#999,,775639,1,,285354,2014,,,,,
