sub_name,pc,party,age,category,color,electors,name,polled_votes,rank,sex,state,votes,year,poll_date,education,gender,assets,criminal_cases
godamnagesh,Adilabad,Telangana Rashtra Samithi,49,GEN,#999,,GODAM NAGESH,1045839,1,,Andhra Pradesh,430847,2014,30-04-2014,Post Graduate,Male,10378857,0
balkasuman,Peddapalle,Telangana Rashtra Samithi,31,GEN,#999,,BALKA SUMAN,1022184,1,,Andhra Pradesh,565496,2014,30-04-2014,Post Graduate,Male,7351329,1
vinodkumarboinapally,Karimnagar,Telangana Rashtra Samithi,54,GEN,#999,,VINOD KUMAR BOINAPALLY,1125691,1,,Andhra Pradesh,505783,2014,30-04-2014,Graduate Professional,Male,97275990,0
kalvakuntlakavitha,Nizamabad,Telangana Rashtra Samithi,36,GEN,#999,,KALVAKUNTLA KAVITHA,1033924,1,,Andhra Pradesh,439307,2014,30-04-2014,Graduate Professional,Female,61955750,8
bbpatil,Zahirabad,Telangana Rashtra Samithi,58,GEN,#999,,B.B. PATIL,1094806,1,,Andhra Pradesh,508661,2014,30-04-2014,Graduate,Male,1023173039,0
kalvakuntlachandrasekharrao,Medak,Telangana Rashtra Samithi,,,#999,,KALVAKUNTLA CHANDRASEKHAR RAO,1191096,1,,Andhra Pradesh,657492,2014,,,,,
chmallareddy,Malkajgiri,Telugu Desam,56,GEN,#4bacc6,,CH.MALLA REDDY,1620397,1,,Andhra Pradesh,523336,2014,30-04-2014,12th,Male,488525332,0
bandarudattatreya,Secundrabad,Bharatiya Janata Party,66,GEN,#FB7B0D,,BANDARU DATTATREYA,1003769,1,,Andhra Pradesh,438271,2014,30-04-2014,Graduate,Male,98255148,3
asaduddinowaisi,Hyderabad,All India Majlis-E-Ittehadul Muslimeen,43,GEN,#999,,ASADUDDIN OWAISI,971421,1,,Andhra Pradesh,513868,2014,30-04-2014,Graduate Professional,Male,40611099,4
kondavishweshwarreddy,Chelvella,Telangana Rashtra Samithi,54,GEN,#999,,KONDA VISHWESHWAR REDDY,1315862,1,,Andhra Pradesh,435077,2014,30-04-2014,Post Graduate,Male,5286230210,0
apjithenderreddy,Mahbubnagar,Telangana Rashtra Samithi,60,GEN,#999,,AP JITHENDER REDDY,1014800,1,,Andhra Pradesh,334228,2014,30-04-2014,Graduate,Male,140831576,4
yellaiahnandi,Nagarkurnool,Indian National Congress,,,#019733,,YELLAIAH NANDI,1108968,1,,Andhra Pradesh,420075,2014,,,,,
