state,pc,party,name,age,category,color,electors,polled_votes,rank,sex,votes,year,poll_date,education,gender,assets,criminal_cases
Andhra Pradesh,Medak,Telangana Rashtra Samithi,kalvakuntlachandrasekharrao,60,GEN,#999,,1191096,1,,657492,2014,30-04-2014,Graduate,Male,151582464,2
Andhra Pradesh,Secundrabad,Bharatiya Janata Party,bandarudattatreya,,,#FB7B0D,,1003769,1,,438271,2014,,,,,
Andhra Pradesh,Chelvella,Telangana Rashtra Samithi,kondavishweshwarreddy,,,#999,,1315862,1,,435077,2014,,,,,
Andhra Pradesh,Nagarkurnool,Indian National Congress,yellaiahnandi,71,GEN,#019733,,1108968,1,,420075,2014,30-04-2014,Graduate,Male,7048969,0
Andhra Pradesh,Bhongir,Telangana Rashtra Samithi,drbooranarsaiahgoud,55,GEN,#999,,1211943,1,,448245,2014,30-04-2014,Post Graduate,Male,202983225,0
Andhra Pradesh,Aruku,Yuvajana Sramika Rythu Congress Party,kothapalligeetha,,,#999,,909614,1,,413191,2014,,,,,
Andhra Pradesh,Visakhapatnam,Bharatiya Janata Party,kambhampatiharibabu,60,GEN,#FB7B0D,,1163558,1,,566832,2014,07-05-2014,Doctorate,Male,90103580,0
Andhra Pradesh,Anakapalli,Telugu Desam,muttamsettisrinivasaraoavanthi,,,#4bacc6,,1148072,1,,568463,2014,,,,,
Andhra Pradesh,Kakinada,Telugu Desam,thotanarasimham,53,GEN,#4bacc6,,1099999,1,,514402,2014,07-05-2014,Graduate,Male,17495976,0
Andhra Pradesh,Amalapuram,Telugu Desam,drpandularavindrababu,58,GEN,#4bacc6,,1120927,1,,594547,2014,07-05-2014,Graduate Professional,Male,27131000,0
Andhra Pradesh,Eluru,Telugu Desam,magantivenkateswararaobabu,54,GEN,#4bacc6,,1201696,1,,623471,2014,07-05-2014,10th,Male,129394729,2
Andhra Pradesh,Vijayawada,Telugu Desam,kesinenisrinivas,48,GEN,#4bacc6,,1195075,1,,592696,2014,07-05-2014,10th,Male,1284122669,3
Andhra Pradesh,Narasaraopet,Telugu Desam,sambasivaraorayapati,70,GEN,#4bacc6,,1282058,1,,632464,2014,07-05-2014,Graduate,Male,595838093,2
Andhra Pradesh,Ongole,Yuvajana Sramika Rythu Congress Party,yvsubbareddy,53,GEN,#999,,1208225,1,,589960,2014,07-05-2014,Post Graduate,Male,735451548,0
Andhra Pradesh,Anantapur,Telugu Desam,jcdivakarreddi,70,GEN,#4bacc6,,1205054,1,,606509,2014,07-05-2014,12th,Male,226481020,0
Andhra Pradesh,Kadapa,Yuvajana Sramika Rythu Congress Party,ysavinashreddy,29,GEN,#999,,1200662,1,,671983,2014,07-05-2014,Post Graduate,Male,70480623,1
