pc,party,sub_name,age,category,color,electors,name,polled_votes,rank,sex,state,votes,year,poll_date,education,gender,assets,criminal_cases
Medak,Telangana Rashtra Samithi,kalvakuntlachandrasekharrao,60,GEN,#999,,KALVAKUNTLA CHANDRASEKHAR RAO,1191096,1,,Andhra Pradesh,657492,2014,30-04-2014,Graduate,Male,151582464,2
Nagarkurnool,Indian National Congress,yellaiahnandi,71,GEN,#019733,,YELLAIAH NANDI,1108968,1,,Andhra Pradesh,420075,2014,30-04-2014,Graduate,Male,7048969,0
Bhongir,Telangana Rashtra Samithi,drbooranarsaiahgoud,55,GEN,#999,,DR. BOORA NARSAIAH GOUD,1211943,1,,Andhra Pradesh,448245,2014,30-04-2014,Post Graduate,Male,202983225,0
Visakhapatnam,Bharatiya Janata Party,kambhampatiharibabu,60,GEN,#FB7B0D,,KAMBHAMPATI HARI BABU,1163558,1,,Andhra Pradesh,566832,2014,07-05-2014,Doctorate,Male,90103580,0
Anakapalli,Telugu Desam,muttamsettisrinivasaraoavanthi,47,GEN,#4bacc6,,MUTTAMSETTI SRINIVASA RAO (AVANTHI),1148072,1,,Andhra Pradesh,568463,2014,07-05-2014,Illiterate,Male,213294327,1
Kakinada,Telugu Desam,thotanarasimham,53,GEN,#4bacc6,,THOTA NARASIMHAM,1099999,1,,Andhra Pradesh,514402,2014,07-05-2014,Graduate,Male,17495976,0
Amalapuram,Telugu Desam,drpandularavindrababu,58,GEN,#4bacc6,,DR PANDULA RAVINDRA BABU,1120927,1,,Andhra Pradesh,594547,2014,07-05-2014,Graduate Professional,Male,27131000,0
Eluru,Telugu Desam,magantivenkateswararaobabu,54,GEN,#4bacc6,,MAGANTI VENKATESWARA RAO (BABU),1201696,1,,Andhra Pradesh,623471,2014,07-05-2014,10th,Male,129394729,2
Vijayawada,Telugu Desam,kesinenisrinivas,48,GEN,#4bacc6,,KESINENI SRINIVAS,1195075,1,,Andhra Pradesh,592696,2014,07-05-2014,10th,Male,1284122669,3
Narasaraopet,Telugu Desam,sambasivaraorayapati,70,GEN,#4bacc6,,SAMBASIVA RAO RAYAPATI,1282058,1,,Andhra Pradesh,632464,2014,07-05-2014,Graduate,Male,595838093,2
Ongole,Yuvajana Sramika Rythu Congress Party,yvsubbareddy,53,GEN,#999,,Y.V.SUBBA REDDY,1208225,1,,Andhra Pradesh,589960,2014,07-05-2014,Post Graduate,Male,735451548,0
Anantapur,Telugu Desam,jcdivakarreddi,70,GEN,#4bacc6,,J.C. DIVAKAR REDDI,1205054,1,,Andhra Pradesh,606509,2014,07-05-2014,12th,Male,226481020,0
