age,category,color,electors,name,party,pc,polled_votes,rank,sex,state,votes,year
,,#999,,GODAM NAGESH,Telangana Rashtra Samithi,ADILABAD,1045839,1,,Andhra Pradesh,430847,2014
,,#999,,BALKA SUMAN,Telangana Rashtra Samithi,PEDDAPALLE,1022184,1,,Andhra Pradesh,565496,2014
,,#999,,VINOD KUMAR BOINAPALLY,Telangana Rashtra Samithi,KARIMNAGAR,1125691,1,,Andhra Pradesh,505783,2014
,,#999,,KALVAKUNTLA KAVITHA,Telangana Rashtra Samithi,NIZAMABAD,1033924,1,,Andhra Pradesh,439307,2014
,,#999,,B.B. PATIL,Telangana Rashtra Samithi,ZAHIRABAD,1094806,1,,Andhra Pradesh,508661,2014
,,#999,,KALVAKUNTLA CHANDRASEKHAR RAO,Telangana Rashtra Samithi,MEDAK,1191096,1,,Andhra Pradesh,657492,2014
,,#4bacc6,,CH.MALLA REDDY,Telugu Desam,MALKAJGIRI,1620397,1,,Andhra Pradesh,523336,2014
,,#FB7B0D,,BANDARU DATTATREYA,Bharatiya Janata Party,SECUNDRABAD,1003769,1,,Andhra Pradesh,438271,2014
,,#999,,ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen,HYDERABAD,971421,1,,Andhra Pradesh,513868,2014
,,#999,,KONDA VISHWESHWAR REDDY,Telangana Rashtra Samithi,CHELVELLA,1315862,1,,Andhra Pradesh,435077,2014
,,#999,,AP JITHENDER REDDY,Telangana Rashtra Samithi,MAHBUBNAGAR,1014800,1,,Andhra Pradesh,334228,2014
,,#019733,,YELLAIAH NANDI,Indian National Congress,NAGARKURNOOL,1108968,1,,Andhra Pradesh,420075,2014
,,#019733,,GUTHA SUKHENDER REDDY,Indian National Congress,NALGONDA,1189399,1,,Andhra Pradesh,472093,2014
,,#999,,DR. BOORA NARSAIAH GOUD,Telangana Rashtra Samithi,BHONGIR,1211943,1,,Andhra Pradesh,448245,2014
,,#999,,KADIYAM SRIHARI,Telangana Rashtra Samithi,WARANGAL,1174631,1,,Andhra Pradesh,661639,2014
,,#999,,PROF. AZMEERA SEETARAM NAIK,Telangana Rashtra Samithi,MAHABUBABAD,1124370,1,,Andhra Pradesh,320569,2014
,,#999,,PONGULETI  SRINIVASA REDDY,Yuvajana Sramika Rythu Congress Party,KHAMMAM,1182897,1,,Andhra Pradesh,421957,2014
,,#999,,KOTHAPALLI GEETHA,Yuvajana Sramika Rythu Congress Party,ARUKU,909614,1,,Andhra Pradesh,413191,2014
,,#4bacc6,,RAMMOHAN NAIDU KINJARAPU,Telugu Desam,SRIKAKULAM,1051446,1,,Andhra Pradesh,556163,2014
,,#4bacc6,,ASHOK GAJAPATHI RAJU PUSAPATI,Telugu Desam,VIZIANAGARAM,1120316,1,,Andhra Pradesh,536549,2014
,,#FB7B0D,,KAMBHAMPATI HARI BABU,Bharatiya Janata Party,VISAKHAPATNAM,1163558,1,,Andhra Pradesh,566832,2014
,,#4bacc6,,MUTTAMSETTI SRINIVASA RAO (AVANTHI),Telugu Desam,ANAKAPALLI,1148072,1,,Andhra Pradesh,568463,2014
,,#4bacc6,,THOTA NARASIMHAM,Telugu Desam,KAKINADA,1099999,1,,Andhra Pradesh,514402,2014
,,#4bacc6,,DR PANDULA RAVINDRA BABU,Telugu Desam,AMALAPURAM,1120927,1,,Andhra Pradesh,594547,2014
,,#4bacc6,,MURALI MOHAN MAGANTI,Telugu Desam,RAJAHMUNDRY,1154381,1,,Andhra Pradesh,630573,2014
,,#FB7B0D,,GOKARAJU GANGA RAJU,Bharatiya Janata Party,NARSAPURAM,1088951,1,,Andhra Pradesh,540306,2014
,,#4bacc6,,MAGANTI VENKATESWARA RAO (BABU),Telugu Desam,ELURU,1201696,1,,Andhra Pradesh,623471,2014
,,#4bacc6,,KONAKALLA NARAYANA RAO,Telugu Desam,MACHILIPATNAM,1141065,1,,Andhra Pradesh,587280,2014
,,#4bacc6,,KESINENI SRINIVAS,Telugu Desam,VIJAYAWADA,1195075,1,,Andhra Pradesh,592696,2014
,,#4bacc6,,JAYADEV GALLA,Telugu Desam,GUNTUR,1244926,1,,Andhra Pradesh,618417,2014
,,#4bacc6,,SAMBASIVA RAO RAYAPATI,Telugu Desam,NARASARAOPET,1282058,1,,Andhra Pradesh,632464,2014
,,#4bacc6,,MALYADRI SRIRAM,Telugu Desam,BAPATLA,1184634,1,,Andhra Pradesh,578145,2014
,,#999,,Y.V.SUBBA REDDY,Yuvajana Sramika Rythu Congress Party,ONGOLE,1208225,1,,Andhra Pradesh,589960,2014
,,#999,,S.P.Y REDDY,Yuvajana Sramika Rythu Congress Party,NANDYAL,1204956,1,,Andhra Pradesh,622411,2014
,,#999,,BUTTA RENUKA,Yuvajana Sramika Rythu Congress Party,KURNOOL,1065732,1,,Andhra Pradesh,472782,2014
,,#4bacc6,,J.C. DIVAKAR REDDI,Telugu Desam,ANANTAPUR,1205054,1,,Andhra Pradesh,606509,2014
,,#4bacc6,,KRISTAPPA NIMMALA,Telugu Desam,HINDUPUR,1177257,1,,Andhra Pradesh,604291,2014
,,#999,,Y.S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,KADAPA,1200662,1,,Andhra Pradesh,671983,2014
,,#999,,MEKAPATI RAJAMOHAN REDDY,Yuvajana Sramika Rythu Congress Party,NELLORE,1187648,1,,Andhra Pradesh,576396,2014
,,#999,,VARAPRASAD RAO VELAGAPALLI,Yuvajana Sramika Rythu Congress Party,TIRUPATI,1213064,1,,Andhra Pradesh,580376,2014
,,#999,,P.V.MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,RAJAMPET,1158317,1,,Andhra Pradesh,601752,2014
,,#4bacc6,,NARAMALLI SIVAPRASAD,Telugu Desam,CHITTOOR,1198915,1,,Andhra Pradesh,594862,2014
,,#FB7B0D,,KIREN RIJIJU,Bharatiya Janata Party,ARUNACHAL WEST,335665,1,,Arunachal Pradesh,169367,2014
,,#019733,,NINONG ERING,Indian National Congress,ARUNACHAL EAST,261291,1,,Arunachal Pradesh,118455,2014
,,#999,,RADHESHYAM BISWAS,All India United Democratic Front,KARIMGANJ,886920,1,,Assam,362866,2014
,,#019733,,SUSHMITA DEV,Indian National Congress,SILCHAR,799830,1,,Assam,336451,2014
,,#019733,,BIREN SINGH ENGTI,Indian National Congress,AUTONOMOUS DISTRICT,543280,1,,Assam,213152,2014
,,#999,,BADRUDDIN AJMAL,All India United Democratic Front,DHUBRI,1369624,1,,Assam,592569,2014
,,#95b3d7,,NABA KUMAR SARANIA (HIRA),Independent,KOKRAJHAR,1223869,1,,Assam,634428,2014
,,#999,,SIRAJ UDDIN AJMAL,All India United Democratic Front,BARPETA,1205863,1,,Assam,394702,2014
,,#FB7B0D,,BIJOYA CHAKRAVARTY,Bharatiya Janata Party,GAUHATI,1511729,1,,Assam,764985,2014
,,#FB7B0D,,RAMEN DEKA,Bharatiya Janata Party,MANGALDOI,1233237,1,,Assam,486357,2014
,,#FB7B0D,,RAM PRASAD SARMAH,Bharatiya Janata Party,TEZPUR,980688,1,,Assam,446511,2014
