party,constituency,name,margin,state,votes,color
Janata Dal (United),Agiaon (SC),Prabhunath Prasad,14704,Bihar,52276,#594671
Janata Dal (United),Alamnagar,Narendra Narayan Yadav,43876,Bihar,87962,#594671
Rashtriya Janata Dal,Alauli (SC),Chandan Kumar,24470,Bihar,70519,#21610B
Rashtriya Janata Dal,Alinagar,Abdul Bari Siddiqui,13460,Bihar,67461,#21610B
Janata Dal (United),Amarpur,Janardan Manjhi,11773,Bihar,73707,#594671
Bharatiya Janata Party,Amnour,Shatrudhan Tiwary,5251,Bihar,39134,#FB7B0D
Indian National Congress,Amour,Abdul Jalil Mastan,51997,Bihar,100135,#019733
Indian National Congress,Araria,Avidur Rahman,40044,Bihar,92667,#019733
Rashtriya Janata Dal,Arrah,Mohammad Nawaz Alam,666,Bihar,70004,#21610B
Rashtriya Janata Dal,Arwal,Ravindra Singh,17810,Bihar,55295,#21610B
Janata Dal (United),Asthawan,Jitendra Kumar,10444,Bihar,58908,#594671
Rashtriya Janata Dal,Atri,Kunti Devi,13817,Bihar,60687,#21610B
Rashtriya Janata Dal,Aurai,Surendra Kumar,10825,Bihar,66958,#21610B
Indian National Congress,Aurangabad,Anand Shankar Singh,18398,Bihar,63637,#019733
Janata Dal (United),Babubarhi,Kapil Deo Kamat,20267,Bihar,61486,#594671
Indian National Congress,Bachhwara,Ramdeo Rai,36931,Bihar,73983,#019733
Bharatiya Janata Party,Bagaha,Raghaw Sharan Pandey,8183,Bihar,74476,#FB7B0D
Indian National Congress,Bahadurganj,M.D. Tauseef Alam,13942,Bihar,53533,#019733
Rashtriya Janata Dal,Bahadurpur,Bhola Yadav,16989,Bihar,71547,#21610B
Bharatiya Janata Party,Baikunthpur,Mithilesh Tiwari,14115,Bihar,56162,#FB7B0D
Rashtriya Janata Dal,Baisi,Abdus Subhan,38740,Bihar,67022,#21610B
Janata Dal (United),Bajpatti,Dr. Ranju Geeta,16946,Bihar,67194,#594671
Rashtriya Janata Dal,Bakhri (SC),Upendra Paswan,40256,Bihar,72632,#21610B
Bharatiya Janata Party,Bakhtiarpur,Ranvijay Singh,7902,Bihar,61496,#FB7B0D
Communist Party of India (Marxist-Leninist) (Liberation),Balrampur,Mahboob Alam,20419,Bihar,62513,#DE0000
Rashtriya Janata Dal,Baniapur,Kedar Nath Singh,15951,Bihar,69851,#21610B
Bharatiya Janata Party,Banka,Ram Narayan Mandal,3730,Bihar,52379,#FB7B0D
Bharatiya Janata Party,Bankipur,Nitin Naveen,39767,Bihar,86759,#FB7B0D
Bharatiya Janata Party,Banmankhi (SC),Krishna Kumar Rishi,708,Bihar,59053,#FB7B0D
Rashtriya Janata Dal,Barachatti (SC),Samta Devi,19126,Bihar,70909,#21610B
Rashtriya Janata Dal,Barari,Neeraj Kumar,14336,Bihar,71175,#21610B
Rashtriya Janata Dal,Barauli,Md Nematullah,504,Bihar,61690,#21610B
Indian National Congress,Barbigha,Sudarshan Kumar,15717,Bihar,46406,#019733
Bharatiya Janata Party,Barh,Gyanendra Kumar Singh,8359,Bihar,63989,#FB7B0D
Rashtriya Janata Dal,Barhara,Saroj Yadav,13308,Bihar,65001,#21610B
Janata Dal (United),Barharia,Shyam Bahadur Singh,14583,Bihar,65168,#594671
Rashtriya Janata Dal,Baruraj,Nand Kumar Rai,4909,Bihar,68011,#21610B
Bharatiya Janata Party,Bathnaha (SC),Dinkar Ram,20166,Bihar,74763,#FB7B0D
Indian National Congress,Begusarai,Amita Bhushan,16531,Bihar,83521,#019733
Rashtriya Janata Dal,Belaganj,Surendra Prasad Yadav,30341,Bihar,71067,#21610B
Janata Dal (United),Beldaur,Panna Lal Singh Patel,13525,Bihar,63216,#594671
Janata Dal (United),Belhar,Giridhari Yadav,16191,Bihar,70348,#594671
Janata Dal (United),Belsand,Sunita Singh Chauhan,5575,Bihar,33785,#594671
Indian National Congress,Benipatti,Bhawana Jha,4734,Bihar,55978,#019733
Janata Dal (United),Benipur,Sunil Choudhary,26443,Bihar,69511,#594671
Indian National Congress,Bettiah,Madan Mohan Tiwari,2320,Bihar,66786,#019733
Bharatiya Janata Party,Bhabua,Anand Bhushan Pandey,7744,Bihar,50768,#FB7B0D
Indian National Congress,Bhagalpur,Ajeet Sharma,10658,Bihar,70514,#019733
Indian National Congress,Bhorey (SC),Anil Kumar,14871,Bihar,74365,#019733
Janata Dal (United),Bibhutipur,Ram Balak Singh,17235,Bihar,57882,#594671
Janata Dal (United),Bihariganj,Niranjan Kumar Mehta,29253,Bihar,78361,#594671
Bharatiya Janata Party,Biharsharif,Dr.Sunil Kumar,2340,Bihar,76201,#FB7B0D
Rashtriya Janata Dal,Bihpur,Varsha Rani,12716,Bihar,68963,#21610B
Indian National Congress,Bikram,Siddharth,44311,Bihar,94088,#019733
Rashtriya Janata Dal,Bisfi,Faiyaz Ahmad,35325,Bihar,70975,#21610B
Independent,Bochaha (SC),Beby Kumari,24130,Bihar,67720,#95b3d7
Rashtriya Janata Dal,Bodh Gaya (SC),Kumar Sarvjeet,30473,Bihar,82656,#21610B
Rashtriya Janata Dal,Brahampur,Shambhu Nath Yadav,30776,Bihar,94079,#21610B
Indian National Congress,Buxar,Sanjay Kumar Tiwari Alias Munna Tiwari,10181,Bihar,66527,#019733
Bharatiya Janata Party,Chainpur,Brij Kishor Bind,671,Bihar,58913,#FB7B0D
Rashtriya Janata Dal,Chakai,Savitri Devi,12113,Bihar,47064,#21610B
Bharatiya Janata Party,Chanpatia,Prakash Rai,464,Bihar,61304,#FB7B0D
Bharatiya Janata Party,Chapra,Dr. C.N. Gupta,11379,Bihar,71646,#FB7B0D
Rashtriya Lok Samta Party,Chenari (SC),Lalan Paswan,9781,Bihar,68148,#999
Janata Dal (United),Cheria Bariarpur,Kumari Manju Verma,29736,Bihar,69795,#594671
Bharatiya Janata Party,Chhatapur,Niraj Kumar Singh,9292,Bihar,75697,#FB7B0D
Bharatiya Janata Party,Chiraia,Lal Babu Prasad Gupta,4374,Bihar,62831,#FB7B0D
Bharatiya Janata Party,Danapur,Asha Devi,5209,Bihar,72192,#FB7B0D
Communist Party of India (Marxist-Leninist) (Liberation),Darauli (SC),Satyadeo Ram,9584,Bihar,49576,#DE0000
Janata Dal (United),Daraundha,Kavita Singh,13222,Bihar,66255,#594671
Bharatiya Janata Party,Darbhanga,Sanjay Saraogi,7460,Bihar,77776,#FB7B0D
Rashtriya Janata Dal,Darbhanga Rural,Lalit Kumar Yadav,34491,Bihar,70557,#21610B
Rashtriya Janata Dal,Dehri,Mohammad Iliyas Hussain,3898,Bihar,49402,#21610B
Rashtriya Janata Dal,Dhaka,Faisal Rahman,19197,Bihar,87458,#21610B
Janata Dal (United),Dhamdaha,Leshi Singh,29817,Bihar,75400,#594671
Janata Dal (United),Dhauraiya (SC),Manish Kumar,24154,Bihar,68858,#594671
Bharatiya Janata Party,Digha,Sanjiv Chaurasia,24779,Bihar,92671,#FB7B0D
Janata Dal (United),Dinara,Jai Kumar Singh,2691,Bihar,64699,#594671
Janata Dal (United),Dumraon,Dadan Yadav,30339,Bihar,81081,#594671
Janata Dal (United),Ekma,Manoranjan Singh,8126,Bihar,49508,#594671
Rashtriya Janata Dal,Fatuha,Dr. Rama Nand Yadav,30402,Bihar,77210,#21610B
Bharatiya Janata Party,Forbesganj,Vidya Sagar Keshri,25238,Bihar,85929,#FB7B0D
Rashtriya Janata Dal,Gaighat,Maheshwar Prasad Yadav,3501,Bihar,67313,#21610B
Rashtriya Janata Dal,Garkha (SC),Muneshwar Chaudhary,39883,Bihar,89249,#21610B
Janata Dal (United),Gaura Bauram,Madan Sahni,14062,Bihar,51403,#594671
Bharatiya Janata Party,Gaya Town,Prem Kumar,22789,Bihar,66891,#FB7B0D
Janata Dal (United),Ghosi,Krishan Nandan Prasad Verma,21625,Bihar,67248,#594671
Indian National Congress,Gobindpur,Purnima Yadav,4399,Bihar,43016,#019733
Bharatiya Janata Party,Goh,Manoj Kumar,7672,Bihar,53615,#FB7B0D
Bharatiya Janata Party,Gopalganj,Subash Singh,5074,Bihar,78491,#FB7B0D
Janata Dal (United),Gopalpur,Narendra Kumar Niraj,5169,Bihar,57403,#594671
Rashtriya Janata Dal,Goriakothi,Satyadeo Prasad Singh,7651,Bihar,70965,#21610B
Lok Jan Shakti Party,Govindganj,Raju Tiwari,27920,Bihar,74685,#999
Bharatiya Janata Party,Gurua,Rajiv Nandan,6515,Bihar,56480,#FB7B0D
Bharatiya Janata Party,Hajipur,Awadhesh Singh,12195,Bihar,86773,#FB7B0D
Rashtriya Lok Samta Party,Harlakhi,Basant Kumar,3892,Bihar,40468,#999
Janata Dal (United),Harnaut,Hari Narayan Singh,14295,Bihar,71933,#594671
Rashtriya Janata Dal,Harsidhi (SC),Rajendra Kumar,10267,Bihar,75203,#21610B
Janata Dal (United),Hasanpur,Raj Kumar Ray,29600,Bihar,63094,#594671
Janata Dal (United),Hathua,Ramsewak Singh,22984,Bihar,57917,#594671
Janata Dal (United),Hayaghat,Amar Nath Gami,33231,Bihar,65677,#594671
Rashtriya Janata Dal,Hilsa,Atri Muni Urph Shakti Singh Yadav,26076,Bihar,72347,#21610B
Bharatiya Janata Party,Hisua,Anil Singh,12239,Bihar,82493,#FB7B0D
Hindustani Awam Morcha (Secular),Imamganj (SC),Jitan Ram Manjhi,29408,Bihar,79389,#999
Janata Dal (United),Islampur,Chandrasen Prasad,22602,Bihar,66587,#594671
Rashtriya Janata Dal,Jagdishpur,Ram Vishun Singh,10195,Bihar,49020,#21610B
Rashtriya Janata Dal,Jahanabad,Mundrika Singh Yadav,30321,Bihar,76458,#21610B
Bharatiya Janata Party,Jale,Jibesh Kumar,4620,Bihar,62059,#FB7B0D
Janata Dal (United),Jamalpur,Shailesh Kumar,15476,Bihar,67273,#594671
Rashtriya Janata Dal,Jamui,Vijay Prakash,8249,Bihar,66577,#21610B
Bharatiya Janata Party,Jhajha,Rabindra Yadav,22086,Bihar,65537,#FB7B0D
Rashtriya Janata Dal,Jhanjharpur,Gulab Yadav,834,Bihar,64320,#21610B
Janata Dal (United),Jokihat,Sarfraz Alam,53980,Bihar,92890,#594671
Indian National Congress,Kadwa,Shakeel Ahmad Khan,5799,Bihar,56141,#019733
Indian National Congress,Kahalgaon,Sadanand Singh,21229,Bihar,64981,#019733
Bharatiya Janata Party,Kalyanpur,Sachindra Prasad Singh,11488,Bihar,50060,#FB7B0D
Janata Dal (United),Kalyanpur (SC),Maheshwar Hazari,37686,Bihar,84904,#594671
Independent,Kanti,Ashok Kumar Choudhary (Sadatpur),9275,Bihar,58111,#95b3d7
Rashtriya Janata Dal,Karakat,Sanjay Kumar Singh,12119,Bihar,59720,#21610B
Janata Dal (United),Kargahar,Bashisht Singh,12907,Bihar,57018,#594671
Indian National Congress,Kasba,Md. Afaque Alam,1794,Bihar,81633,#019733
Bharatiya Janata Party,Katihar,Tarkishore Prasad,14894,Bihar,66048,#FB7B0D
Rashtriya Janata Dal,Katoria (ST),Sweety Sima Hembram,10337,Bihar,54760,#21610B
Rashtriya Janata Dal,Keoti,Faraz Fatmi,7830,Bihar,68601,#21610B
Rashtriya Janata Dal,Kesaria,Dr. Rajesh Kumar,15947,Bihar,62902,#21610B
Janata Dal (United),Khagaria,Poonam Devi Yadav,25565,Bihar,64767,#594671
Rashtriya Janata Dal,Khajauli,Sitaram Yadav,10703,Bihar,71534,#21610B
Indian National Congress,Kishanganj,Dr Mohammad Jawaid,8609,Bihar,66522,#019733
Janata Dal (United),Kochadhaman,Mujahid Alam,18843,Bihar,55929,#594671
Indian National Congress,Korha (SC),Punam Kumari Alias Punam Paswan,5426,Bihar,78409,#019733
Janata Dal (United),Kuchaikote,Amrendra Kumar Pandey,3562,Bihar,72224,#594671
Bharatiya Janata Party,Kumhrar,Arun Kumar Sinha,37275,Bihar,87792,#FB7B0D
Bharatiya Janata Party,Kurhani,Kedar Prasad Gupta,11570,Bihar,73227,#FB7B0D
Janata Dal (United),Kurtha,Satyadeo Singh,14119,Bihar,43676,#594671
Janata Dal (United),Kusheshwar Asthan (SC),Shashi Bhusan Hazari,19850,Bihar,50062,#594671
Indian National Congress,Kutumba (SC),Rajesh Kumar,10098,Bihar,51303,#019733
Bharatiya Janata Party,Lakhisarai,Vijay Kumar Sinha,6556,Bihar,75901,#FB7B0D
Lok Jan Shakti Party,Lalganj,Raj Kumar Sah,20293,Bihar,80842,#999
Janata Dal (United),Laukaha,Lakshmeshwar Roy,23833,Bihar,79971,#594671
