state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
35,000,State - ANDAMAN & NICOBAR ISLANDS (35),Total,All ages,380581,202871,177710,170177,98582,71595,192735,100341,92394,15561,3036,12525,1695,778,917,413,134,279,0,0,0
35,000,State - ANDAMAN & NICOBAR ISLANDS (35),Total,0-9,59208,30153,29055,59208,30153,29055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,000,State - ANDAMAN & NICOBAR ISLANDS (35),Total,10-14,33467,17118,16349,33062,16977,16085,381,136,245,14,3,11,10,2,8,0,0,0,0,0,0
35,000,State - ANDAMAN & NICOBAR ISLANDS (35),Total,15-19,33026,17266,15760,30264,16944,13320,2711,309,2402,29,7,22,19,5,14,3,1,2,0,0,0
35,000,State - ANDAMAN & NICOBAR ISLANDS (35),Total,20-24,37115,19528,17587,23301,16404,6897,13646,3073,10573,71,15,56,79,33,46,18,3,15,0,0,0
35,000,State - ANDAMAN & NICOBAR ISLANDS (35),Total,25-29,41722,22230,19492,14042,10709,3333,27180,11376,15804,241,57,184,209,84,125,50,4,46,0,0,0
35,000,State - ANDAMAN & NICOBAR ISLANDS (35),Total,30-34,35723,19359,16364,4799,3609,1190,30160,15554,14606,452,79,373,232,92,140,80,25,55,0,0,0
35,000,State - ANDAMAN & NICOBAR ISLANDS (35),Total,35-39,32842,17170,15672,2099,1451,648,29618,15467,14151,784,126,658,277,108,169,64,18,46,0,0,0
35,000,State - ANDAMAN & NICOBAR ISLANDS (35),Total,40-44,26735,14813,11922,1103,758,345,24265,13781,10484,1090,154,936,217,92,125,60,28,32,0,0,0
35,000,State - ANDAMAN & NICOBAR ISLANDS (35),Total,45-49,23861,13270,10591,651,470,181,21459,12471,8988,1515,223,1292,188,87,101,48,19,29,0,0,0
35,000,State - ANDAMAN & NICOBAR ISLANDS (35),Total,50-54,17296,9710,7586,425,299,126,14875,9056,5819,1820,268,1552,143,74,69,33,13,20,0,0,0
35,000,State - ANDAMAN & NICOBAR ISLANDS (35),Total,55-59,13794,7870,5924,299,198,101,11449,7273,4176,1925,337,1588,99,53,46,22,9,13,0,0,0
35,000,State - ANDAMAN & NICOBAR ISLANDS (35),Total,60-64,10376,5807,4569,290,193,97,7717,5110,2607,2256,438,1818,101,61,40,12,5,7,0,0,0
35,000,State - ANDAMAN & NICOBAR ISLANDS (35),Total,65-69,6226,3430,2796,193,130,63,4243,2891,1352,1735,375,1360,47,31,16,8,3,5,0,0,0
