state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
28,000,State - ANDHRA PRADESH (28),Total,All ages,84580777,42442146,42138631,35569606,20152212,15417394,43451300,21399281,22052019,5066315,768834,4297481,407276,102230,305046,86280,19589,66691,0,0,0
28,000,State - ANDHRA PRADESH (28),Total,0-9,13589197,6996285,6592912,13589197,6996285,6592912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,000,State - ANDHRA PRADESH (28),Total,10-14,8201595,4208884,3992711,8046362,4156097,3890265,145227,49315,95912,6345,1873,4472,3125,1373,1752,536,226,310,0,0,0
28,000,State - ANDHRA PRADESH (28),Total,15-19,8093747,4196307,3897440,7145760,4066429,3079331,926201,125188,801013,12647,2799,9848,7532,1649,5883,1607,242,1365,0,0,0
28,000,State - ANDHRA PRADESH (28),Total,20-24,8132094,4055697,4076397,4146079,3000491,1145588,3907019,1043534,2863485,42163,6086,36077,29653,4574,25079,7180,1012,6168,0,0,0
28,000,State - ANDHRA PRADESH (28),Total,25-29,7799036,3809887,3989149,1452352,1173429,278923,6173956,2612004,3561952,106340,12480,93860,53220,9498,43722,13168,2476,10692,0,0,0
28,000,State - ANDHRA PRADESH (28),Total,30-34,6584371,3300407,3283964,350270,263868,86402,5990253,3002064,2988189,168270,18780,149490,61246,12610,48636,14332,3085,11247,0,0,0
28,000,State - ANDHRA PRADESH (28),Total,35-39,6507339,3198512,3308827,131110,85333,45777,6043437,3068277,2975160,254754,26802,227952,64174,14886,49288,13864,3214,10650,0,0,0
28,000,State - ANDHRA PRADESH (28),Total,40-44,5399473,2794398,2605075,72784,44414,28370,4943594,2695611,2247983,317288,37151,280137,54850,14654,40196,10957,2568,8389,0,0,0
28,000,State - ANDHRA PRADESH (28),Total,45-49,4657269,2374633,2282636,43715,25296,18419,4187305,2287985,1899320,377531,47582,329949,41107,11823,29284,7611,1947,5664,0,0,0
28,000,State - ANDHRA PRADESH (28),Total,50-54,3657386,1862583,1794803,38522,21639,16883,3130407,1768361,1362046,453343,61967,391376,29860,9181,20679,5254,1435,3819,0,0,0
28,000,State - ANDHRA PRADESH (28),Total,55-59,2909598,1350539,1559059,28920,15859,13061,2425035,1266120,1158915,434638,62015,372623,17922,5713,12209,3083,832,2251,0,0,0
28,000,State - ANDHRA PRADESH (28),Total,60-64,3199837,1485764,1714073,38098,18151,19947,2290956,1341879,949077,846941,118315,728626,20387,6507,13880,3455,912,2543,0,0,0
28,000,State - ANDHRA PRADESH (28),Total,65-69,2167854,1034360,1133494,35045,17566,17479,1424017,901319,522698,695807,110666,585141,11015,4197,6818,1970,612,1358,0,0,0
28,000,State - ANDHRA PRADESH (28),Total,70-74,1519358,752743,766615,19285,9973,9312,856675,623361,233314,636006,116149,519857,6101,2799,3302,1291,461,830,0,0,0
28,000,State - ANDHRA PRADESH (28),Total,75-79,636989,307474,329515,7943,4037,3906,339782,242822,96960,286664,59418,227246,2121,1042,1079,479,155,324,0,0,0
28,000,State - ANDHRA PRADESH (28),Total,80+,754203,325987,428216,33052,19057,13995,329029,225605,103424,389205,80183,309022,2255,980,1275,662,162,500,0,0,0
28,000,State - ANDHRA PRADESH (28),Total,Age not stated,771431,387686,383745,391112,234288,156824,338407,145836,192571,38373,6568,31805,2708,744,1964,831,250,581,0,0,0
28,000,State - ANDHRA PRADESH (28),Total,Less than 18,26485403,13671721,12813682,26057104,13562530,12494574,408327,103176,305151,13032,3457,9575,5890,2207,3683,1050,351,699,0,0,0
