state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
12,000,State - ARUNACHAL PRADESH (12),Total,All ages,1383727,713912,669815,765934,410829,355105,569238,290314,278924,41619,9832,31787,5097,2287,2810,1839,650,1189,0,0,0
12,000,State - ARUNACHAL PRADESH (12),Total,0-9,314002,159163,154839,314002,159163,154839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,000,State - ARUNACHAL PRADESH (12),Total,10-14,179359,90439,88920,175848,89241,86607,3245,1086,2159,133,47,86,107,52,55,26,13,13,0,0,0
12,000,State - ARUNACHAL PRADESH (12),Total,15-19,155968,78673,77295,141142,75323,65819,14422,3203,11219,212,70,142,140,56,84,52,21,31,0,0,0
12,000,State - ARUNACHAL PRADESH (12),Total,20-24,131696,66033,65663,75763,47364,28399,54965,18372,36593,479,125,354,341,138,203,148,34,114,0,0,0
12,000,State - ARUNACHAL PRADESH (12),Total,25-29,123714,63366,60348,32653,22310,10343,89311,40504,48807,935,242,693,564,229,335,251,81,170,0,0,0
12,000,State - ARUNACHAL PRADESH (12),Total,30-34,101171,52462,48709,11079,7440,3639,87636,44359,43277,1553,330,1223,603,238,365,300,95,205,0,0,0
12,000,State - ARUNACHAL PRADESH (12),Total,35-39,94391,48211,46180,4933,3239,1694,85917,44078,41839,2533,506,2027,714,295,419,294,93,201,0,0,0
12,000,State - ARUNACHAL PRADESH (12),Total,40-44,78603,42861,35742,2665,1753,912,71445,40088,31357,3590,650,2940,673,282,391,230,88,142,0,0,0
12,000,State - ARUNACHAL PRADESH (12),Total,45-49,63679,35173,28506,1603,1071,532,57007,32932,24075,4324,853,3471,565,255,310,180,62,118,0,0,0
12,000,State - ARUNACHAL PRADESH (12),Total,50-54,46110,26487,19623,1182,799,383,39320,24345,14975,5011,1049,3962,462,240,222,135,54,81,0,0,0
12,000,State - ARUNACHAL PRADESH (12),Total,55-59,29886,16996,12890,739,516,223,24534,15309,9225,4284,1004,3280,260,136,124,69,31,38,0,0,0
12,000,State - ARUNACHAL PRADESH (12),Total,60-64,25445,13492,11953,1054,660,394,18104,11303,6801,5938,1340,4598,275,152,123,74,37,37,0,0,0
12,000,State - ARUNACHAL PRADESH (12),Total,65-69,14973,7642,7331,883,517,366,9825,6009,3816,4070,1021,3049,170,86,84,25,9,16,0,0,0
12,000,State - ARUNACHAL PRADESH (12),Total,70-74,10647,5547,5100,457,280,177,6335,4163,2172,3720,1030,2690,107,57,50,28,17,11,0,0,0
12,000,State - ARUNACHAL PRADESH (12),Total,75-79,5135,2687,2448,190,125,65,2864,1870,994,2009,651,1358,63,35,28,9,6,3,0,0,0
12,000,State - ARUNACHAL PRADESH (12),Total,80+,7439,3821,3618,864,483,381,3736,2393,1343,2770,900,1870,52,36,16,17,9,8,0,0,0
12,000,State - ARUNACHAL PRADESH (12),Total,Age not stated,1509,859,650,877,545,332,572,300,272,58,14,44,1,0,1,1,0,1,0,0,0
12,000,State - ARUNACHAL PRADESH (12),Total,Less than 18,589556,298212,291344,580587,295574,285013,8476,2440,6036,252,86,166,187,88,99,54,24,30,0,0,0
