state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
18,000,State - ASSAM (18),Total,All ages,31205576,15939443,15266133,15868475,8820415,7048060,13807668,6834718,6972950,1409905,253863,1156042,62030,18671,43359,57498,11776,45722,0,0,0
18,000,State - ASSAM (18),Total,0-9,6757172,3441268,3315904,6757172,3441268,3315904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,000,State - ASSAM (18),Total,10-14,3491727,1789381,1702346,3439043,1772901,1666142,48867,15123,33744,2304,678,1626,1088,525,563,425,154,271,0,0,0
18,000,State - ASSAM (18),Total,15-19,3068581,1595489,1473092,2671442,1533011,1138431,387841,60320,327521,5322,1361,3961,1975,580,1395,2001,217,1784,0,0,0
18,000,State - ASSAM (18),Total,20-24,2909405,1415580,1493825,1517872,1031919,485953,1367172,379119,988053,12559,2762,9797,4959,1026,3933,6843,754,6089,0,0,0
18,000,State - ASSAM (18),Total,25-29,2815147,1393042,1422105,773747,571539,202208,1998582,812113,1186469,26332,6253,20079,7193,1700,5493,9293,1437,7856,0,0,0
18,000,State - ASSAM (18),Total,30-34,2330060,1174247,1155813,331698,245500,86198,1940517,916393,1024124,41855,8925,32930,7363,1806,5557,8627,1623,7004,0,0,0
18,000,State - ASSAM (18),Total,35-39,2260473,1153679,1106794,158446,108333,50113,2014770,1027584,987186,70399,13529,56870,8303,2331,5972,8555,1902,6653,0,0,0
18,000,State - ASSAM (18),Total,40-44,1831206,965463,865743,74724,43669,31055,1642433,900515,741918,99294,17412,81882,7857,2255,5602,6898,1612,5286,0,0,0
18,000,State - ASSAM (18),Total,45-49,1595249,846081,749168,43494,21319,22175,1406725,799020,607705,132649,22340,110309,6979,2054,4925,5402,1348,4054,0,0,0
18,000,State - ASSAM (18),Total,50-54,1192363,642260,550103,25183,11916,13267,1003492,602380,401112,154651,25252,129399,5395,1783,3612,3642,929,2713,0,0,0
18,000,State - ASSAM (18),Total,55-59,856825,458242,398583,14409,6813,7596,693285,425637,267648,143590,23937,119653,3511,1275,2236,2030,580,1450,0,0,0
18,000,State - ASSAM (18),Total,60-64,775698,394563,381135,15532,7423,8109,546443,353744,192699,208995,31820,177175,3073,1114,1959,1655,462,1193,0,0,0
18,000,State - ASSAM (18),Total,65-69,503642,253973,249669,11254,5677,5577,326179,220955,105224,163475,26269,137206,1833,776,1057,901,296,605,0,0,0
18,000,State - ASSAM (18),Total,70-74,385277,196445,188832,6188,3156,3032,220951,164269,56682,156272,28128,128144,1266,677,589,600,215,385,0,0,0
18,000,State - ASSAM (18),Total,75-79,184352,96599,87753,2852,1518,1334,100485,77093,23392,80244,17570,62674,531,321,210,240,97,143,0,0,0
18,000,State - ASSAM (18),Total,80+,229575,113237,116338,14196,7914,6282,103448,77306,26142,110933,27453,83480,651,421,230,347,143,204,0,0,0
18,000,State - ASSAM (18),Total,Age not stated,18824,9894,8930,11223,6539,4684,6478,3147,3331,1031,174,857,53,27,26,39,7,32,0,0,0
18,000,State - ASSAM (18),Total,Less than 18,12077721,6200852,5876869,11907326,6159011,5748315,161913,39261,122652,5405,1454,3951,1972,862,1110,1105,264,841,0,0,0
18,000,State - ASSAM (18),Total,Less than 21,14047221,7171250,6875971,13310828,7037036,6273792,718103,129834,588269,10367,2601,7766,4025,1276,2749,3898,503,3395,0,0,0
18,000,State - ASSAM (18),Rural,All ages,26807034,13678989,13128045,13828784,7665773,6163011,11681533,5764465,5917068,1196150,225051,971099,49869,13328,36541,50698,10372,40326,0,0,0
18,000,State - ASSAM (18),Rural,0-9,6091507,3099230,2992277,6091507,3099230,2992277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,000,State - ASSAM (18),Rural,10-14,3099766,1587764,1512002,3053641,1573434,1480207,42840,13163,29677,2014,608,1406,905,427,478,366,132,234,0,0,0
18,000,State - ASSAM (18),Rural,15-19,2664091,1388492,1275599,2304198,1332276,971922,351583,54320,297263,4723,1219,3504,1715,483,1232,1872,194,1678,0,0,0
18,000,State - ASSAM (18),Rural,20-24,2477603,1203111,1274492,1234865,854999,379866,1221012,344153,876859,11192,2500,8692,4181,764,3417,6353,695,5658,0,0,0
18,000,State - ASSAM (18),Rural,25-29,2386510,1183063,1203447,604607,452087,152520,1744274,722702,1021572,23438,5772,17666,5809,1183,4626,8382,1319,7063,0,0,0
18,000,State - ASSAM (18),Rural,30-34,1949510,984620,964890,252282,186305,65977,1647567,787557,860010,36301,8085,28216,5728,1215,4513,7632,1458,6174,0,0,0
18,000,State - ASSAM (18),Rural,35-39,1879751,962030,917721,119793,80645,39148,1686073,865883,820190,60078,12288,47790,6411,1569,4842,7396,1645,5751,0,0,0
18,000,State - ASSAM (18),Rural,40-44,1507048,793546,713502,56652,32137,24515,1354617,742782,611835,83777,15732,68045,6078,1502,4576,5924,1393,4531,0,0,0
18,000,State - ASSAM (18),Rural,45-49,1310964,693457,617507,33002,15563,17439,1156235,655310,500925,111595,20048,91547,5537,1381,4156,4595,1155,3440,0,0,0
18,000,State - ASSAM (18),Rural,50-54,974992,519994,454998,18788,8626,10162,818513,486959,331554,130368,22459,107909,4246,1167,3079,3077,783,2294,0,0,0
18,000,State - ASSAM (18),Rural,55-59,702760,371541,331219,10561,4890,5671,567043,344115,222928,120562,21136,99426,2844,894,1950,1750,506,1244,0,0,0
18,000,State - ASSAM (18),Rural,60-64,649041,327339,321702,11981,5684,6297,454481,292204,162277,178525,28189,150336,2605,857,1748,1449,405,1044,0,0,0
18,000,State - ASSAM (18),Rural,65-69,422443,211838,210605,8707,4389,4318,272481,183557,88924,138843,22985,115858,1601,643,958,811,264,547,0,0,0
18,000,State - ASSAM (18),Rural,70-74,327588,166867,160721,4862,2427,2435,187464,138838,48626,133600,24821,108779,1123,580,543,539,201,338,0,0,0
18,000,State - ASSAM (18),Rural,75-79,153054,80838,72216,2186,1173,1013,83974,64241,19733,66216,15065,51151,470,273,197,208,86,122,0,0,0
18,000,State - ASSAM (18),Rural,80+,195387,97407,97980,11935,6574,5361,88481,66337,22144,94085,23997,70088,574,369,205,312,130,182,0,0,0
18,000,State - ASSAM (18),Rural,Age not stated,15019,7852,7167,9217,5334,3883,4895,2344,2551,833,147,686,42,21,21,32,6,26,0,0,0
18,000,State - ASSAM (18),Rural,Less than 18,10785819,5536281,5249538,10634904,5499515,5135389,143513,34515,108998,4747,1314,3433,1656,703,953,999,234,765,0,0,0
18,000,State - ASSAM (18),Rural,Less than 21,12487482,6373359,6114123,11821753,6252480,5569273,649434,117052,532382,9209,2343,6866,3455,1039,2416,3631,445,3186,0,0,0
18,000,State - ASSAM (18),Urban,All ages,4398542,2260454,2138088,2039691,1154642,885049,2126135,1070253,1055882,213755,28812,184943,12161,5343,6818,6800,1404,5396,0,0,0
