state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
10,000,State - BIHAR (10),Total,All ages,104099452,54278157,49821295,54402082,30463744,23938338,46302047,22716906,23585141,3297891,1059098,2238793,75805,31542,44263,21627,6867,14760,0,0,0
10,000,State - BIHAR (10),Total,0-9,27801306,14373230,13428076,27801306,14373230,13428076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,000,State - BIHAR (10),Total,10-14,13919882,7323831,6596051,13613355,7206151,6407204,291001,110702,180299,9435,3948,5487,5290,2645,2645,801,385,416,0,0,0
10,000,State - BIHAR (10),Total,15-19,9472695,5290581,4182114,8080569,4986611,3093958,1369449,294887,1074562,16789,6490,10299,4893,2249,2644,995,344,651,0,0,0
10,000,State - BIHAR (10),Total,20-24,8064735,4210585,3854150,3074442,2451967,622475,4949771,1744055,3205716,30580,10956,19624,7720,3005,4715,2222,602,1620,0,0,0
10,000,State - BIHAR (10),Total,25-29,7671705,3828687,3843018,923859,798645,125214,6680441,3007157,3673284,54851,18316,36535,9543,3688,5855,3011,881,2130,0,0,0
10,000,State - BIHAR (10),Total,30-34,7055737,3510596,3545141,264823,223449,41374,6686845,3254636,3432209,90628,27581,63047,10255,3932,6323,3186,998,2188,0,0,0
10,000,State - BIHAR (10),Total,35-39,6457261,3308161,3149100,96836,76399,20437,6214732,3189930,3024802,133564,37275,96289,9339,3714,5625,2790,843,1947,0,0,0
10,000,State - BIHAR (10),Total,40-44,5165692,2756809,2408883,51839,40411,11428,4922704,2661020,2261684,180843,51453,129390,7950,3187,4763,2356,738,1618,0,0,0
10,000,State - BIHAR (10),Total,45-49,4270374,2209994,2060380,30368,23234,7134,4021455,2121712,1899743,211270,62264,149006,5714,2314,3400,1567,470,1097,0,0,0
10,000,State - BIHAR (10),Total,50-54,3312740,1808425,1504315,24270,17760,6510,3008509,1706337,1302172,274448,82173,192275,4341,1765,2576,1172,390,782,0,0,0
10,000,State - BIHAR (10),Total,55-59,2796678,1330356,1466322,20542,14206,6336,2509957,1231427,1278530,262638,83267,179371,2723,1167,1556,818,289,529,0,0,0
10,000,State - BIHAR (10),Total,60-64,3008008,1559925,1448083,54855,31472,23383,2410889,1371239,1039650,538092,155607,382485,3219,1316,1903,953,291,662,0,0,0
10,000,State - BIHAR (10),Total,65-69,2089779,1103718,986061,52328,31102,21226,1551655,918505,633150,483171,152925,330246,1985,966,1019,640,220,420,0,0,0
