state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
04,000,State - CHANDIGARH (04),Total,All ages,1055450,580663,474787,492014,289490,202524,527989,282169,245820,31857,7361,24496,2074,990,1084,1516,653,863,0,0,0
04,000,State - CHANDIGARH (04),Total,0-9,173048,92602,80446,173048,92602,80446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04,000,State - CHANDIGARH (04),Total,10-14,93464,52140,41324,92490,51779,40711,922,346,576,14,2,12,35,13,22,3,0,3,0,0,0
04,000,State - CHANDIGARH (04),Total,15-19,104418,60521,43897,98824,58957,39867,5491,1525,3966,44,11,33,52,26,26,7,2,5,0,0,0
04,000,State - CHANDIGARH (04),Total,20-24,121244,68467,52777,82230,53943,28287,38700,14407,24293,130,32,98,126,62,64,58,23,35,0,0,0
04,000,State - CHANDIGARH (04),Total,25-29,110237,60694,49543,31656,22904,8752,77766,37479,40287,352,108,244,310,147,163,153,56,97,0,0,0
04,000,State - CHANDIGARH (04),Total,30-34,90803,49625,41178,6792,4809,1983,82727,44354,38373,676,175,501,329,155,174,279,132,147,0,0,0
04,000,State - CHANDIGARH (04),Total,35-39,83672,45566,38106,2365,1579,786,79369,43439,35930,1314,256,1058,315,153,162,309,139,170,0,0,0
04,000,State - CHANDIGARH (04),Total,40-44,68921,37268,31653,1215,787,428,65161,35927,29234,2073,368,1705,259,99,160,213,87,126,0,0,0
04,000,State - CHANDIGARH (04),Total,45-49,60352,32893,27459,709,469,240,56377,31783,24594,2868,460,2408,217,99,118,181,82,99,0,0,0
04,000,State - CHANDIGARH (04),Total,50-54,46942,26108,20834,555,350,205,42730,25022,17708,3390,616,2774,146,68,78,121,52,69,0,0,0
04,000,State - CHANDIGARH (04),Total,55-59,34925,19745,15180,407,235,172,30867,18677,12190,3454,735,2719,120,64,56,77,34,43,0,0,0
04,000,State - CHANDIGARH (04),Total,60-64,25801,13530,12271,447,256,191,20939,12356,8583,4296,863,3433,68,38,30,51,17,34,0,0,0
04,000,State - CHANDIGARH (04),Total,65-69,15839,8250,7589,476,314,162,11850,7112,4738,3451,787,2664,32,20,12,30,17,13,0,0,0
04,000,State - CHANDIGARH (04),Total,70-74,11385,5998,5387,227,158,69,7650,4868,2782,3469,952,2517,24,15,9,15,5,10,0,0,0
04,000,State - CHANDIGARH (04),Total,75-79,6422,3255,3167,89,50,39,3884,2489,1395,2428,702,1726,15,11,4,6,3,3,0,0,0
04,000,State - CHANDIGARH (04),Total,80+,7631,3800,3831,263,157,106,3452,2328,1124,3878,1292,2586,25,19,6,13,4,9,0,0,0
