state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
22,000,State - CHHATTISGARH (22),Total,All ages,25545198,12832895,12712303,12195213,6572982,5622231,11901082,5917409,5983673,1261803,288016,973787,146221,44480,101741,40879,10008,30871,0,0,0
22,000,State - CHHATTISGARH (22),Total,0-9,5299823,2691049,2608774,5299823,2691049,2608774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,000,State - CHHATTISGARH (22),Total,10-14,2884013,1461185,1422828,2843593,1445137,1398456,37629,14901,22728,1565,587,978,1072,503,569,154,57,97,0,0,0
22,000,State - CHHATTISGARH (22),Total,15-19,2599842,1319451,1280391,2369252,1275123,1094129,222972,42173,180799,3770,1173,2597,3211,857,2354,637,125,512,0,0,0
22,000,State - CHHATTISGARH (22),Total,20-24,2389497,1193378,1196119,1129594,776729,352865,1229558,408253,821305,11143,3378,7765,15084,4209,10875,4118,809,3309,0,0,0
22,000,State - CHHATTISGARH (22),Total,25-29,2057300,1049238,1008062,332092,248259,83833,1676739,786535,890204,22163,6520,15643,20143,6385,13758,6163,1539,4624,0,0,0
22,000,State - CHHATTISGARH (22),Total,30-34,1815058,898023,917035,92147,63830,28317,1662069,818077,843992,34104,8401,25703,20343,6074,14269,6395,1641,4754,0,0,0
22,000,State - CHHATTISGARH (22),Total,35-39,1779414,891265,888149,36853,22537,14316,1657072,848315,808757,56789,12316,44473,21945,6482,15463,6755,1615,5140,0,0,0
22,000,State - CHHATTISGARH (22),Total,40-44,1576553,796402,780151,20083,11432,8651,1454378,761632,692746,77604,16548,61056,19047,5480,13567,5441,1310,4131,0,0,0
22,000,State - CHHATTISGARH (22),Total,45-49,1334374,692974,641400,11610,6301,5309,1203696,659634,544062,100411,21775,78636,14619,4265,10354,4038,999,3039,0,0,0
22,000,State - CHHATTISGARH (22),Total,50-54,992947,510326,482621,7065,3779,3286,859737,477962,381775,113356,24921,88435,10257,3070,7187,2532,594,1938,0,0,0
