state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
26,000,State - DADRA & NAGAR HAVELI (26),Total,All ages,343709,193760,149949,168037,101157,66880,165038,90283,74755,8884,1506,7378,1282,694,588,468,120,348,0,0,0
26,000,State - DADRA & NAGAR HAVELI (26),Total,0-9,72810,37961,34849,72810,37961,34849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,000,State - DADRA & NAGAR HAVELI (26),Total,10-14,35003,18385,16618,34504,18219,16285,477,160,317,6,1,5,13,4,9,3,1,2,0,0,0
26,000,State - DADRA & NAGAR HAVELI (26),Total,15-19,33104,19979,13125,28838,18778,10060,4198,1176,3022,23,5,18,33,19,14,12,1,11,0,0,0
26,000,State - DADRA & NAGAR HAVELI (26),Total,20-24,44301,27595,16706,21576,17914,3662,22395,9554,12841,99,23,76,162,90,72,69,14,55,0,0,0
26,000,State - DADRA & NAGAR HAVELI (26),Total,25-29,39885,23496,16389,7144,6139,1005,32259,17167,15092,174,28,146,223,137,86,85,25,60,0,0,0
26,000,State - DADRA & NAGAR HAVELI (26),Total,30-34,30641,17957,12684,1530,1184,346,28554,16575,11979,259,43,216,218,131,87,80,24,56,0,0,0
26,000,State - DADRA & NAGAR HAVELI (26),Total,35-39,25277,14862,10415,514,354,160,24061,14329,9732,449,62,387,172,97,75,81,20,61,0,0,0
26,000,State - DADRA & NAGAR HAVELI (26),Total,40-44,18181,10554,7627,264,158,106,17142,10246,6896,607,88,519,123,53,70,45,9,36,0,0,0
26,000,State - DADRA & NAGAR HAVELI (26),Total,45-49,13789,7671,6118,145,86,59,12740,7423,5317,767,103,664,102,50,52,35,9,26,0,0,0
26,000,State - DADRA & NAGAR HAVELI (26),Total,50-54,9503,5215,4288,103,49,54,8392,4964,3428,895,151,744,93,47,46,20,4,16,0,0,0
26,000,State - DADRA & NAGAR HAVELI (26),Total,55-59,6951,3526,3425,70,34,36,5899,3321,2578,916,146,770,45,19,26,21,6,15,0,0,0
26,000,State - DADRA & NAGAR HAVELI (26),Total,60-64,5831,2794,3037,122,56,66,4250,2474,1776,1408,243,1165,45,19,26,6,2,4,0,0,0
