state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
25,000,State - DAMAN & DIU (25),Total,All ages,243247,150301,92946,116948,78628,38320,117467,70174,47293,7774,958,6816,696,428,268,362,113,249,0,0,0
25,000,State - DAMAN & DIU (25),Total,0-9,37664,19848,17816,37664,19848,17816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,000,State - DAMAN & DIU (25),Total,10-14,17321,9300,8021,17060,9178,7882,238,109,129,15,7,8,8,6,2,0,0,0,0,0,0
25,000,State - DAMAN & DIU (25),Total,15-19,26314,18239,8075,23955,17322,6633,2320,901,1419,20,3,17,16,13,3,3,0,3,0,0,0
25,000,State - DAMAN & DIU (25),Total,20-24,38584,27925,10659,23743,20621,3122,14704,7232,7472,42,15,27,81,55,26,14,2,12,0,0,0
25,000,State - DAMAN & DIU (25),Total,25-29,33181,22044,11137,9306,8132,1174,23618,13793,9825,101,23,78,124,86,38,32,10,22,0,0,0
25,000,State - DAMAN & DIU (25),Total,30-34,24031,15314,8717,2565,2008,557,21066,13179,7887,224,35,189,108,68,40,68,24,44,0,0,0
25,000,State - DAMAN & DIU (25),Total,35-39,19550,12255,7295,1089,704,385,17946,11411,6535,327,34,293,131,82,49,57,24,33,0,0,0
25,000,State - DAMAN & DIU (25),Total,40-44,13601,8384,5217,481,257,224,12466,8008,4458,521,63,458,84,42,42,49,14,35,0,0,0
25,000,State - DAMAN & DIU (25),Total,45-49,9618,5649,3969,264,119,145,8561,5426,3135,690,61,629,53,29,24,50,14,36,0,0,0
25,000,State - DAMAN & DIU (25),Total,50-54,6610,3646,2964,163,73,90,5666,3445,2221,712,96,616,39,21,18,30,11,19,0,0,0
25,000,State - DAMAN & DIU (25),Total,55-59,5056,2576,2480,106,39,67,4049,2425,1624,858,96,762,17,9,8,26,7,19,0,0,0
25,000,State - DAMAN & DIU (25),Total,60-64,4308,1977,2331,114,44,70,3009,1803,1206,1158,120,1038,16,7,9,11,3,8,0,0,0
25,000,State - DAMAN & DIU (25),Total,65-69,2753,1182,1571,95,44,51,1651,1013,638,991,119,872,7,5,2,9,1,8,0,0,0
25,000,State - DAMAN & DIU (25),Total,70-74,2103,841,1262,52,23,29,1112,701,411,926,112,814,6,3,3,7,2,5,0,0,0
25,000,State - DAMAN & DIU (25),Total,75-79,1067,437,630,16,8,8,508,349,159,540,79,461,2,0,2,1,1,0,0,0,0
25,000,State - DAMAN & DIU (25),Total,80+,1130,436,694,79,52,27,408,287,121,636,95,541,2,2,0,5,0,5,0,0,0
25,000,State - DAMAN & DIU (25),Total,Age not stated,356,248,108,196,156,40,145,92,53,13,0,13,2,0,2,0,0,0,0,0,0
25,000,State - DAMAN & DIU (25),Total,Less than 18,66922,36685,30237,66142,36343,29799,734,320,414,28,9,19,18,13,5,0,0,0,0,0,0
25,000,State - DAMAN & DIU (25),Total,Less than 21,90688,54451,36237,85719,52399,33320,4886,2012,2874,41,13,28,36,27,9,6,0,6,0,0,0
25,000,State - DAMAN & DIU (25),Rural,All ages,60396,32395,28001,30750,17924,12826,26693,14052,12641,2689,318,2371,157,71,86,107,30,77,0,0,0
25,000,State - DAMAN & DIU (25),Rural,0-9,10941,5674,5267,10941,5674,5267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,000,State - DAMAN & DIU (25),Rural,10-14,6335,3302,3033,6270,3274,2996,57,24,33,6,2,4,2,2,0,0,0,0,0,0,0
25,000,State - DAMAN & DIU (25),Rural,15-19,6655,3766,2889,6259,3681,2578,389,85,304,6,0,6,1,0,1,0,0,0,0,0,0
25,000,State - DAMAN & DIU (25),Rural,20-24,7024,4117,2907,4503,3289,1214,2479,812,1667,19,7,12,20,9,11,3,0,3,0,0,0
25,000,State - DAMAN & DIU (25),Rural,25-29,6125,3416,2709,1798,1412,386,4263,1983,2280,27,4,23,27,14,13,10,3,7,0,0,0
25,000,State - DAMAN & DIU (25),Rural,30-34,5077,2823,2254,510,354,156,4446,2443,2003,86,12,74,19,7,12,16,7,9,0,0,0
25,000,State - DAMAN & DIU (25),Rural,35-39,4681,2601,2080,189,106,83,4326,2464,1862,118,10,108,30,15,15,18,6,12,0,0,0
25,000,State - DAMAN & DIU (25),Rural,40-44,3489,1905,1584,77,40,37,3189,1835,1354,187,20,167,20,7,13,16,3,13,0,0,0
25,000,State - DAMAN & DIU (25),Rural,45-49,2766,1496,1270,51,25,26,2459,1441,1018,228,18,210,13,8,5,15,4,11,0,0,0
25,000,State - DAMAN & DIU (25),Rural,50-54,2090,1047,1043,27,10,17,1793,1001,792,252,33,219,10,0,10,8,3,5,0,0,0
25,000,State - DAMAN & DIU (25),Rural,55-59,1547,740,807,11,3,8,1224,712,512,296,20,276,6,3,3,10,2,8,0,0,0
25,000,State - DAMAN & DIU (25),Rural,60-64,1388,592,796,21,7,14,945,541,404,415,40,375,6,4,2,1,0,1,0,0,0
25,000,State - DAMAN & DIU (25),Rural,65-69,870,374,496,28,14,14,518,315,203,319,43,276,1,1,0,4,1,3,0,0,0
25,000,State - DAMAN & DIU (25),Rural,70-74,675,275,400,7,3,4,338,222,116,326,49,277,0,0,0,4,1,3,0,0,0
25,000,State - DAMAN & DIU (25),Rural,75-79,314,112,202,2,1,1,133,89,44,179,22,157,0,0,0,0,0,0,0,0,0
25,000,State - DAMAN & DIU (25),Rural,80+,336,112,224,13,4,9,102,69,33,218,38,180,1,1,0,2,0,2,0,0,0
25,000,State - DAMAN & DIU (25),Rural,Age not stated,83,43,40,43,27,16,32,16,16,7,0,7,1,0,1,0,0,0,0,0,0
25,000,State - DAMAN & DIU (25),Rural,Less than 18,21005,11017,9988,20856,10965,9891,135,48,87,11,2,9,3,2,1,0,0,0,0,0,0
25,000,State - DAMAN & DIU (25),Rural,Less than 21,25602,13737,11865,24758,13527,11231,823,204,619,16,4,12,4,2,2,1,0,1,0,0,0
25,000,State - DAMAN & DIU (25),Urban,All ages,182851,117906,64945,86198,60704,25494,90774,56122,34652,5085,640,4445,539,357,182,255,83,172,0,0,0
25,000,State - DAMAN & DIU (25),Urban,0-9,26723,14174,12549,26723,14174,12549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,000,State - DAMAN & DIU (25),Urban,10-14,10986,5998,4988,10790,5904,4886,181,85,96,9,5,4,6,4,2,0,0,0,0,0,0
25,000,State - DAMAN & DIU (25),Urban,15-19,19659,14473,5186,17696,13641,4055,1931,816,1115,14,3,11,15,13,2,3,0,3,0,0,0
25,000,State - DAMAN & DIU (25),Urban,20-24,31560,23808,7752,19240,17332,1908,12225,6420,5805,23,8,15,61,46,15,11,2,9,0,0,0
25,000,State - DAMAN & DIU (25),Urban,25-29,27056,18628,8428,7508,6720,788,19355,11810,7545,74,19,55,97,72,25,22,7,15,0,0,0
25,000,State - DAMAN & DIU (25),Urban,30-34,18954,12491,6463,2055,1654,401,16620,10736,5884,138,23,115,89,61,28,52,17,35,0,0,0
25,000,State - DAMAN & DIU (25),Urban,35-39,14869,9654,5215,900,598,302,13620,8947,4673,209,24,185,101,67,34,39,18,21,0,0,0
25,000,State - DAMAN & DIU (25),Urban,40-44,10112,6479,3633,404,217,187,9277,6173,3104,334,43,291,64,35,29,33,11,22,0,0,0
25,000,State - DAMAN & DIU (25),Urban,45-49,6852,4153,2699,213,94,119,6102,3985,2117,462,43,419,40,21,19,35,10,25,0,0,0
25,000,State - DAMAN & DIU (25),Urban,50-54,4520,2599,1921,136,63,73,3873,2444,1429,460,63,397,29,21,8,22,8,14,0,0,0
25,000,State - DAMAN & DIU (25),Urban,55-59,3509,1836,1673,95,36,59,2825,1713,1112,562,76,486,11,6,5,16,5,11,0,0,0
