state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
07,000,State - NCT OF DELHI (07),Total,All ages,16787941,8987326,7800615,7974823,4622649,3352174,8161917,4200228,3961689,601995,145382,456613,31256,11922,19334,17950,7145,10805,0,0,0
07,000,State - NCT OF DELHI (07),Total,0-9,2917172,1563823,1353349,2917172,1563823,1353349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07,000,State - NCT OF DELHI (07),Total,10-14,1648147,895446,752701,1630529,889249,741280,16436,5738,10698,526,142,384,574,280,294,82,37,45,0,0,0
07,000,State - NCT OF DELHI (07),Total,15-19,1667375,925118,742257,1573417,903773,669644,92077,20693,71384,953,272,681,796,341,455,132,39,93,0,0,0
07,000,State - NCT OF DELHI (07),Total,20-24,1764060,951411,812649,1146296,752401,393895,611721,197257,414464,2912,778,2134,2315,755,1560,816,220,596,0,0,0
07,000,State - NCT OF DELHI (07),Total,25-29,1668326,878196,790130,461196,340305,120891,1193385,533543,659842,6846,2046,4800,4727,1573,3154,2172,729,1443,0,0,0
07,000,State - NCT OF DELHI (07),Total,30-34,1434699,757455,677244,117317,88424,28893,1295251,661991,633260,13491,3722,9769,5435,2067,3368,3205,1251,1954,0,0,0
07,000,State - NCT OF DELHI (07),Total,35-39,1319244,698455,620789,41391,29654,11737,1245076,659985,585091,24170,5304,18866,5218,2037,3181,3389,1475,1914,0,0,0
07,000,State - NCT OF DELHI (07),Total,40-44,1097197,590858,506339,21495,14936,6559,1031623,565556,466067,37368,7616,29752,4016,1609,2407,2695,1141,1554,0,0,0
07,000,State - NCT OF DELHI (07),Total,45-49,911213,495227,415986,12755,8452,4303,843157,474675,368482,50299,10055,40244,2973,1158,1815,2029,887,1142,0,0,0
07,000,State - NCT OF DELHI (07),Total,50-54,687469,376222,311247,9324,5738,3586,615001,356639,258362,59913,12532,47381,1924,767,1157,1307,546,761,0,0,0
07,000,State - NCT OF DELHI (07),Total,55-59,508892,269185,239707,6287,3690,2597,441524,251264,190260,59062,13398,45664,1201,493,708,818,340,478,0,0,0
07,000,State - NCT OF DELHI (07),Total,60-64,472019,238103,233916,8905,5170,3735,365423,211807,153616,95983,20510,75473,1115,406,709,593,210,383,0,0,0
07,000,State - NCT OF DELHI (07),Total,65-69,272452,139398,133054,8922,5117,3805,191326,117017,74309,71532,16983,54549,425,182,243,247,99,148,0,0,0
07,000,State - NCT OF DELHI (07),Total,70-74,189250,94947,94303,3851,2243,1608,114354,74274,40080,70585,18242,52343,252,118,134,208,70,138,0,0,0
07,000,State - NCT OF DELHI (07),Total,75-79,100693,50446,50247,1352,774,578,54500,36309,18191,44640,13279,31361,106,54,52,95,30,65,0,0,0
07,000,State - NCT OF DELHI (07),Total,80+,113031,53861,59170,4827,2942,1885,44783,30445,14338,63143,20348,42795,143,70,73,135,56,79,0,0,0
07,000,State - NCT OF DELHI (07),Total,Age not stated,16702,9175,7527,9787,5958,3829,6280,3035,3245,572,155,417,36,12,24,27,15,12,0,0,0
07,000,State - NCT OF DELHI (07),Total,Less than 18,5537178,2993034,2544144,5488612,2978638,2509974,46327,13570,32757,1130,307,823,975,464,511,134,55,79,0,0,0
07,000,State - NCT OF DELHI (07),Total,Less than 21,6631038,3602542,3028496,6428715,3552435,2876280,198286,48736,149550,1994,536,1458,1726,732,994,317,103,214,0,0,0
07,000,State - NCT OF DELHI (07),Rural,All ages,419042,226321,192721,202613,120204,82409,200733,101914,98819,14790,3785,11005,678,302,376,228,116,112,0,0,0
07,000,State - NCT OF DELHI (07),Rural,0-9,81719,45179,36540,81719,45179,36540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07,000,State - NCT OF DELHI (07),Rural,10-14,45883,25479,20404,45434,25325,20109,406,146,260,15,2,13,25,5,20,3,1,2,0,0,0
07,000,State - NCT OF DELHI (07),Rural,15-19,44367,24916,19451,41185,24248,16937,3131,652,2479,32,8,24,17,6,11,2,2,0,0,0,0
07,000,State - NCT OF DELHI (07),Rural,20-24,44407,23805,20602,24017,17025,6992,20206,6717,13489,86,24,62,72,32,40,26,7,19,0,0,0
07,000,State - NCT OF DELHI (07),Rural,25-29,39250,20584,18666,6556,5464,1092,32325,14986,17339,218,61,157,115,52,63,36,21,15,0,0,0
07,000,State - NCT OF DELHI (07),Rural,30-34,33833,17431,16402,1424,1235,189,31846,16018,15828,405,108,297,116,52,64,42,18,24,0,0,0
07,000,State - NCT OF DELHI (07),Rural,35-39,31648,16738,14910,569,488,81,30165,16004,14161,748,172,576,127,54,73,39,20,19,0,0,0
