state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
30,000,State - GOA (30),Total,All ages,1458545,739140,719405,635073,362543,272530,729963,363869,366094,89070,11135,77935,3109,1121,1988,1330,472,858,0,0,0
30,000,State - GOA (30),Total,0-9,207171,106689,100482,207171,106689,100482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,000,State - GOA (30),Total,10-14,110989,57417,53572,107570,56090,51480,3134,1212,1922,172,54,118,100,55,45,13,6,7,0,0,0
30,000,State - GOA (30),Total,15-19,113875,60075,53800,104638,57721,46917,8925,2215,6710,214,85,129,83,43,40,15,11,4,0,0,0
30,000,State - GOA (30),Total,20-24,130745,70616,60129,94418,59738,34680,35732,10707,25025,413,106,307,152,55,97,30,10,20,0,0,0
30,000,State - GOA (30),Total,25-29,132626,67744,64882,57592,39825,17767,74100,27693,46407,663,148,515,199,58,141,72,20,52,0,0,0
30,000,State - GOA (30),Total,30-34,125859,63471,62388,27471,20392,7079,96511,42646,53865,1435,297,1138,304,88,216,138,48,90,0,0,0
30,000,State - GOA (30),Total,35-39,126298,63541,62757,13313,9487,3826,109487,53487,56000,2831,361,2470,470,155,315,197,51,146,0,0,0
30,000,State - GOA (30),Total,40-44,108512,55504,53008,6645,4270,2375,96562,50519,46043,4640,490,4150,447,143,304,218,82,136,0,0,0
30,000,State - GOA (30),Total,45-49,94736,47867,46869,4031,2320,1711,83615,44660,38955,6512,678,5834,376,134,242,202,75,127,0,0,0
30,000,State - GOA (30),Total,50-54,76592,38782,37810,2837,1489,1348,65532,36377,29155,7820,766,7054,280,102,178,123,48,75,0,0,0
30,000,State - GOA (30),Total,55-59,65553,32021,33532,2152,1069,1083,54022,29901,24121,9030,929,8101,242,87,155,107,35,72,0,0,0
