state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
24,000,State - GUJARAT (24),Total,All ages,60439692,31491260,28948432,26830085,15298916,11531169,30622779,15382357,15240422,2653419,637677,2015742,141017,68671,72346,192392,103639,88753,0,0,0
24,000,State - GUJARAT (24),Total,0-9,11296168,5998291,5297877,11296168,5998291,5297877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,000,State - GUJARAT (24),Total,10-14,6149445,3283834,2865611,5972400,3213522,2758878,165756,65613,100143,6329,2146,4183,3322,1726,1596,1638,827,811,0,0,0
24,000,State - GUJARAT (24),Total,15-19,5865760,3146110,2719650,5083756,2915619,2168137,760489,222357,538132,10903,3515,7388,6257,2797,3460,4355,1822,2533,0,0,0
24,000,State - GUJARAT (24),Total,20-24,5780722,3046127,2734595,2703026,1858814,844212,3024973,1165059,1859914,20488,7065,13423,14570,6820,7750,17665,8369,9296,0,0,0
24,000,State - GUJARAT (24),Total,25-29,5278822,2767283,2511539,885529,683561,201968,4309394,2045661,2263733,35714,12853,22861,19722,9826,9896,28463,15382,13081,0,0,0
24,000,State - GUJARAT (24),Total,30-34,4770528,2467024,2303504,298568,232760,65808,4354753,2184761,2169992,64550,20924,43626,20559,10024,10535,32098,18555,13543,0,0,0
24,000,State - GUJARAT (24),Total,35-39,4341225,2258335,2082890,151313,115176,36137,4035608,2085711,1949897,104393,29745,74648,19455,9655,9800,30456,18048,12408,0,0,0
24,000,State - GUJARAT (24),Total,40-44,3865476,1993876,1871600,93808,68864,24944,3572886,1862028,1710858,157553,40575,116978,16145,7975,8170,25084,14434,10650,0,0,0
24,000,State - GUJARAT (24),Total,45-49,3314013,1711872,1602141,59870,41751,18119,3021569,1605185,1416384,202169,48891,153278,12307,6110,6197,18098,9935,8163,0,0,0
24,000,State - GUJARAT (24),Total,50-54,2697183,1409273,1287910,41559,27409,14150,2381140,1310986,1070154,252778,59972,192806,8976,4372,4604,12730,6534,6196,0,0,0
24,000,State - GUJARAT (24),Total,55-59,2054947,1038088,1016859,27882,17172,10710,1760135,954425,805710,253063,59866,193197,5977,2837,3140,7890,3788,4102,0,0,0
24,000,State - GUJARAT (24),Total,60-64,1727752,851259,876493,31454,17858,13596,1319556,750185,569371,365753,78283,287470,5185,2345,2840,5804,2588,3216,0,0,0
24,000,State - GUJARAT (24),Total,65-69,1170072,550002,620070,26542,14567,11975,816959,462353,354606,320222,70244,249978,3169,1494,1675,3180,1344,1836,0,0,0
24,000,State - GUJARAT (24),Total,70-74,899677,417522,482155,14356,7720,6636,524789,329442,195347,355968,78346,277622,2415,1151,1264,2149,863,1286,0,0,0
24,000,State - GUJARAT (24),Total,75-79,439996,196341,243655,6526,3400,3126,238109,144115,93994,193414,47947,145467,1067,541,526,880,338,542,0,0,0
24,000,State - GUJARAT (24),Total,80+,549062,230477,318585,27338,15582,11756,221959,139474,82485,297416,74362,223054,1249,660,589,1100,399,701,0,0,0
24,000,State - GUJARAT (24),Total,Age not stated,238844,125546,113298,109990,66850,43140,114704,55002,59702,12706,2943,9763,642,338,304,802,413,389,0,0,0
24,000,State - GUJARAT (24),Total,Less than 18,20916568,11144019,9772549,20461317,10984105,9477212,432812,151118,281694,12899,4116,8783,6271,3110,3161,3269,1570,1699,0,0,0
24,000,State - GUJARAT (24),Total,Less than 21,24709756,13164110,11545646,23200393,12684105,10516288,1465395,463151,1002244,22506,7192,15314,12420,5748,6672,9042,3914,5128,0,0,0
24,000,State - GUJARAT (24),Rural,All ages,34694609,17799159,16895450,15691082,8749937,6941145,17178996,8539526,8639470,1633356,407813,1225543,74719,33612,41107,116456,68271,48185,0,0,0
24,000,State - GUJARAT (24),Rural,0-9,7009528,3670914,3338614,7009528,3670914,3338614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,000,State - GUJARAT (24),Rural,10-14,3787881,1989379,1798502,3695201,1954131,1741070,86761,32804,53957,3259,1114,2145,1815,896,919,845,434,411,0,0,0
