state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
06,000,State - HARYANA (06),Total,All ages,25351462,13494734,11856728,11832332,6976223,4856109,12420879,6217139,6203740,1049146,275849,773297,31776,15914,15862,17329,9609,7720,0,0,0
06,000,State - HARYANA (06),Total,0-9,4861276,2655614,2205662,4861276,2655614,2205662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06,000,State - HARYANA (06),Total,10-14,2668678,1474136,1194542,2610766,1449387,1161379,55118,23448,31670,1591,671,920,967,517,450,236,113,123,0,0,0
06,000,State - HARYANA (06),Total,15-19,2677390,1487548,1189842,2406438,1414513,991925,266197,70975,195222,3038,1275,1763,1319,609,710,398,176,222,0,0,0
06,000,State - HARYANA (06),Total,20-24,2567486,1372799,1194687,1297473,919025,378448,1257823,448743,809080,7556,2873,4683,3113,1441,1672,1521,717,804,0,0,0
06,000,State - HARYANA (06),Total,25-29,2231959,1178340,1053619,380090,313520,66570,1828066,855443,972623,16573,5591,10982,4529,2222,2307,2701,1564,1137,0,0,0
06,000,State - HARYANA (06),Total,30-34,1893591,976844,916747,99174,85184,13990,1757636,879414,878222,28851,7925,20926,4794,2403,2391,3136,1918,1218,0,0,0
06,000,State - HARYANA (06),Total,35-39,1761863,912717,849146,44320,38261,6059,1661577,858983,802594,48419,11305,37114,4651,2398,2253,2896,1770,1126,0,0,0
06,000,State - HARYANA (06),Total,40-44,1505950,790581,715369,26784,22935,3849,1405547,749577,655970,67912,14875,53037,3618,1953,1665,2089,1241,848,0,0,0
06,000,State - HARYANA (06),Total,45-49,1241814,655749,586065,16040,13666,2374,1139254,622213,517041,82477,17668,64809,2679,1391,1288,1364,811,553,0,0,0
06,000,State - HARYANA (06),Total,50-54,965228,510688,454540,12114,9939,2175,853991,478922,375069,96277,20405,75872,1830,926,904,1016,496,520,0,0,0
06,000,State - HARYANA (06),Total,55-59,750938,374209,376729,8680,6943,1737,654477,346016,308461,85988,20413,65575,1193,565,628,600,272,328,0,0,0
06,000,State - HARYANA (06),Total,60-64,844349,413958,430391,15161,10935,4226,687390,368629,318761,139932,33567,106365,1331,593,738,535,234,301,0,0,0
06,000,State - HARYANA (06),Total,65-69,504439,255270,249169,14583,9834,4749,374958,215510,159448,113913,29477,84436,710,348,362,275,101,174,0,0,0
06,000,State - HARYANA (06),Total,70-74,374161,188304,185857,7453,5599,1854,236222,148168,88054,129725,34191,95534,520,255,265,241,91,150,0,0,0
06,000,State - HARYANA (06),Total,75-79,196217,97692,98525,3042,2442,600,115658,70105,45553,77204,24987,52217,207,124,83,106,34,72,0,0,0
06,000,State - HARYANA (06),Total,80+,274589,133397,141192,11312,7753,3559,114479,75150,39329,148327,50291,98036,278,143,135,193,60,133,0,0,0
06,000,State - HARYANA (06),Total,Age not stated,31534,16888,14646,17626,10673,6953,12486,5843,6643,1363,335,1028,37,26,11,22,11,11,0,0,0
06,000,State - HARYANA (06),Total,Less than 18,9119709,5012901,4106808,8976984,4960974,4016010,137355,49558,87797,3338,1346,1992,1606,816,790,426,207,219,0,0,0
06,000,State - HARYANA (06),Total,Less than 21,10821793,5947995,4873798,10281840,5790933,4490907,530187,152818,377369,6018,2444,3574,2863,1406,1457,885,394,491,0,0,0
06,000,State - HARYANA (06),Rural,All ages,16509359,8774006,7735353,7790876,4599173,3191703,7975079,3967059,4008020,715015,191812,523203,19547,10476,9071,8842,5486,3356,0,0,0
06,000,State - HARYANA (06),Rural,0-9,3282805,1791095,1491710,3282805,1791095,1491710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06,000,State - HARYANA (06),Rural,10-14,1812859,996086,816773,1774978,979833,795145,36118,15458,20660,1051,437,614,563,288,275,149,70,79,0,0,0
06,000,State - HARYANA (06),Rural,15-19,1799991,994391,805600,1600527,941107,659420,196327,51935,144392,2045,854,1191,846,385,461,246,110,136,0,0,0
06,000,State - HARYANA (06),Rural,20-24,1658579,889577,769002,761154,562402,198752,889256,323689,565567,5137,1972,3165,2023,984,1039,1009,530,479,0,0,0
06,000,State - HARYANA (06),Rural,25-29,1384241,737729,646512,196909,174158,22751,1171511,557150,614361,11585,3915,7670,2721,1481,1240,1515,1025,490,0,0,0
06,000,State - HARYANA (06),Rural,30-34,1174200,605409,568791,57995,53245,4750,1091796,544049,547747,20075,5455,14620,2790,1547,1243,1544,1113,431,0,0,0
06,000,State - HARYANA (06),Rural,35-39,1097613,569510,528103,28415,26143,2272,1031646,532958,498688,33442,7907,25535,2829,1573,1256,1281,929,352,0,0,0
06,000,State - HARYANA (06),Rural,40-44,947369,495956,451413,17518,16088,1430,880396,467514,412882,46335,10420,35915,2186,1287,899,934,647,287,0,0,0
06,000,State - HARYANA (06),Rural,45-49,765054,403338,361716,10387,9507,880,697828,380427,317401,54639,12108,42531,1595,906,689,605,390,215,0,0,0
06,000,State - HARYANA (06),Rural,50-54,590288,310495,279793,7767,6966,801,518117,289219,228898,62870,13481,49389,1084,583,501,450,246,204,0,0,0
06,000,State - HARYANA (06),Rural,55-59,462888,224344,238544,5595,4912,683,401647,205865,195782,54657,13084,41573,712,353,359,277,130,147,0,0,0
06,000,State - HARYANA (06),Rural,60-64,573957,276636,297321,10514,8060,2454,467884,245065,222819,94369,22977,71392,896,412,484,294,122,172,0,0,0
06,000,State - HARYANA (06),Rural,65-69,343427,171739,171688,9837,7034,2803,255835,144371,111464,77080,20030,57050,506,252,254,169,52,117,0,0,0
06,000,State - HARYANA (06),Rural,70-74,260398,130774,129624,5233,4248,985,164449,102391,62058,90151,23882,66269,401,193,208,164,60,104,0,0,0
06,000,State - HARYANA (06),Rural,75-79,136964,68101,68863,2256,1985,271,81792,48564,33228,52687,17435,35252,161,100,61,68,17,51,0,0,0
06,000,State - HARYANA (06),Rural,80+,198145,97815,100330,7239,5246,1993,82557,54784,27773,108004,37625,70379,217,119,98,128,41,87,0,0,0
06,000,State - HARYANA (06),Rural,Age not stated,20581,11011,9570,11747,7144,4603,7920,3620,4300,888,230,658,17,13,4,9,4,5,0,0,0
06,000,State - HARYANA (06),Rural,Less than 18,6172599,3382668,2789931,6075032,3347601,2727431,94120,33585,60535,2220,884,1336,970,477,493,257,121,136,0,0,0
06,000,State - HARYANA (06),Rural,Less than 21,7304329,4000769,3303560,6912304,3887338,3024966,385609,110676,274933,4043,1635,2408,1798,863,935,575,257,318,0,0,0
06,000,State - HARYANA (06),Urban,All ages,8842103,4720728,4121375,4041456,2377050,1664406,4445800,2250080,2195720,334131,84037,250094,12229,5438,6791,8487,4123,4364,0,0,0
06,000,State - HARYANA (06),Urban,0-9,1578471,864519,713952,1578471,864519,713952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06,000,State - HARYANA (06),Urban,10-14,855819,478050,377769,835788,469554,366234,19000,7990,11010,540,234,306,404,229,175,87,43,44,0,0,0
