state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
02,000,State - HIMACHAL PRADESH (02),Total,All ages,6864602,3481873,3382729,3043972,1720775,1323197,3432207,1677655,1754552,366748,73273,293475,13481,6525,6956,8194,3645,4549,0,0,0
02,000,State - HIMACHAL PRADESH (02),Total,0-9,1136161,596468,539693,1136161,596468,539693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02,000,State - HIMACHAL PRADESH (02),Total,10-14,639224,338240,300984,628334,333862,294472,10218,4105,6113,441,142,299,204,120,84,27,11,16,0,0,0
02,000,State - HIMACHAL PRADESH (02),Total,15-19,640461,336729,303732,603620,327867,275753,35925,8523,27402,586,195,391,264,117,147,66,27,39,0,0,0
02,000,State - HIMACHAL PRADESH (02),Total,20-24,643866,323720,320146,414718,265290,149428,226721,57682,169039,1423,412,1011,715,250,465,289,86,203,0,0,0
02,000,State - HIMACHAL PRADESH (02),Total,25-29,589160,290125,299035,160420,124983,35437,423783,163662,260121,3112,752,2360,1210,493,717,635,235,400,0,0,0
02,000,State - HIMACHAL PRADESH (02),Total,30-34,546357,271253,275104,41609,32227,9382,495676,236410,259266,6456,1358,5098,1595,778,817,1021,480,541,0,0,0
02,000,State - HIMACHAL PRADESH (02),Total,35-39,517966,258230,259736,14855,10587,4268,488620,244021,244599,11264,1990,9274,1943,983,960,1284,649,635,0,0,0
02,000,State - HIMACHAL PRADESH (02),Total,40-44,445560,222269,223291,8786,6042,2744,417222,212330,204892,16731,2562,14169,1675,836,839,1146,499,647,0,0,0
02,000,State - HIMACHAL PRADESH (02),Total,45-49,395128,197642,197486,6066,4114,1952,363319,188809,174510,23345,3616,19729,1423,664,759,975,439,536,0,0,0
02,000,State - HIMACHAL PRADESH (02),Total,50-54,330687,165724,164963,4703,3196,1507,293408,156759,136649,30577,4847,25730,1213,579,634,786,343,443,0,0,0
02,000,State - HIMACHAL PRADESH (02),Total,55-59,266860,135245,131615,3466,2365,1101,227834,126311,101523,34088,5862,28226,885,442,443,587,265,322,0,0,0
02,000,State - HIMACHAL PRADESH (02),Total,60-64,231372,115464,115908,4419,2977,1442,177350,103199,74151,48181,8607,39574,897,452,445,525,229,296,0,0,0
02,000,State - HIMACHAL PRADESH (02),Total,65-69,158607,78387,80220,4007,2629,1378,110761,66870,43891,43022,8474,34548,507,268,239,310,146,164,0,0,0
02,000,State - HIMACHAL PRADESH (02),Total,70-74,130587,62119,68468,2511,1703,808,76527,49813,26714,50872,10255,40617,448,235,213,229,113,116,0,0,0
02,000,State - HIMACHAL PRADESH (02),Total,75-79,75706,36440,39266,1192,853,339,40328,27358,12970,33843,8043,25800,220,134,86,123,52,71,0,0,0
02,000,State - HIMACHAL PRADESH (02),Total,80+,106737,48465,58272,3119,2082,1037,40831,30083,10748,62363,16072,46291,251,162,89,173,66,107,0,0,0
02,000,State - HIMACHAL PRADESH (02),Total,Age not stated,10163,5353,4810,5986,3530,2456,3684,1720,1964,444,86,358,31,12,19,18,5,13,0,0,0
02,000,State - HIMACHAL PRADESH (02),Total,Less than 18,2153758,1134312,1019446,2130757,1126062,1004695,21798,7779,14019,809,255,554,340,192,148,54,24,30,0,0,0
02,000,State - HIMACHAL PRADESH (02),Total,Less than 21,2551748,1341080,1210668,2475907,1321873,1154034,73863,18486,55377,1292,400,892,559,273,286,127,48,79,0,0,0
02,000,State - HIMACHAL PRADESH (02),Rural,All ages,6176050,3110345,3065705,2736978,1542516,1194462,3079194,1490256,1588938,340294,68237,272057,12293,6033,6260,7291,3303,3988,0,0,0
02,000,State - HIMACHAL PRADESH (02),Rural,0-9,1038490,544184,494306,1038490,544184,494306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02,000,State - HIMACHAL PRADESH (02),Rural,10-14,580265,305500,274765,570600,301634,268966,9070,3620,5450,404,131,273,172,107,65,19,8,11,0,0,0
02,000,State - HIMACHAL PRADESH (02),Rural,15-19,575991,300554,275437,542551,292786,249765,32611,7464,25147,535,178,357,235,103,132,59,23,36,0,0,0
02,000,State - HIMACHAL PRADESH (02),Rural,20-24,573439,285167,288272,363058,233170,129888,208148,51318,156830,1312,380,932,652,221,431,269,78,191,0,0,0
02,000,State - HIMACHAL PRADESH (02),Rural,25-29,523605,255016,268589,136357,108004,28353,382716,145654,237062,2880,692,2188,1091,450,641,561,216,345,0,0,0
02,000,State - HIMACHAL PRADESH (02),Rural,30-34,485375,239272,246103,34930,27529,7401,442178,209344,232834,5916,1254,4662,1452,716,736,899,429,470,0,0,0
02,000,State - HIMACHAL PRADESH (02),Rural,35-39,459275,227906,231369,12499,9110,3389,433678,215470,218208,10252,1835,8417,1735,901,834,1111,590,521,0,0,0
