state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
20,000,State - JHARKHAND (20),Total,All ages,32988134,16930315,16057819,16690866,9224365,7466501,14862184,7354624,7507560,1356912,329034,1027878,61487,18279,43208,16685,4013,12672,0,0,0
20,000,State - JHARKHAND (20),Total,0-9,7786722,3989013,3797709,7786722,3989013,3797709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,000,State - JHARKHAND (20),Total,10-14,4104396,2112627,1991769,4024770,2081587,1943183,75027,29169,45858,2927,1082,1845,1362,656,706,310,133,177,0,0,0
20,000,State - JHARKHAND (20),Total,15-19,3205268,1714887,1490381,2742272,1625413,1116859,452930,86589,366341,5988,1933,4055,3102,753,2349,976,199,777,0,0,0
20,000,State - JHARKHAND (20),Total,20-24,2827622,1431263,1396359,1222461,886956,335505,1581981,538233,1043748,13706,3932,9774,7190,1722,5468,2284,420,1864,0,0,0
20,000,State - JHARKHAND (20),Total,25-29,2652639,1342314,1310325,469760,361559,108201,2145601,970619,1174982,25811,6970,18841,8816,2540,6276,2651,626,2025,0,0,0
20,000,State - JHARKHAND (20),Total,30-34,2307296,1165866,1141430,157332,115138,42194,2098763,1038333,1060430,40627,9404,31223,8327,2462,5865,2247,529,1718,0,0,0
20,000,State - JHARKHAND (20),Total,35-39,2136764,1092675,1044089,68903,44581,24322,1994118,1031653,962465,63323,13408,49915,8363,2529,5834,2057,504,1553,0,0,0
20,000,State - JHARKHAND (20),Total,40-44,1788506,930421,858085,38321,22338,15983,1653234,886727,766507,87968,18823,69145,7205,2104,5101,1778,429,1349,0,0,0
20,000,State - JHARKHAND (20),Total,45-49,1534094,798966,735128,24570,13233,11337,1391042,758979,632063,111732,24714,87018,5459,1695,3764,1291,345,946,0,0,0
20,000,State - JHARKHAND (20),Total,50-54,1186181,620682,565499,18303,9364,8939,1031720,580020,451700,131511,29917,101594,3765,1131,2634,882,250,632,0,0,0
20,000,State - JHARKHAND (20),Total,55-59,985234,487604,497630,13747,6921,6826,837007,448358,388649,131298,31360,99938,2560,805,1755,622,160,462,0,0,0
20,000,State - JHARKHAND (20),Total,60-64,957482,474565,482917,19589,8950,10639,709575,416143,293432,225229,48570,176659,2446,747,1699,643,155,488,0,0,0
20,000,State - JHARKHAND (20),Total,65-69,635397,317852,317545,15917,8017,7900,431511,265300,166211,186238,43968,142270,1332,466,866,399,101,298,0,0,0
20,000,State - JHARKHAND (20),Total,70-74,407108,210878,196230,7762,3762,4000,235653,164404,71249,162730,42347,120383,727,294,433,236,71,165,0,0,0
20,000,State - JHARKHAND (20),Total,75-79,167954,83542,84412,3237,1630,1607,92978,60809,32169,71358,20929,50429,287,144,143,94,30,64,0,0,0
20,000,State - JHARKHAND (20),Total,80+,188737,94908,93829,12887,7376,5511,83769,56886,26883,91635,30465,61170,321,148,173,125,33,92,0,0,0
20,000,State - JHARKHAND (20),Total,Age not stated,116734,62252,54482,64313,38527,25786,47275,22402,24873,4831,1212,3619,225,83,142,90,28,62,0,0,0
20,000,State - JHARKHAND (20),Total,Less than 18,13836161,7150939,6685222,13622315,7086263,6536052,204261,61237,143024,6320,2198,4122,2612,1005,1607,653,236,417,0,0,0
20,000,State - JHARKHAND (20),Total,Less than 21,15872429,8202133,7670296,14973835,7993239,6980596,878228,202749,675479,12171,3933,8238,6297,1788,4509,1898,424,1474,0,0,0
20,000,State - JHARKHAND (20),Rural,All ages,25055073,12776486,12278587,12717507,6971289,5746218,11221976,5527204,5694772,1052909,259933,792976,49644,15056,34588,13037,3004,10033,0,0,0
20,000,State - JHARKHAND (20),Rural,0-9,6289373,3205034,3084339,6289373,3205034,3084339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,000,State - JHARKHAND (20),Rural,10-14,3237192,1662046,1575146,3175912,1638451,1537461,57730,22152,35578,2223,823,1400,1091,519,572,236,101,135,0,0,0
20,000,State - JHARKHAND (20),Rural,15-19,2359367,1268321,1091046,1975753,1195335,780418,375552,70725,304827,4560,1494,3066,2679,622,2057,823,145,678,0,0,0
20,000,State - JHARKHAND (20),Rural,20-24,2052259,1031084,1021175,752027,573504,178523,1281593,452601,828992,10669,3154,7515,6017,1468,4549,1953,357,1596,0,0,0
20,000,State - JHARKHAND (20),Rural,25-29,1942429,976894,965535,255146,198968,56178,1657993,769598,888395,20049,5667,14382,7133,2139,4994,2108,522,1586,0,0,0
20,000,State - JHARKHAND (20),Rural,30-34,1697271,849293,847978,88427,61484,26943,1569384,777881,791503,31147,7520,23627,6589,2019,4570,1724,389,1335,0,0,0
20,000,State - JHARKHAND (20),Rural,35-39,1570756,799950,770806,43519,26508,17011,1471363,760278,711085,47875,10768,37107,6508,2044,4464,1491,352,1139,0,0,0
20,000,State - JHARKHAND (20),Rural,40-44,1312316,676548,635768,25874,14055,11819,1213031,645317,567714,66511,15190,51321,5602,1696,3906,1298,290,1008,0,0,0
20,000,State - JHARKHAND (20),Rural,45-49,1122090,580579,541511,16854,8468,8386,1016206,550656,465550,83685,19831,63854,4384,1384,3000,961,240,721,0,0,0
20,000,State - JHARKHAND (20),Rural,50-54,861644,447952,413692,12462,5973,6489,746375,417077,329298,99105,23809,75296,3040,921,2119,662,172,490,0,0,0
20,000,State - JHARKHAND (20),Rural,55-59,720551,343784,376767,9271,4427,4844,609845,314297,295548,98852,24287,74565,2088,652,1436,495,121,374,0,0,0
20,000,State - JHARKHAND (20),Rural,60-64,739909,359498,380411,14309,6338,7971,542967,313473,229494,180022,38929,141093,2093,649,1444,518,109,409,0,0,0
20,000,State - JHARKHAND (20),Rural,65-69,502092,246596,255496,11092,5506,5586,338148,205394,132754,151353,35202,116151,1152,408,744,347,86,261,0,0,0
20,000,State - JHARKHAND (20),Rural,70-74,319521,163601,155920,5384,2554,2830,182813,127198,55615,130513,33549,96964,616,244,372,195,56,139,0,0,0
20,000,State - JHARKHAND (20),Rural,75-79,128086,62658,65428,2100,1058,1042,71169,45605,25564,54503,15859,38644,245,117,128,69,19,50,0,0,0
20,000,State - JHARKHAND (20),Rural,80+,143253,72523,70730,9028,5129,3899,64748,44095,20653,69114,23156,45958,264,118,146,99,25,74,0,0,0
20,000,State - JHARKHAND (20),Rural,Age not stated,56964,30125,26839,30976,18497,12479,23059,10857,12202,2728,695,2033,143,56,87,58,20,38,0,0,0
20,000,State - JHARKHAND (20),Rural,Less than 18,10969254,5652041,5317213,10799791,5602133,5197658,162006,47251,114755,4777,1680,3097,2168,803,1365,512,174,338,0,0,0
20,000,State - JHARKHAND (20),Rural,Less than 21,12465570,6421104,6044466,11724505,6248655,5475850,724740,167595,557145,9354,3055,6299,5359,1469,3890,1612,330,1282,0,0,0
20,000,State - JHARKHAND (20),Urban,All ages,7933061,4153829,3779232,3973359,2253076,1720283,3640208,1827420,1812788,304003,69101,234902,11843,3223,8620,3648,1009,2639,0,0,0
20,000,State - JHARKHAND (20),Urban,0-9,1497349,783979,713370,1497349,783979,713370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,000,State - JHARKHAND (20),Urban,10-14,867204,450581,416623,848858,443136,405722,17297,7017,10280,704,259,445,271,137,134,74,32,42,0,0,0
20,000,State - JHARKHAND (20),Urban,15-19,845901,446566,399335,766519,430078,336441,77378,15864,61514,1428,439,989,423,131,292,153,54,99,0,0,0
20,000,State - JHARKHAND (20),Urban,20-24,775363,400179,375184,470434,313452,156982,300388,85632,214756,3037,778,2259,1173,254,919,331,63,268,0,0,0
20,000,State - JHARKHAND (20),Urban,25-29,710210,365420,344790,214614,162591,52023,487608,201021,286587,5762,1303,4459,1683,401,1282,543,104,439,0,0,0
20,000,State - JHARKHAND (20),Urban,30-34,610025,316573,293452,68905,53654,15251,529379,260452,268927,9480,1884,7596,1738,443,1295,523,140,383,0,0,0
20,000,State - JHARKHAND (20),Urban,35-39,566008,292725,273283,25384,18073,7311,522755,271375,251380,15448,2640,12808,1855,485,1370,566,152,414,0,0,0
20,000,State - JHARKHAND (20),Urban,40-44,476190,253873,222317,12447,8283,4164,440203,241410,198793,21457,3633,17824,1603,408,1195,480,139,341,0,0,0
20,000,State - JHARKHAND (20),Urban,45-49,412004,218387,193617,7716,4765,2951,374836,208323,166513,28047,4883,23164,1075,311,764,330,105,225,0,0,0
20,000,State - JHARKHAND (20),Urban,50-54,324537,172730,151807,5841,3391,2450,285345,162943,122402,32406,6108,26298,725,210,515,220,78,142,0,0,0
20,000,State - JHARKHAND (20),Urban,55-59,264683,143820,120863,4476,2494,1982,227162,134061,93101,32446,7073,25373,472,153,319,127,39,88,0,0,0
20,000,State - JHARKHAND (20),Urban,60-64,217573,115067,102506,5280,2612,2668,166608,102670,63938,45207,9641,35566,353,98,255,125,46,79,0,0,0
20,000,State - JHARKHAND (20),Urban,65-69,133305,71256,62049,4825,2511,2314,93363,59906,33457,34885,8766,26119,180,58,122,52,15,37,0,0,0
20,000,State - JHARKHAND (20),Urban,70-74,87587,47277,40310,2378,1208,1170,52840,37206,15634,32217,8798,23419,111,50,61,41,15,26,0,0,0
20,000,State - JHARKHAND (20),Urban,75-79,39868,20884,18984,1137,572,565,21809,15204,6605,16855,5070,11785,42,27,15,25,11,14,0,0,0
20,000,State - JHARKHAND (20),Urban,80+,45484,22385,23099,3859,2247,1612,19021,12791,6230,22521,7309,15212,57,30,27,26,8,18,0,0,0
20,000,State - JHARKHAND (20),Urban,Age not stated,59770,32127,27643,33337,20030,13307,24216,11545,12671,2103,517,1586,82,27,55,32,8,24,0,0,0
20,000,State - JHARKHAND (20),Urban,Less than 18,2866907,1498898,1368009,2822524,1484130,1338394,42255,13986,28269,1543,518,1025,444,202,242,141,62,79,0,0,0
20,000,State - JHARKHAND (20),Urban,Less than 21,3406859,1781029,1625830,3249330,1744584,1504746,153488,35154,118334,2817,878,1939,938,319,619,286,94,192,0,0,0
20,346,District - Garhwa  (01),Total,All ages,1322784,683575,639209,685154,375037,310117,598293,295605,302688,37362,12119,25243,1572,684,888,403,130,273,0,0,0
20,346,District - Garhwa  (01),Total,0-9,347940,177227,170713,347940,177227,170713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,346,District - Garhwa  (01),Total,10-14,191645,98470,93175,189458,97775,91683,2082,639,1443,50,27,23,52,28,24,3,1,2,0,0,0
20,346,District - Garhwa  (01),Total,15-19,121854,67480,54374,104281,64142,40139,17379,3263,14116,106,41,65,71,29,42,17,5,12,0,0,0
20,346,District - Garhwa  (01),Total,20-24,101489,53035,48454,31597,26246,5351,69291,26532,42759,364,167,197,174,76,98,63,14,49,0,0,0
20,346,District - Garhwa  (01),Total,25-29,97941,49152,48789,7221,6288,933,89726,42492,47234,692,259,433,230,85,145,72,28,44,0,0,0
20,346,District - Garhwa  (01),Total,30-34,90036,45202,44834,1775,1443,332,86952,43342,43610,1050,299,751,211,105,106,48,13,35,0,0,0
20,346,District - Garhwa  (01),Total,35-39,78920,40998,37922,626,453,173,76571,40053,36518,1506,409,1097,176,70,106,41,13,28,0,0,0
20,346,District - Garhwa  (01),Total,40-44,63932,33537,30395,326,244,82,61379,32655,28724,2007,546,1461,182,79,103,38,13,25,0,0,0
20,346,District - Garhwa  (01),Total,45-49,51148,26539,24609,201,141,60,48583,25702,22881,2228,645,1583,105,42,63,31,9,22,0,0,0
