state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
32,000,State - KERALA (32),Total,All ages,33406061,16027412,17378649,13684355,7674256,6010099,17215810,8080622,9135188,2228226,217242,2010984,220987,45465,175522,56683,9827,46856,0,0,0
32,000,State - KERALA (32),Total,0-9,5008204,2550724,2457480,5008204,2550724,2457480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,000,State - KERALA (32),Total,10-14,2822770,1438917,1383853,2790429,1429759,1360670,30014,8345,21669,1224,293,931,1010,483,527,93,37,56,0,0,0
32,000,State - KERALA (32),Total,15-19,2610552,1328299,1282253,2428944,1309674,1119270,177877,17747,160130,2076,429,1647,1355,422,933,300,27,273,0,0,0
32,000,State - KERALA (32),Total,20-24,2665809,1298826,1366983,1755419,1186960,568459,898766,110483,788283,4671,637,4034,5137,660,4477,1816,86,1730,0,0,0
32,000,State - KERALA (32),Total,25-29,2604092,1203978,1400114,882964,716126,166838,1690523,483930,1206593,11482,1356,10126,14025,2075,11950,5098,491,4607,0,0,0
32,000,State - KERALA (32),Total,30-34,2455501,1128217,1327284,315427,249202,66225,2086394,870617,1215777,23568,2638,20930,22787,4545,18242,7325,1215,6110,0,0,0
32,000,State - KERALA (32),Total,35-39,2579673,1161819,1417854,137332,88142,49190,2353008,1060935,1292073,48431,4197,44234,31921,6752,25169,8981,1793,7188,0,0,0
32,000,State - KERALA (32),Total,40-44,2412498,1117424,1295074,81112,41559,39553,2206927,1061551,1145376,82509,5701,76808,33426,6891,26535,8524,1722,6802,0,0,0
32,000,State - KERALA (32),Total,45-49,2348530,1105598,1242932,63553,26319,37234,2106273,1062830,1043443,136782,8364,128418,34229,6690,27539,7693,1395,6298,0,0,0
32,000,State - KERALA (32),Total,50-54,1928145,931191,996954,49916,17304,32612,1665890,896561,769329,181059,11331,169728,25612,5003,20609,5668,992,4676,0,0,0
32,000,State - KERALA (32),Total,55-59,1742408,861527,880881,41931,13649,28282,1439541,826771,612770,236619,16288,220331,20184,4090,16094,4133,729,3404,0,0,0
32,000,State - KERALA (32),Total,60-64,1414671,685136,729535,35648,10590,25058,1054178,647943,406235,308125,22997,285128,13774,3055,10719,2946,551,2395,0,0,0
32,000,State - KERALA (32),Total,65-69,1002134,459232,542902,25179,7657,17522,660441,424126,236315,306761,25187,281574,8011,1931,6080,1742,331,1411,0,0,0
32,000,State - KERALA (32),Total,70-74,733372,326562,406810,19591,5873,13718,412813,288673,124140,295365,30545,264820,4586,1278,3308,1017,193,824,0,0,0
32,000,State - KERALA (32),Total,75-79,501367,208317,293050,13728,4012,9716,238663,173645,65018,245686,29718,215968,2646,824,1822,644,118,526,0,0,0
32,000,State - KERALA (32),Total,80+,541849,204348,337501,16393,5595,10798,181511,140708,40803,341262,57229,284033,2049,683,1366,634,133,501,0,0,0
32,000,State - KERALA (32),Total,Age not stated,34486,17297,17189,18585,11111,7474,12991,5757,7234,2606,332,2274,235,83,152,69,14,55,0,0,0
32,000,State - KERALA (32),Total,Less than 18,9405158,4790515,4614643,9313572,4771364,4542208,87126,17807,69319,2614,553,2061,1670,740,930,176,51,125,0,0,0
32,000,State - KERALA (32),Total,Less than 21,10996871,5597223,5399648,10657964,5556710,5101254,331352,38607,292745,4011,830,3181,2944,1006,1938,600,70,530,0,0,0
