state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
31,000,State - LAKSHADWEEP (31),Total,All ages,64473,33123,31350,30195,16966,13229,30773,15616,15157,2837,389,2448,298,78,220,370,74,296,0,0,0
31,000,State - LAKSHADWEEP (31),Total,0-9,10459,5408,5051,10459,5408,5051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,000,State - LAKSHADWEEP (31),Total,10-14,5998,2854,3144,5916,2837,3079,78,16,62,1,0,1,3,1,2,0,0,0,0,0,0
31,000,State - LAKSHADWEEP (31),Total,15-19,5624,2808,2816,5341,2757,2584,278,49,229,3,2,1,2,0,2,0,0,0,0,0,0
31,000,State - LAKSHADWEEP (31),Total,20-24,5829,3071,2758,4270,2805,1465,1544,264,1280,4,2,2,6,0,6,5,0,5,0,0,0
31,000,State - LAKSHADWEEP (31),Total,25-29,5967,3135,2832,2598,2047,551,3308,1079,2229,19,1,18,17,4,13,25,4,21,0,0,0
31,000,State - LAKSHADWEEP (31),Total,30-34,5437,2777,2660,914,713,201,4404,2033,2371,44,10,34,32,9,23,43,12,31,0,0,0
31,000,State - LAKSHADWEEP (31),Total,35-39,5389,2756,2633,294,190,104,4907,2535,2372,83,11,72,44,10,34,61,10,51,0,0,0
31,000,State - LAKSHADWEEP (31),Total,40-44,4608,2453,2155,126,60,66,4279,2365,1914,128,5,123,32,10,22,43,13,30,0,0,0
31,000,State - LAKSHADWEEP (31),Total,45-49,3810,1975,1835,62,28,34,3489,1925,1564,174,12,162,41,7,34,44,3,41,0,0,0
31,000,State - LAKSHADWEEP (31),Total,50-54,3066,1625,1441,39,21,18,2692,1570,1122,259,15,244,35,11,24,41,8,33,0,0,0
31,000,State - LAKSHADWEEP (31),Total,55-59,2901,1513,1388,26,14,12,2456,1451,1005,353,30,323,29,9,20,37,9,28,0,0,0
31,000,State - LAKSHADWEEP (31),Total,60-64,2034,1046,988,23,14,9,1492,970,522,462,52,410,29,8,21,28,2,26,0,0,0
31,000,State - LAKSHADWEEP (31),Total,65-69,1413,753,660,16,7,9,925,668,257,445,70,375,11,3,8,16,5,11,0,0,0
31,000,State - LAKSHADWEEP (31),Total,70-74,849,410,439,12,4,8,456,339,117,360,62,298,6,3,3,15,2,13,0,0,0
31,000,State - LAKSHADWEEP (31),Total,75-79,493,244,249,1,0,1,247,189,58,237,54,183,7,1,6,1,0,1,0,0,0
31,000,State - LAKSHADWEEP (31),Total,80+,481,221,260,15,9,6,186,141,45,265,63,202,4,2,2,11,6,5,0,0,0
31,000,State - LAKSHADWEEP (31),Total,Age not stated,115,74,41,83,52,31,32,22,10,0,0,0,0,0,0,0,0,0,0,0,0
31,000,State - LAKSHADWEEP (31),Total,Less than 18,19901,9942,9959,19681,9889,9792,213,51,162,3,1,2,4,1,3,0,0,0,0,0,0
31,000,State - LAKSHADWEEP (31),Total,Less than 21,23228,11696,11532,22692,11601,11091,526,92,434,4,2,2,5,1,4,1,0,1,0,0,0
31,000,State - LAKSHADWEEP (31),Rural,All ages,14141,7243,6898,6710,3663,3047,6691,3432,3259,598,107,491,64,24,40,78,17,61,0,0,0
31,000,State - LAKSHADWEEP (31),Rural,0-9,2619,1358,1261,2619,1358,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,000,State - LAKSHADWEEP (31),Rural,10-14,1389,612,777,1367,609,758,21,3,18,1,0,1,0,0,0,0,0,0,0,0,0
31,000,State - LAKSHADWEEP (31),Rural,15-19,1147,525,622,1085,513,572,60,11,49,1,1,0,1,0,1,0,0,0,0,0,0
31,000,State - LAKSHADWEEP (31),Rural,20-24,1280,680,600,881,602,279,397,77,320,1,1,0,0,0,0,1,0,1,0,0,0
31,000,State - LAKSHADWEEP (31),Rural,25-29,1305,682,623,499,385,114,781,291,490,5,0,5,8,2,6,12,4,8,0,0,0
31,000,State - LAKSHADWEEP (31),Rural,30-34,1235,642,593,154,135,19,1052,500,552,7,2,5,9,2,7,13,3,10,0,0,0
31,000,State - LAKSHADWEEP (31),Rural,35-39,1116,590,526,49,31,18,1022,552,470,19,1,18,11,4,7,15,2,13,0,0,0
31,000,State - LAKSHADWEEP (31),Rural,40-44,916,478,438,19,11,8,859,461,398,24,1,23,8,5,3,6,0,6,0,0,0
31,000,State - LAKSHADWEEP (31),Rural,45-49,762,405,357,8,4,4,709,394,315,31,5,26,7,2,5,7,0,7,0,0,0
31,000,State - LAKSHADWEEP (31),Rural,50-54,669,368,301,6,2,4,593,354,239,51,5,46,8,3,5,11,4,7,0,0,0
31,000,State - LAKSHADWEEP (31),Rural,55-59,577,298,279,1,0,1,503,288,215,65,7,58,5,2,3,3,1,2,0,0,0
31,000,State - LAKSHADWEEP (31),Rural,60-64,425,227,198,4,3,1,312,202,110,101,19,82,4,3,1,4,0,4,0,0,0
31,000,State - LAKSHADWEEP (31),Rural,65-69,319,175,144,1,0,1,201,155,46,116,20,96,1,0,1,0,0,0,0,0,0
31,000,State - LAKSHADWEEP (31),Rural,70-74,170,75,95,0,0,0,83,60,23,83,13,70,2,1,1,2,1,1,0,0,0
31,000,State - LAKSHADWEEP (31),Rural,75-79,95,53,42,0,0,0,46,38,8,49,15,34,0,0,0,0,0,0,0,0,0
31,000,State - LAKSHADWEEP (31),Rural,80+,90,55,35,2,2,0,40,34,6,44,17,27,0,0,0,4,2,2,0,0,0
31,000,State - LAKSHADWEEP (31),Rural,Age not stated,27,20,7,15,8,7,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
