state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
23,000,State - MADHYA PRADESH (23),Total,All ages,72626809,37612306,35014503,35054386,19636756,15417630,34292915,17031815,17261100,2987056,826447,2160609,222289,91397,130892,70163,25891,44272,0,0,0
23,000,State - MADHYA PRADESH (23),Total,0-9,15737741,8183940,7553801,15737741,8183940,7553801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,000,State - MADHYA PRADESH (23),Total,10-14,8564501,4439329,4125172,8364995,4358420,4006575,188846,76199,112647,6358,2579,3779,3659,1809,1850,643,322,321,0,0,0
23,000,State - MADHYA PRADESH (23),Total,15-19,7446789,3980072,3466717,6453124,3728142,2724982,972597,244086,728511,12635,4830,7805,6785,2499,4286,1648,515,1133,0,0,0
23,000,State - MADHYA PRADESH (23),Total,20-24,6727579,3554088,3173491,2868910,2093914,774996,3797085,1436809,2360276,30782,12501,18281,23735,8582,15153,7067,2282,4785,0,0,0
23,000,State - MADHYA PRADESH (23),Total,25-29,5787506,2988325,2799181,870098,701105,168993,4821726,2249709,2572017,54491,21539,32952,30820,12140,18680,10371,3832,6539,0,0,0
23,000,State - MADHYA PRADESH (23),Total,30-34,5214960,2650705,2564255,266992,218125,48867,4820146,2385326,2434820,84109,29909,54200,32576,13153,19423,11137,4192,6945,0,0,0
23,000,State - MADHYA PRADESH (23),Total,35-39,4861671,2493464,2368207,116371,93115,23256,4571730,2341126,2230604,129599,41436,88163,33077,13672,19405,10894,4115,6779,0,0,0
23,000,State - MADHYA PRADESH (23),Total,40-44,4214474,2193888,2020586,69901,55471,14430,3927833,2069346,1858487,179054,53773,125281,28663,11966,16697,9023,3332,5691,0,0,0
23,000,State - MADHYA PRADESH (23),Total,45-49,3522961,1838798,1684163,44113,34339,9774,3237833,1731753,1506080,213441,61433,152008,21041,8759,12282,6533,2514,4019,0,0,0
23,000,State - MADHYA PRADESH (23),Total,50-54,2694372,1446522,1247850,32760,25142,7618,2388478,1343322,1045156,253961,70265,183696,14713,6129,8584,4460,1664,2796,0,0,0
23,000,State - MADHYA PRADESH (23),Total,55-59,2058077,1030243,1027834,23476,17171,6305,1782936,941744,841192,240473,66635,173838,8667,3777,4890,2525,916,1609,0,0,0
23,000,State - MADHYA PRADESH (23),Total,60-64,1987410,989463,997947,41310,26586,14724,1518487,856895,661592,417199,101481,315718,8035,3585,4450,2379,916,1463,0,0,0
23,000,State - MADHYA PRADESH (23),Total,65-69,1427061,680005,747056,39152,24788,14364,1002894,558380,444514,379075,94047,285028,4633,2268,2365,1307,522,785,0,0,0
23,000,State - MADHYA PRADESH (23),Total,70-74,1107421,545246,562175,22275,14816,7459,649502,420520,228982,431576,107971,323605,3021,1560,1461,1047,379,668,0,0,0
23,000,State - MADHYA PRADESH (23),Total,75-79,523355,244807,278548,10828,7019,3809,294252,176611,117641,216702,60406,156296,1161,622,539,412,149,263,0,0,0
23,000,State - MADHYA PRADESH (23),Total,80+,668069,310035,358034,43172,26278,16894,288846,186164,102682,334011,96645,237366,1451,757,694,589,191,398,0,0,0
