state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
27,000,State - MAHARASHTRA (27),Total,All ages,112374333,58243056,54131277,48854680,28257463,20597217,57376896,28809352,28567544,5514199,993435,4520764,418776,127298,291478,209782,55508,154274,0,0,0
27,000,State - MAHARASHTRA (27),Total,0-9,19182680,10117806,9064874,19182680,10117806,9064874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,000,State - MAHARASHTRA (27),Total,10-14,10734535,5662261,5072274,10357152,5497871,4859281,348832,152071,196761,17048,6661,10387,9519,4719,4800,1984,939,1045,0,0,0
27,000,State - MAHARASHTRA (27),Total,15-19,10627267,5710400,4916867,9359684,5422147,3937537,1223312,272363,950949,26875,9392,17483,13069,5404,7665,4327,1094,3233,0,0,0
27,000,State - MAHARASHTRA (27),Total,20-24,11090966,5845114,5245852,5993453,4353353,1640100,4997959,1465782,3532177,52517,14019,38498,30805,9046,21759,16232,2914,13318,0,0,0
27,000,State - MAHARASHTRA (27),Total,25-29,10147113,5272560,4874553,2280471,1803361,477110,7696577,3429323,4267254,97488,20764,76724,46121,12888,33233,26456,6224,20232,0,0,0
27,000,State - MAHARASHTRA (27),Total,30-34,8796307,4536297,4260010,613730,450315,163415,7935097,4033340,3901757,160859,28597,132262,54719,15591,39128,31902,8454,23448,0,0,0
27,000,State - MAHARASHTRA (27),Total,35-39,8247160,4209434,4037726,242817,153602,89215,7666499,3992879,3673620,244835,36432,208403,59996,17232,42764,33013,9289,23724,0,0,0
27,000,State - MAHARASHTRA (27),Total,40-44,7196089,3744825,3451264,147228,85247,61981,6639505,3588801,3050704,325402,47024,278378,55171,15888,39283,28783,7865,20918,0,0,0
27,000,State - MAHARASHTRA (27),Total,45-49,6032454,3116218,2916236,93159,50606,42553,5494218,2992565,2501653,382310,55258,327052,41693,12015,29678,21074,5774,15300,0,0,0
27,000,State - MAHARASHTRA (27),Total,50-54,4919317,2580991,2338326,72048,37698,34350,4352438,2459619,1892819,447664,70364,377300,32013,9199,22814,15154,4111,11043,0,0,0
27,000,State - MAHARASHTRA (27),Total,55-59,3885814,1974129,1911685,55402,28321,27081,3345034,1860309,1484725,454897,76389,378508,20791,6356,14435,9690,2754,6936,0,0,0
27,000,State - MAHARASHTRA (27),Total,60-64,3642480,1716639,1925841,68289,32841,35448,2846083,1563980,1282103,700679,111872,588807,19588,5759,13829,7841,2187,5654,0,0,0
27,000,State - MAHARASHTRA (27),Total,65-69,3078352,1440238,1638114,69145,35056,34089,2185354,1267502,917852,802604,131365,671239,15565,4831,10734,5684,1484,4200,0,0,0
27,000,State - MAHARASHTRA (27),Total,70-74,2143136,1039292,1103844,37788,19213,18575,1316315,872304,444011,776226,143110,633116,9459,3643,5816,3348,1022,2326,0,0,0
27,000,State - MAHARASHTRA (27),Total,75-79,1062773,515431,547342,19468,9665,9803,602045,405492,196553,435691,97967,337724,4052,1835,2217,1517,472,1045,0,0,0
27,000,State - MAHARASHTRA (27),Total,80+,1180194,542109,638085,73527,41807,31720,532415,357597,174818,568009,140020,427989,4360,2099,2261,1883,586,1297,0,0,0
27,000,State - MAHARASHTRA (27),Total,Age not stated,407696,219312,188384,188639,118554,70085,195213,95425,99788,21095,4201,16894,1855,793,1062,894,339,555,0,0,0
