state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
14,000,State - MANIPUR (14),Total,All ages,2855794,1438586,1417208,1547572,817403,730169,1194813,595143,599670,97460,19470,77990,9703,4807,4896,6246,1763,4483,0,0,0
14,000,State - MANIPUR (14),Total,0-9,547925,282926,264999,547925,282926,264999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,000,State - MANIPUR (14),Total,10-14,313763,161146,152617,308890,159473,149417,4459,1512,2947,191,56,135,185,87,98,38,18,20,0,0,0
14,000,State - MANIPUR (14),Total,15-19,287008,144495,142513,267864,140017,127847,18487,4283,14204,364,93,271,220,82,138,73,20,53,0,0,0
14,000,State - MANIPUR (14),Total,20-24,281782,139587,142195,199778,112659,87119,80255,26358,53897,793,165,628,596,308,288,360,97,263,0,0,0
14,000,State - MANIPUR (14),Total,25-29,270477,132888,137589,116659,67166,49493,150384,64543,85841,1678,357,1321,1106,640,466,650,182,468,0,0,0
14,000,State - MANIPUR (14),Total,30-34,220954,109678,111276,50657,28497,22160,165116,79706,85410,3056,536,2520,1257,686,571,868,253,615,0,0,0
14,000,State - MANIPUR (14),Total,35-39,198453,98019,100434,22844,11685,11159,168717,84645,84072,4733,746,3987,1313,698,615,846,245,601,0,0,0
14,000,State - MANIPUR (14),Total,40-44,170829,85896,84933,11036,5016,6020,151423,79026,72397,6357,941,5416,1192,655,537,821,258,563,0,0,0
14,000,State - MANIPUR (14),Total,45-49,147030,73917,73113,5934,2480,3454,131688,69588,62100,7725,1169,6556,949,481,468,734,199,535,0,0,0
14,000,State - MANIPUR (14),Total,50-54,120277,60598,59679,3377,1313,2064,106148,57359,48789,9407,1484,7923,721,271,450,624,171,453,0,0,0
14,000,State - MANIPUR (14),Total,55-59,89499,45409,44090,1948,744,1204,76958,42791,34167,9643,1596,8047,525,160,365,425,118,307,0,0,0
14,000,State - MANIPUR (14),Total,60-64,71897,36567,35330,1807,792,1015,57184,33373,23811,12084,2134,9950,492,184,308,330,84,246,0,0,0
14,000,State - MANIPUR (14),Total,65-69,46648,23218,23430,1341,591,750,34309,20393,13916,10494,2073,8421,325,121,204,179,40,139,0,0,0
14,000,State - MANIPUR (14),Total,70-74,34253,16776,17477,703,282,421,22204,13923,8281,10917,2416,8501,308,132,176,121,23,98,0,0,0
14,000,State - MANIPUR (14),Total,75-79,21428,10663,10765,370,158,212,12764,8270,4494,7999,2094,5905,211,118,93,84,23,61,0,0,0
14,000,State - MANIPUR (14),Total,80+,25794,12571,13223,1464,713,751,12190,8099,4091,11783,3552,8231,278,178,100,79,29,50,0,0,0
14,000,State - MANIPUR (14),Total,Age not stated,7777,4232,3545,4975,2891,2084,2527,1274,1253,236,58,178,25,6,19,14,3,11,0,0,0
14,000,State - MANIPUR (14),Total,Less than 18,1033529,530977,502552,1021073,527343,493730,11676,3372,8304,411,106,305,299,129,170,70,27,43,0,0,0
14,000,State - MANIPUR (14),Total,Less than 21,1215388,621633,593755,1178089,611834,566255,35920,9363,26557,716,181,535,493,204,289,170,51,119,0,0,0
14,000,State - MANIPUR (14),Rural,All ages,2021640,1026884,994756,1126032,598268,527764,823898,411031,412867,61085,12881,48204,6536,3520,3016,4089,1184,2905,0,0,0
14,000,State - MANIPUR (14),Rural,0-9,401825,208206,193619,401825,208206,193619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,000,State - MANIPUR (14),Rural,10-14,230842,119214,111628,227425,118059,109366,3174,1064,2110,130,36,94,88,40,48,25,15,10,0,0,0
14,000,State - MANIPUR (14),Rural,15-19,213039,107906,105133,199520,104783,94737,13104,3002,10102,238,60,178,125,48,77,52,13,39,0,0,0
14,000,State - MANIPUR (14),Rural,20-24,204739,102223,102516,145938,82804,63134,57575,19024,38551,536,110,426,429,225,204,261,60,201,0,0,0
14,000,State - MANIPUR (14),Rural,25-29,188887,93626,95261,80629,46760,33869,105842,45977,59865,1151,267,884,795,487,308,470,135,335,0,0,0
14,000,State - MANIPUR (14),Rural,30-34,151922,76143,75779,34327,19493,14834,114025,55566,58459,2043,374,1669,925,536,389,602,174,428,0,0,0
14,000,State - MANIPUR (14),Rural,35-39,135625,67639,67986,15119,7977,7142,115935,58420,57515,3070,528,2542,934,537,397,567,177,390,0,0,0
14,000,State - MANIPUR (14),Rural,40-44,117107,59442,57665,6986,3354,3632,104604,54733,49871,4156,693,3463,832,497,335,529,165,364,0,0,0
14,000,State - MANIPUR (14),Rural,45-49,100201,50660,49541,3595,1609,1986,90514,47777,42737,4995,800,4195,635,348,287,462,126,336,0,0,0
14,000,State - MANIPUR (14),Rural,50-54,80585,41105,39480,2057,857,1200,71746,38952,32794,5985,1022,4963,430,170,260,367,104,263,0,0,0
14,000,State - MANIPUR (14),Rural,55-59,59601,30555,29046,1170,462,708,51803,28833,22970,6069,1078,4991,296,100,196,263,82,181,0,0,0
14,000,State - MANIPUR (14),Rural,60-64,48223,24875,23348,1161,530,631,38945,22732,16213,7624,1447,6177,294,119,175,199,47,152,0,0,0
14,000,State - MANIPUR (14),Rural,65-69,31006,15677,15329,857,376,481,23192,13794,9398,6641,1395,5246,212,86,126,104,26,78,0,0,0
14,000,State - MANIPUR (14),Rural,70-74,22588,11301,11287,462,187,275,15063,9434,5629,6784,1561,5223,205,99,106,74,20,54,0,0,0
14,000,State - MANIPUR (14),Rural,75-79,13656,6961,6695,236,107,129,8459,5419,3040,4771,1326,3445,134,90,44,56,19,37,0,0,0
14,000,State - MANIPUR (14),Rural,80+,16142,8208,7934,1048,529,519,8130,5387,2743,6731,2142,4589,184,132,52,49,18,31,0,0,0
