state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
17,000,State - MEGHALAYA (17),Total,All ages,2966889,1491832,1475057,1749728,932373,817355,1069842,530185,539657,101448,16623,84825,36582,10379,26203,9289,2272,7017,0,0,0
17,000,State - MEGHALAYA (17),Total,0-9,795336,403431,391905,795336,403431,391905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,000,State - MEGHALAYA (17),Total,10-14,382606,193473,189133,376531,191641,184890,5551,1645,3906,230,77,153,254,94,160,40,16,24,0,0,0
17,000,State - MEGHALAYA (17),Total,15-19,326188,164716,161472,290687,158360,132327,33422,6000,27422,526,124,402,1345,202,1143,208,30,178,0,0,0
17,000,State - MEGHALAYA (17),Total,20-24,285012,139140,145872,154456,95690,58766,123555,42156,81399,1425,224,1201,4750,954,3796,826,116,710,0,0,0
17,000,State - MEGHALAYA (17),Total,25-29,251281,124676,126605,66837,42953,23884,175323,79728,95595,2448,397,2051,5527,1371,4156,1146,227,919,0,0,0
17,000,State - MEGHALAYA (17),Total,30-34,189657,95786,93871,25999,16496,9503,154526,77225,77301,3393,566,2827,4678,1249,3429,1061,250,811,0,0,0
17,000,State - MEGHALAYA (17),Total,35-39,174706,87320,87386,13165,8244,4921,150050,76692,73358,5677,850,4827,4626,1266,3360,1188,268,920,0,0,0
17,000,State - MEGHALAYA (17),Total,40-44,145450,73377,72073,7253,4436,2817,124784,66290,58494,8063,1161,6902,4225,1203,3022,1125,287,838,0,0,0
17,000,State - MEGHALAYA (17),Total,45-49,123115,63043,60072,4375,2638,1737,103318,57428,45890,10901,1627,9274,3508,1102,2406,1013,248,765,0,0,0
17,000,State - MEGHALAYA (17),Total,50-54,88743,45910,42833,2906,1695,1211,70421,41464,28957,12011,1704,10307,2558,821,1737,847,226,621,0,0,0
17,000,State - MEGHALAYA (17),Total,55-59,60109,30692,29417,1789,987,802,45411,27321,18090,10715,1616,9099,1632,591,1041,562,177,385,0,0,0
17,000,State - MEGHALAYA (17),Total,60-64,50708,25421,25287,2340,1266,1074,34137,21488,12649,12380,1994,10386,1381,520,861,470,153,317,0,0,0
17,000,State - MEGHALAYA (17),Total,65-69,35774,17482,18292,2140,1150,990,21540,14000,7540,10887,1825,9062,873,389,484,334,118,216,0,0,0
