state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
15,000,State - MIZORAM (15),Total,All ages,1097206,555339,541867,599506,318194,281312,431768,217637,214131,36719,8150,28569,11613,4826,6787,17600,6532,11068,0,0,0
15,000,State - MIZORAM (15),Total,0-9,239021,121429,117592,239021,121429,117592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,000,State - MIZORAM (15),Total,10-14,116981,59526,57455,115722,59104,56618,1139,378,761,43,12,31,48,22,26,29,10,19,0,0,0
15,000,State - MIZORAM (15),Total,15-19,110343,55907,54436,101650,54009,47641,8196,1784,6412,95,20,75,228,50,178,174,44,130,0,0,0
15,000,State - MIZORAM (15),Total,20-24,111708,55512,56196,67699,39399,28300,41025,15371,25654,483,96,387,1281,327,954,1220,319,901,0,0,0
15,000,State - MIZORAM (15),Total,25-29,102346,51390,50956,34645,20665,13980,62713,29178,33535,912,196,716,1945,661,1284,2131,690,1441,0,0,0
15,000,State - MIZORAM (15),Total,30-34,88374,44341,44033,17328,10206,7122,65276,32186,33090,1380,285,1095,1869,765,1104,2521,899,1622,0,0,0
15,000,State - MIZORAM (15),Total,35-39,72384,36817,35567,8402,4874,3528,58380,30015,28365,1826,374,1452,1482,673,809,2294,881,1413,0,0,0
15,000,State - MIZORAM (15),Total,40-44,58180,29970,28210,4516,2670,1846,47955,25432,22523,2445,472,1973,1213,576,637,2051,820,1231,0,0,0
15,000,State - MIZORAM (15),Total,45-49,53175,27028,26147,3239,1855,1384,43850,23419,20431,3202,563,2639,1015,476,539,1869,715,1154,0,0,0
15,000,State - MIZORAM (15),Total,50-54,44256,22556,21700,2303,1364,939,35692,19452,16240,3823,682,3141,792,398,394,1646,660,986,0,0,0
15,000,State - MIZORAM (15),Total,55-59,31177,16139,15038,1417,797,620,24434,14031,10403,3748,675,3073,535,248,287,1043,388,655,0,0,0
15,000,State - MIZORAM (15),Total,60-64,24480,12357,12123,1181,624,557,17839,10416,7423,4248,829,3419,374,177,197,838,311,527,0,0,0
15,000,State - MIZORAM (15),Total,65-69,16170,8114,8056,865,420,445,10836,6546,4290,3586,788,2798,283,132,151,600,228,372,0,0,0
15,000,State - MIZORAM (15),Total,70-74,12020,6108,5912,483,221,262,7269,4643,2626,3628,926,2702,192,110,82,448,208,240,0,0,0
15,000,State - MIZORAM (15),Total,75-79,7784,3884,3900,227,82,145,3972,2649,1323,3099,904,2195,160,92,68,326,157,169,0,0,0
15,000,State - MIZORAM (15),Total,80+,8174,3882,4292,405,214,191,3010,2030,980,4176,1325,2851,183,115,68,400,198,202,0,0,0
15,000,State - MIZORAM (15),Total,Age not stated,633,379,254,403,261,142,182,107,75,25,3,22,13,4,9,10,4,6,0,0,0
15,000,State - MIZORAM (15),Total,Less than 18,422294,214789,207505,418371,213815,204556,3663,893,2770,84,22,62,112,39,73,64,20,44,0,0,0
15,000,State - MIZORAM (15),Total,Less than 21,490885,249130,241755,474324,244834,229490,15522,4049,11473,199,44,155,478,109,369,362,94,268,0,0,0
15,000,State - MIZORAM (15),Rural,All ages,525435,269135,256300,289853,156210,133643,207899,103941,103958,16384,4274,12110,5035,2165,2870,6264,2545,3719,0,0,0
15,000,State - MIZORAM (15),Rural,0-9,131868,67150,64718,131868,67150,64718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,000,State - MIZORAM (15),Rural,10-14,60088,30836,29252,59402,30603,28799,619,207,412,27,9,18,25,10,15,15,7,8,0,0,0
15,000,State - MIZORAM (15),Rural,15-19,50257,26000,24257,45164,24900,20264,4824,1046,3778,60,12,48,111,20,91,98,22,76,0,0,0
15,000,State - MIZORAM (15),Rural,20-24,50969,25314,25655,26425,16306,10119,23099,8647,14452,256,59,197,642,165,477,547,137,410,0,0,0
15,000,State - MIZORAM (15),Rural,25-29,46384,23442,22942,12155,7853,4302,32130,14948,17182,443,99,344,852,286,566,804,256,548,0,0,0
15,000,State - MIZORAM (15),Rural,30-34,38740,19801,18939,5709,3721,1988,30918,15356,15562,609,151,458,754,318,436,750,255,495,0,0,0
15,000,State - MIZORAM (15),Rural,35-39,31629,16461,15168,2833,1780,1053,26793,13943,12850,752,190,562,577,266,311,674,282,392,0,0,0
15,000,State - MIZORAM (15),Rural,40-44,24818,12925,11893,1679,1116,563,21087,11057,10030,978,238,740,463,238,225,611,276,335,0,0,0
15,000,State - MIZORAM (15),Rural,45-49,23045,11983,11062,1285,838,447,19529,10369,9160,1263,300,963,402,210,192,566,266,300,0,0,0
15,000,State - MIZORAM (15),Rural,50-54,20258,10538,9720,1004,637,367,16694,9074,7620,1656,390,1266,345,184,161,559,253,306,0,0,0
15,000,State - MIZORAM (15),Rural,55-59,14603,7770,6833,621,378,243,11749,6737,5012,1610,360,1250,244,117,127,379,178,201,0,0,0
15,000,State - MIZORAM (15),Rural,60-64,11736,6110,5626,594,324,270,8585,5050,3535,2001,484,1517,200,102,98,356,150,206,0,0,0
15,000,State - MIZORAM (15),Rural,65-69,7878,4105,3773,426,233,193,5299,3237,2062,1722,434,1288,141,72,69,290,129,161,0,0,0
15,000,State - MIZORAM (15),Rural,70-74,5572,2907,2665,247,121,126,3346,2126,1220,1663,475,1188,87,58,29,229,127,102,0,0,0
15,000,State - MIZORAM (15),Rural,75-79,3599,1876,1723,95,39,56,1813,1232,581,1431,457,974,84,50,34,176,98,78,0,0,0
15,000,State - MIZORAM (15),Rural,80+,3711,1763,1948,176,103,73,1325,869,456,1903,616,1287,98,66,32,209,109,100,0,0,0
15,000,State - MIZORAM (15),Rural,Age not stated,280,154,126,170,108,62,89,43,46,10,0,10,10,3,7,1,0,1,0,0,0
15,000,State - MIZORAM (15),Rural,Less than 18,222610,114067,108543,220496,113546,106950,1973,477,1496,52,15,37,55,16,39,34,13,21,0,0,0
15,000,State - MIZORAM (15),Rural,Less than 21,253593,129681,123912,243879,127165,116714,9157,2386,6771,115,29,86,246,49,197,196,52,144,0,0,0
15,000,State - MIZORAM (15),Urban,All ages,571771,286204,285567,309653,161984,147669,223869,113696,110173,20335,3876,16459,6578,2661,3917,11336,3987,7349,0,0,0
15,000,State - MIZORAM (15),Urban,0-9,107153,54279,52874,107153,54279,52874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
