state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
13,000,State - NAGALAND (13),Total,All ages,1978502,1024649,953853,1192160,639157,553003,720923,368633,352290,50404,10908,39496,8694,3780,4914,6321,2171,4150,0,0,0
13,000,State - NAGALAND (13),Total,0-9,430361,221938,208423,430361,221938,208423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,000,State - NAGALAND (13),Total,10-14,248671,129237,119434,245824,128282,117542,2640,876,1764,100,36,64,91,39,52,16,4,12,0,0,0
13,000,State - NAGALAND (13),Total,15-19,229622,117994,111628,216275,115153,101122,12925,2704,10221,165,57,108,196,66,130,61,14,47,0,0,0
13,000,State - NAGALAND (13),Total,20-24,204363,103769,100594,149829,86295,63534,52911,17011,35900,549,130,419,681,233,448,393,100,293,0,0,0
13,000,State - NAGALAND (13),Total,25-29,176901,89598,87303,79652,47688,31964,94177,41012,53165,1152,260,892,1160,409,751,760,229,531,0,0,0
13,000,State - NAGALAND (13),Total,30-34,149924,76505,73419,35160,20911,14249,110106,54249,55857,2258,497,1761,1353,498,855,1047,350,697,0,0,0
13,000,State - NAGALAND (13),Total,35-39,128198,64695,63503,14395,8142,6253,108506,54989,53517,3032,656,2376,1253,556,697,1012,352,660,0,0,0
13,000,State - NAGALAND (13),Total,40-44,109261,57653,51608,6625,3491,3134,96528,52517,44011,4158,822,3336,1070,489,581,880,334,546,0,0,0
13,000,State - NAGALAND (13),Total,45-49,87747,47757,39990,3390,1746,1644,78139,44461,33678,4682,877,3805,868,441,427,668,232,436,0,0,0
13,000,State - NAGALAND (13),Total,50-54,65859,36134,29725,2296,1196,1100,57095,33475,23620,5325,958,4367,634,326,308,509,179,330,0,0,0
13,000,State - NAGALAND (13),Total,55-59,43398,23741,19657,1391,684,707,36550,21833,14717,4761,901,3860,390,196,194,306,127,179,0,0,0
13,000,State - NAGALAND (13),Total,60-64,36519,19683,16836,2013,1025,988,28019,17286,10733,5881,1104,4777,354,174,180,252,94,158,0,0,0
13,000,State - NAGALAND (13),Total,65-69,24243,12801,11442,1863,975,888,17261,10684,6577,4737,985,3752,213,101,112,169,56,113,0,0,0
13,000,State - NAGALAND (13),Total,70-74,17593,9260,8333,775,368,407,11762,7724,4038,4804,1046,3758,141,74,67,111,48,63,0,0,0
13,000,State - NAGALAND (13),Total,75-79,10565,5635,4930,370,178,192,6728,4491,2237,3280,872,2408,123,71,52,64,23,41,0,0,0
13,000,State - NAGALAND (13),Total,80+,13806,7400,6406,874,443,431,7222,5136,2086,5483,1690,3793,160,105,55,67,26,41,0,0,0
13,000,State - NAGALAND (13),Total,Age not stated,1471,849,622,1067,642,425,354,185,169,37,17,20,7,2,5,6,3,3,0,0,0
13,000,State - NAGALAND (13),Total,Less than 18,820308,423930,396378,811578,421705,389873,8344,2079,6265,197,75,122,159,65,94,30,6,24,0,0,0
13,000,State - NAGALAND (13),Total,Less than 21,958143,494254,463889,932532,487893,444639,24731,6081,18650,358,118,240,394,137,257,128,25,103,0,0,0
13,000,State - NAGALAND (13),Rural,All ages,1407536,725472,682064,855567,458725,396842,504056,253725,250331,37382,8898,28484,6003,2513,3490,4528,1611,2917,0,0,0
13,000,State - NAGALAND (13),Rural,0-9,320885,166101,154784,320885,166101,154784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,000,State - NAGALAND (13),Rural,10-14,181149,94658,86491,179143,93982,85161,1854,617,1237,70,27,43,70,29,41,12,3,9,0,0,0
13,000,State - NAGALAND (13),Rural,15-19,161926,83359,78567,152461,81319,71142,9147,1945,7202,128,40,88,139,42,97,51,13,38,0,0,0
13,000,State - NAGALAND (13),Rural,20-24,139581,70944,68637,101803,58665,43138,36521,11928,24593,429,111,318,513,161,352,315,79,236,0,0,0
13,000,State - NAGALAND (13),Rural,25-29,117131,58588,58543,52261,30929,21332,62606,26995,35611,855,215,640,834,274,560,575,175,400,0,0,0
13,000,State - NAGALAND (13),Rural,30-34,100492,50782,49710,23614,13989,9625,73628,35782,37846,1545,400,1145,949,336,613,756,275,481,0,0,0
13,000,State - NAGALAND (13),Rural,35-39,87170,43067,44103,9988,5660,4328,73651,36272,37379,2022,533,1489,805,345,460,704,257,447,0,0,0
13,000,State - NAGALAND (13),Rural,40-44,76029,39211,36818,4882,2568,2314,67003,35425,31578,2867,664,2203,681,318,363,596,236,360,0,0,0
13,000,State - NAGALAND (13),Rural,45-49,61345,32644,28701,2421,1275,1146,54775,30251,24524,3159,686,2473,567,280,287,423,152,271,0,0,0
13,000,State - NAGALAND (13),Rural,50-54,47518,25376,22142,1715,911,804,41211,23372,17839,3821,763,3058,407,200,207,364,130,234,0,0,0
13,000,State - NAGALAND (13),Rural,55-59,31751,16898,14853,1051,530,521,26824,15472,11352,3404,679,2725,260,127,133,212,90,122,0,0,0
13,000,State - NAGALAND (13),Rural,60-64,28201,14898,13303,1556,779,777,21667,13043,8624,4538,893,3645,251,112,139,189,71,118,0,0,0
13,000,State - NAGALAND (13),Rural,65-69,18939,9930,9009,1357,713,644,13681,8298,5383,3612,799,2813,162,76,86,127,44,83,0,0,0
13,000,State - NAGALAND (13),Rural,70-74,14353,7550,6803,581,274,307,9685,6273,3412,3874,896,2978,119,64,55,94,43,51,0,0,0
13,000,State - NAGALAND (13),Rural,75-79,8629,4606,4023,294,144,150,5547,3648,1899,2635,737,1898,102,57,45,51,20,31,0,0,0
13,000,State - NAGALAND (13),Rural,80+,11163,6128,5035,625,328,297,5953,4248,1705,4394,1442,2952,138,90,48,53,20,33,0,0,0
13,000,State - NAGALAND (13),Rural,Age not stated,1274,732,542,930,558,372,303,156,147,29,13,16,6,2,4,6,3,3,0,0,0
13,000,State - NAGALAND (13),Rural,Less than 18,602199,312536,289663,596010,310965,285045,5905,1467,4438,146,54,92,115,45,70,23,5,18,0,0,0
13,000,State - NAGALAND (13),Rural,Less than 21,699362,362227,337135,681030,357554,323476,17658,4469,13189,272,87,185,295,95,200,107,22,85,0,0,0
13,000,State - NAGALAND (13),Urban,All ages,570966,299177,271789,336593,180432,156161,216867,114908,101959,13022,2010,11012,2691,1267,1424,1793,560,1233,0,0,0
