state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
21,000,State - ODISHA (21),Total,All ages,41974218,21212136,20762082,19537946,10767865,8770081,20188960,9941711,10247249,2068214,455587,1612627,142774,40494,102280,36324,6479,29845,0,0,0
21,000,State - ODISHA (21),Total,0-9,7727797,3963466,3764331,7727797,3963466,3764331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,000,State - ODISHA (21),Total,10-14,4348625,2203535,2145090,4283727,2180366,2103361,59513,21159,38354,3071,1000,2071,1982,868,1114,332,142,190,0,0,0
21,000,State - ODISHA (21),Total,15-19,3925398,1972684,1952714,3575567,1912942,1662625,339986,56895,283091,5486,1583,3903,3635,1093,2542,724,171,553,0,0,0
21,000,State - ODISHA (21),Total,20-24,3783527,1870939,1912588,2238095,1490947,747148,1518835,373993,1144842,13340,3197,10143,10676,2388,8288,2581,414,2167,0,0,0
21,000,State - ODISHA (21),Total,25-29,3574037,1772876,1801161,1019954,786494,233460,2503692,975249,1528443,28838,6339,22499,17152,4062,13090,4401,732,3669,0,0,0
21,000,State - ODISHA (21),Total,30-34,3102991,1542233,1560758,321431,239253,82178,2708499,1288241,1420258,48270,9216,39054,19437,4603,14834,5354,920,4434,0,0,0
21,000,State - ODISHA (21),Total,35-39,3051188,1528685,1522503,114634,67400,47234,2831622,1441530,1390092,78052,13387,64665,21090,5350,15740,5790,1018,4772,0,0,0
21,000,State - ODISHA (21),Total,40-44,2691474,1387920,1303554,60846,29389,31457,2494446,1333475,1160971,111895,19335,92560,19200,4931,14269,5087,790,4297,0,0,0
21,000,State - ODISHA (21),Total,45-49,2334030,1212366,1121664,36494,16216,20278,2136925,1165744,971181,142162,25928,116234,14774,3861,10913,3675,617,3058,0,0,0
21,000,State - ODISHA (21),Total,50-54,1847812,957524,890288,22922,9843,13079,1635463,910965,724498,176434,33275,143159,10547,3026,7521,2446,415,2031,0,0,0
21,000,State - ODISHA (21),Total,55-59,1483720,744291,739429,14793,6578,8215,1281531,698294,583237,179089,36911,142178,6693,2192,4501,1614,316,1298,0,0,0
21,000,State - ODISHA (21),Total,60-64,1474061,737635,736426,17207,7568,9639,1125961,662679,463282,322118,64481,257637,7086,2583,4503,1689,324,1365,0,0,0
21,000,State - ODISHA (21),Total,65-69,979525,487849,491676,13164,6201,6963,683856,419664,264192,277571,60001,217570,3996,1791,2205,938,192,746,0,0,0
21,000,State - ODISHA (21),Total,70-74,768070,380635,387435,8506,3910,4596,446991,305352,141639,308761,69604,239157,2998,1569,1429,814,200,614,0,0,0
21,000,State - ODISHA (21),Total,75-79,364800,183294,181506,3551,1741,1810,199291,137569,61722,160308,43027,117281,1353,876,477,297,81,216,0,0,0
21,000,State - ODISHA (21),Total,80+,397992,204857,193135,15553,8733,6820,174060,128047,46013,206307,66853,139454,1648,1117,531,424,107,317,0,0,0
21,000,State - ODISHA (21),Total,Age not stated,119171,61347,57824,63705,36818,26887,48289,22855,25434,6512,1450,5062,507,184,323,158,40,118,0,0,0
21,000,State - ODISHA (21),Total,Less than 18,14413106,7338658,7074448,14243239,7290460,6952779,159458,44644,114814,6303,1910,4393,3478,1405,2073,628,239,389,0,0,0
21,000,State - ODISHA (21),Total,Less than 21,16979851,8609880,8369971,16258179,8472416,7785763,700777,131393,569384,11521,3257,8264,7827,2417,5410,1547,397,1150,0,0,0
21,000,State - ODISHA (21),Rural,All ages,34970562,17586203,17384359,16282503,8914841,7367662,16768411,8232247,8536164,1768013,398438,1369575,120984,35228,85756,30651,5449,25202,0,0,0
21,000,State - ODISHA (21),Rural,0-9,6631111,3391082,3240029,6631111,3391082,3240029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,000,State - ODISHA (21),Rural,10-14,3705396,1872543,1832853,3651696,1853379,1798317,49236,17507,31729,2566,841,1725,1635,706,929,263,110,153,0,0,0
21,000,State - ODISHA (21),Rural,15-19,3240171,1616989,1623182,2941384,1566325,1375059,290470,48272,242198,4640,1352,3288,3080,904,2176,597,136,461,0,0,0
21,000,State - ODISHA (21),Rural,20-24,3078847,1513663,1565184,1762697,1185245,577452,1293518,323250,970268,11251,2721,8530,9190,2095,7095,2191,352,1839,0,0,0
21,000,State - ODISHA (21),Rural,25-29,2918990,1446384,1472606,779617,605068,174549,2096717,831577,1265140,24237,5464,18773,14673,3635,11038,3746,640,3106,0,0,0
21,000,State - ODISHA (21),Rural,30-34,2520189,1247203,1272986,234270,172096,62174,2224958,1062471,1162487,40132,7871,32261,16307,3974,12333,4522,791,3731,0,0,0
21,000,State - ODISHA (21),Rural,35-39,2487391,1242592,1244799,83834,46693,37141,2316566,1178915,1137651,64557,11536,53021,17626,4597,13029,4808,851,3957,0,0,0
21,000,State - ODISHA (21),Rural,40-44,2196313,1126384,1069929,45628,20580,25048,2037924,1084254,953670,92546,16726,75820,15974,4183,11791,4241,641,3600,0,0,0
21,000,State - ODISHA (21),Rural,45-49,1905599,982737,922862,27279,11452,15827,1745701,945020,800681,117078,22409,94669,12441,3342,9099,3100,514,2586,0,0,0
21,000,State - ODISHA (21),Rural,50-54,1516062,776529,739533,17064,6983,10081,1341892,737884,604008,146132,28702,117430,8922,2618,6304,2052,342,1710,0,0,0
21,000,State - ODISHA (21),Rural,55-59,1235630,607411,628219,11072,4853,6219,1067748,568581,499167,149733,31789,117944,5717,1919,3798,1360,269,1091,0,0,0
21,000,State - ODISHA (21),Rural,60-64,1269444,630692,638752,13644,5888,7756,968597,565150,403447,279513,57054,222459,6229,2324,3905,1461,276,1185,0,0,0
21,000,State - ODISHA (21),Rural,65-69,851670,421279,430391,10476,4883,5593,592324,361194,231130,244496,53421,191075,3538,1616,1922,836,165,671,0,0,0
21,000,State - ODISHA (21),Rural,70-74,666519,329265,337254,6751,3071,3680,385899,263041,122858,270510,61585,208925,2649,1401,1248,710,167,543,0,0,0
21,000,State - ODISHA (21),Rural,75-79,314077,157552,156525,2802,1358,1444,171135,117762,53373,138719,37594,101125,1151,763,388,270,75,195,0,0,0
21,000,State - ODISHA (21),Rural,80+,337943,175428,162515,12103,6797,5306,147679,109427,38252,176369,58122,118247,1434,995,439,358,87,271,0,0,0
21,000,State - ODISHA (21),Rural,Age not stated,95210,48470,46740,51075,29088,21987,38047,17942,20105,5534,1251,4283,418,156,262,136,33,103,0,0,0
21,000,State - ODISHA (21),Rural,Less than 18,12280782,6232758,6048024,12139729,6192872,5946857,132387,36944,95443,5310,1626,3684,2862,1136,1726,494,180,314,0,0,0
21,000,State - ODISHA (21),Rural,Less than 21,14384406,7265852,7118554,13767065,7148832,6618233,599668,111918,487750,9742,2776,6966,6642,2006,4636,1289,320,969,0,0,0
21,000,State - ODISHA (21),Urban,All ages,7003656,3625933,3377723,3255443,1853024,1402419,3420549,1709464,1711085,300201,57149,243052,21790,5266,16524,5673,1030,4643,0,0,0
21,000,State - ODISHA (21),Urban,0-9,1096686,572384,524302,1096686,572384,524302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,000,State - ODISHA (21),Urban,10-14,643229,330992,312237,632031,326987,305044,10277,3652,6625,505,159,346,347,162,185,69,32,37,0,0,0
21,000,State - ODISHA (21),Urban,15-19,685227,355695,329532,634183,346617,287566,49516,8623,40893,846,231,615,555,189,366,127,35,92,0,0,0
21,000,State - ODISHA (21),Urban,20-24,704680,357276,347404,475398,305702,169696,225317,50743,174574,2089,476,1613,1486,293,1193,390,62,328,0,0,0
21,000,State - ODISHA (21),Urban,25-29,655047,326492,328555,240337,181426,58911,406975,143672,263303,4601,875,3726,2479,427,2052,655,92,563,0,0,0
21,000,State - ODISHA (21),Urban,30-34,582802,295030,287772,87161,67157,20004,483541,225770,257771,8138,1345,6793,3130,629,2501,832,129,703,0,0,0
21,000,State - ODISHA (21),Urban,35-39,563797,286093,277704,30800,20707,10093,515056,262615,252441,13495,1851,11644,3464,753,2711,982,167,815,0,0,0
21,000,State - ODISHA (21),Urban,40-44,495161,261536,233625,15218,8809,6409,456522,249221,207301,19349,2609,16740,3226,748,2478,846,149,697,0,0,0
21,000,State - ODISHA (21),Urban,45-49,428431,229629,198802,9215,4764,4451,391224,220724,170500,25084,3519,21565,2333,519,1814,575,103,472,0,0,0
21,000,State - ODISHA (21),Urban,50-54,331750,180995,150755,5858,2860,2998,293571,173081,120490,30302,4573,25729,1625,408,1217,394,73,321,0,0,0
21,000,State - ODISHA (21),Urban,55-59,248090,136880,111210,3721,1725,1996,213783,129713,84070,29356,5122,24234,976,273,703,254,47,207,0,0,0
21,000,State - ODISHA (21),Urban,60-64,204617,106943,97674,3563,1680,1883,157364,97529,59835,42605,7427,35178,857,259,598,228,48,180,0,0,0
