state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
34,000,State - PUDUCHERRY (34),Total,All ages,1247953,612511,635442,532135,295081,237054,623377,305336,318041,83539,9960,73579,7475,1767,5708,1427,367,1060,0,0,0
34,000,State - PUDUCHERRY (34),Total,0-9,192666,98030,94636,192666,98030,94636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,000,State - PUDUCHERRY (34),Total,10-14,105726,53936,51790,104029,53290,50739,1500,552,948,93,39,54,102,55,47,2,0,2,0,0,0
34,000,State - PUDUCHERRY (34),Total,15-19,102316,52231,50085,95471,51163,44308,6598,995,5603,107,22,85,131,47,84,9,4,5,0,0,0
34,000,State - PUDUCHERRY (34),Total,20-24,108819,51287,57532,72525,44561,27964,35631,6599,29032,335,64,271,301,61,240,27,2,25,0,0,0
34,000,State - PUDUCHERRY (34),Total,25-29,118244,55052,63192,38890,28840,10050,77609,25933,51676,974,151,823,644,116,528,127,12,115,0,0,0
34,000,State - PUDUCHERRY (34),Total,30-34,111070,53761,57309,13720,10630,3090,93995,42633,51362,2243,268,1975,902,189,713,210,41,169,0,0,0
34,000,State - PUDUCHERRY (34),Total,35-39,107459,52655,54804,5050,3557,1493,96791,48414,48377,4080,329,3751,1250,270,980,288,85,203,0,0,0
34,000,State - PUDUCHERRY (34),Total,40-44,89779,45482,44297,2534,1579,955,80479,43147,37332,5410,432,4978,1145,255,890,211,69,142,0,0,0
34,000,State - PUDUCHERRY (34),Total,45-49,79305,40625,38680,1726,948,778,69297,38791,30506,7075,593,6482,1014,232,782,193,61,132,0,0,0
34,000,State - PUDUCHERRY (34),Total,50-54,60923,30858,30065,1236,584,652,51037,29344,21693,7830,722,7108,709,171,538,111,37,74,0,0,0
34,000,State - PUDUCHERRY (34),Total,55-59,50109,24615,25494,1014,423,591,39796,23206,16590,8781,857,7924,433,107,326,85,22,63,0,0,0
34,000,State - PUDUCHERRY (34),Total,60-64,43828,20498,23330,881,356,525,30824,18824,12000,11729,1205,10524,339,99,240,55,14,41,0,0,0
34,000,State - PUDUCHERRY (34),Total,65-69,27983,12154,15829,591,250,341,17222,10742,6480,9926,1100,8826,200,53,147,44,9,35,0,0,0
34,000,State - PUDUCHERRY (34),Total,70-74,22521,9861,12660,474,178,296,11622,8148,3474,10238,1481,8757,161,52,109,26,2,24,0,0,0
34,000,State - PUDUCHERRY (34),Total,75-79,12789,5494,7295,288,110,178,5932,4320,1612,6489,1033,5456,61,27,34,19,4,15,0,0,0
34,000,State - PUDUCHERRY (34),Total,80+,13315,5412,7903,416,202,214,4672,3521,1151,8133,1653,6480,76,32,44,18,4,14,0,0,0
34,000,State - PUDUCHERRY (34),Total,Age not stated,1101,560,541,624,380,244,372,167,205,96,11,85,7,1,6,2,1,1,0,0,0
34,000,State - PUDUCHERRY (34),Total,Less than 18,358301,182876,175425,354278,181709,172569,3686,1034,2652,164,53,111,165,77,88,8,3,5,0,0,0
34,000,State - PUDUCHERRY (34),Total,Less than 21,423758,215417,208341,410279,212993,197286,12936,2243,10693,249,67,182,280,110,170,14,4,10,0,0,0
34,000,State - PUDUCHERRY (34),Rural,All ages,395200,194907,200293,173639,96915,76724,191260,94005,97255,28037,3468,24569,2017,456,1561,247,63,184,0,0,0
34,000,State - PUDUCHERRY (34),Rural,0-9,64494,32920,31574,64494,32920,31574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,000,State - PUDUCHERRY (34),Rural,10-14,35351,17972,17379,34804,17766,17038,465,172,293,40,17,23,42,17,25,0,0,0,0,0,0
34,000,State - PUDUCHERRY (34),Rural,15-19,34019,17394,16625,31605,17048,14557,2340,324,2016,43,11,32,28,10,18,3,1,2,0,0,0
34,000,State - PUDUCHERRY (34),Rural,20-24,36272,17155,19117,23545,14822,8723,12492,2282,10210,136,30,106,92,20,72,7,1,6,0,0,0
34,000,State - PUDUCHERRY (34),Rural,25-29,38840,18442,20398,12343,9373,2970,25849,8968,16881,407,63,344,216,34,182,25,4,21,0,0,0
34,000,State - PUDUCHERRY (34),Rural,30-34,34114,16868,17246,3764,3043,721,29174,13662,15512,875,101,774,257,51,206,44,11,33,0,0,0
34,000,State - PUDUCHERRY (34),Rural,35-39,32946,16190,16756,1157,839,318,29846,15152,14694,1551,126,1425,341,59,282,51,14,37,0,0,0
34,000,State - PUDUCHERRY (34),Rural,40-44,26217,13362,12855,488,325,163,23448,12810,10638,1948,157,1791,297,58,239,36,12,24,0,0,0
34,000,State - PUDUCHERRY (34),Rural,45-49,23828,12218,11610,300,178,122,20706,11754,8952,2546,212,2334,246,62,184,30,12,18,0,0,0
34,000,State - PUDUCHERRY (34),Rural,50-54,17462,8814,8648,189,107,82,14347,8395,5952,2739,266,2473,173,45,128,14,1,13,0,0,0
34,000,State - PUDUCHERRY (34),Rural,55-59,14711,7082,7629,140,68,72,11537,6682,4855,2919,305,2614,105,24,81,10,3,7,0,0,0
34,000,State - PUDUCHERRY (34),Rural,60-64,13161,6025,7136,152,72,80,8914,5456,3458,4003,470,3533,88,26,62,4,1,3,0,0,0
34,000,State - PUDUCHERRY (34),Rural,65-69,8733,3751,4982,101,51,50,5293,3297,1996,3272,385,2887,57,17,40,10,1,9,0,0,0
34,000,State - PUDUCHERRY (34),Rural,70-74,6993,3104,3889,85,35,50,3531,2542,989,3330,512,2818,40,14,26,7,1,6,0,0,0
34,000,State - PUDUCHERRY (34),Rural,75-79,3604,1605,1999,33,13,20,1721,1282,439,1831,299,1532,16,11,5,3,0,3,0,0,0
34,000,State - PUDUCHERRY (34),Rural,80+,3957,1747,2210,103,62,41,1469,1167,302,2365,510,1855,17,7,10,3,1,2,0,0,0
34,000,State - PUDUCHERRY (34),Rural,Age not stated,498,258,240,336,193,143,128,60,68,32,4,28,2,1,1,0,0,0,0,0,0
34,000,State - PUDUCHERRY (34),Rural,Less than 18,119547,61032,58515,118228,60658,57570,1193,328,865,65,24,41,60,22,38,1,0,1,0,0,0
34,000,State - PUDUCHERRY (34),Rural,Less than 21,141736,72108,69628,137012,71316,65696,4531,732,3799,107,30,77,81,29,52,5,1,4,0,0,0
34,000,State - PUDUCHERRY (34),Urban,All ages,852753,417604,435149,358496,198166,160330,432117,211331,220786,55502,6492,49010,5458,1311,4147,1180,304,876,0,0,0
34,000,State - PUDUCHERRY (34),Urban,0-9,128172,65110,63062,128172,65110,63062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,000,State - PUDUCHERRY (34),Urban,10-14,70375,35964,34411,69225,35524,33701,1035,380,655,53,22,31,60,38,22,2,0,2,0,0,0
34,000,State - PUDUCHERRY (34),Urban,15-19,68297,34837,33460,63866,34115,29751,4258,671,3587,64,11,53,103,37,66,6,3,3,0,0,0
34,000,State - PUDUCHERRY (34),Urban,20-24,72547,34132,38415,48980,29739,19241,23139,4317,18822,199,34,165,209,41,168,20,1,19,0,0,0
34,000,State - PUDUCHERRY (34),Urban,25-29,79404,36610,42794,26547,19467,7080,51760,16965,34795,567,88,479,428,82,346,102,8,94,0,0,0
34,000,State - PUDUCHERRY (34),Urban,30-34,76956,36893,40063,9956,7587,2369,64821,28971,35850,1368,167,1201,645,138,507,166,30,136,0,0,0
34,000,State - PUDUCHERRY (34),Urban,35-39,74513,36465,38048,3893,2718,1175,66945,33262,33683,2529,203,2326,909,211,698,237,71,166,0,0,0
34,000,State - PUDUCHERRY (34),Urban,40-44,63562,32120,31442,2046,1254,792,57031,30337,26694,3462,275,3187,848,197,651,175,57,118,0,0,0
34,000,State - PUDUCHERRY (34),Urban,45-49,55477,28407,27070,1426,770,656,48591,27037,21554,4529,381,4148,768,170,598,163,49,114,0,0,0
34,000,State - PUDUCHERRY (34),Urban,50-54,43461,22044,21417,1047,477,570,36690,20949,15741,5091,456,4635,536,126,410,97,36,61,0,0,0
34,000,State - PUDUCHERRY (34),Urban,55-59,35398,17533,17865,874,355,519,28259,16524,11735,5862,552,5310,328,83,245,75,19,56,0,0,0
34,000,State - PUDUCHERRY (34),Urban,60-64,30667,14473,16194,729,284,445,21910,13368,8542,7726,735,6991,251,73,178,51,13,38,0,0,0
34,000,State - PUDUCHERRY (34),Urban,65-69,19250,8403,10847,490,199,291,11929,7445,4484,6654,715,5939,143,36,107,34,8,26,0,0,0
34,000,State - PUDUCHERRY (34),Urban,70-74,15528,6757,8771,389,143,246,8091,5606,2485,6908,969,5939,121,38,83,19,1,18,0,0,0
34,000,State - PUDUCHERRY (34),Urban,75-79,9185,3889,5296,255,97,158,4211,3038,1173,4658,734,3924,45,16,29,16,4,12,0,0,0
34,000,State - PUDUCHERRY (34),Urban,80+,9358,3665,5693,313,140,173,3203,2354,849,5768,1143,4625,59,25,34,15,3,12,0,0,0
34,000,State - PUDUCHERRY (34),Urban,Age not stated,603,302,301,288,187,101,244,107,137,64,7,57,5,0,5,2,1,1,0,0,0
34,000,State - PUDUCHERRY (34),Urban,Less than 18,238754,121844,116910,236050,121051,114999,2493,706,1787,99,29,70,105,55,50,7,3,4,0,0,0
34,000,State - PUDUCHERRY (34),Urban,Less than 21,282022,143309,138713,273267,141677,131590,8405,1511,6894,142,37,105,199,81,118,9,3,6,0,0,0
34,634,District - Yanam (01),Total,All ages,55626,27301,28325,24661,13469,11192,27198,13500,13698,3439,293,3146,255,33,222,73,6,67,0,0,0
34,634,District - Yanam (01),Total,0-9,9340,4799,4541,9340,4799,4541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,634,District - Yanam (01),Total,10-14,5733,2889,2844,5665,2869,2796,66,20,46,2,0,2,0,0,0,0,0,0,0,0,0
34,634,District - Yanam (01),Total,15-19,5528,2765,2763,5054,2735,2319,467,29,438,4,1,3,3,0,3,0,0,0,0,0,0
34,634,District - Yanam (01),Total,20-24,5662,2509,3153,3054,1950,1104,2565,558,2007,21,1,20,17,0,17,5,0,5,0,0,0
34,634,District - Yanam (01),Total,25-29,5710,2646,3064,1106,826,280,4496,1815,2681,68,2,66,30,3,27,10,0,10,0,0,0
34,634,District - Yanam (01),Total,30-34,4772,2420,2352,245,181,64,4356,2224,2132,133,11,122,30,2,28,8,2,6,0,0,0
34,634,District - Yanam (01),Total,35-39,4456,2297,2159,70,46,24,4113,2237,1876,208,6,202,50,6,44,15,2,13,0,0,0
34,634,District - Yanam (01),Total,40-44,3326,1743,1583,35,22,13,3005,1707,1298,228,10,218,45,4,41,13,0,13,0,0,0
34,634,District - Yanam (01),Total,45-49,2681,1392,1289,18,10,8,2372,1371,1001,256,5,251,26,5,21,9,1,8,0,0,0
34,634,District - Yanam (01),Total,50-54,2076,1040,1036,12,4,8,1743,1011,732,295,22,273,20,3,17,6,0,6,0,0,0
34,634,District - Yanam (01),Total,55-59,1797,786,1011,9,2,7,1444,759,685,329,23,306,13,2,11,2,0,2,0,0,0
34,634,District - Yanam (01),Total,60-64,1977,897,1080,12,5,7,1303,841,462,647,47,600,11,3,8,4,1,3,0,0,0
34,634,District - Yanam (01),Total,65-69,1138,525,613,23,13,10,662,463,199,445,47,398,7,2,5,1,0,1,0,0,0
34,634,District - Yanam (01),Total,70-74,742,326,416,5,3,2,352,271,81,384,51,333,1,1,0,0,0,0,0,0,0
34,634,District - Yanam (01),Total,75-79,358,151,207,1,1,0,153,114,39,204,36,168,0,0,0,0,0,0,0,0,0
34,634,District - Yanam (01),Total,80+,314,111,203,3,0,3,94,78,16,215,31,184,2,2,0,0,0,0,0,0,0
34,634,District - Yanam (01),Total,Age not stated,16,5,11,9,3,6,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0
34,634,District - Yanam (01),Total,Less than 18,18204,9320,8884,18034,9288,8746,165,31,134,5,1,4,0,0,0,0,0,0,0,0,0
34,634,District - Yanam (01),Total,Less than 21,21981,11059,10922,20979,10965,10014,985,93,892,9,1,8,7,0,7,1,0,1,0,0,0
34,634,District - Yanam (01),Rural,All ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,634,District - Yanam (01),Rural,0-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,634,District - Yanam (01),Rural,10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,634,District - Yanam (01),Rural,15-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,634,District - Yanam (01),Rural,20-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,634,District - Yanam (01),Rural,25-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,634,District - Yanam (01),Rural,30-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,634,District - Yanam (01),Rural,35-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,634,District - Yanam (01),Rural,40-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,634,District - Yanam (01),Rural,45-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,634,District - Yanam (01),Rural,50-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,634,District - Yanam (01),Rural,55-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,634,District - Yanam (01),Rural,60-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,634,District - Yanam (01),Rural,65-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,634,District - Yanam (01),Rural,70-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,634,District - Yanam (01),Rural,75-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,634,District - Yanam (01),Rural,80+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,634,District - Yanam (01),Rural,Age not stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,634,District - Yanam (01),Rural,Less than 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,634,District - Yanam (01),Rural,Less than 21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,634,District - Yanam (01),Urban,All ages,55626,27301,28325,24661,13469,11192,27198,13500,13698,3439,293,3146,255,33,222,73,6,67,0,0,0
34,634,District - Yanam (01),Urban,0-9,9340,4799,4541,9340,4799,4541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,634,District - Yanam (01),Urban,10-14,5733,2889,2844,5665,2869,2796,66,20,46,2,0,2,0,0,0,0,0,0,0,0,0
34,634,District - Yanam (01),Urban,15-19,5528,2765,2763,5054,2735,2319,467,29,438,4,1,3,3,0,3,0,0,0,0,0,0
34,634,District - Yanam (01),Urban,20-24,5662,2509,3153,3054,1950,1104,2565,558,2007,21,1,20,17,0,17,5,0,5,0,0,0
34,634,District - Yanam (01),Urban,25-29,5710,2646,3064,1106,826,280,4496,1815,2681,68,2,66,30,3,27,10,0,10,0,0,0
34,634,District - Yanam (01),Urban,30-34,4772,2420,2352,245,181,64,4356,2224,2132,133,11,122,30,2,28,8,2,6,0,0,0
34,634,District - Yanam (01),Urban,35-39,4456,2297,2159,70,46,24,4113,2237,1876,208,6,202,50,6,44,15,2,13,0,0,0
34,634,District - Yanam (01),Urban,40-44,3326,1743,1583,35,22,13,3005,1707,1298,228,10,218,45,4,41,13,0,13,0,0,0
34,634,District - Yanam (01),Urban,45-49,2681,1392,1289,18,10,8,2372,1371,1001,256,5,251,26,5,21,9,1,8,0,0,0
34,634,District - Yanam (01),Urban,50-54,2076,1040,1036,12,4,8,1743,1011,732,295,22,273,20,3,17,6,0,6,0,0,0
34,634,District - Yanam (01),Urban,55-59,1797,786,1011,9,2,7,1444,759,685,329,23,306,13,2,11,2,0,2,0,0,0
34,634,District - Yanam (01),Urban,60-64,1977,897,1080,12,5,7,1303,841,462,647,47,600,11,3,8,4,1,3,0,0,0
34,634,District - Yanam (01),Urban,65-69,1138,525,613,23,13,10,662,463,199,445,47,398,7,2,5,1,0,1,0,0,0
