state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
03,000,State - PUNJAB (03),Total,All ages,27743338,14639465,13103873,12449927,7281331,5168596,13873422,6917795,6955627,1304863,376705,928158,70891,37870,33021,44235,25764,18471,0,0,0
03,000,State - PUNJAB (03),Total,0-9,4501548,2451638,2049910,4501548,2451638,2049910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03,000,State - PUNJAB (03),Total,10-14,2583402,1445530,1137872,2521057,1417971,1103086,58443,25645,32798,2056,886,1170,1562,879,683,284,149,135,0,0,0
03,000,State - PUNJAB (03),Total,15-19,2817683,1570180,1247503,2629591,1512294,1117297,181646,55014,126632,3624,1471,2153,2204,1174,1030,618,227,391,0,0,0
03,000,State - PUNJAB (03),Total,20-24,2776636,1465531,1311105,1750438,1115844,634594,1010474,343104,667370,7352,2630,4722,5243,2601,2642,3129,1352,1777,0,0,0
03,000,State - PUNJAB (03),Total,25-29,2463861,1270405,1193456,613471,446759,166712,1820019,810721,1009298,14504,4802,9702,9047,4526,4521,6820,3597,3223,0,0,0
03,000,State - PUNJAB (03),Total,30-34,2116539,1082533,1034006,156726,121732,34994,1914945,943179,971766,26393,7536,18857,10064,5197,4867,8411,4889,3522,0,0,0
03,000,State - PUNJAB (03),Total,35-39,1989071,1010862,978209,62615,49975,12640,1863008,940049,922959,46123,10852,35271,9743,5182,4561,7582,4804,2778,0,0,0
03,000,State - PUNJAB (03),Total,40-44,1788469,909208,879261,40102,32497,7605,1662761,852652,810109,71511,15774,55737,8308,4547,3761,5787,3738,2049,0,0,0
03,000,State - PUNJAB (03),Total,45-49,1587771,818135,769636,28767,23818,4949,1451242,766813,684429,97186,21320,75866,6517,3558,2959,4059,2626,1433,0,0,0
03,000,State - PUNJAB (03),Total,50-54,1254464,663664,590800,23455,19302,4153,1108345,612438,495907,115168,27507,87661,4827,2738,2089,2669,1679,990,0,0,0
03,000,State - PUNJAB (03),Total,55-59,956555,485845,470710,16515,13301,3214,829784,442173,387611,105690,27761,77929,3080,1700,1380,1486,910,576,0,0,0
03,000,State - PUNJAB (03),Total,60-64,996590,482483,514107,22546,17297,5249,796148,417940,378208,173157,44748,128409,3393,1764,1629,1346,734,612,0,0,0
03,000,State - PUNJAB (03),Total,65-69,719588,372806,346782,21463,16017,5446,533804,306572,227232,161108,48453,112655,2399,1313,1086,814,451,363,0,0,0
03,000,State - PUNJAB (03),Total,70-74,513472,272120,241352,13774,10918,2856,321564,205145,116419,175617,54642,120975,2021,1158,863,496,257,239,0,0,0
03,000,State - PUNJAB (03),Total,75-79,256666,130203,126463,6223,4959,1264,149113,89092,60021,100084,35396,64688,998,629,369,248,127,121,0,0,0
03,000,State - PUNJAB (03),Total,80+,379501,186050,193451,19051,13125,5926,155397,99554,55843,203287,72347,130940,1377,846,531,389,178,211,0,0,0
03,000,State - PUNJAB (03),Total,Age not stated,41522,22272,19250,22585,13884,8701,16729,7704,9025,2003,580,1423,108,58,50,97,46,51,0,0,0
03,000,State - PUNJAB (03),Total,Less than 18,8739761,4818578,3921183,8606614,4764946,3841668,125640,50145,75495,4311,1738,2573,2667,1494,1173,529,255,274,0,0,0
03,000,State - PUNJAB (03),Total,Less than 21,10549194,5818525,4730669,10148960,5690062,4458898,386978,122493,264485,7257,2915,4342,4659,2514,2145,1340,541,799,0,0,0
03,000,State - PUNJAB (03),Rural,All ages,17344192,9093476,8250716,7829295,4570634,3258661,8592996,4230278,4362718,855254,254859,600395,40807,21307,19500,25840,16398,9442,0,0,0
03,000,State - PUNJAB (03),Rural,0-9,2858391,1557889,1300502,2858391,1557889,1300502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03,000,State - PUNJAB (03),Rural,10-14,1668828,931366,737462,1629857,914054,715803,36502,16084,20418,1356,600,756,948,540,408,165,88,77,0,0,0
03,000,State - PUNJAB (03),Rural,15-19,1814427,1003831,810596,1693653,966889,726764,116712,35169,81543,2372,961,1411,1301,659,642,389,153,236,0,0,0
03,000,State - PUNJAB (03),Rural,20-24,1706833,888739,818094,1037166,659671,377495,659991,225160,434831,4775,1717,3058,2869,1257,1612,2032,934,1098,0,0,0
03,000,State - PUNJAB (03),Rural,25-29,1455456,738196,717260,328764,243061,85703,1108547,487698,620849,9433,3028,6405,4688,2072,2616,4024,2337,1687,0,0,0
03,000,State - PUNJAB (03),Rural,30-34,1263506,636268,627238,88572,71445,17127,1147797,554391,593406,17174,4789,12385,5382,2648,2734,4581,2995,1586,0,0,0
03,000,State - PUNJAB (03),Rural,35-39,1202842,604249,598593,38797,32617,6180,1124634,559086,565548,29850,6818,23032,5397,2799,2598,4164,2929,1235,0,0,0
03,000,State - PUNJAB (03),Rural,40-44,1102644,555906,546738,26962,23008,3954,1021772,517545,504227,45833,10302,35531,4765,2700,2065,3312,2351,961,0,0,0
