state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
08,000,State - RAJASTHAN (08),Total,All ages,68548437,35550997,32997440,32843831,18597017,14246814,32904412,16228226,16676186,2628454,644820,1983634,131639,64591,67048,40101,16343,23758,0,0,0
08,000,State - RAJASTHAN (08),Total,0-9,15344908,8117447,7227461,15344908,8117447,7227461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08,000,State - RAJASTHAN (08),Total,10-14,8380518,4430696,3949822,8120298,4337003,3783295,253493,90737,162756,3506,1350,2156,2855,1439,1416,366,167,199,0,0,0
08,000,State - RAJASTHAN (08),Total,15-19,7314017,3889874,3424143,5935107,3497706,2437401,1362319,386279,976040,8434,2959,5475,6866,2545,4321,1291,385,906,0,0,0
08,000,State - RAJASTHAN (08),Total,20-24,6426494,3377483,3049011,2277117,1705003,572114,4102486,1653881,2448605,22922,8605,14317,18819,8186,10633,5150,1808,3342,0,0,0
08,000,State - RAJASTHAN (08),Total,25-29,5348497,2763059,2585438,570321,479381,90940,4707470,2255241,2452229,42347,15001,27346,21423,10528,10895,6936,2908,4028,0,0,0
08,000,State - RAJASTHAN (08),Total,30-34,4722683,2384569,2338114,161906,140036,21870,4465691,2210792,2254899,68840,20919,47921,19673,10000,9673,6573,2822,3751,0,0,0
08,000,State - RAJASTHAN (08),Total,35-39,4334564,2201790,2132774,76165,65710,10455,4127990,2095519,2032471,107046,29028,78018,17623,9023,8600,5740,2510,3230,0,0,0
08,000,State - RAJASTHAN (08),Total,40-44,3735355,1926916,1808439,48928,42555,6373,3520737,1836648,1684089,146513,38276,108237,14650,7406,7244,4527,2031,2496,0,0,0
08,000,State - RAJASTHAN (08),Total,45-49,3145404,1608512,1536892,32430,27976,4454,2922956,1527968,1394988,177060,46207,130853,9926,5091,4835,3032,1270,1762,0,0,0
08,000,State - RAJASTHAN (08),Total,50-54,2516808,1345007,1171801,25631,21977,3654,2250036,1260519,989517,231791,57980,173811,7155,3674,3481,2195,857,1338,0,0,0
08,000,State - RAJASTHAN (08),Total,55-59,1897449,935866,961583,17964,14749,3215,1656342,864129,792213,217943,54440,163503,3973,2074,1899,1227,474,753,0,0,0
08,000,State - RAJASTHAN (08),Total,60-64,1770139,884024,886115,29675,20994,8681,1376982,781361,595621,358771,79390,279381,3628,1872,1756,1083,407,676,0,0,0
08,000,State - RAJASTHAN (08),Total,65-69,1260376,589471,670905,27070,18347,8723,912385,498179,414206,318289,71630,246659,1982,1082,900,650,233,417,0,0,0
08,000,State - RAJASTHAN (08),Total,70-74,1016915,490011,526904,15235,11250,3985,607560,391198,216362,392202,86610,305592,1383,778,605,535,175,360,0,0,0
08,000,State - RAJASTHAN (08),Total,75-79,477655,216016,261639,6946,5001,1945,270818,161098,109720,199151,49548,149603,522,282,240,218,87,131,0,0,0
08,000,State - RAJASTHAN (08),Total,80+,587053,252741,334312,24026,15263,8763,240418,156816,83602,321642,80199,241443,633,346,287,334,117,217,0,0,0
08,000,State - RAJASTHAN (08),Total,Age not stated,269602,137515,132087,130104,76619,53485,126729,57861,68868,11997,2678,9319,528,265,263,244,92,152,0,0,0
08,000,State - RAJASTHAN (08),Total,Less than 18,28136778,14914021,13222757,27396027,14669696,12726331,726225,238603,487622,8120,2882,5238,5601,2508,3093,805,332,473,0,0,0
08,000,State - RAJASTHAN (08),Total,Less than 21,32830584,17372804,15457780,30263038,16577530,13685508,2533365,782538,1750827,17204,6101,11103,14218,5749,8469,2759,886,1873,0,0,0
08,000,State - RAJASTHAN (08),Rural,All ages,51500352,26641747,24858605,24835016,14025435,10809581,24520540,12043696,12476844,2021742,509904,1511838,100279,52353,47926,22775,10359,12416,0,0,0
08,000,State - RAJASTHAN (08),Rural,0-9,12097303,6382711,5714592,12097303,6382711,5714592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08,000,State - RAJASTHAN (08),Rural,10-14,6537189,3446732,3090457,6316957,3368219,2948738,215282,76326,138956,2663,1045,1618,2066,1042,1024,221,100,121,0,0,0
08,000,State - RAJASTHAN (08),Rural,15-19,5496935,2918083,2578852,4324822,2577068,1747754,1158940,336234,822706,6652,2422,4230,5569,2056,3513,952,303,649,0,0,0
08,000,State - RAJASTHAN (08),Rural,20-24,4682761,2471674,2211087,1386593,1101828,284765,3259444,1354338,1905106,18001,7079,10922,15184,7031,8153,3539,1398,2141,0,0,0
08,000,State - RAJASTHAN (08),Rural,25-29,3832693,1981853,1850840,297598,269287,28311,3482042,1689631,1792411,32781,12214,20567,16246,8683,7563,4026,2038,1988,0,0,0
08,000,State - RAJASTHAN (08),Rural,30-34,3412817,1716111,1696706,94599,86276,8323,3247637,1603417,1644220,52605,16704,35901,14539,7997,6542,3437,1717,1720,0,0,0
08,000,State - RAJASTHAN (08),Rural,35-39,3130395,1585834,1544561,49078,44415,4663,2984371,1509371,1475000,81024,23401,57623,13113,7250,5863,2809,1397,1412,0,0,0
08,000,State - RAJASTHAN (08),Rural,40-44,2704801,1390594,1314207,33538,30622,2916,2547917,1321929,1225988,110070,31029,79041,10928,5859,5069,2348,1155,1193,0,0,0
08,000,State - RAJASTHAN (08),Rural,45-49,2265671,1150068,1115603,22953,20890,2063,2102867,1087390,1015477,130986,37043,93943,7331,4028,3303,1534,717,817,0,0,0
08,000,State - RAJASTHAN (08),Rural,50-54,1817629,968094,849535,18632,16940,1692,1617828,901341,716487,174548,46373,128175,5437,2943,2494,1184,497,687,0,0,0
08,000,State - RAJASTHAN (08),Rural,55-59,1383879,668669,715210,13029,11542,1487,1204431,612499,591932,162800,42720,120080,2963,1630,1333,656,278,378,0,0,0
08,000,State - RAJASTHAN (08),Rural,60-64,1343329,666272,677057,22871,16952,5919,1037252,584093,453159,279733,63430,216303,2814,1533,1281,659,264,395,0,0,0
08,000,State - RAJASTHAN (08),Rural,65-69,971320,448876,522444,20274,14390,5884,700533,376621,323912,248464,56799,191665,1617,911,706,432,155,277,0,0,0
08,000,State - RAJASTHAN (08),Rural,70-74,795430,382456,412974,11562,9094,2468,470906,303737,167169,311421,68847,242574,1147,656,491,394,122,272,0,0,0
08,000,State - RAJASTHAN (08),Rural,75-79,364642,162014,202628,4956,3837,1119,206647,120627,86020,152481,37257,115224,400,229,171,158,64,94,0,0,0
08,000,State - RAJASTHAN (08),Rural,80+,449071,193050,256021,16129,10560,5569,184439,120803,63636,247749,61324,186425,500,276,224,254,87,167,0,0,0
08,000,State - RAJASTHAN (08),Rural,Age not stated,214487,108656,105831,104122,60804,43318,100004,45339,54665,9764,2217,7547,425,229,196,172,67,105,0,0,0
08,000,State - RAJASTHAN (08),Rural,Less than 18,21975952,11621494,10354458,21343848,11412085,9931763,621058,205040,416018,6259,2287,3972,4247,1857,2390,540,225,315,0,0,0
08,000,State - RAJASTHAN (08),Rural,Less than 21,25479835,13454830,12025005,23322020,12770775,10551245,2130900,673754,1457146,13537,4974,8563,11398,4650,6748,1980,677,1303,0,0,0
08,000,State - RAJASTHAN (08),Urban,All ages,17048085,8909250,8138835,8008815,4571582,3437233,8383872,4184530,4199342,606712,134916,471796,31360,12238,19122,17326,5984,11342,0,0,0
08,000,State - RAJASTHAN (08),Urban,0-9,3247605,1734736,1512869,3247605,1734736,1512869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08,000,State - RAJASTHAN (08),Urban,10-14,1843329,983964,859365,1803341,968784,834557,38211,14411,23800,843,305,538,789,397,392,145,67,78,0,0,0
08,000,State - RAJASTHAN (08),Urban,15-19,1817082,971791,845291,1610285,920638,689647,203379,50045,153334,1782,537,1245,1297,489,808,339,82,257,0,0,0
08,000,State - RAJASTHAN (08),Urban,20-24,1743733,905809,837924,890524,603175,287349,843042,299543,543499,4921,1526,3395,3635,1155,2480,1611,410,1201,0,0,0
08,000,State - RAJASTHAN (08),Urban,25-29,1515804,781206,734598,272723,210094,62629,1225428,565610,659818,9566,2787,6779,5177,1845,3332,2910,870,2040,0,0,0
08,000,State - RAJASTHAN (08),Urban,30-34,1309866,668458,641408,67307,53760,13547,1218054,607375,610679,16235,4215,12020,5134,2003,3131,3136,1105,2031,0,0,0
08,000,State - RAJASTHAN (08),Urban,35-39,1204169,615956,588213,27087,21295,5792,1143619,586148,557471,26022,5627,20395,4510,1773,2737,2931,1113,1818,0,0,0
08,000,State - RAJASTHAN (08),Urban,40-44,1030554,536322,494232,15390,11933,3457,972820,514719,458101,36443,7247,29196,3722,1547,2175,2179,876,1303,0,0,0
