state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
33,000,State - TAMIL NADU (33),Total,All ages,72147030,36137975,36009055,29652678,16867019,12785659,37415737,18390578,19025159,4617383,760985,3856398,398284,101630,296654,62948,17763,45185,0,0,0
33,000,State - TAMIL NADU (33),Total,0-9,10829956,5565871,5264085,10829956,5565871,5264085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,000,State - TAMIL NADU (33),Total,10-14,6177547,3188990,2988557,6085966,3162609,2923357,84579,23723,60856,3398,957,2441,3403,1613,1790,201,88,113,0,0,0
33,000,State - TAMIL NADU (33),Total,15-19,6253792,3229838,3023954,5721927,3155287,2566640,519865,71305,448560,6472,1467,5005,5008,1673,3335,520,106,414,0,0,0
33,000,State - TAMIL NADU (33),Total,20-24,6411543,3154804,3256739,3927700,2637484,1290216,2443074,510834,1932240,21694,3086,18608,16322,3010,13312,2753,390,2363,0,0,0
33,000,State - TAMIL NADU (33),Total,25-29,6663746,3237374,3426372,1914147,1526345,387802,4648977,1694350,2954627,56737,8114,48623,36792,7118,29674,7093,1447,5646,0,0,0
33,000,State - TAMIL NADU (33),Total,30-34,5815560,2908749,2906811,567157,454916,112241,5080749,2423907,2656842,106719,15348,91371,50559,11639,38920,10376,2939,7437,0,0,0
33,000,State - TAMIL NADU (33),Total,35-39,5836456,2815205,3021251,200674,143926,56748,5371914,2630201,2741713,189486,22446,167040,62636,15117,47519,11746,3515,8231,0,0,0
33,000,State - TAMIL NADU (33),Total,40-44,5064209,2549846,2514363,106628,67755,38873,4624322,2431559,2192763,264877,32292,232585,58699,15121,43578,9683,3119,6564,0,0,0
33,000,State - TAMIL NADU (33),Total,45-49,4713056,2374915,2338141,69485,39558,29927,4213333,2273811,1939522,371971,46207,325764,50880,13061,37819,7387,2278,5109,0,0,0
33,000,State - TAMIL NADU (33),Total,50-54,3703460,1875563,1827897,50334,25500,24834,3164008,1779359,1384649,448026,59573,388453,36435,9718,26717,4657,1413,3244,0,0,0
33,000,State - TAMIL NADU (33),Total,55-59,3101142,1540924,1560218,36795,17730,19065,2531146,1444676,1086470,504549,70616,433933,25678,6975,18703,2974,927,2047,0,0,0
33,000,State - TAMIL NADU (33),Total,60-64,2782608,1378039,1404569,34268,15411,18857,2014959,1249404,765555,709231,106273,602958,21826,6307,15519,2324,644,1680,0,0,0
33,000,State - TAMIL NADU (33),Total,65-69,1868370,896412,971958,23528,10470,13058,1229164,781454,447710,601729,100104,501625,12658,4010,8648,1291,374,917,0,0,0
33,000,State - TAMIL NADU (33),Total,70-74,1406529,693167,713362,18256,8104,10152,797223,569054,228169,581346,112740,468606,8805,3028,5777,899,241,658,0,0,0
33,000,State - TAMIL NADU (33),Total,75-79,710241,353746,356495,9641,4359,5282,372589,273330,99259,323509,74385,249124,4081,1558,2523,421,114,307,0,0,0
33,000,State - TAMIL NADU (33),Total,80+,742010,339862,402148,18287,9237,9050,296615,222581,74034,422480,106367,316113,4081,1538,2543,547,139,408,0,0,0
33,000,State - TAMIL NADU (33),Total,Age not stated,66805,34670,32135,37929,22457,15472,23220,11030,12190,5159,1010,4149,421,144,277,76,29,47,0,0,0
33,000,State - TAMIL NADU (33),Total,Less than 18,20661751,10653685,10008066,20384234,10591380,9792854,264216,57710,206506,7123,1835,5288,5791,2619,3172,387,141,246,0,0,0
33,000,State - TAMIL NADU (33),Total,Less than 21,24710701,12704003,12006698,23688507,12539240,11149267,996653,157795,838858,13585,2932,10653,10887,3800,7087,1069,236,833,0,0,0
33,000,State - TAMIL NADU (33),Rural,All ages,37229590,18679065,18550525,15504737,8889195,6615542,18935155,9291468,9643687,2551978,438456,2113522,209194,52465,156729,28526,7481,21045,0,0,0
33,000,State - TAMIL NADU (33),Rural,0-9,5750415,2965573,2784842,5750415,2965573,2784842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,000,State - TAMIL NADU (33),Rural,10-14,3325160,1726166,1598994,3279732,1712863,1566869,41724,11911,29813,1797,506,1291,1811,842,969,96,44,52,0,0,0
33,000,State - TAMIL NADU (33),Rural,15-19,3373098,1765233,1607865,3078570,1726345,1352225,287609,37117,250492,3705,828,2877,2903,894,2009,311,49,262,0,0,0
33,000,State - TAMIL NADU (33),Rural,20-24,3315234,1658770,1656464,1970762,1374155,596607,1321084,280957,1040127,12494,1802,10692,9360,1636,7724,1534,220,1314,0,0,0
33,000,State - TAMIL NADU (33),Rural,25-29,3360498,1652498,1708000,914024,749407,164617,2388668,893612,1495056,34034,4883,29151,20180,3816,16364,3592,780,2812,0,0,0
33,000,State - TAMIL NADU (33),Rural,30-34,2825218,1419512,1405706,254109,207848,46261,2478787,1196050,1282737,61066,8549,52517,26540,5771,20769,4716,1294,3422,0,0,0
33,000,State - TAMIL NADU (33),Rural,35-39,2894635,1375375,1519260,83921,59635,24286,2665697,1294504,1371193,107533,12571,94962,32478,7306,25172,5006,1359,3647,0,0,0
33,000,State - TAMIL NADU (33),Rural,40-44,2495827,1244055,1251772,43759,26494,17265,2271683,1190591,1081092,146352,18399,127953,30020,7403,22617,4013,1168,2845,0,0,0
33,000,State - TAMIL NADU (33),Rural,45-49,2383374,1187892,1195482,28238,15499,12739,2122511,1138254,984257,203240,26639,176601,26211,6637,19574,3174,863,2311,0,0,0
33,000,State - TAMIL NADU (33),Rural,50-54,1862643,926233,936410,20226,9933,10293,1577549,876598,700951,244295,34147,210148,18600,5001,13599,1973,554,1419,0,0,0
33,000,State - TAMIL NADU (33),Rural,55-59,1578510,765352,813158,14523,7112,7411,1278107,713964,564143,271481,40257,231224,13120,3655,9465,1279,364,915,0,0,0
33,000,State - TAMIL NADU (33),Rural,60-64,1484099,726363,757736,14489,6707,7782,1053112,652623,400489,403747,63170,340577,11614,3551,8063,1137,312,825,0,0,0
33,000,State - TAMIL NADU (33),Rural,65-69,1022924,490698,532226,10410,4909,5501,662190,423269,238921,342631,60004,282627,7013,2329,4684,680,187,493,0,0,0
33,000,State - TAMIL NADU (33),Rural,70-74,770619,384159,386460,8165,3860,4305,427203,311496,115707,329868,66868,263000,4902,1799,3103,481,136,345,0,0,0
33,000,State - TAMIL NADU (33),Rural,75-79,365791,187116,178675,3808,1941,1867,191154,143168,47986,168470,41063,127407,2145,888,1257,214,56,158,0,0,0
33,000,State - TAMIL NADU (33),Rural,80+,385664,185450,200214,7885,4236,3649,156924,122072,34852,218494,58195,160299,2081,867,1214,280,80,200,0,0,0
33,000,State - TAMIL NADU (33),Rural,Age not stated,35881,18620,17261,21701,12678,9023,11153,5282,5871,2771,575,2196,216,70,146,40,15,25,0,0,0
33,000,State - TAMIL NADU (33),Rural,Less than 18,11050733,5730782,5319951,10908413,5699077,5209336,135002,29232,105770,3979,1038,2941,3144,1369,1775,195,66,129,0,0,0
33,000,State - TAMIL NADU (33),Rural,Less than 21,13238116,6851946,6386170,12667465,6765210,5902255,556168,82954,473214,7666,1637,6029,6213,2035,4178,604,110,494,0,0,0
33,000,State - TAMIL NADU (33),Urban,All ages,34917440,17458910,17458530,14147941,7977824,6170117,18480582,9099110,9381472,2065405,322529,1742876,189090,49165,139925,34422,10282,24140,0,0,0
33,000,State - TAMIL NADU (33),Urban,0-9,5079541,2600298,2479243,5079541,2600298,2479243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,000,State - TAMIL NADU (33),Urban,10-14,2852387,1462824,1389563,2806234,1449746,1356488,42855,11812,31043,1601,451,1150,1592,771,821,105,44,61,0,0,0
33,000,State - TAMIL NADU (33),Urban,15-19,2880694,1464605,1416089,2643357,1428942,1214415,232256,34188,198068,2767,639,2128,2105,779,1326,209,57,152,0,0,0
33,000,State - TAMIL NADU (33),Urban,20-24,3096309,1496034,1600275,1956938,1263329,693609,1121990,229877,892113,9200,1284,7916,6962,1374,5588,1219,170,1049,0,0,0
33,000,State - TAMIL NADU (33),Urban,25-29,3303248,1584876,1718372,1000123,776938,223185,2260309,800738,1459571,22703,3231,19472,16612,3302,13310,3501,667,2834,0,0,0
