state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
16,000,State - TRIPURA (16),Total,All ages,3673917,1874376,1799541,1654782,934172,720610,1801171,905826,895345,194023,29054,164969,15984,3675,12309,7957,1649,6308,0,0,0
16,000,State - TRIPURA (16),Total,0-9,660301,337046,323255,660301,337046,323255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,000,State - TRIPURA (16),Total,10-14,357690,183001,174689,352585,181249,171336,4709,1623,3086,239,63,176,115,53,62,42,13,29,0,0,0
16,000,State - TRIPURA (16),Total,15-19,357829,181136,176693,304223,172967,131256,52259,7900,44359,671,138,533,454,95,359,222,36,186,0,0,0
16,000,State - TRIPURA (16),Total,20-24,373177,183779,189398,186136,130642,55494,182951,52485,130466,1715,312,1403,1486,215,1271,889,125,764,0,0,0
16,000,State - TRIPURA (16),Total,25-29,344149,175059,169090,87352,67908,19444,250247,105972,144275,3273,588,2685,2117,389,1728,1160,202,958,0,0,0
16,000,State - TRIPURA (16),Total,30-34,286989,149231,137758,32969,25467,7502,245725,122384,123341,4937,782,4155,2186,399,1787,1172,199,973,0,0,0
16,000,State - TRIPURA (16),Total,35-39,279342,143051,136291,13144,9084,4060,253982,132175,121807,8541,1073,7468,2376,483,1893,1299,236,1063,0,0,0
16,000,State - TRIPURA (16),Total,40-44,238751,124093,114658,5740,3328,2412,217529,118642,98887,12267,1387,10880,2187,501,1686,1028,235,793,0,0,0
16,000,State - TRIPURA (16),Total,45-49,205469,106717,98752,3401,1793,1608,183435,102528,80907,16164,1852,14312,1723,387,1336,746,157,589,0,0,0
16,000,State - TRIPURA (16),Total,50-54,162186,86627,75559,2220,1107,1113,138355,82647,55708,19843,2423,17420,1195,312,883,573,138,435,0,0,0
16,000,State - TRIPURA (16),Total,55-59,116874,61849,55025,1352,634,718,95544,58477,37067,19006,2462,16544,690,188,502,282,88,194,0,0,0
16,000,State - TRIPURA (16),Total,60-64,97129,49611,47518,1252,623,629,70560,45423,25137,24541,3290,21251,533,184,349,243,91,152,0,0,0
16,000,State - TRIPURA (16),Total,65-69,70480,35044,35436,923,501,422,45752,30891,14861,23321,3452,19869,374,154,220,110,46,64,0,0,0
16,000,State - TRIPURA (16),Total,70-74,52324,25535,26789,569,323,246,29006,21286,7720,22415,3743,18672,255,147,108,79,36,43,0,0,0
16,000,State - TRIPURA (16),Total,75-79,30086,14259,15827,289,154,135,14919,11240,3679,14699,2769,11930,131,73,58,48,23,25,0,0,0
16,000,State - TRIPURA (16),Total,80+,39525,17471,22054,1431,791,640,15624,11864,3760,22255,4702,17553,155,90,65,60,24,36,0,0,0
16,000,State - TRIPURA (16),Total,Age not stated,1616,867,749,895,555,340,574,289,285,136,18,118,7,5,2,4,0,4,0,0,0
16,000,State - TRIPURA (16),Total,Less than 18,1228007,628862,599145,1207689,624311,583378,19334,4276,15058,607,141,466,267,107,160,110,27,83,0,0,0
16,000,State - TRIPURA (16),Total,Less than 21,1462382,742263,720119,1368597,725281,643316,91321,16472,74849,1228,254,974,812,178,634,424,78,346,0,0,0
16,000,State - TRIPURA (16),Rural,All ages,2712464,1387173,1325291,1261990,708263,553727,1297628,652191,645437,135119,22586,112533,11437,2793,8644,6290,1340,4950,0,0,0
16,000,State - TRIPURA (16),Rural,0-9,524450,267433,257017,524450,267433,257017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,000,State - TRIPURA (16),Rural,10-14,282994,144904,138090,279069,143566,135503,3621,1236,2385,181,52,129,88,38,50,35,12,23,0,0,0
16,000,State - TRIPURA (16),Rural,15-19,274888,139377,135511,231725,132490,99235,42071,6655,35416,536,126,410,360,72,288,196,34,162,0,0,0
16,000,State - TRIPURA (16),Rural,20-24,280876,138466,142410,132365,94159,38206,145178,43755,101423,1414,262,1152,1152,173,979,767,117,650,0,0,0
16,000,State - TRIPURA (16),Rural,25-29,252860,129389,123471,57248,44770,12478,190545,83652,106893,2518,490,2028,1580,299,1281,969,178,791,0,0,0
16,000,State - TRIPURA (16),Rural,30-34,204868,107731,97137,19879,15255,4624,178919,91386,87533,3644,622,3022,1513,303,1210,913,165,748,0,0,0
16,000,State - TRIPURA (16),Rural,35-39,196129,101658,94471,7499,5142,2357,179950,95138,84812,6070,837,5233,1626,359,1267,984,182,802,0,0,0
16,000,State - TRIPURA (16),Rural,40-44,164055,85593,78462,2974,1716,1258,150323,82248,68075,8466,1098,7368,1511,360,1151,781,171,610,0,0,0
16,000,State - TRIPURA (16),Rural,45-49,139297,72663,66634,1741,953,788,124815,69810,55005,11019,1484,9535,1156,296,860,566,120,446,0,0,0
16,000,State - TRIPURA (16),Rural,50-54,108302,57982,50320,1039,565,474,92607,55216,37391,13419,1877,11542,829,226,603,408,98,310,0,0,0
16,000,State - TRIPURA (16),Rural,55-59,76947,40066,36881,558,285,273,63118,37697,25421,12574,1877,10697,472,138,334,225,69,156,0,0,0
16,000,State - TRIPURA (16),Rural,60-64,67295,33940,33355,681,354,327,48997,30835,18162,17025,2521,14504,408,149,259,184,81,103,0,0,0
16,000,State - TRIPURA (16),Rural,65-69,50426,25067,25359,583,340,243,32996,21880,11116,16465,2693,13772,285,116,169,97,38,59,0,0,0
16,000,State - TRIPURA (16),Rural,70-74,37764,18698,19066,363,199,164,21230,15402,5828,15881,2938,12943,220,128,92,70,31,39,0,0,0
16,000,State - TRIPURA (16),Rural,75-79,21165,10258,10907,174,89,85,10909,8040,2869,9942,2050,7892,99,57,42,41,22,19,0,0,0
16,000,State - TRIPURA (16),Rural,80+,29113,13380,15733,1046,577,469,11998,9060,2938,15882,3645,12237,135,76,59,52,22,30,0,0,0
16,000,State - TRIPURA (16),Rural,Age not stated,1035,568,467,596,370,226,351,181,170,83,14,69,3,3,0,2,0,2,0,0,0
16,000,State - TRIPURA (16),Rural,Less than 18,969835,496903,472932,953868,493240,460628,15188,3438,11750,477,125,352,209,76,133,93,24,69,0,0,0
16,000,State - TRIPURA (16),Rural,Less than 21,1148740,583176,565564,1073182,568908,504274,73567,13833,59734,988,227,761,633,134,499,370,74,296,0,0,0
