state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
09,000,State - UTTAR PRADESH (09),Total,All ages,199812341,104480510,95331831,105471588,59353192,46118396,86450758,42265528,44185230,7539857,2683669,4856188,248385,133187,115198,101753,44934,56819,0,0,0
09,000,State - UTTAR PRADESH (09),Total,0-9,45438385,23910805,21527580,45438385,23910805,21527580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09,000,State - UTTAR PRADESH (09),Total,10-14,25869881,13679154,12190727,25317619,13475061,11842558,520568,189727,330841,18642,7746,10896,11177,5680,5497,1875,940,935,0,0,0
09,000,State - UTTAR PRADESH (09),Total,15-19,23040380,12307573,10732807,20668118,11700854,8967264,2317719,584202,1733517,38118,15169,22949,13171,6159,7012,3254,1189,2065,0,0,0
09,000,State - UTTAR PRADESH (09),Total,20-24,17578648,9405485,8173163,8515332,6055288,2460044,8954413,3304649,5649764,72691,30309,42382,25936,11472,14464,10276,3767,6509,0,0,0
09,000,State - UTTAR PRADESH (09),Total,25-29,14579829,7466367,7113462,2368180,1901624,466556,12032730,5482598,6550132,128513,57745,70768,34905,17837,17068,15501,6563,8938,0,0,0
09,000,State - UTTAR PRADESH (09),Total,30-34,12954682,6431401,6523281,751176,617382,133794,11949428,5700816,6248612,203469,87380,116089,34766,18748,16018,15843,7075,8768,0,0,0
09,000,State - UTTAR PRADESH (09),Total,35-39,12556222,6401231,6154991,357900,296138,61762,11819425,5949055,5870370,329645,129871,199774,33949,19099,14850,15303,7068,8235,0,0,0
09,000,State - UTTAR PRADESH (09),Total,40-44,10231402,5395162,4836240,220466,185139,35327,9528569,5021063,4507506,443268,167968,275300,27355,15636,11719,11744,5356,6388,0,0,0
09,000,State - UTTAR PRADESH (09),Total,45-49,8449777,4382148,4067629,142403,118331,24072,7758019,4063075,3694944,522513,186203,336310,18980,10864,8116,7862,3675,4187,0,0,0
09,000,State - UTTAR PRADESH (09),Total,50-54,6587023,3571917,3015106,112111,91923,20188,5811481,3244839,2566642,643410,224386,419024,14179,8050,6129,5842,2719,3123,0,0,0
09,000,State - UTTAR PRADESH (09),Total,55-59,5464146,2626201,2837945,86670,67025,19645,4740669,2336363,2404306,623985,215874,408111,9169,5227,3942,3653,1712,1941,0,0,0
09,000,State - UTTAR PRADESH (09),Total,60-64,5705191,2968771,2736420,145149,100264,44885,4397046,2494181,1902865,1149212,366843,782369,9897,5672,4225,3887,1811,2076,0,0,0
09,000,State - UTTAR PRADESH (09),Total,65-69,3839969,1958472,1881497,140501,90653,49848,2730731,1542376,1188355,960999,321225,639774,5514,3190,2324,2224,1028,1196,0,0,0
09,000,State - UTTAR PRADESH (09),Total,70-74,2832368,1535092,1297276,80683,56105,24578,1688316,1116813,571503,1057780,359036,698744,3875,2352,1523,1714,786,928,0,0,0
09,000,State - UTTAR PRADESH (09),Total,75-79,1249892,638877,611015,41722,27765,13957,721355,426240,295115,484687,183707,300980,1416,852,564,712,313,399,0,0,0
09,000,State - UTTAR PRADESH (09),Total,80+,1812484,935921,876563,177777,112558,65219,824279,510761,313518,807076,310799,496277,2222,1300,922,1130,503,627,0,0,0
09,000,State - UTTAR PRADESH (09),Total,Age not stated,1622062,865933,756129,907396,546277,361119,656010,298770,357240,55849,19408,36441,1874,1049,825,933,429,504,0,0,0
09,000,State - UTTAR PRADESH (09),Total,Less than 18,85334785,45000542,40334243,83973399,44555693,39417706,1297554,417191,880363,42524,17079,25445,18073,9034,9039,3235,1545,1690,0,0,0
09,000,State - UTTAR PRADESH (09),Total,Less than 21,99600945,52792679,46808266,94779196,51378267,43400929,4707029,1366529,3340500,76839,30540,46299,30547,14505,16042,7334,2838,4496,0,0,0
09,000,State - UTTAR PRADESH (09),Rural,All ages,155317278,80992995,74324283,82168438,46077005,36091433,66938792,32553832,34384960,5948921,2219000,3729921,191942,109730,82212,69185,33428,35757,0,0,0
09,000,State - UTTAR PRADESH (09),Rural,0-9,36918679,19384966,17533713,36918679,19384966,17533713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09,000,State - UTTAR PRADESH (09),Rural,10-14,20773940,10962322,9811618,20337762,10802283,9535479,411500,148633,262867,14471,6202,8269,8859,4508,4351,1348,696,652,0,0,0
09,000,State - UTTAR PRADESH (09),Rural,15-19,17779084,9493418,8285666,15802886,8989458,6813428,1933121,485776,1447345,30319,12418,17901,10334,4862,5472,2424,904,1520,0,0,0
09,000,State - UTTAR PRADESH (09),Rural,20-24,12989044,6927701,6061343,5591876,4135174,1456702,7312075,2755029,4557046,57082,24981,32101,20371,9499,10872,7640,3018,4622,0,0,0
09,000,State - UTTAR PRADESH (09),Rural,25-29,10860729,5531452,5329277,1330377,1130496,199881,9391515,4332817,5058698,101011,47997,53014,27017,14977,12040,10809,5165,5644,0,0,0
09,000,State - UTTAR PRADESH (09),Rural,30-34,9810399,4825061,4985338,445604,383188,62416,9168747,4348838,4819909,159309,72280,87029,26289,15485,10804,10450,5270,5180,0,0,0
09,000,State - UTTAR PRADESH (09),Rural,35-39,9523701,4848208,4675493,237171,204880,32291,8995755,4514772,4480983,255293,107900,147393,25623,15623,10000,9859,5033,4826,0,0,0
09,000,State - UTTAR PRADESH (09),Rural,40-44,7685262,4053994,3631268,154644,135954,18690,7164586,3763053,3401533,337747,138403,199344,20776,12786,7990,7509,3798,3711,0,0,0
09,000,State - UTTAR PRADESH (09),Rural,45-49,6278251,3240893,3037358,103075,89778,13297,5767361,2988813,2778548,388470,150895,237575,14367,8850,5517,4978,2557,2421,0,0,0
09,000,State - UTTAR PRADESH (09),Rural,50-54,4912691,2662431,2250260,83268,71856,11412,4330845,2400608,1930237,483831,181443,302388,10888,6586,4302,3859,1938,1921,0,0,0
