state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
05,000,State - UTTARAKHAND (05),Total,All ages,10086292,5137773,4948519,5057886,2841151,2216735,4514826,2185211,2329615,489495,102280,387215,17802,6770,11032,6283,2361,3922,0,0,0
05,000,State - UTTARAKHAND (05),Total,0-9,1983665,1049167,934498,1983665,1049167,934498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05,000,State - UTTARAKHAND (05),Total,10-14,1145343,603274,542069,1131477,598373,533104,12632,4406,8226,580,175,405,593,296,297,61,24,37,0,0,0
05,000,State - UTTARAKHAND (05),Total,15-19,1124110,588483,535627,1054801,575072,479729,67442,12767,54675,1073,300,773,665,293,372,129,51,78,0,0,0
05,000,State - UTTARAKHAND (05),Total,20-24,970068,484614,485454,571077,377441,193636,394763,106006,288757,2397,596,1801,1336,419,917,495,152,343,0,0,0
05,000,State - UTTARAKHAND (05),Total,25-29,810184,397363,412821,184302,143116,41186,617677,251996,365681,5460,1313,4147,1892,647,1245,853,291,562,0,0,0
05,000,State - UTTARAKHAND (05),Total,30-34,698300,345427,352873,49444,38894,10550,635722,303352,332370,9902,2019,7883,2247,823,1424,985,339,646,0,0,0
05,000,State - UTTARAKHAND (05),Total,35-39,665500,330834,334666,18539,14095,4444,626130,312262,313868,17337,3126,14211,2444,934,1510,1050,417,633,0,0,0
05,000,State - UTTARAKHAND (05),Total,40-44,566709,285531,281178,10890,8269,2621,527189,271633,255556,25697,4457,21240,2150,866,1284,783,306,477,0,0,0
05,000,State - UTTARAKHAND (05),Total,45-49,489377,247982,241395,7530,5749,1781,445236,235403,209833,34229,5875,28354,1796,714,1082,586,241,345,0,0,0
05,000,State - UTTARAKHAND (05),Total,50-54,397158,202024,195134,5674,4285,1389,346538,189708,156830,43093,7356,35737,1426,499,927,427,176,251,0,0,0
05,000,State - UTTARAKHAND (05),Total,55-59,318461,151865,166596,4015,2987,1028,268662,140130,128532,44612,8280,36332,894,358,536,278,110,168,0,0,0
05,000,State - UTTARAKHAND (05),Total,60-64,329056,163220,165836,7696,5160,2536,243764,143200,100564,76286,14359,61927,1053,395,658,257,106,151,0,0,0
05,000,State - UTTARAKHAND (05),Total,65-69,218759,108412,110347,8282,5217,3065,146152,89511,56641,63666,13412,50254,534,216,318,125,56,69,0,0,0
05,000,State - UTTARAKHAND (05),Total,70-74,163443,80970,82473,3907,2696,1211,92530,63399,29131,66519,14682,51837,373,145,228,114,48,66,0,0,0
05,000,State - UTTARAKHAND (05),Total,75-79,84646,40837,43809,1381,994,387,43529,29760,13769,39509,9989,29520,176,78,98,51,16,35,0,0,0
05,000,State - UTTARAKHAND (05),Total,80+,104905,48458,56447,5744,3646,2098,40458,28534,11924,58433,16179,42254,191,74,117,79,25,54,0,0,0
05,000,State - UTTARAKHAND (05),Total,Age not stated,16608,9312,7296,9462,5990,3472,6402,3144,3258,702,162,540,32,13,19,10,3,7,0,0,0
05,000,State - UTTARAKHAND (05),Total,Less than 18,3800110,2002090,1798020,3764983,1991447,1773536,32785,9756,23029,1283,372,911,945,463,482,114,52,62,0,0,0
05,000,State - UTTARAKHAND (05),Total,Less than 21,4491954,2362796,2129158,4347583,2332422,2015161,140504,29026,111478,2107,586,1521,1500,667,833,260,95,165,0,0,0
05,000,State - UTTARAKHAND (05),Rural,All ages,7036954,3519042,3517912,3541418,1961990,1579428,3106697,1474266,1632431,372162,76514,295648,13039,4857,8182,3638,1415,2223,0,0,0
05,000,State - UTTARAKHAND (05),Rural,0-9,1447875,761192,686683,1447875,761192,686683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05,000,State - UTTARAKHAND (05),Rural,10-14,835418,434578,400840,825941,431326,394615,8647,2951,5696,432,122,310,360,167,193,38,12,26,0,0,0
05,000,State - UTTARAKHAND (05),Rural,15-19,792898,407069,385829,740821,397729,343092,50751,8924,41827,797,207,590,441,175,266,88,34,54,0,0,0
05,000,State - UTTARAKHAND (05),Rural,20-24,648027,312431,335596,351948,235110,116838,293010,76490,216520,1766,429,1337,964,290,674,339,112,227,0,0,0
05,000,State - UTTARAKHAND (05),Rural,25-29,529754,253277,276477,99649,80132,19517,424285,171561,252724,3988,933,3055,1329,461,868,503,190,313,0,0,0
05,000,State - UTTARAKHAND (05),Rural,30-34,459156,221890,237266,26067,20993,5074,423645,198704,224941,7352,1413,5939,1549,574,975,543,206,337,0,0,0
05,000,State - UTTARAKHAND (05),Rural,35-39,441348,215242,226106,9903,7704,2199,416639,204410,212229,12537,2251,10286,1721,641,1080,548,236,312,0,0,0
05,000,State - UTTARAKHAND (05),Rural,40-44,378652,187060,191592,6130,4813,1317,351997,178261,173736,18498,3187,15311,1596,629,967,431,170,261,0,0,0
05,000,State - UTTARAKHAND (05),Rural,45-49,325900,160955,164945,4319,3457,862,295522,152650,142872,24393,4187,20206,1346,529,817,320,132,188,0,0,0
05,000,State - UTTARAKHAND (05),Rural,50-54,270074,133037,137037,3124,2516,608,233949,124699,109250,31635,5344,26291,1119,379,740,247,99,148,0,0,0
05,000,State - UTTARAKHAND (05),Rural,55-59,221366,100962,120404,2238,1795,443,185562,92901,92661,32714,5929,26785,700,278,422,152,59,93,0,0,0
05,000,State - UTTARAKHAND (05),Rural,60-64,244791,119263,125528,5065,3472,1593,179330,104405,74925,59382,11013,48369,849,310,539,165,63,102,0,0,0
05,000,State - UTTARAKHAND (05),Rural,65-69,163102,78840,84262,5411,3413,1998,107377,65084,42293,49800,10132,39668,429,176,253,85,35,50,0,0,0
05,000,State - UTTARAKHAND (05),Rural,70-74,124907,60605,64302,2399,1689,710,69387,47433,21954,52733,11336,41397,303,115,188,85,32,53,0,0,0
05,000,State - UTTARAKHAND (05),Rural,75-79,64561,30697,33864,826,614,212,32821,22424,10397,30734,7585,23149,145,63,82,35,11,24,0,0,0
