state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
19,000,State - WEST BENGAL (19),Total,All ages,91276115,46809027,44467088,39945035,22930879,17014156,46394483,23084775,23309708,4459606,667422,3792184,314506,89210,225296,162485,36741,125744,0,0,0
19,000,State - WEST BENGAL (19),Total,0-9,15580952,7960625,7620327,15580952,7960625,7620327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,000,State - WEST BENGAL (19),Total,10-14,9156523,4677506,4479017,8968831,4605359,4363472,174562,67363,107199,7022,2000,5022,4822,2258,2564,1286,526,760,0,0,0
19,000,State - WEST BENGAL (19),Total,15-19,9058031,4702325,4355706,7592878,4476118,3116760,1432835,218843,1213992,16647,3701,12946,10063,2825,7238,5608,838,4770,0,0,0
19,000,State - WEST BENGAL (19),Total,20-24,8758322,4422630,4335692,4131499,3109346,1022153,4552683,1299195,3253488,30950,6099,24851,26210,5323,20887,16980,2667,14313,0,0,0
19,000,State - WEST BENGAL (19),Total,25-29,7997909,4044904,3953005,1834704,1490506,344198,6047767,2531606,3516161,56682,10394,46288,36289,8041,28248,22467,4357,18110,0,0,0
19,000,State - WEST BENGAL (19),Total,30-34,6841590,3464659,3376931,700953,554461,146492,5988941,2880738,3108203,88911,14740,74171,39738,9782,29956,23047,4938,18109,0,0,0
19,000,State - WEST BENGAL (19),Total,35-39,7012646,3523361,3489285,350444,251950,98494,6436032,3232021,3204011,156562,21920,134642,44934,11715,33219,24674,5755,18919,0,0,0
19,000,State - WEST BENGAL (19),Total,40-44,6153060,3219604,2933456,208237,137683,70554,5633795,3034614,2599181,248170,31026,217144,41227,11039,30188,21631,5242,16389,0,0,0
19,000,State - WEST BENGAL (19),Total,45-49,5335719,2814212,2521507,141727,87591,54136,4815183,2670631,2144552,327636,42395,285241,34672,9578,25094,16501,4017,12484,0,0,0
19,000,State - WEST BENGAL (19),Total,50-54,4257880,2317232,1940648,102238,59717,42521,3694864,2190091,1504773,422919,56619,366300,25888,7778,18110,11971,3027,8944,0,0,0
19,000,State - WEST BENGAL (19),Total,55-59,3268650,1746903,1521747,67770,39271,28499,2719971,1637045,1082926,456701,63115,393586,17020,5554,11466,7188,1918,5270,0,0,0
19,000,State - WEST BENGAL (19),Total,60-64,2745454,1406401,1339053,56290,31754,24536,2008643,1283827,724816,662300,84842,577458,13251,4611,8640,4970,1367,3603,0,0,0
19,000,State - WEST BENGAL (19),Total,65-69,1982993,991280,991713,40116,23058,17058,1299577,876724,422853,632089,86964,545125,8504,3667,4837,2707,867,1840,0,0,0
19,000,State - WEST BENGAL (19),Total,70-74,1390607,686881,703726,26131,15523,10608,784558,578338,206220,572886,89533,483353,5446,2932,2514,1586,555,1031,0,0,0
19,000,State - WEST BENGAL (19),Total,75-79,739767,360216,379551,14802,9084,5718,377531,286668,90863,343955,62408,281547,2801,1795,1006,678,261,417,0,0,0
19,000,State - WEST BENGAL (19),Total,80+,883561,406536,477025,66537,39796,26741,382291,273717,108574,430503,90546,339957,3253,2150,1103,977,327,650,0,0,0
19,000,State - WEST BENGAL (19),Total,Age not stated,112451,63752,48699,60926,39037,21889,45250,23354,21896,5673,1120,4553,388,162,226,214,79,135,0,0,0
19,000,State - WEST BENGAL (19),Total,Less than 18,29999403,15407767,14591636,29390949,15246980,14143969,578610,151889,426721,17275,4199,13076,9210,3786,5424,3359,913,2446,0,0,0
19,000,State - WEST BENGAL (19),Total,Less than 21,35957778,18383613,17574165,33352571,17906855,15445716,2544201,461920,2082281,30584,6928,23656,20048,6071,13977,10374,1839,8535,0,0,0
19,000,State - WEST BENGAL (19),Rural,All ages,62183113,31844945,30338168,27647792,15838382,11809410,31322811,15515630,15807181,2906013,417553,2488460,190725,48863,141862,115772,24517,91255,0,0,0
19,000,State - WEST BENGAL (19),Rural,0-9,11481586,5855522,5626064,11481586,5855522,5626064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,000,State - WEST BENGAL (19),Rural,10-14,6677094,3401028,3276066,6550649,3353034,3197615,118102,44964,73138,4379,1239,3140,3069,1434,1635,895,357,538,0,0,0
19,000,State - WEST BENGAL (19),Rural,15-19,6442695,3359604,3083091,5304010,3192094,2111916,1116033,162791,953242,11313,2382,8931,6830,1760,5070,4509,577,3932,0,0,0
19,000,State - WEST BENGAL (19),Rural,20-24,6042721,3062672,2980049,2550784,2042085,508699,3439733,1011210,2428523,21405,4107,17298,17425,3220,14205,13374,2050,11324,0,0,0
19,000,State - WEST BENGAL (19),Rural,25-29,5354996,2723495,2631501,980760,842601,138159,4296988,1866383,2430605,38584,6811,31773,22143,4482,17661,16521,3218,13303,0,0,0
19,000,State - WEST BENGAL (19),Rural,30-34,4452270,2255183,2197087,319310,260143,59167,4035797,1977678,2058119,58238,9002,49236,22906,5017,17889,16019,3343,12676,0,0,0
19,000,State - WEST BENGAL (19),Rural,35-39,4596701,2306077,2290624,147066,104504,42562,4304740,2178257,2126483,102052,13624,88428,25813,5941,19872,17030,3751,13279,0,0,0
19,000,State - WEST BENGAL (19),Rural,40-44,4024731,2100597,1924134,82330,53011,29319,3741466,2019473,1721993,161906,19311,142595,24165,5544,18621,14864,3258,11606,0,0,0
19,000,State - WEST BENGAL (19),Rural,45-49,3422477,1807534,1614943,54530,33014,21516,3128122,1740631,1387491,208149,26573,181576,20194,4755,15439,11482,2561,8921,0,0,0
19,000,State - WEST BENGAL (19),Rural,50-54,2693913,1469321,1224592,37102,21271,15831,2366478,1407161,959317,266703,35094,231609,15285,3887,11398,8345,1908,6437,0,0,0
19,000,State - WEST BENGAL (19),Rural,55-59,2048869,1086200,962669,24320,14059,10261,1717360,1028710,688650,291781,39362,252419,10385,2847,7538,5023,1222,3801,0,0,0
19,000,State - WEST BENGAL (19),Rural,60-64,1746446,881516,864930,22271,12319,9952,1272022,812395,459627,440037,53236,386801,8583,2666,5917,3533,900,2633,0,0,0
19,000,State - WEST BENGAL (19),Rural,65-69,1280414,625865,654549,17155,9811,7344,823731,556846,266885,431814,56250,375564,5779,2369,3410,1935,589,1346,0,0,0
19,000,State - WEST BENGAL (19),Rural,70-74,876931,421658,455273,9912,5625,4287,483796,357332,126464,378383,56335,322048,3773,2012,1761,1067,354,713,0,0,0
19,000,State - WEST BENGAL (19),Rural,75-79,456033,217061,238972,5495,3184,2311,228374,174115,54259,219743,38280,181463,1986,1310,676,435,172,263,0,0,0
19,000,State - WEST BENGAL (19),Rural,80+,536855,245245,291610,35445,20744,14701,229963,167318,62645,268643,55434,213209,2195,1543,652,609,206,403,0,0,0
19,000,State - WEST BENGAL (19),Rural,Age not stated,48381,26367,22014,25067,15361,9706,20106,10366,9740,2883,513,2370,194,76,118,131,51,80,0,0,0
19,000,State - WEST BENGAL (19),Rural,Less than 18,21925137,11250345,10674792,21481584,11139604,10341980,423714,105094,318620,11364,2677,8687,5938,2362,3576,2537,608,1929,0,0,0
19,000,State - WEST BENGAL (19),Rural,Less than 21,26121741,13347184,12774557,24119831,12993585,11126246,1959859,344066,1615793,20340,4408,15932,13452,3808,9644,8259,1317,6942,0,0,0
19,000,State - WEST BENGAL (19),Urban,All ages,29093002,14964082,14128920,12297243,7092497,5204746,15071672,7569145,7502527,1553593,249869,1303724,123781,40347,83434,46713,12224,34489,0,0,0
19,000,State - WEST BENGAL (19),Urban,0-9,4099366,2105103,1994263,4099366,2105103,1994263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
