state,district,sex_ratio,muslim_pct,houseless_per_lakh
Himachal Pradesh,Lahul & Spiti,1.05,0.234444304,41.18616145
Jammu & Kashmir,Leh (ladakh),0.97,14.27629657,34.46028452
Andaman & Nicobar Island,Nicobar,0.96,3.626296075,5.428586939
Jammu & Kashmir,Kargil,0.99,76.87319782,17.04521243
Mizoram,Lunglei,0.96,0.799117873,6.814183413
Arunanchal Pradesh,Anjaw,1.02,3.094439458,89.76236595
Himachal Pradesh,Kinnaur,0.96,0.532566184,26.1528037
Andaman & Nicobar Island,North & Middle Andaman,0.96,2.05024764,12.3109558
Arunanchal Pradesh,Lower Dibang Valley,0.95,4.154955621,36.98224852
Mizoram,Mamit,0.98,2.063359733,18.52623778
Nagaland,Tuensang,0.94,0.53510753,7.121202873
Mizoram,Saiha,0.92,0.908544561,14.14077138
Jammu & Kashmir,Doda,0.93,53.81669334,12.92884743
Nagaland,Zunheboto,0.96,0.548462954,6.393998167
Mizoram,Aizawl,0.98,1.314984175,7.494210722
Arunanchal Pradesh,Kurung Kumey,0.98,0.51153395,57.56114514
Mizoram,Champhai,0.98,0.555886914,23.06254722
Sikkim,North,0.95,1.864604544,96.0900501
Mizoram,Lawangtlai,0.96,0.442770624,22.05370926
Arunanchal Pradesh,West Siang,0.96,1.975524164,95.30256337
Arunanchal Pradesh,East Kameng,1,0.828567798,68.62371331
Assam,Dima Hasao,0.97,2.035478417,29.89229433
Arunanchal Pradesh,West Kameng,0.96,2.346718763,151.2859304
Arunanchal Pradesh,Upper Subansiri,0.97,0.624340907,147.3971815
Nagaland,Peren,0.92,1.942889549,32.55652758
Arunanchal Pradesh,Changlang,0.99,1.439693441,61.39273812
Rajasthan,Jaisalmer,0.87,25.0969147,119.4174221
Himachal Pradesh,Kullu,0.97,0.679145838,26.48988475
Chhattisgarh,Narayanpur,0.99,0.554999285,70.80532113
Mizoram,Serchhip,0.94,0.515884627,49.2785315
Manipur,Ukhrul,0.91,0.605984848,57.60932184
Meghalaya,West Khasi Hills,0.97,0.399779899,35.466449
Meghalaya,Ri Bhoi,0.96,0.710091176,27.04373358
Uttarakhand,Uttarkashi,0.92,1.076689105,69.67881098
Meghalaya,Jaintia Hills,0.97,0.416578087,28.34553204
Andaman & Nicobar Island,South Andaman,0.97,12.14065558,33.59340226
Arunanchal Pradesh,Lower Subansiri,0.96,1.784897025,134.8910033
Jammu & Kashmir,Kishtwar,0.91,57.74915907,22.97395707
Assam,Dhemaji,0.95,1.963904957,15.59464419
Nagaland,Mokokchung,0.96,1.056920595,28.77372548
Arunanchal Pradesh,Tirap,0.97,0.985041304,73.23063184
Himachal Pradesh,Chamba,0.96,6.252408107,44.69445943
Nagaland,Wokha,0.95,1.228185136,34.8677131
Arunanchal Pradesh,Lohit,0.96,2.639199594,130.3816752
Arunanchal Pradesh,East Siang,0.99,2.307134074,135.0615841
Sikkim,West,0.96,0.707296515,35.91453806
Odisha,Kandhamal,0.98,0.29163427,46.92338121
Meghalaya,East Garo Hills,0.98,1.056565078,39.63298597
Chhattisgarh,Dakshin Bastar Dantewada,1.02,1.206248431,78.51764679
Manipur,Chandel,0.92,2.14035039,117.9065348
