district,st_nm,dt_code,st_code,year,Zone
North and Middle Andaman,Andaman and Nicobar,639,35,2011_c,Green Zone
South Andaman,Andaman and Nicobar,640,35,2011_c,Red Zone
Nicobars,Andaman and Nicobar,638,35,2011_c,Green Zone
Srikakulam,Andhra Pradesh,542,37,2011_c,Orange Zone
Vizianagaram,Andhra Pradesh,543,37,2011_c,Green Zone
Visakhapatnam,Andhra Pradesh,544,37,2011_c,Orange Zone
Krishna,Andhra Pradesh,547,37,2011_c,Red Zone
Guntur,Andhra Pradesh,548,37,2011_c,Red Zone
East Godavari,Andhra Pradesh,545,37,2011_c,Orange Zone
Prakasam,Andhra Pradesh,549,37,2011_c,Orange Zone
Kurnool,Andhra Pradesh,552,37,2011_c,Red Zone
Anantapur,Andhra Pradesh,553,37,2011_c,Orange Zone
S.P.S. Nellore,Andhra Pradesh,550,37,2011_c,Red Zone
West Godavari,Andhra Pradesh,546,37,2011_c,Orange Zone
Y.S.R.,Andhra Pradesh,551,37,2011_c,Orange Zone
Chittoor,Andhra Pradesh,554,37,2011_c,Red Zone
Upper Subansiri,Arunachal Pradesh,249,12,2011_c,Green Zone
Anjaw,Arunachal Pradesh,260,12,2011_c,Green Zone
Changlang,Arunachal Pradesh,253,12,2011_c,Green Zone
Tawang,Arunachal Pradesh,245,12,2011_c,Green Zone
Papum Pare,Arunachal Pradesh,248,12,2011_c,Green Zone
Tirap,Arunachal Pradesh,254,12,2011_c,Green Zone
East Siang,Arunachal Pradesh,251,12,2011_c,Green Zone
Lohit,Arunachal Pradesh,259,12,2011_c,Green Zone
Kurung Kumey,Arunachal Pradesh,256,12,2011_c,Green Zone
Lower Subansiri,Arunachal Pradesh,255,12,2011_c,Green Zone
East Kameng,Arunachal Pradesh,247,12,2011_c,Green Zone
West Kameng,Arunachal Pradesh,246,12,2011_c,Green Zone
Kra Daadi,Arunachal Pradesh,763,12,2015_c,Green Zone
Namsai,Arunachal Pradesh,762,12,2014_c,Green Zone
Longding,Arunachal Pradesh,761,12,2012_c,Green Zone
Upper Siang,Arunachal Pradesh,252,12,2011_c,Green Zone
Lower Siang,Arunachal Pradesh,779,12,2018,Green Zone
Upper Dibang Valley,Arunachal Pradesh,257,12,2011_c,Green Zone
Lower Dibang Valley,Arunachal Pradesh,258,12,2011_c,Green Zone
Siang,Arunachal Pradesh,764,12,2015_c,Green Zone
Shi Yomi,Arunachal Pradesh,785,12,2018,Green Zone
Pakke Kessang,Arunachal Pradesh,783,12,2018,Green Zone
West Siang,Arunachal Pradesh,250,12,2011_c,Green Zone
Lepa Rada,Arunachal Pradesh,784,12,2018,Green Zone
Kamle,Arunachal Pradesh,778,12,2018,Green Zone
Tinsukia,Assam,309,18,2011_c,Green Zone
Dhemaji,Assam,308,18,2011_c,Green Zone
Dibrugarh,Assam,310,18,2011_c,Green Zone
Lakhimpur,Assam,307,18,2011_c,Green Zone
Sivasagar,Assam,311,18,2011_c,Green Zone
Jorhat,Assam,312,18,2011_c,Green Zone
Sonitpur,Assam,306,18,2011_c,Green Zone
Golaghat,Assam,313,18,2011_c,Green Zone
Udalguri,Assam,326,18,2011_c,Green Zone
Chirang,Assam,320,18,2011_c,Green Zone
Baksa,Assam,324,18,2011_c,Green Zone
Nagaon,Assam,305,18,2011_c,Green Zone
Kokrajhar,Assam,300,18,2011_c,Green Zone
Darrang,Assam,325,18,2011_c,Green Zone
Barpeta,Assam,303,18,2011_c,Green Zone
Nalbari,Assam,323,18,2011_c,Green Zone
Morigaon,Assam,304,18,2011_c,Orange Zone
Kamrup,Assam,321,18,2011_c,Green Zone
Bongaigaon,Assam,319,18,2011_c,Green Zone
Dhubri,Assam,301,18,2011_c,Orange Zone
Kamrup Metropolitan,Assam,322,18,2011_c,Green Zone
Goalpara,Assam,302,18,2011_c,Orange Zone
Dima Hasao,Assam,315,18,2011_c,Green Zone
Cachar,Assam,316,18,2011_c,Green Zone
Karimganj,Assam,317,18,2011_c,Green Zone
Hailakandi,Assam,318,18,2011_c,Green Zone
Charaideo,Assam,755,18,2015_c,Green Zone
Majuli,Assam,760,18,2016_c,Green Zone
Biswanath,Assam,756,18,2015_c,Green Zone
Hojai,Assam,757,18,2015_c,Green Zone
South Salmara Mancachar,Assam,758,18,2015_c,Green Zone
Karbi Anglong,Assam,314,18,2011_c,Green Zone
West Karbi Anglong,Assam,759,18,2016_c,Green Zone
West Champaran,Bihar,203,10,2011_c,Green Zone
East Champaran,Bihar,204,10,2011_c,Orange Zone
Sitamarhi,Bihar,206,10,2011_c,Green Zone
Sheohar,Bihar,205,10,2011_c,Green Zone
Gopalganj,Bihar,217,10,2011_c,Orange Zone
Samastipur,Bihar,221,10,2011_c,Green Zone
Katihar,Bihar,212,10,2011_c,Green Zone
Khagaria,Bihar,223,10,2011_c,Green Zone
Bhojpur,Bihar,231,10,2011_c,Orange Zone
Buxar,Bihar,232,10,2011_c,Red Zone
Darbhanga,Bihar,215,10,2011_c,Orange Zone
Saharsa,Bihar,214,10,2011_c,Green Zone
Kaimur Bhabhua,Bihar,233,10,2011_c,Orange Zone
Rohtas,Bihar,234,10,2011_c,Red Zone
Jamui,Bihar,238,10,2011_c,Green Zone
Banka,Bihar,225,10,2011_c,Orange Zone
Nawada,Bihar,237,10,2011_c,Orange Zone
Gaya,Bihar,236,10,2011_c,Red Zone
Munger,Bihar,226,10,2011_c,Red Zone
Vaishali,Bihar,220,10,2011_c,Orange Zone
Begusarai,Bihar,222,10,2011_c,Orange Zone
Bhagalpur,Bihar,224,10,2011_c,Orange Zone
Lakhisarai,Bihar,227,10,2011_c,Orange Zone
Sheikhpura,Bihar,228,10,2011_c,Green Zone
Arwal,Bihar,240,10,2011_c,Orange Zone
Jehanabad,Bihar,239,10,2011_c,Orange Zone
Nalanda,Bihar,229,10,2011_c,Orange Zone
Patna,Bihar,230,10,2011_c,Red Zone
Saran,Bihar,219,10,2011_c,Orange Zone
Siwan,Bihar,218,10,2011_c,Orange Zone
Muzaffarpur,Bihar,216,10,2011_c,Green Zone
Madhepura,Bihar,213,10,2011_c,Orange Zone
Araria,Bihar,209,10,2011_c,Green Zone
Supaul,Bihar,208,10,2011_c,Green Zone
Madhubani,Bihar,207,10,2011_c,Orange Zone
Purnia,Bihar,211,10,2011_c,Orange Zone
Kishanganj,Bihar,210,10,2011_c,Green Zone
Aurangabad,Bihar,235,10,2011_c,Orange Zone
Chandigarh,Chandigarh,55,4,2011_c,Red Zone
Mahasamund,Chhattisgarh,411,22,2011_c,Green Zone
Uttar Bastar Kanker,Chhattisgarh,413,22,2011_c,Green Zone
Narayanpur,Chhattisgarh,415,22,2011_c,Green Zone
Dakshin Bastar Dantewada,Chhattisgarh,416,22,2011_c,Green Zone
Bastar,Chhattisgarh,414,22,2011_c,Green Zone
Kondagaon,Chhattisgarh,722,22,update2014,Green Zone
Gariaband,Chhattisgarh,720,22,update2014,Green Zone
Raipur,Chhattisgarh,410,22,2011_c,Red Zone
Durg,Chhattisgarh,409,22,2011_c,Green Zone
Dhamtari,Chhattisgarh,412,22,2011_c,Green Zone
Balod,Chhattisgarh,719,22,update2014,Green Zone
Kabeerdham,Chhattisgarh,407,22,2011_c,Green Zone
Janjgir Champa,Chhattisgarh,405,22,2011_c,Green Zone
Bametara,Chhattisgarh,718,22,update2014,Green Zone
Rajnandgaon,Chhattisgarh,408,22,2011_c,Green Zone
Baloda Bazar,Chhattisgarh,721,22,update2014,Green Zone
Mungeli,Chhattisgarh,717,22,update2014,Green Zone
Bijapur,Chhattisgarh,417,22,2011_c,Green Zone
Raigarh,Chhattisgarh,403,22,2011_c,Green Zone
Bilaspur,Chhattisgarh,406,22,2011_c,Green Zone
Sukma,Chhattisgarh,723,22,update2014,Green Zone
Koriya,Chhattisgarh,400,22,2011_c,Green Zone
Jashpur,Chhattisgarh,402,22,2011_c,Green Zone
Korba,Chhattisgarh,404,22,2011_c,Orange Zone
Surajpur,Chhattisgarh,715,22,update2014,Green Zone
Surguja,Chhattisgarh,401,22,2011_c,Green Zone
Balrampur,Chhattisgarh,716,22,2011_c,Green Zone
Dadra and Nagar Haveli,Dadra and Nagar Haveli,496,26,2011_c,Green Zone
North Delhi,Delhi,91,7,2011_c,Red Zone
North East Delhi,Delhi,92,7,2011_c,Red Zone
West Delhi,Delhi,96,7,2011_c,Red Zone
East Delhi,Delhi,93,7,2011_c,Red Zone
South West Delhi,Delhi,97,7,2011_c,Red Zone
Central Delhi,Delhi,95,7,2011_c,Red Zone
New Delhi,Delhi,94,7,2011_c,Red Zone
South Delhi,Delhi,98,7,2011_c,Red Zone
Shahdara,Delhi,702,7,update2014,Red Zone
South East Delhi,Delhi,703,7,update2014,Red Zone
North West Delhi,Delhi,90,7,2011_c,Red Zone
North Goa,Goa,585,30,2011_c,Green Zone
South Goa,Goa,586,30,2011_c,Green Zone
Valsad,Gujarat,491,24,2011_c,Orange Zone
Amreli,Gujarat,480,24,2011_c,Green Zone
The Dangs,Gujarat,489,24,2011_c,Orange Zone
Vadodara,Gujarat,486,24,2011_c,Red Zone
Bharuch,Gujarat,488,24,2011_c,Orange Zone
Porbandar,Gujarat,478,24,2011_c,Green Zone
Narmada,Gujarat,487,24,2011_c,Orange Zone
Surat,Gujarat,492,24,2011_c,Red Zone
Tapi,Gujarat,493,24,2011_c,Orange Zone
Botad,Gujarat,726,24,update2014,Orange Zone
Chota Udaipur,Gujarat,731,24,update2014,Orange Zone
Gir Somnath,Gujarat,729,24,update2014,Orange Zone
Rajkot,Gujarat,476,24,2011_c,Orange Zone
