Activity,Containment zone,Red Zone,Orange Zone,Green Zone
"Travel by air, rail, metro and inter-State movement by road; running of schools, colleges, and other educational and training/ coaching institutions; hospitality services, including hotels and restaurants; places of large public gatherings, such as cinema halls, malls, gymnasiums, sports complexes etc; social, political, cultural and other kinds of gatherings; and, religious places/ places of worship for public. However, movement of persons by air, rail and road is allowed for select purposes",Not allowed,Not allowed,Not allowed,Not allowed
"Movement of individuals, for all non- essential activities, shall remain strictly prohibited between 7 pm to 7 am",Perimet controlled. 100% Aarogya setu app,Not allowed,Not allowed,Not allowed
"Out-Patient Departments (OPDs) and Medical clinics shall be permitted to operate , with social distancing norms and other safety precautions;",Not allowed,Allowed,Allowed,Allowed
"Plying of cycle rickshaws and auto rickshaws; running of taxis and cab aggregators; intra-district and inter-district plying of buses and barber shops, spas and saloons",Not allowed,Not allowed,Allowed,Allowed
"Movement of individuals and vehicles is allowed only for permitted activities, with a maximum of 2 persons (besides the driver) in four-wheeler vehicles, and with no pillion rider in the case of two-wheelers.",Not allowed,Allowed,Allowed,Allowed
"Industrial establishments in urban areas, viz., Special Economic Zones (SEZs), Export Oriented Units (EOUs), industrial estates and industrial townships with access control have been permitted.",Not allowed,Allowed,Allowed,Allowed
"The other industrial activities permitted are manufacturing units of essential goods, including drugs, pharmaceuticals, medical devices, their raw material and intermediates; production units, which require continuous process, and their supply chain; manufacturing of IT hardware; jute industry with staggered shifts and social distancing; and, manufacturing units of packaging material.",Not allowed,Allowed,Allowed,Allowed
Construction activities in urban areas have been limited to in-situ construction (where workers are available on site and no workers are required to be brought in from outside) and construction of renewable energy projects.,Not allowed,Allowed,Allowed,Allowed
"Shops in urban areas, for non-essential goods, are not allowed in malls, markets and market complexes. However, all standalone (single) shops, neighborhood (colony) shops and shops in residential complexes are permitted to remain open in urban areas, without any distinction of essential and non-essential.",Not allowed,Allowed,Allowed,Allowed
"E- Commerce activities, in the Red Zones, are permitted only in respect of essential goods.",Not allowed,Allowed,Allowed,Allowed
"Private offices can operate with upto 33% strength as per requirement, with the remaining persons working from home",Not allowed,Allowed,Allowed,Allowed
"All industrial and construction activities in rural areas, including MNREGA works, foodprocessing units and brick-kilns are permitted; besides, in rural areas, without distinction to the nature of goods, all shops, except in shopping malls are permitted",Not allowed,Allowed,Allowed,Allowed
Agriculture related,Not allowed,Allowed,Allowed,Allowed
Courier and postal services will be allowed to operate,Not allowed,Allowed,Allowed,Allowed
"print and electronic media, IT and IT enabled services, data and call centres, cold storage and warehousing services, private security and facility management services, and services provided by self-employed persons, except for barbers etc.",Not allowed,Allowed,Allowed,Allowed
Taxis and cab aggregators will be permitted with 1 driver and 1 passenger only. Interdistrict movement of individuals and vehicles will be allowed for permitted activities only. Four wheeler vehicles will have maximum two passengers besides the driver and pillion riding will be allowed on two-wheelers,Not allowed,Allowed,Allowed,Allowed
Buses can operate with upto 50% seating capacity and bus depots can operate with upto 50% capacity.,Not allowed,Allowed,Allowed,Allowed
"All goods traffic is to be permitted. No State/ UT shall stop the movement of cargo for cross land-border trade under Treaties with neighboring countries. No separate pass of any sort is needed for such movement, which is essential for maintaining the supply chain of goods",Not allowed,Allowed,Allowed,Allowed
"All other activities will be permitted activities, which are not specifically prohibited, or which are permitted with restrictions in the various Zones, under these guidelines.",Not allowed,Allowed,Allowed,Allowed
