day,hour,value
1,1,16
1,2,20
1,3,0
1,4,0
1,5,0
1,6,2
1,7,0
1,8,9
1,9,25
1,10,49
1,11,57
1,12,61
1,13,37
1,14,66
1,15,70
1,16,55
1,17,51
1,18,55
1,19,17
1,20,20
1,21,9
1,22,4
1,23,0
1,24,12
2,1,6
2,2,2
2,3,0
2,4,0
2,5,0
2,6,2
2,7,4
2,8,11
2,9,28
2,10,49
2,11,51
2,12,47
2,13,38
2,14,65
2,15,60
2,16,50
2,17,65
2,18,50
2,19,22
2,20,11
2,21,12
2,22,9
2,23,0
2,24,13
3,1,5
3,2,8
3,3,8
3,4,0
3,5,0
3,6,2
3,7,5
3,8,12
3,9,34
3,10,43
3,11,54
3,12,44
3,13,40
3,14,48
3,15,54
3,16,59
3,17,60
3,18,51
3,19,21
3,20,16
3,21,9
3,22,5
3,23,4
3,24,7
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,2
4,7,4
4,8,13
4,9,26
4,10,58
4,11,61
4,12,59
4,13,53
4,14,54
4,15,64
4,16,55
4,17,52
4,18,53
4,19,18
4,20,3
4,21,9
4,22,12
4,23,2
4,24,8
5,1,2
5,2,0
5,3,8
5,4,2
5,5,0
5,6,2
5,7,4
5,8,14
5,9,31
5,10,48
5,11,46
5,12,50
5,13,66
5,14,54
5,15,56
5,16,67
5,17,54
5,18,23
5,19,14
5,20,6
5,21,8
5,22,7
5,23,0
5,24,8
6,1,2
6,2,0
6,3,2
6,4,0
6,5,0
6,6,0
6,7,4
6,8,8
6,9,8
6,10,6
6,11,14
6,12,12
6,13,9
6,14,14
6,15,0
6,16,4
6,17,7
6,18,6
6,19,0
6,20,0
6,21,0
6,22,0
6,23,0
6,24,0
7,1,7
7,2,6
7,3,0
7,4,0
7,5,0
7,6,0
7,7,0
7,8,0
7,9,0
7,10,0
7,11,2
7,12,2
7,13,5
7,14,6
7,15,0
7,16,4
7,17,0
7,18,2
7,19,10
7,20,7
7,21,0
7,22,19
7,23,9
7,24,4
8,1,7.018115942
8,2,7.302898551
8,3,7.587681159
8,4,7.872463768
8,5,8.157246377
8,6,8.442028986
8,7,8.726811594
8,8,9.011594203
8,9,9.296376812
8,10,9.58115942
8,11,9.865942029
8,12,10.15072464
8,13,10.43550725
8,14,10.72028986
8,15,11.00507246
8,16,11.28985507
8,17,11.57463768
8,18,11.85942029
8,19,12.1442029
8,20,12.42898551
8,21,12.71376812
8,22,12.99855072
8,23,13.28333333
8,24,13.56811594
9,1,13.85289855
9,2,14.13768116
9,3,14.42246377
9,4,14.70724638
9,5,14.99202899
9,6,15.27681159
9,7,15.5615942
9,8,15.84637681
9,9,16.13115942
9,10,16.41594203
9,11,16.70072464
9,12,16.98550725
9,13,17.27028986
9,14,17.55507246
9,15,17.83985507
9,16,18.12463768
9,17,18.40942029
9,18,18.6942029
9,19,18.97898551
9,20,19.26376812
9,21,19.54855072
9,22,19.83333333
9,23,20.11811594
9,24,20.40289855
10,1,20.68768116
10,2,20.97246377
10,3,21.25724638
10,4,21.54202899
10,5,21.82681159
10,6,22.1115942
10,7,22.39637681
10,8,22.68115942
10,9,22.96594203
10,10,23.25072464
10,11,23.53550725
10,12,23.82028986
10,13,24.10507246
10,14,24.38985507
10,15,24.67463768
10,16,24.95942029
10,17,25.2442029
10,18,25.52898551
10,19,25.81376812
10,20,26.09855072
10,21,26.38333333
10,22,26.66811594
10,23,26.95289855
10,24,27.23768116
