State,District,Headquarters,Population,Area,Density,color
Andaman & Nicobar Island (AN),North & Middle Andaman,Mayabunder,105539,3227,32,#a65628
Andaman & Nicobar Island (AN),South Andaman,Port Blair,237586,3181,80,#a65628
Andaman & Nicobar Island (AN),Nicobar,Car Nicobar,36819,1841,20,#a65628
Andhra Pradesh (AP),Anantapur,Anantapur,4083315,19130,213,#a6cee3
Andhra Pradesh (AP),Chittoor,Chittoor,4170468,15152,275,#a6cee3
Andhra Pradesh (AP),East Godavari,Kakinada,5151549,10807,477,#a6cee3
Andhra Pradesh (AP),Guntur,Guntur,4889230,11391,429,#a6cee3
Andhra Pradesh (AP),Krishna,Machilipatnam,4529009,8727,519,#a6cee3
Andhra Pradesh (AP),Kurnool,Kurnool,4046601,17658,229,#a6cee3
Andhra Pradesh (AP),Prakasam,Ongole,3392764,17626,192,#a6cee3
Andhra Pradesh (AP),Srikakulam,Srikakulam,2699471,5837,462,#a6cee3
Andhra Pradesh (AP),Sri Potti Sriramulu Nellore,Nellore,2966082,13076,227,#a6cee3
Andhra Pradesh (AP),Visakhapatnam,Visakhapatnam,4288113,11161,384,#a6cee3
Andhra Pradesh (AP),Vizianagaram,Vizianagaram,2342868,6539,358,#a6cee3
Andhra Pradesh (AP),West Godavari,Eluru,3934782,7742,508,#a6cee3
Andhra Pradesh (AP),Kadapa,Kadapa,2884524,15359,188,#a6cee3
Arunachal Pradesh (AR),Anjaw,Hawai,21089,6190,3,#1f78b4
Arunachal Pradesh (AR),Changlang,Changlang,147951,4662,32,#1f78b4
Arunachal Pradesh (AR),Dibang Valley,Anini,7948,9129,1,#1f78b4
Arunachal Pradesh (AR),East Siang,Pasighat,99019,3603,27,#1f78b4
Arunachal Pradesh (AR),East Kameng,Seppa,78413,4134,19,#1f78b4
Arunachal Pradesh (AR),Kurung Kumey,Koloriang,89717,6040,15,#1f78b4
Arunachal Pradesh (AR),Lohit,Tezu,145538,2402,28,#1f78b4
Arunachal Pradesh (AR),Longding,Longding,51022,1192,42,#1f78b4
Arunachal Pradesh (AR),Lower Dibang Valley,Anini,53986,3900,14,#1f78b4
Arunachal Pradesh (AR),Lower Subansiri,Ziro,82839,3508,24,#1f78b4
Arunachal Pradesh (AR),Papum Pare,Yupia,176385,2875,51,#1f78b4
Arunachal Pradesh (AR),Tawang,Tawang Town,49950,2085,23,#1f78b4
Arunachal Pradesh (AR),Tirap,Khonsa,111997,2362,47,#1f78b4
Arunachal Pradesh (AR),Upper Siang,Yingkiong,35289,6188,5,#1f78b4
Arunachal Pradesh (AR),Upper Subansiri,Daporijo,83205,7032,12,#1f78b4
Arunachal Pradesh (AR),West Kameng,Bomdila,87013,7422,12,#1f78b4
Arunachal Pradesh (AR),West Siang,Along,112272,8325,23,#1f78b4
Assam (AS),Baksa,Mushalpur,953773,2008,475,#bc80bd
Assam (AS),Barpeta,Barpeta,1693190,3245,632,#bc80bd
Assam (AS),Bongaigaon,Bongaigaon,732639,1724,425,#bc80bd
Assam (AS),Cachar,Silchar,1736319,3786,459,#bc80bd
Assam (AS),Chirang,Kajalgaon,481818,1975,244,#bc80bd
Assam (AS),Darrang,Mangaldoi,908090,1849,491,#bc80bd
Assam (AS),Dhemaji,Dhemaji,688077,3237,213,#bc80bd
Assam (AS),Dima Hasao,Haflong,213529,4888,44,#bc80bd
Assam (AS),Dhubri,Dhubri,1948632,2838,1171,#bc80bd
Assam (AS),Dibrugarh,Dibrugarh,1327748,3381,393,#bc80bd
Assam (AS),Goalpara,Goalpara,1008959,1824,553,#bc80bd
Assam (AS),Golaghat,Golaghat,1058674,3502,302,#bc80bd
Assam (AS),Hailakandi,Hailakandi,659260,1327,497,#bc80bd
Assam (AS),Jorhat,Jorhat,1091295,2851,383,#bc80bd
Assam (AS),Kamrup,Goroimari,1517202,3480,436,#bc80bd
Assam (AS),Kamrup Metropolitan,Guwahati,1260419,627,2010,#bc80bd
Assam (AS),Karbi Anglong,Diphu,965280,10434,93,#bc80bd
Assam (AS),Karimganj,Karimganj,1217002,1809,673,#bc80bd
Assam (AS),Kokrajhar,Kokrajhar,886999,3129,280,#bc80bd
Assam (AS),Lakhimpur,North Lakhimpur,1040644,2277,457,#bc80bd
Assam (AS),Marigaon,Marigaon,957853,1704,618,#bc80bd
Assam (AS),Nagaon,Nagaon,2826006,3831,711,#bc80bd
Assam (AS),Nalbari,Nalbari,769919,1009,763,#bc80bd
Assam (AS),Sivasagar,Sibsagar,1150253,2668,431,#bc80bd
Assam (AS),Sonitpur,Tezpur,1925975,5324,365,#bc80bd
Assam (AS),Tinsukia,Tinsukia,1316948,3790,347,#bc80bd
Assam (AS),Udalguri,Udalguri,832769,1676,497,#bc80bd
Bihar (BR),Araria,Araria,2806200,2829,992,#e34a33
Bihar (BR),Arwal,Arwal,699563,4839,1099,#e34a33
Bihar (BR),Aurangabad,Aurangabad,2511243,3303,760,#e34a33
Bihar (BR),Banka,Banka,2029339,3018,672,#e34a33
Bihar (BR),Begusarai,Begusarai,2954367,1917,1540,#e34a33
Bihar (BR),Bhagalpur,Bhagalpur,3032226,2569,1180,#e34a33
Bihar (BR),Bhojpur,Arrah,2720155,2473,1136,#e34a33
Bihar (BR),Buxar,Buxar,1707643,1624,1003,#e34a33
Bihar (BR),Darbhanga,Darbhanga,3921971,2278,1721,#e34a33
Bihar (BR),East Champaran,Motihari,5082868,3969,1281,#e34a33
Bihar (BR),Gaya,Gaya,4379383,4978,880,#e34a33
Bihar (BR),Gopalganj,Gopalganj,2558037,2033,1258,#e34a33
Bihar (BR),Jamui,Jamui,1756078,3099,567,#e34a33
Bihar (BR),Jehanabad,Jehanabad,1124176,1569,1206,#e34a33
Bihar (BR),Kaimur,Bhabua,1626900,3363,488,#e34a33
Bihar (BR),Katihar,Katihar,3068149,3056,1004,#e34a33
Bihar (BR),Khagaria,Khagaria,1657599,1486,1115,#e34a33
Bihar (BR),Kishanganj,Kishanganj,1690948,1884,898,#e34a33
Bihar (BR),Lakhisarai,Lakhisarai,1000717,1229,815,#e34a33
Bihar (BR),Madhepura,Madhepura,1994618,1787,1116,#e34a33
Bihar (BR),Madhubani,Madhubani,4476044,3501,1279,#e34a33
Bihar (BR),Munger,Munger,1359054,1419,958,#e34a33
Bihar (BR),Muzaffarpur,Muzaffarpur,4778610,3173,1506,#e34a33
Bihar (BR),Nalanda,Bihar Sharif,2872523,2354,1220,#e34a33
Bihar (BR),Nawada,Nawada,2216653,2492,889,#e34a33
Bihar (BR),Patna,Patna,5772804,3202,1803,#e34a33
Bihar (BR),Purnia,Purnia,3273127,3228,1014,#e34a33
Bihar (BR),Rohtas,Sasaram,2962593,3850,763,#e34a33
Bihar (BR),Saharsa,Saharsa,1897102,1702,1125,#e34a33
Bihar (BR),Samastipur,Samastipur,4254782,2905,1465,#e34a33
Bihar (BR),Saran,Chhapra,3943098,2641,1493,#e34a33
Bihar (BR),Sheikhpura,Sheikhpura,634927,689,922,#e34a33
Bihar (BR),Sheohar,Sheohar,656916,443,1882,#e34a33
Bihar (BR),Sitamarhi,Sitamarhi,3419622,2199,1491,#e34a33
Bihar (BR),Siwan,Siwan,3318176,2219,1495,#e34a33
Bihar (BR),Supaul,Supaul,2228397,2410,919,#e34a33
Bihar (BR),Vaishali,Hajipur,3495021,2036,1717,#e34a33
Bihar (BR),West Champaran,Bettiah,3935042,5229,753,#e34a33
Chandigarh (CH),Chandigarh,Chandigarh,1054686,114,9252,#66bd63
Chhattisgarh (CG),Bastar,Jagdalpur,1411644,4030,140,#878787
Chhattisgarh (CG),Bijapur,Bijapur,255180,6555,39,#878787
Chhattisgarh (CG),Bilaspur,Bilaspur,2662077,6377,322,#878787
Chhattisgarh (CG),Dantewada,Dantewada,532791,3411,59,#878787
Chhattisgarh (CG),Dhamtari,Dhamtari,799199,4081,236,#878787
Chhattisgarh (CG),Durg,Durg,3343079,8542,391,#878787
Chhattisgarh (CG),Jashpur,Jashpur Nagar,852043,5825,146,#878787
Chhattisgarh (CG),Janjgir-champa,Naila Janjgir,1620632,3848,421,#878787
Chhattisgarh (CG),Korba,Korba,1206563,6615,183,#878787
Chhattisgarh (CG),Koriya,Baikunthpur,659039,6578,100,#878787
Chhattisgarh (CG),Kanker,Kanker,748593,6513,115,#878787
Chhattisgarh (CG),Kabeerdham,Kawardha,584667,4237,195,#878787
Chhattisgarh (CG),Mahasamund,Mahasamund,1032275,4779,216,#878787
Chhattisgarh (CG),Narayanpur,Narayanpur,140206,6640,20,#878787
Chhattisgarh (CG),Raigarh,Raigarh,1493627,7068,211,#878787
Chhattisgarh (CG),Rajnandgaon,Rajnandgaon,1537520,8062,191,#878787
Chhattisgarh (CG),Raipur,Raipur,4062160,13083,310,#878787
Chhattisgarh (CG),Surajpur,Surajpur,660280,6787,150,#878787
Chhattisgarh (CG),Surguja,Surguja,420661,3265,150,#878787
Dadra & Nagar Haveli (DN),Dadra & Nagar Haveli,Silvassa,342853,704,698,#b35806
Daman & Diu (DD),Daman,Daman,190855,72,2651,#4d4d4d
Daman & Diu (DD),Diu,Diu,52056,40,1301,#4d4d4d
NCT of Delhi (DL),Central Delhi,Daryaganj,578671,25,23149,#b2df8a
NCT of Delhi (DL),East Delhi,Preet Vihar,1707725,440,26683,#b2df8a
NCT of Delhi (DL),New Delhi,Connaught Place,133713,22,3820,#b2df8a
NCT of Delhi (DL),North Delhi,Sadar Bazaar,883418,59,14973,#b2df8a
NCT of Delhi (DL),North East Delhi,Shahdara,2240749,52,37346,#b2df8a
NCT of Delhi (DL),North West Delhi,Kanjhawala,3651261,130,8298,#b2df8a
NCT of Delhi (DL),South Delhi,Saket,2733752,250,10935,#b2df8a
NCT of Delhi (DL),South West Delhi,Vasant Vihar,2292363,395,5445,#b2df8a
NCT of Delhi (DL),West Delhi,Rajouri Garden,2531583,112,19625,#b2df8a
Goa (GA),North Goa,Panaji,817761,1736,471,#d6604d
Goa (GA),South Goa,Margao,639962,1966,326,#d6604d
Gujarat (GJ),Ahmedabad,Ahmedabad,7208200,8707,890,#80b1d3
Gujarat (GJ),Amreli,Amreli,1513614,6760,205,#80b1d3
Gujarat (GJ),Anand,Anand,2090276,2942,711,#80b1d3
Gujarat (GJ),Aravalli,Modasa,1051746,3217,327,#80b1d3
Gujarat (GJ),Banas Kantha,Palanpur,3116045,12703,290,#80b1d3
Gujarat (GJ),Bharuch,Bharuch,1550822,6524,238,#80b1d3
Gujarat (GJ),Bhavnagar,Bhavnagar,2877961,11155,288,#80b1d3
Gujarat (GJ),Dohad,Dahod,2126558,3642,582,#80b1d3
Gujarat (GJ),Dang,Ahwa,226769,1764,129,#80b1d3
Gujarat (GJ),Gandhinagar,Gandhinagar,1387478,649,660,#80b1d3
Gujarat (GJ),Jamnagar,Jamnagar,2159130,14125,153,#80b1d3
Gujarat (GJ),Junagadh,Junagadh,2742291,8839,310,#80b1d3
Gujarat (GJ),Kutch,Bhuj,2090313,45652,46,#80b1d3
Gujarat (GJ),Kheda,Nadiad,2298934,4215,541,#80b1d3
Gujarat (GJ),Mahesana,Mehsana,2027727,4386,462,#80b1d3
Gujarat (GJ),Narmada,Rajpipla,590379,2749,214,#80b1d3
Gujarat (GJ),Navsari,Navsari,1330711,2211,602,#80b1d3
Gujarat (GJ),Patan,Patan,1342746,5738,234,#80b1d3
Gujarat (GJ),Panch Mahals,Godhra,2388267,5219,458,#80b1d3
Gujarat (GJ),Porbandar,Porbandar,586062,2294,255,#80b1d3
Gujarat (GJ),Rajkot,Rajkot,3157676,11203,282,#80b1d3
Gujarat (GJ),Sabar Kantha,Himatnagar,2427346,7390,328,#80b1d3
Gujarat (GJ),Surendranagar,Surendranagar,1755873,10489,167,#80b1d3
Gujarat (GJ),Surat,Surat,4996391,4327,653,#80b1d3
Gujarat (GJ),Tapi,Vyara,806489,3435,249,#80b1d3
Gujarat (GJ),Vadodara,Vadodara,3639775,7794,467,#80b1d3
Gujarat (GJ),Valsad,Valsad,1703068,3034,561,#80b1d3
Haryana (HR),Ambala,Ambala,1136784,1569,722,#33a02c
Haryana (HR),Bhiwani,Bhiwani,1629109,5140,341,#33a02c
Haryana (HR),Faridabad,Faridabad,1798954,783,2298,#33a02c
Haryana (HR),Fatehabad,Fatehabad,941522,2538,371,#33a02c
Haryana (HR),Gurgaon,Gurgaon,1514085,2760,1241,#33a02c
Haryana (HR),Hissar,Hissar,1742815,3788,438,#33a02c
Haryana (HR),Jhajjar,Jhajjar,956907,1868,522,#33a02c
Haryana (HR),Jind,Jind,1332042,2702,493,#33a02c
Haryana (HR),Karnal,Karnal,1506323,2471,598,#33a02c
Haryana (HR),Kaithal,Kaithal,1072861,2799,467,#33a02c
Haryana (HR),Kurukshetra,Kurukshetra,964231,1530,630,#33a02c
Haryana (HR),Mahendragarh,Narnaul,921680,1900,485,#33a02c
Haryana (HR),Mewat,Nuh,1089406,1765,729,#33a02c
Haryana (HR),Palwal,Palwal,1040493,1367,761,#33a02c
Haryana (HR),Panchkula,Panchkula,558890,816,622,#33a02c
Haryana (HR),Panipat,Panipat,1202811,1250,949,#33a02c
Haryana (HR),Rewari,Rewari,896129,1559,562,#33a02c
Haryana (HR),Rohtak,Rohtak,1058683,1668,607,#33a02c
Haryana (HR),Sirsa,Sirsa,1295114,4276,303,#33a02c
Haryana (HR),Sonipat,Sonipat,1480080,2260,697,#33a02c
Haryana (HR),Yamuna Nagar,Yamuna Nagar,1214162,1756,687,#33a02c
Himachal Pradesh (HP),Bilaspur,Bilaspur,382056,1167,327,#fb9a99
Himachal Pradesh (HP),Chamba,Chamba,518844,6528,80,#fb9a99
Himachal Pradesh (HP),Hamirpur,Hamirpur,454293,1118,406,#fb9a99
Himachal Pradesh (HP),Kangra,Dharamshala,1507223,5739,263,#fb9a99
Himachal Pradesh (HP),Kinnaur,Reckong Peo,84298,6401,13,#fb9a99
Himachal Pradesh (HP),Kullu,Kullu,437474,5503,79,#fb9a99
Himachal Pradesh (HP),Lahul & Spiti,Keylong,31528,13835,2,#fb9a99
Himachal Pradesh (HP),Mandi,Mandi,999518,3950,253,#fb9a99
Himachal Pradesh (HP),Shimla,Shimla,813384,5131,159,#fb9a99
Himachal Pradesh (HP),Sirmaur,Nahan,530164,2825,188,#fb9a99
Himachal Pradesh (HP),Solan,Solan,576670,1936,298,#fb9a99
Himachal Pradesh (HP),Una,Una,521057,1540,328,#fb9a99
Jammu & Kashmir (JK),Anantnag,Anantnag,1070144,2853,375,#e31a1c
Jammu & Kashmir (JK),Badgam,Badgam,735753,1406,537,#e31a1c
Jammu & Kashmir (JK),Bandipore,Bandipore,385099,3010,128,#e31a1c
Jammu & Kashmir (JK),Baramula,Baramulla,1015503,3329,305,#e31a1c
Jammu & Kashmir (JK),Doda,Doda,409576,11691,79,#e31a1c
Jammu & Kashmir (JK),Ganderbal,Ganderbal,297003,258,1151,#e31a1c
Jammu & Kashmir (JK),Jammu,Jammu,1526406,3097,596,#e31a1c
Jammu & Kashmir (JK),Kargil,Kargil,143388,14036,10,#e31a1c
Jammu & Kashmir (JK),Kathua,Kathua,615711,2651,232,#e31a1c
Jammu & Kashmir (JK),Kishtwar,Kishtwar,231037,1848,125,#e31a1c
Jammu & Kashmir (JK),Kupwara,Kupwara,875564,2379,368,#e31a1c
Jammu & Kashmir (JK),Kulgam,Kulgam,422786,457,925,#e31a1c
