Candidate Name,Party,Status,State,Constituency,constId,stateid,image_url,afidavit_url,gender,age,Alliance,Alliance_Front,Color,District
SARAVANAN E,Independent,Accepted,Tamil Nadu,Gummidipoondi,1,S22,https://suvidha.eci.gov.in/uploads1/candprofile/E10/2021/AC/s22/SARAV-2021-20210318060106.png,https://affidavit.eci.gov.in/show-profile/MTEzMjQ=/MTY=/MTA=/Mw==/QUM=,no,0,Others,Others Parties,,Thiruvallur
LAKSHMI R,Independent,Accepted,Tamil Nadu,Gummidipoondi,1,S22,https://suvidha.eci.gov.in/uploads1/candprofile/E10/2021/AC/s22/LAKSH-2021-20210316060459.jpeg,https://affidavit.eci.gov.in/show-profile/MTEzNDA=/MTY=/MTA=/Mw==/QUM=,no,0,Others,Others Parties,,Thiruvallur
GOWTHAM J,Anaithu Makkal Arasiyal Katchi,Accepted,Tamil Nadu,Gummidipoondi,1,S22,https://suvidha.eci.gov.in/uploads1/candprofile/E10/2021/AC/S22/GOWTH-2021-20210322080537.jpg,https://affidavit.eci.gov.in/show-profile/MTE3MTQ=/MTY=/MTA=/Mw==/QUM=,no,0,Others,Others Parties,,Thiruvallur
PRAKASH M,Independent,Accepted,Tamil Nadu,Gummidipoondi,1,S22,https://suvidha.eci.gov.in/uploads1/candprofile/E10/2021/AC/s22/PRAKA-2021-20210319081948.png,https://affidavit.eci.gov.in/show-profile/MTE0OTM=/MTY=/MTA=/Mw==/QUM=,no,0,Others,Others Parties,,Thiruvallur
USHA,Naam Tamilar Katchi,Accepted,Tamil Nadu,Gummidipoondi,1,S22,https://suvidha.eci.gov.in/uploads1/candprofile/E10/2021/AC/s22/USHA-2021-20210318062205.png,https://affidavit.eci.gov.in/show-profile/NjkxMw==/MTY=/MTA=/Mw==/QUM=,no,0,NTK,Naam Tamilar Katchi,#fdae61,Thiruvallur
SARAVANAN V,Indiya Jananayaka Katchi,Accepted,Tamil Nadu,Gummidipoondi,1,S22,https://suvidha.eci.gov.in/uploads1/candprofile/E10/2021/AC/s22/SARAV-2021-20210318055658.png,https://affidavit.eci.gov.in/show-profile/NjcyNg==/MTY=/MTA=/Mw==/QUM=,no,0,MNM+,Makkal Needhi Maiam Front (MNM),#000080,Thiruvallur
DILLIY K.M,Desiya Murpokku Dravida Kazhagam,Accepted,Tamil Nadu,Gummidipoondi,1,S22,https://suvidha.eci.gov.in/uploads1/candprofile/E10/2021/AC/s22/DILLI-2021-20210318054149.png,https://affidavit.eci.gov.in/show-profile/NjU5Mg==/MTY=/MTA=/Mw==/QUM=,no,0,AMMK+,Amma Makkal Munnettra Kazagam Front (AMMK),#f1c40f,Thiruvallur
PRAKASH K,Independent,Accepted,Tamil Nadu,Gummidipoondi,1,S22,https://suvidha.eci.gov.in/uploads1/candprofile/E10/2021/AC/s22/PRAKA-2021-20210318064811.png,https://affidavit.eci.gov.in/show-profile/NzEwNQ==/MTY=/MTA=/Mw==/QUM=,no,0,Others,Others Parties,,Thiruvallur
PRAKASH M,Pattali Makkal Katchi,Accepted,Tamil Nadu,Gummidipoondi,1,S22,https://suvidha.eci.gov.in/uploads1/candprofile/E10/2021/AC/s22/PRAKA-2021-20210317060612.jpg,https://affidavit.eci.gov.in/show-profile/NDY1Ng==/MTY=/MTA=/Mw==/QUM=,no,0,AIADMK+,National Democratic Alliance (NDA),#d35400,Thiruvallur
GOVINDARAJAN T.J,Dravida Munnetra Kazhagam,Accepted,Tamil Nadu,Gummidipoondi,1,S22,https://suvidha.eci.gov.in/uploads1/candprofile/E10/2021/AC/s22/GOVIN-2021-20210317063153.jpg,https://affidavit.eci.gov.in/show-profile/NDc3MQ==/MTY=/MTA=/Mw==/QUM=,no,0,DMK+,Secular Progressive Alliance (SPA),#c0392b,Thiruvallur
DEVANATHAN R,Independent,Accepted,Tamil Nadu,Gummidipoondi,1,S22,https://suvidha.eci.gov.in/uploads1/candprofile/E10/2021/AC/s22/DEVAN-2021-20210315071510.jpg,https://affidavit.eci.gov.in/show-profile/MjkwMw==/MTY=/MTA=/Mw==/QUM=,no,0,Others,Others Parties,,Thiruvallur
NAGARAJ S,Bahujan Samaj Party,Accepted,Tamil Nadu,Gummidipoondi,1,S22,https://suvidha.eci.gov.in/uploads1/candprofile/E10/2021/AC/s22/NAGAR-2021-20210315073030.jpg,https://affidavit.eci.gov.in/show-profile/Mjk0NA==/MTY=/MTA=/Mw==/QUM=,no,0,Others,Others Parties,,Thiruvallur
SAMBATH KUMAR.C.H,Independent,Accepted,Tamil Nadu,Ponneri,2,S22,https://suvidha.eci.gov.in/uploads1/candprofile/E10/2021/AC/s22/SAMBA-2021-20210319030819.jpg,https://affidavit.eci.gov.in/show-profile/ODc4NA==/MTY=/MTA=/Mw==/QUM=,no,0,Others,Others Parties,,Thiruvallur
DESINGURAJAN. D,Makkal Needhi Maiam,Accepted,Tamil Nadu,Ponneri,2,S22,https://suvidha.eci.gov.in/uploads1/candprofile/E10/2021/AC/s22/DESIN-2021-20210318022132.jpg,https://affidavit.eci.gov.in/show-profile/ODU0OQ==/MTY=/MTA=/Mw==/QUM=,no,0,MNM+,Makkal Needhi Maiam Front (MNM),#d6604d,Thiruvallur
