constituency,1967,1971,1977,1980,1984,1989,1991,1996,2001,2006,2011
Sankagiri,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK
Thoothukkudi,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK
Tirunelveli,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK
Uthiramerur,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK
Veerapandi,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK
Arani,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,DMDK
Arcot,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,PMK,ADMK
Athoor(dindigul),DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,DMK
Dharapuram,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,PMK,DMK,ADMK
Erode,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,
Kancheepuram,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,PMK,ADMK
Kandamangalam,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,
Kanniyakumari,INC,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK
Kinathukkadavu,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,ADMK
Krishnagiri,INC,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK
Musiri,DMK,DMK,ADMK,ADMK,ADMK,ADK(JL),ADMK,DMK,ADMK,DMK,ADMK
Panamarathupatti,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,
Pernambattu,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,
Rasipuram,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK
Thiruvaiyaru,DMK,DMK,DMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK
Thiruvallur,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,TMC(M),DMK,ADMK
Andhiyur,DMK,DMK,ADMK,ADMK,ADMK,ADK(JL),ADMK,DMK,PMK,DMK,ADMK
Arakkonam,DMK,DMK,ADMK,ADMK,DMK,DMK,INC,DMK,ADMK,DMK,ADMK
Aruppukkottai,SWA,FBL,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK
Bhavanisagar,DMK,DMK,ADMK,ADMK,ADMK,ADK(JL),ADMK,DMK,ADMK,DMK,CPI
Gummidipoondi,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,DMDK
Kallakurichi,DMK,DMK,ADMK,INC,IND,DMK,ADMK,DMK,ADMK,DMK,ADMK
Kurinjipadi,DMK,DMK,DMK,ADMK,ADMK,DMK,ADMK,DMK,DMK,DMK,ADMK
Modakkurichi,SSP,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,INC,ADMK
Namakkal,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,INC,INC,ADMK
Natrampalli,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,PMK,DMK,
Peranamallur,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,PMK,
Periyakulam,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,CPM
Pollachi,DMK,DMK,ADMK,ADMK,ADMK,ADK(JL),ADMK,DMK,ADMK,ADMK,ADMK
Ponneri,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,CPI,ADMK,ADMK
Ramanathapuram,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,INC,MNMK
Sankarapuram,DMK,DMK,INC,ADMK,ADMK,DMK,ADMK,DMK,PMK,DMK,ADMK
Sholavandan,DMK,DMK,ADMK,INC,INC,DMK,ADMK,DMK,ADMK,DMK,ADMK
Thirupparankundram,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,DMDK
Thiruvottiyur,DMK,DMK,ADMK,GKC,INC,DMK,ADMK,DMK,ADMK,DMK,ADMK
Thousand Lights,DMK,DMK,DMK,ADMK,ADMK,DMK,ADMK,DMK,DMK,DMK,ADMK
Tiruchendur,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,DMK
Tiruchirapalli-Ii,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,DMK,DMK,
Udumalpet,DMK,DMK,ADMK,ADMK,INC,DMK,ADMK,DMK,ADMK,ADMK,ADMK
Vandavasi,DMK,DMK,ADMK,ADMK,INC,DMK,ADMK,DMK,PMK,DMK,ADMK
Varahur,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,
Villupuram,DMK,DMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,DMK,DMK,ADMK
Yercaud,DMK,DMK,ADMK,ADMK,INC,ADK(JL),ADMK,DMK,ADMK,DMK,ADMK
