constituency,1967,1971,1977,1980,1984,1989,1991,1996,2001,2006,2011
Hosur,SWA,SWA,INC,INC,INC,INC,INC,JD,INC,INC,INC
Papanasam,INC,DMK,INC,INC,INC,INC,INC,TMC(M),TMC(M),ADMK,ADMK
Udhagamandalam,SWA,DMK,ADMK,INC,INC,INC,INC,DMK,INC,INC,ADMK
Kollachal,INC,NCO,JNP,DMK,ADMK,INC,INC,DMK,ADMK,INC,INC
Natham,,,INC,INC,INC,INC,INC,TMC(M),ADMK,ADMK,ADMK
Pudukkottai,INC,NCO,INC,INC,INC,DMK,INC,DMK,ADMK,ADMK,CPI
Sriperumbudur,DMK,DMK,ADMK,INC,INC,DMK,INC,DMK,INC,INC,ADMK
Tenkasi,INC,DMK,INC,ADMK,INC,INC,INC,TMC(M),ADMK,DMK,ADMK
Tindivanam,INC,DMK,INC,INC,INC,DMK,INC,DMK,ADMK,ADMK,ADMK
Tiruvadanai,SWA,DMK,INC,ADMK,INC,INC,INC,TMC(M),TMC(M),INC,DMK
Vilavancode,INC,NCO,CPM,CPM,INC,INC,INC,CPM,CPM,CPM,INC
Attur(salem),DMK,DMK,INC,INC,INC,DMK,ADMK,DMK,ADMK,INC,ADMK
Melur,,,ADMK,INC,INC,INC,INC,TMC(M),ADMK,ADMK,ADMK
Pallipet,,,INC,ADMK,ADMK,INC,INC,TMC(M),ADMK,INC,
Rishivandiyam,DMK,DMK,INC,INC,INC,DMK,ADMK,TMC(M),TMC(M),INC,DMDK
Sattangulam,INC,DMK,JNP,GKC,GKC,INC,INC,TMC(M),TMC(M),INC,
Srivaikuntam,DMK,DMK,ADMK,ADMK,INC,INC,INC,DMK,ADMK,INC,ADMK
Thalli,,,INC,INC,INC,JNP,INC,CPI,BJP,IND,CPI
Thirumaiyam,DMK,DMK,INC,INC,INC,DMK,ADMK,TMC(M),ADMK,INC,ADMK
Tiruvannamalai,INC,DMK,DMK,INC,INC,DMK,INC,DMK,DMK,DMK,DMK
