YEAR,AC_NAME,PARTY,NAME,VOTES,Total Candidates
1964,Courossucoupom,INC,PADMINI CHANDRASEKARAN,3605,2
1964,Oupalam,IND,PERUMAL RAJA G.,3098,2
1964,Nellithope,PF,"RANGANATHAN, N.",3627,2
1964,Mudaliarpet,PF,"KAILASA SUBBIAH, V.",3878,2
1964,Nettapakkam,INC,VENKATASUBBAREDDY,4965,2
1964,Thirubuvanai,IND,"KULANDAI, R.",3698,2
1964,Ossudu,INC,"HARIKRISHNAN, N.",3027,2
1964,Embalam,INC,"ANGAMMAL, P",4924,2
1964,Karaikal South,IND,MOHAMED IBRAHIM MARICAR,2491,2
1964,Grand Aldee,INC,"VARADHA PILLAI, V.M.C",3544,2
1964,Nedungadu,INC,"SHANMUGHAM, P.",3697,2
1964,Mahe,INC,VALAVIL KESHAVAN,2283,2
1964,Palloor,INC,VANMERI NADEYI PURUSHOTHAMAN,2436,2
1969,Muthialpet,DMK,K. MURUGAIYAN,3290,2
1969,Raj Bhavan,INC,D. KANTHARAJ,1766,2
1969,Bussy,DMK,C.M. ACHARAFF,2336,2
1969,Mudaliarpet,CPI,Y. KAILASA SURBIAN,4748,2
1969,Ariankuppam,DMK,S. PERUMAL,3774,2
1969,Bahour,INC,K. KRISHNASAMY,3211,2
1969,Nettapakkam,DMK,D. RAMACHANDRAN,3545,2
1969,Ossudu,INC,V. NAGARATHINAM,3386,2
1969,Villianur,DMK,S. ARUMUGAM,4132,2
1969,Embalam,INC,M. VEERAMMAL,3682,2
1969,Calapeth,DMK,M.O.H. FAROOK,4261,2
1969,Karaikal North,INC,M. JAMBULINGAM,4208,2
1969,Neravy-Grand Aldee,DMK,S. RAMASAMY,3447,2
1969,Nedungadu,INC,P. SHANMUGAM,3103,2
1969,Mahe,IND,I.K. KUMARAN,2885,2
1969,Palloor,INC,V.N. PURUSHOTHAMAN,2609,2
1969,Yanam,IND,K.S. P.V. RAO NAIDU,2287,2
1980,Mannadipeth,DMK,D. RAMACHANDRAN,5598,2
1980,Neravy-Grand Aldee,DMK,V. M. C. SIVAKUMAR,5315,2
1985,Embalam,ADMK,K. ANBALAGAN,4509,2
1985,Nettapakkam,INC,V. VAITHILINGAM,6946,2
1985,Mannadipeth,DMK,D. RAMACHANDRAN,6383,2
1985,Villianur,INC,R. SUBRAYA COUNDER,5696,2
1985,Neravy-Grand Aldee,ADMK,V.M.C. VARADA PILLAI,5788,2
1990,Muthialpet,DMK,G. PALANIRAJA,10571,2
1991,Nedungadu,INC,M. CHANDIRAKASU,5955,2
2011,Indira Nagar,AINRC,N. RANGASAMY,20685,2
