YEAR,AC_NAME,PARTY,NAME,VOTES,Total Candidates
1967,Mylapore,DMK,ARANGANNAL,37498,2
1967,Thiruvottiyur,DMK,A. P. ARASU,51437,2
1967,Acharapakkam,SWA,P. S. ELLAPPAN,38223,2
1967,Uthiramerur,DMK,K. M. RAJAGOPAL,47689,2
1967,Kadambathur,DMK,C. V. M. ANNAMALAI,43499,2
1967,Natrampalli,DMK,T. C. T. GOUNDER,29215,2
1967,Tindivanam,INC,K. RAMAMOORTHY,34106,2
1967,Vanur,DMK,BALAKRISHNAN,30023,2
1967,Kandamangalam,DMK,M. RAMAN,35617,2
1967,Panruti,DMK,S. RAMACHANDRAN,43745,2
1967,Tirukkoyilur,INC,E. M. SUBRAMANIAM,34259,2
1967,Hosur,SWA,B. VENKATASWAMI,21530,2
1967,Uddanapalle,SWA,K. S. KOTHANDRAMIAH,29391,2
1967,Kaveripattinam,INC,P. NAIDU,32953,2
1967,Taramangalam,DMK,GOVINDAN,33222,2
1967,Yercaud,DMK,V. CHINNASAMY,25124,2
1967,Veerapandi,DMK,S. ARUMUGAM,42681,2
1967,Edappadi,DMK,A. ARUMUGAM,36935,2
1967,Senthamangalam,INC,A. S. GOUNDER,31308,2
1967,Attur,DMK,K.N. SIVAPERUMAL,40456,2
1967,Udhagamandalam,SWA,K. BOJAN,37525,2
1967,Coonoor,DMK,B. GOWDER,31855,2
1967,Avanashi,SWA,R. K. GOUNDER,31927,2
1967,Coimbatore North,DMK,"J, GOVINDARAJULU",41059,2
1967,Valparai,DMK,E. RAMASAMI,40945,2
1967,Andhiyur,DMK,E.M. NATARAJAN,34877,2
1967,Palani,DMK,KRISHNAMOORTHY,47671,2
1967,Periyakulam,DMK,M. METHA,36023,2
1967,Cumbum,DMK,RAJANGAM,41440,2
1967,Theni,DMK,P. RAJAN,42111,2
1967,Andipatti,SWA,S. PARAMASIVAM,35351,2
1967,Melur South,DMK,O.P.RAMAN,50913,2
1967,Melur North,DMK,P.MALAICHAMY,38895,2
1967,Dindigul,CPM,A.BALASUBRAMANAYAM,42381,2
1967,Aravakurichi,SWA,S.K.GOUNDER,46614,2
1967,Kadavur,INC,K.K.MUTHIAH,35102,2
1967,Alangudi,DMK,K.V. SUBBIAH,32984,2
1967,Valangiman,DMK,N.SOMASUNDARAM,34436,2
1967,Sembanarkoil,DMK,S.GANESAN,40453,2
1967,Kodavasal,DMK,C.KRISHNAMOORTHI,34880,2
1967,Orathanadu,DMK,L.GANESAN,45232,2
1967,Ilayangudi,DMK,V.MALAIKANNAN,40461,2
1967,Ramanathapuram,DMK,T.THANGAPPAN,35880,2
1967,Sivaganga,DMK,S.SETHURAMAN,41604,2
1967,Sattur,SWA,S.R.NAIDU,45223,2
1967,Tuticorin,DMK,M.S.SIVASAMI,41851,2
1967,Nanguneri,INC,N.DURAIPANDIAN,33269,2
1967,Radhapuram,INC,N.SOUNDARAPANDIAN,31588,2
1967,Nagercoil,DMK,M.C.BALAN,36502,2
1971,Park Town,SWA,H V HANDE,30743,2
1971,Egmore,DMK,ARANGANNAL,40596,2
1971,Mylapore,NCO,T N ANANDANA YAKI,42301,2
1971,Gummidipoondi,DMK,K A VEZHAVENDAN,43355,2
1971,Maduranthakam,DMK,C ARUMUGAM,42295,2
1971,Sriperumbudur,DMK,DI. RAJARATHANAM,46617,2
1971,Kadambathur,DMK,A PARANDHAMAN,38569,2
1971,Tiruttani,DMK,E. S. THYAGARAJAN,43436,2
1971,Sholingur,NCO,A. M. PONNURANGAM,36776,2
1971,Ranipet,IND,K. A WAHAB,36357,2
1971,Natrampalli,DMK,T. C. THIMMARAYA GOUNDER,33303,2
1971,Tiruppattur,DMK,RAMASAMY G.,37120,2
1971,Arani,DMK,A. C. NARASIMHAN,37682,2
1971,Cheyyar,DMK,K. GOVINDAN,39978,2
1971,Vandavasi,DMK,V. RAJAGOPAL,41452,2
1971,Peranamallur,DMK,P. ETTIAPPAN,39160,2
1971,Polur,DMK,T. P. SRINIVASAN,34728,2
1971,Thandarambattu,DMK,M. S. RADHAKRISHNAN,37991,2
1971,Kalasapakkam,DMK,S. MURUGAIYAN,42893,2
1971,Tiruvannamalai,DMK,P. U. SHANMUGAM,46633,2
1971,Gingee,DMK,S. SAGADEVA GOUNDER,39397,2
1971,Kurinjipadi,DMK,N. RAJANGAN,27465,2
1971,Tirukkoyilur,DMK,A. S. KUMARASAMY,38520,2
1971,Rishivandiyam,DMK,N. DHARMALING A. M.,29350,2
1971,Sankarapuram,DMK,N. NATCHIYAPPAN,28544,2
1971,Kallakurichi,DMK,D. KESAVALU,38513,2
1971,Krishnagiri,DMK,C. MANNIAPPAN,31445,2
1971,Kaveripattinam,DMK,V. C. GOVINDASAMY,41546,2
1971,Palacodu,DMK,M. V. KARIVENGADAM,32378,2
1971,Pennagaram,DMK,N. MANICKKAM,33298,2
1971,Taramangalam,DMK,PARAMASIVAM,33257,2
1971,Yercaud,DMK,CHINNUSAMY V.,29196,2
1971,Edappadi,DMK,A. ARUMUGAM,35638,2
1971,Attur,DMK,V. PALANIVEL GOUNDER,39828,2
1971,Mettuppalayam,DMK,M. C. THOOYAMANI,39013,2
1971,Kinathukkadavu,DMK,M. KANNAPPAN,47776,2
1971,Perundurai,CPI,N. K. PALANISAMY,38882,2
1971,Erode,DMK,M. SUBRAMANIAN,47809,2
1971,Andhiyur,DMK,E. M. NATARASAN,32691,2
1971,Theni,DMK,PALANIVELRAJAN,45785,2
1971,Thirumangalam,FBL,M. C. A. RETHINASAMY THEVAR,36468,2
1971,Usilampatti,FBL,P. K. MOOKIAH THEVAR,49292,2
1971,Nilakkottai,DMK,MUNIYANDI A.,38583,2
1971,Melur North,DMK,P. MALAICHAMY,37337,2
1971,Vadamadurai,DMK,NAGARAJAN K.,35989,2
1971,Karur,DMK,NALLASAMY,45977,2
1971,Thottiyam,DMK,S. K. VADIVELU,39821,2
1971,Andimadam,DMK,S. SADASIVA PADAYACHI,39313,2
1971,Thiruverambur,DMK,KAMAICHI,43233,2
1971,Kulithalai,DMK,KANDASWAMY M.,44198,2
1971,Kadavur,NCO,KARURAIGIRI MUTHIAH,31752,2
1971,Thanjavur,DMK,NATARAJAN S.,38288,2
1971,Papanasam,DMK,N. GANAPATHY,43497,2
1971,Aduthurai,DMK,K. RAJAMANICKAM,40023,2
1971,Mayuram,DMK,N. KITTAPPA,37311,2
1971,Kottur,CPI,SUBBIAH A. K.,47419,2
1971,Pattukkottai,PSP,MARIMUTHU A. R.,44565,2
1971,Tirupathur,DMK,S. MADHAVAN,54117,2
1971,Karaikudi,DMK,C. T. CHIDAMBARAM,39986,2
1971,Manamadurai,DMK,T. SONIAH,42584,2
1971,Srivilliputhur,DMK,ANDI ALIAS SURUSAMY K.,41522,2
1971,Rajapalayam,CPI,SUPPU K.,36827,2
1971,Kovilpatti,CPI,ALAGARSAMY S.,38844,2
1971,Sankarankovil,DMK,SUBBIAH S.,35677,2
1971,Vasudevanallur,DMK,VELLADURAI A.,35954,2
1971,Kadayanallur,DMK,SUBBBIAH MUDALIAR A. R.,37649,2
1971,Tenkasi,DMK,KATHIRAVAN ALIAS SAMSHUDEEN,39110,2
1971,Alangulam,DMK,ARUNACHALAM V.,36526,2
1971,Cheranmahadevi,SWA,SIVAPRAKASAM D. S. A.,34739,2
1971,Tirunelveli,DMK,P. PADMANABHAN,43325,2
1971,Tuticorin,DMK,RAMALINGAM R.,39030,2
1971,Nanguneri,DMK,GANAPTHY T.,33099,2
1971,Radhapuram,DMK,KARTHESAN V.,33678,2
1980,Perambur,DMK,"BALAN,S",49269,2
1980,Thousand Lights,ADMK,"KRISHNASAMY,K.A",40499,2
1980,Acharapakkam,ADMK,"GANESAN,C",35233,2
1980,Vaniyambadi,ADMK,"KULASEKARA PANDIYAN, N",38049,2
1980,Cheyyar,DMK,BABU JANARTHANAN,43341,2
1980,Omalur,ADMK,"SIVAPERUMAN, M",42399,2
1980,Talavasal,INC,"RAJAMBAL, T.",38217,2
1980,Thondamuthur,ADMK,"CHINNARAJ,",57822,2
1980,Kinathukkadavu,ADMK,"KANDASAMY, K. V.",42822,2
1980,Udumalpet,ADMK,"KOLANDAIVELU, P.",50570,2
1980,Sathyamangalam,ADMK,"RANGASAMY, R.",35096,2
1980,Theni,ADMK,"JEYARAMAN, V. R.",51534,2
1980,Sedapatti,ADMK,"MUTHIAH, R.",42012,2
1980,Nilakkottai,IND,"PONNAMMAL, A. S.",48892,2
1980,Sholavandan,INC,"CHANDRASEKARAN, A.",41720,2
1980,Vedasandur,ADMK,"BALASUBRAMANIAN, V. P.",58128,2
1980,Musiri,ADMK,"RAJAMANICKAM, M. K.",53697,2
1980,Andimadam,ADMK,"KRISHNAMOORTHY, S.",36120,2
1980,Srirangam,ADMK,"SOUNDARARAJAN, R.",49160,2
1980,Tiruchirapalli-Ii,ADMK,"SOUNDARARAJAN, K.",43029,2
1980,Sirkazhi,ADMK,"BALASUBRAMANIAN, K.",49334,2
1980,Poompuhar,ADMK,"VIJAYABALAN, N.",45292,2
1980,Nagapattinam,CPM,"UMANATH, R.",44105,2
1980,Thiruthuraipoondi,CPM,"UTHIRAPATHI, P.",62051,2
1980,Peravurani,ADMK,"GOVENDAN, M. R.",56010,2
1980,Thanjavur,DMK,"NATARAJAN, S.",40880,2
1980,Kumbakonam,INC,"PAKEER MOHAMED, E. S. M.",45038,2
1980,Thiruvidaimarudur,DMK,"RAMALINGAM, S.",46943,2
1980,Ottapidaram,CPI,"APPADURAI, M.",33071,2
1980,Palayamkottai,ADMK,"KARUPPASAMI PANDIAN, V. R.",45049,2
1980,Kollachal,DMK,RETNARAJ,42949,2
1984,Vanur,ADMK,M. N. RAMAJAYAM,58196,2
1984,Kandamangalam,ADMK,"SUBRAMANIYAN, V",53211,2
1984,Panruti,ADMK,S.RAMACHANDRAN,51900,2
1984,Kattumannarkoil,INC,S.JAYACHANDRAN,42928,2
1984,Kallakurichi,IND,S.SIVARAMAN,53630,2
1984,Yercaud,INC,THIRUGNANAM P.R.,48787,2
1984,Kinathukkadavu,ADMK,"KANDASWAMY, K.V.",50375,2
1984,Dharapuram,ADMK,PERIASAMY. A.,51919,2
1984,Vellakoil,ADMK,DURAI RAMASAMY,54188,2
1984,Thiruvarur,CPM,M. SELLAMUTHU,56273,2
1984,Vilavancode,INC,"SUNDARDAS, M.",47169,2
