Year,Constituency,PARTY,name,votes,margin
1977,Mahe,IND,RAGHAVAN K.V.,2847,12
1964,Mahe,INC,VALAVIL KESHAVAN,2283,13
1977,Raj Bhavan,JNP,RAMAJAYAM D.,1411,14
1964,Nellithope,PF,"RANGANATHAN, N.",3627,16
1969,Ariankuppam,DMK,S. PERUMAL,3774,16
1969,Nedungadu,INC,P. SHANMUGAM,3103,20
1964,Ozhukarai,INC,"GOVINDASAMY, S.",2511,30
1974,Thirubuvanai,INC,A. GOPAL,2672,35
1991,Raj Bhavan,INC,A. GANDHIRAJ,2381,49
1977,Yanam,JNP,KAMICHETTY SRI PARASSOURAMA VARAPRASSADA RAO,2047,66
1964,Karaikal South,IND,MOHAMED IBRAHIM MARICAR,2491,69
1991,Nellithope,DMK,R. V. JANAKIRAMAN,7067,79
1969,Ossudu,INC,V. NAGARATHINAM,3386,80
1977,Reddiarpalayam,CPI,V. SUBBIAH,2775,87
1980,Palloor,INC,N. K. SACHINDRANATH,2567,100
1977,Nedungadu,ADMK,P. SELVARAJ,2789,101
1969,Raj Bhavan,INC,D. KANTHARAJ,1766,111
1996,Thirubuvanai,ADMK,S. ARASI,5707,121
1980,Nettapakkam,JNP,R. SUBBARAYA GOUNDER,4201,125
1974,Nellithope,NCO,"KANNAN, R.",2495,126
1977,Bussy,ADMK,SUSAIRAJ S.,1289,127
1990,Couchery,INC,M. VAITHILINGAM,5189,140
1990,Raj Bhavan,DMK,S. P. SIVAKUMAR,2528,151
1969,Nettapakkam,DMK,D. RAMACHANDRAN,3545,152
1977,Villianur,ADMK,PAZHANINATHAN S.,2891,163
2001,Ossudu,PMC,A. ELUMALAI,5364,164
1980,Tirunallar,DMK,N. V. RAMALINGAM,3573,173
1977,Neravy-Grand Aldee,JNP,V.M.C. VARADHAPILLAI,3314,180
1985,Embalam,ADMK,K. ANBALAGAN,4509,182
2006,Neravy-Grand Aldee,DMK,V.M.C. SIVAKKUMAR,4946,184
1974,Lawspet,DMK,"FAROOK, M. O. H.",3461,186
1996,Kuruvinatham,INC,T. THIAGARAJAN,7209,187
2006,Karaikal North,DMK,A.M.H. NAZEEM,5742,191
1974,Villianur,NCO,M. K. JEEVARATHINA ODAYAR,2812,206
1964,Bahour,PF,"THANGAVELY, C.",2612,207
1977,Nettapakkam,INC,SRVAPRAKASAM S.,3122,207
2006,Cassicade,PMC,K. LAKSHMINARAYANAN,4942,216
1990,Bussy,INC,C. M. ACHRAFF,2692,229
1974,Bussy,ADMK,"PAKKIAM, S.",1680,239
1991,Neravy-Grand Aldee,ADMK,V. M. C. V. GANAPATHY,6384,239
1964,Ariankuppam,INC,"RATHINAVELU, P.",3376,241
1977,Embalam,ADMK,SIVALOGANATHAN K.,2442,242
1977,Oupalam,ADMK,C. N. PATHASARATHY,2551,247
1977,Ozhukarai,DMK,G. PERUMAL RAJA,2477,261
1980,Yanam,IND,KAMICHETTY SRI PARASSOURAMA VARAPRASSADA RAO,2433,268
1964,Mudaliarpet,PF,"KAILASA SUBBIAH, V.",3878,269
1996,Mahe,INC,E. VALSARAJ,4184,269
1964,Poudousaram,PF,"GURUSAMY, N.",2698,272
1969,Bahour,INC,K. KRISHNASAMY,3211,273
