YEAR,AC_NAME,PARTY,NAME,VOTES,margin
2006,Singanallur,ADMK,CHINNASWAMY.R.,100283,14
1977,Taramangalam,INC,R. NARAYANAN,23882,19
2001,Cuddalore,DMK,PUGAZHENDI .E,54671,34
2006,Madurai East,CPI(M),NANMARAN.N,36383,51
2006,Anaicut,ADMK,PANDURANGAN. K,59220,53
2006,Pongalur,DMK,MANI.S.,47702,53
2006,Thottiyam,INC,RAJASEKHARAN M.,43080,53
1980,Ilayangudi,CPI,"SIVASAMY, S.",34437,56
1977,Thirumaiyam,INC,N. SUNDARARAJ,20694,57
1980,Sathyamangalam,ADMK,"RANGASAMY, R.",35096,60
1980,Thiruvonam,INC,"SIVAGNANAM, N.",44748,62
1967,Vanur,DMK,BALAKRISHNAN,30023,70
1971,Sankarapuram,DMK,N. NATCHIYAPPAN,28544,72
2001,Egmore,DMK,PARITHI.ELLAMVAZHUTHI,33189,86
2006,Tiruchengodu,ADMK,THANNGAMANI.P,85471,116
1980,Acharapakkam,ADMK,"GANESAN,C",35233,119
1971,Melur North,DMK,P. MALAICHAMY,37337,127
1977,Udhagamandalam,ADMK,B. GOPALAN,18134,129
1980,Coimbatore South,CPM,"RAMANI, K.",33666,133
1967,Kattumannarkoil,INC,S. SIVASUBRAMANIAN,30521,134
2006,Mettuppalayam,ADMK,CHINNARAJ.O.K .,67445,142
1967,Kangayam,INC,A. S. GOUNDER,24800,146
2001,Madurai Central,TMC(M),HAKEEM.M.A,34393,147
2006,Panruti,PMK,VELMURUGAN.T.,54653,148
1977,Melur,ADMK,A.M. PARAMASIVAN,33111,156
1980,Sholingur,ADMK,"GOPAL, C",35783,157
1980,Thirunavalur,DMK,"SUBRAMANIAN, V",36517,173
1967,Krishnagiri,INC,P. M. M. GOUNDER,24220,185
1984,Saidapet,ADMK,"SAIDAI DURAISAMY, SA.",52869,190
1971,Cheranmahadevi,SWA,SIVAPRAKASAM D. S. A.,34739,193
1977,Nagercoil,ADMK,M. VINCENT,26973,193
1980,Melmalayanur,ADMK,"CHINNADURAI, A",39572,198
2011,Egmore,DMDK,NALLATHAMBI K,51772,202
1977,Nanguneri,JNP,M. JOHN VINCENT,18668,204
1980,Thirumaiyam,INC,"SUNDARARAJ, N.",39479,223
2006,Gummidipoondi,ADMK,VIJAYAKUMAR.K.S,63147,229
1977,Karaikudi,ADMK,P. KALIYAPPAN,27403,240
1967,Vedaranyam,INC,P.V.THEVAR,25942,264
2011,Chengalpattu,DMDK,D. MURUGESAN,83297,291
2011,Alangulam,ADMK,P. G. RAJENDRAN,78098,299
1980,Thousand Lights,ADMK,"KRISHNASAMY,K.A",40499,307
1980,Thottiyam,INC,"PERIASAMI, R.",37426,307
2006,Thirumaiyam,INC,"SUBBURAM, RM",47358,314
1967,Rishivandiyam,DMK,M. ANANDAN,26491,318
2001,Harbour,DMK,ANBAZHAGAN.K,24225,336
1977,Sankarankovil,DMK,S. SUBBIAH,21569,337
1977,Tirupathur,CPI,S. SHANMUGAM KOOTHAGUDI,21579,341
1977,Attur,INC,C. PALANIMUTHU,19040,347
1977,Gudalur,DMK,K. HUTCHI,15323,360
2006,Thiruvaiyaru,DMK,CHANDRASEKARAN.DURAI,52723,366
2011,Thiruvidaimarudur,DMK,CHEZHIAAN.GOVI,77175,394
1977,Kovilpatti,CPI,S. ALAGARSAMY,21985,397
1996,Pennagaram,PMK,"MANI, G.K.",34906,406
1989,Kadaladi,DMK,"AMEETH IBRAHIM, A.M.",32682,409
1980,Pallipet,ADMK,"NARASIMHAN, P.M",26377,410
2006,Harbour,DMK,ANBAZHAGAN.K,26545,410
1989,Vasudevanallur,INC,"ESWARAN, R.",30805,411
1977,Tambaram,ADMK,MUNU ADHI,32394,426
1989,Perambalur,CPI,R. PITCHAIMUTHU,34829,431
1989,Pongalur,INC,"BALASUBRAMONIYAM, S.R.",31691,440
1967,Kadayanallur,IND,A.R.S.MUDALIAR,36349,446
1967,Manamadurai,SWA,K.CHEEMAICHAMY,30752,453
1996,Rasipuram,ADMK,P.R. SUNDARAM,42294,454
1989,Rasipuram,DMK,"SUBBU, A.",39534,460
1980,Sholavandan,INC,"CHANDRASEKARAN, A.",41720,465
1971,Uddanapalle,IND,K. S. KOTHANADARAMAIAH,13854,470
1989,Alangulam,INC,RAMASUBBBU S.S.,31314,482
1980,Perur,ADMK,KOVAITHAMBI,47308,485
1971,Harbour,IND,A M MOHIDEEN,29225,486
2006,Rajapalayam,ADMK,CHANDRA. M.,58320,493
