YEAR,AC_NAME,PARTY,NAME,VOTES,Total Candidates
1996,Oupalam,TMC(M),S. RATHINAM @ MANOHAR,6866,17
1996,Thirubuvanai,ADMK,S. ARASI,5707,15
1996,Ozhukarai,ADMK,K. NATARAJAN,7794,14
1990,Raj Bhavan,DMK,S. P. SIVAKUMAR,2528,13
1996,Nettapakkam,INC,V. VAITHILINGAM,7563,13
1996,Lawspet,DMK,N. KESAVAN,16442,13
1990,Nettapakkam,INC,V. VAITHILINGAM,7332,12
1991,Villianur,INC,P. ANANDABASKARAN,8190,12
1991,Ozhukarai,ADMK,K. NATARAJAN,8566,12
1996,Orleampeth,DMK,R. SIVA,8105,12
1996,Ossudu,TMC(M),V. NAGARATHINAM,7380,12
2001,Ossudu,PMC,A. ELUMALAI,5364,12
2006,Ozhukarai,INC,A. NAMASSIVAYAM,14072,12
1991,Cassicade,JD,M. ELANGO,4927,11
1996,Cassicade,IND,P. KANNAN,6501,11
1996,Mudaliarpet,CPI,M. MANJINI,11380,11
1996,Embalam,JD,R. RAJARAMAN,8311,11
1996,Villianur,TMC(M),C. JAYAKUMAR,12205,11
2001,Embalam,INC,N. GANGADARAN,3723,11
2001,Ozhukarai,TMC(M),A. NAMASSIVAYAM,10164,11
2006,Lawspet,INC,M.O.H.F. SHAHJAHAN,17944,11
2006,Yanam,INC,MALLADI KRISHNA RAO,11763,11
1980,Cassicade,INC,V. KATHIRVELU,3948,10
1990,Reddiarpalayam,CPI,R. VISWANATHAN,11153,10
1990,Lawspet,INC,M. O. H. FAROOK,12637,10
1990,Karaikal North,INC,S. M. THAVASU,5394,10
1991,Bussy,INC,C. M.K ACHRAFF,3083,10
1991,Oupalam,ADMK,U. C. ARUMUGAN,7352,10
1991,Nellithope,DMK,R. V. JANAKIRAMAN,7067,10
1996,Muthialpet,ADMK,S. ANANDAVELU,11009,10
1996,Bussy,INC,C.M. ACHRAFF,2208,10
1996,Ariankuppam,PMK,S. RAMSINGH,7382,10
1996,Reddiarpalayam,CPI,R. VISWANATHAN,17206,10
2006,Mannadipeth,PMK,P. ARULMURUGAN,8193,10
2006,Ossudu,IND,A. ELUMALAI,6417,10
2011,Yanam,INC,MALLADI KRISHNA RAO,23985,10
