YEAR,AC_NAME,PARTY,NAME,VOTES,Total Candidates
1996,Modakkurichi,DMK,SUBBULAKSHMI JEGADEESAN,64436,1033
1991,Pallipet,INC,EAKAMBARA REDDY A.,48516,264
1991,Aravakurichi,ADMK,MARIYAMUL ASIA,57957,249
1984,Maduranthakam,DMK,"ARUMUGAM, G.",40105,90
1996,Erode,DMK,N.K.K. PERIASAMY,104726,60
1996,Tiruppur,CPI,"SUBBARAYAN, K.",101392,57
1989,Erode,DMK,SUBBULAKSHMI JAGADESAN,68128,50
1996,Sattur,DMK,"VIJAYAKUMAR, K.M.",58972,46
1996,Perundurai,CPI,"PERIYASAMY, N.",60587,45
1996,Tiruchirapalli-I,DMK,B. BARANIKUMAR,48045,44
1996,Virudhunagar,DMK,"SEENIVASAN, A.R.R.",47247,39
1996,Tuticorin,DMK,N. PERIASAMY,56511,39
1996,Singanallur,DMK,"PALANISWAMY, N.",92379,38
1996,Karur,DMK,VASUKI MURUGESAN,79302,37
1996,Palayamkottai,DMK,MOHAMED KODAR MAIDEEN,71303,37
1996,Dindigul,DMK,"MANIMARAN, R.",94353,36
1996,Sivakasi,TMC(M),"CHOKKAR, R.",61322,35
1991,Sattur,TMK,RAMACHANDARAN K.K.S.S.R.,59942,34
1996,T-Nagar,TMC(M),"CHELLAKUMAR, A.",76461,34
1996,Villivakkam,TMC(M),"HAROON RASHEED, J.M.",194471,34
1996,Tiruchengodu,DMK,"ARUMUGAM, T.P.",96456,34
1996,Kovilpatti,CPI,"AYYALUSAMY, L.",39315,34
1996,Alangulam,DMK,ALADI ARUNA,53374,34
1989,Salem-I,DMK,"DHANABALAN, K.R.G.",49498,33
1996,Harbour,DMK,ANBAZHAGAN.K,39263,33
1991,Kangayam,ADMK,JAYALALITHA J.,69050,32
1996,Rasipuram,ADMK,P.R. SUNDARAM,42294,32
1989,Villivakkam,CPM,"VARADARAJAN, W.R.",99571,31
1989,Madurai East,ADMK,"ERADHA, S.R.",40519,31
1996,Perur,DMK,A. NATARASAN,96507,31
2011,Dr. Radhakrishnan Nagar,ADMK,VETRIIVEL P,83777,31
