PARTY,YEAR,AC_NAME,NAME,SEX,AGE
DMK,2011,Villivakkam,ANBAZHAGAN.K,M,89
DMK,2011,Thiruvarur,M. KARUNANIDHI,M,87
DMK,2006,Harbour,ANBAZHAGAN.K,M,83
DMK,2006,Chepauk,M. KARUNANIDHI,M,82
IND,2006,Chepauk,MIA KHAN,M,81
DMK,2006,Kinathukkadavu,KANDASAMY.K.V.,M,81
BJP,2006,Anna Nagar,"HANDE, H.V.",M,78
IND,2006,Theni,KANNIARAJ K,M,78
IND,2011,Thiruvarur,RAMASAMI @ TRAFFIC,M,78
BJP,2006,T-Nagar,MUKTHA V. SRINIVASAN,M,77
IND,2006,Modakkurichi,SADAIAPPAN.C,M,77
ADMK,2011,Kulithalai,PAPPASUNDARAM.A,M,77
BJP,2011,Periyakulam,GANAPATHY.M,M,77
BJP,2006,Kadayanallur,SHANMUGAVELU.M,M,76
BSP,2006,Vilavancode,RAJADHASAN.Y,M,76
IND,2011,T-Nagar,RAMASWAMY K R (A),M,76
IND,2006,Thirunavalur,VERAPATHIRAN. M,M,75
DMK,2006,Kumbakonam,MANI.KO.SI,M,75
IND,2006,Aruppukkottai,KANNIAH THEVAR.M,M,75
DMK,2011,Aravakurichi,PALLANISHAMY.K.C,M,75
DMK,2011,Tiruvadanai,THANGAVELAN SUBA,M,75
IND,2006,Gummidipoondi,MURUGESAN.T,M,74
IND,2006,Mettuppalayam,PAPPANNAN.T.K.,M,74
DMK,2006,Madurai Central,PALANIVELRAJAN.T,M,74
IND,2006,Ilayangudi,AYYASAMY.S,M,74
IND,2011,Musiri,N.M.NEETHI MUTHU MANAL,M,74
BSP,2006,Chengam,JAGANATHAN R,M,73
BSP,2006,Kangayam,PERUMAL.K,M,73
BSP,2006,Mayuram,MUTHUSAMY.P,M,73
INC,2006,Manamadurai,PARAMALAI.K,M,73
AIFB,2006,Mudhukulathur,THANIKODI.K.,M,73
BJP,2011,Chepauk,VENKATARAMAN. S,M,73
DMDK,2011,Alandur,S. RAMACHANDRAN,M,73
IND,2011,Vedaranyam,DR.P.SUBRAMANIAN,M,73
IND,2011,Manamadurai,KURUTHIVELMARAN.M,M,73
DMK,2011,Sankari,VEERAPANDI S.ARUMUGAM,M,72
ADMK,2011,Singanallur,CHINNASAMY R,M,72
DMK,2011,Kinathukkadavu,M.KANNAPPAN,M,72
LSP,2011,Kinathukkadavu,ILANGO DR B,M,72
INC,2011,Sivaganga,RAJASEKARAN.V,M,72
