AC_NAME,AC_NO,AC_TYPE,AGE,CATEGORY,NAME,PARTY,SEX,ST_NAME,VOTES,YEAR,polled_votes,rank
Parassala,1,GEN,,,KUNJUKRISHNAN NADAR M.,INC,M,Kerala,16742,1957,41193,1
Parassala,1,GEN,,,KRISHNA PILLAI K.,PSP,M,Kerala,8338,1957,41193,2
Parassala,1,GEN,,,STUART.,IND,M,Kerala,5831,1957,41193,3
Parassala,1,GEN,,,RETNASWAMY N.,CPI,M,Kerala,5816,1957,41193,4
Parassala,1,GEN,,,KUNJU MOOSA KUNJU I.,IND,M,Kerala,4466,1957,41193,5
Neyyattinkara,2,GEN,,,JANARDHANAN NAIR O.,CPI,M,Kerala,18812,1957,47359,1
Neyyattinkara,2,GEN,,,KRISHNA PILLAI N. K.,PSP,M,Kerala,16558,1957,47359,2
Neyyattinkara,2,GEN,,,CHELLAPPAN NADAR P.,RSP,M,Kerala,8490,1957,47359,3
Neyyattinkara,2,GEN,,,MADHAVAN PILLAI P.,INC,M,Kerala,3499,1957,47359,4
Vilappil,3,GEN,,,SREEDHAR G. PONNARA,PSP,M,Kerala,18221,1957,38270,1
Vilappil,3,GEN,,,SURENDRANATH K. V.,CPI,M,Kerala,14278,1957,38270,2
Vilappil,3,GEN,,,KUNJUKRISHNAN N.,IND,M,Kerala,5771,1957,38270,3
Nemom,4,GEN,,,SADASIVAN A.,CPI,M,Kerala,15998,1957,42090,1
Nemom,4,GEN,,,VISWAMBHARAN P.,PSP,M,Kerala,14159,1957,42090,2
Nemom,4,GEN,,,KUTTAN NADAR R.,INC,M,Kerala,11933,1957,42090,3
Trivandrum I,5,GEN,,,EAPAN E. P.,PSP,M,Kerala,15466,1957,37860,1
Trivandrum I,5,GEN,,,KRISHNAN NAIR K.,IND,M,Kerala,13418,1957,37860,2
Trivandrum I,5,GEN,,,LOPEZ.,INC,M,Kerala,5945,1957,37860,3
Trivandrum I,5,GEN,,,VENUGOPAL G.,RSP,M,Kerala,3031,1957,37860,4
Trivandrum I I,6,GEN,,,THANU PILLAI A.,PSP,M,Kerala,21816,1957,42256,1
Trivandrum I I,6,GEN,,,ANIRUDHAN K.,CPI,M,Kerala,17082,1957,42256,2
Trivandrum I I,6,GEN,,,JANARDHANAN T.P.,INC,M,Kerala,3358,1957,42256,3
Ullur,7,GEN,,,SREEDHARAN V.,CPI,M,Kerala,16904,1957,39861,1
Ullur,7,GEN,,,ALIKUNJU SASTRI M.,PSP,M,Kerala,14182,1957,39861,2
Ullur,7,GEN,,,NAGAPPAN NAIR V.,INC,M,Kerala,6445,1957,39861,3
Ullur,7,GEN,,,PANKAJAKSHAN K.,RSP,M,Kerala,1921,1957,39861,4
Ullur,7,GEN,,,FELIX FERNANDEZ,IND,M,Kerala,409,1957,39861,5
Arianad,8,GEN,,,BALAKRISHNA PILLAI R.,CPI,M,Kerala,16728,1957,33449,1
Arianad,8,GEN,,,KESAVAN NAIR R.,INC,M,Kerala,6987,1957,33449,2
Arianad,8,GEN,,,RAMACHANDRAN NAIR K. G.,RSP,M,Kerala,5351,1957,33449,3
Arianad,8,GEN,,,THOMPSON JOSEPH,IND,M,Kerala,4383,1957,33449,4
Nedumangad,9,GEN,,,NEELAKANDARU PANDARATHIL N.,CPI,M,Kerala,20553,1957,34895,1
Nedumangad,9,GEN,,,SOMASEKHARAN NAIR K.,PSP,M,Kerala,7888,1957,34895,2
Nedumangad,9,GEN,,,AHAMMED KANNU M.,INC,M,Kerala,3700,1957,34895,3
Nedumangad,9,GEN,,,SUBBIAH PILLAI A.,IND,M,Kerala,2754,1957,34895,4
Attingal,10,GEN,,,PRAKASAM R.,CPI,M,Kerala,24328,1957,43398,1
Attingal,10,GEN,,,GOPALA PILLAI,PSP,M,Kerala,11151,1957,43398,2
Attingal,10,GEN,,,VASUKUTTY P.,INC,M,Kerala,7919,1957,43398,3
Varkala,11,SC,,,ABDUL MAJEED T. A.,CPI,M,Kerala,41683,1957,145792,1
Varkala,11,SC,,,SIVADASAN K. (SC),CPI,M,Kerala,31454,1957,145792,2
Varkala,11,SC,,,KRISHNA PILLAI R.,INC,M,Kerala,20870,1957,145792,3
Varkala,11,SC,,,GOPALAN K. (SC),INC,M,Kerala,15464,1957,145792,4
Varkala,11,SC,,,KUNJUKRISHNAN P. (SC),RSP,M,Kerala,14578,1957,145792,5
Varkala,11,SC,,,KUNJAN P. (SC),PSP,M,Kerala,9855,1957,145792,6
Varkala,11,SC,,,SREEKANTAN NAIR C. N.,RSP,M,Kerala,9555,1957,145792,7
Varkala,11,SC,,,GANGADHARAN O.,IND,M,Kerala,2333,1957,145792,8
Eravipuram,12,GEN,,,RAVEENDRAN,CPI,M,Kerala,19122,1957,42855,1
Eravipuram,12,GEN,,,KUNJU SANKARA PILLAI V.,PSP,M,Kerala,8762,1957,42855,2
Eravipuram,12,GEN,,,RAMACHANDRAN P.,INC,M,Kerala,7467,1957,42855,3
Eravipuram,12,GEN,,,BALAKRISHNAN K.,RSP,M,Kerala,5197,1957,42855,4
Eravipuram,12,GEN,,,REGIS PUNNASLERY,IND,M,Kerala,1163,1957,42855,5
Eravipuram,12,GEN,,,MOHAMMED BASHEER M. N.,IND,M,Kerala,1144,1957,42855,6
Quilon,13,GEN,,,A. A. RAHIM,INC,M,Kerala,20367,1957,46909,1
Quilon,13,GEN,,,DIVAKARAN T. K.,RSP,M,Kerala,12571,1957,46909,2
Quilon,13,GEN,,,CHITHARANJAN .J,CPI,M,Kerala,11817,1957,46909,3
Quilon,13,GEN,,,GOVINDA PILLAI M.,IND,M,Kerala,2154,1957,46909,4
Thrikkadavur,14,SC,,,KARUNAKARAN K. (SC),CPI,M,Kerala,33782,1957,165421,1
Thrikkadavur,14,SC,,,T. KRISHNAN (SC),INC,M,Kerala,32596,1957,165421,2
Thrikkadavur,14,SC,,,SUKUMARAN P. K.,CPI,M,Kerala,28602,1957,165421,3
Thrikkadavur,14,SC,,,C. M. STEPHEN,INC,M,Kerala,26193,1957,165421,4
Thrikkadavur,14,SC,,,CHANDRASEKHARAN,RSP,M,Kerala,24556,1957,165421,5
Thrikkadavur,14,SC,,,PRAKULAM BHASI. P,RSP,M,Kerala,19692,1957,165421,6
Karunagapally,15,GEN,,,KUNJUKRISHNAN P.,INC,M,Kerala,13709,1957,50448,1
Karunagapally,15,GEN,,,P. K. KUNJU,PSP,M,Kerala,13063,1957,50448,2
Karunagapally,15,GEN,,,BABY JOHN,RSP,M,Kerala,12307,1957,50448,3
Karunagapally,15,GEN,,,JANARDHANA KURUP G.,CPI,M,Kerala,11369,1957,50448,4
Krishnapuram,16,GEN,,,KARTHIKEYAN G.,CPI,M,Kerala,23963,1957,46625,1
Krishnapuram,16,GEN,,,SEKHARA PANICKER K.,INC,M,Kerala,14493,1957,46625,2
Krishnapuram,16,GEN,,,IBRAHIMKUTTY C. M.,PSP,M,Kerala,6707,1957,46625,3
Krishnapuram,16,GEN,,,YESODHARAN P. K.,RSP,M,Kerala,1462,1957,46625,4
Kayamkulam,17,GEN,,,AYSHA BAI K. O.,CPI,F,Kerala,27067,1957,50467,1
Kayamkulam,17,GEN,,,SAROJINI,INC,F,Kerala,13138,1957,50467,2
Kayamkulam,17,GEN,,,KUNJUKRISHNA PILLAI P.,PSP,M,Kerala,10262,1957,50467,3
Karthigapally,18,GEN,,,SUGATHAN R.,CPI,M,Kerala,20978,1957,47804,1
Karthigapally,18,GEN,,,VELU PILLAI G.,INC,M,Kerala,14887,1957,47804,2
Karthigapally,18,GEN,,,ACHUTHAN A.,PSP,M,Kerala,8520,1957,47804,3
Karthigapally,18,GEN,,,KUMARA PILLAI K. K.,RSP,M,Kerala,3419,1957,47804,4
Haripad,19,GEN,,,RAMAKRISHNA PILLAI V.,IND,M,Kerala,20184,1957,42245,1
Haripad,19,GEN,,,K. BALAGANGADHARAN,INC,M,Kerala,15812,1957,42245,2
Haripad,19,GEN,,,E. S. ALEXANDER,PSP,M,Kerala,6249,1957,42245,3
Mavelikara,20,GEN,,,KUNJACHAN P. K. (SC),CPI,M,Kerala,44630,1957,158686,1
Mavelikara,20,GEN,,,K. C. GEORGE,CPI,M,Kerala,39617,1957,158686,2
Mavelikara,20,GEN,,,T. KANDAN KALI (SC),INC,M,Kerala,21901,1957,158686,3
Mavelikara,20,GEN,,,DANIEL M.,INC,M,Kerala,19799,1957,158686,4
Mavelikara,20,GEN,,,GOPINATHAN PILLAI G.,PSP,M,Kerala,11877,1957,158686,5
Mavelikara,20,GEN,,,N. KOCHURAMAN (SC),RSP,M,Kerala,7661,1957,158686,6
Mavelikara,20,GEN,,,N. S. PURUSHOTHAMAN (SC),PSP,M,Kerala,5233,1957,158686,7
Mavelikara,20,GEN,,,KUNJU KUNJU T. T. (SC),IND,M,Kerala,4040,1957,158686,8
Mavelikara,20,GEN,,,B. B. PANDARATHIL,RSP,M,Kerala,3928,1957,158686,9
Kunnathur,21,SC,,,MADHAVAN PILLAI P. R.,CPI,M,Kerala,41569,1957,169729,1
Kunnathur,21,SC,,,GOVINDAN R. (SC),CPI,M,Kerala,37321,1957,169729,2
Kunnathur,21,SC,,,VELAYUDHAN NAIR K.,INC,M,Kerala,29389,1957,169729,3
Kunnathur,21,SC,,,C. ACHUTHAN (SC),INC,M,Kerala,25982,1957,169729,4
Kunnathur,21,SC,,,KRISHNA SASTRI K. S. (SC),RSP,M,Kerala,11698,1957,169729,5
Kunnathur,21,SC,,,GOPALAN NAIR K.,PSP,M,Kerala,10542,1957,169729,6
Kunnathur,21,SC,,,PHILIPOSE MUTHALALI N. P.,RSP,M,Kerala,8092,1957,169729,7
Kunnathur,21,SC,,,KOCHUKUNJU (SC),PSP,M,Kerala,5136,1957,169729,8
Kottarakara,22,SC,,,CHANDRASEKHARAN NAIR E.,CPI,M,Kerala,23298,1957,44706,1
Kottarakara,22,SC,,,RAMACHANDRAN NAIR K.,INC,M,Kerala,14307,1957,44706,2
Kottarakara,22,SC,,,VASUDEVAN C. V.,RSP,M,Kerala,7101,1957,44706,3
Chadayamangalam,23,GEN,,,BHARGAVAN K.,CPI,M,Kerala,19375,1957,37263,1
Chadayamangalam,23,GEN,,,ABDUL MAJEED M.,PSP,M,Kerala,9143,1957,37263,2
Chadayamangalam,23,GEN,,,ABBAS M.,INC,M,Kerala,6663,1957,37263,3
Chadayamangalam,23,GEN,,,CHANDRASEKHARAN PILLAI,RSP,M,Kerala,2082,1957,37263,4
Pathanapuram,24,GEN,,,RAJAGOPALAN NAIR,CPI,M,Kerala,24499,1957,50021,1
Pathanapuram,24,GEN,,,KUTTAN PILLAI K.,INC,M,Kerala,14440,1957,50021,2
Pathanapuram,24,GEN,,,DAMODARAN POTTI D.,PSP,M,Kerala,9973,1957,50021,3
Pathanapuram,24,GEN,,,RAGHAVAN PILLAI K. P.,RSP,M,Kerala,1109,1957,50021,4
Punalur,25,GEN,,,GOPALAN P.,CPI,M,Kerala,20455,1957,37951,1
Punalur,25,GEN,,,KUNJURAMAN ASSAN K.,INC,M,Kerala,16366,1957,37951,2
Punalur,25,GEN,,,MADHAVAN N.,RSP,M,Kerala,1130,1957,37951,3
Ranni,26,GEN,,,IDICULA,INC,M,Kerala,23308,1957,44030,1
Ranni,26,GEN,,,THOMAS MATHEW,IND,M,Kerala,20722,1957,44030,2
Pathanamthitta,27,GEN,,,BHASKARA PILLAI P.,CPI,M,Kerala,29001,1957,50354,1
Pathanamthitta,27,GEN,,,CHACKO (GEEVARGHESE) N. G.,INC,M,Kerala,21353,1957,50354,2
Aranmula,28,GEN,,,GOPINATHAN PILLAI K.,INC,M,Kerala,18895,1957,39802,1
Aranmula,28,GEN,,,VASUDEVAN N. C.,CPI,M,Kerala,18630,1957,39802,2
Aranmula,28,GEN,,,S. R. SHARMA,PSP,M,Kerala,2277,1957,39802,3
Kallooppara,29,GEN,,,M. M. MATHAI,INC,M,Kerala,17874,1957,39241,1
Kallooppara,29,GEN,,,N. T. GEORGE,CPI,M,Kerala,10843,1957,39241,2
Kallooppara,29,GEN,,,R. SUBRAMONIAN NAIR,PSP,M,Kerala,9456,1957,39241,3
Kallooppara,29,GEN,,,DANIEL NINAN,IND,M,Kerala,1068,1957,39241,4
Thiruvalla,30,GEN,,,G. PADMANABHAN THAMPI,CPI,M,Kerala,22978,1957,45383,1
Thiruvalla,30,GEN,,,KURUVILA THOMAS T.,INC,M,Kerala,20347,1957,45383,2
Thiruvalla,30,GEN,,,K. A. MATHEW,PSP,M,Kerala,2058,1957,45383,3
Chengannur,31,GEN,,,SANKARANARAYANAN THAMPI R.,CPI,M,Kerala,19538,1957,37218,1
Chengannur,31,GEN,,,SARASWATHI AMMA K.,INC,F,Kerala,13546,1957,37218,2
Chengannur,31,GEN,,,RAMACHANDRAN NAIR C. K.,PSP,M,Kerala,4134,1957,37218,3
Alleppey,32,GEN,,,THOMAS T. V.,CPI,M,Kerala,26542,1957,49124,1
Alleppey,32,GEN,,,NAFEESA BEEVI A.,INC,F,Kerala,22278,1957,49124,2
Alleppey,32,GEN,,,RAMA PAI N.,PSP,M,Kerala,304,1957,49124,3
Mararikulam,33,GEN,,,SADASIVAN C. G.,CPI,M,Kerala,28153,1957,46503,1
Mararikulam,33,GEN,,,JOSEPH MATHEN,INC,M,Kerala,18350,1957,46503,2
Sherthala,34,GEN,,,K. R. GOURI,CPI,F,Kerala,26088,1957,48844,1
Sherthala,34,GEN,,,A. SUBRAMONIAN PILLAI,INC,M,Kerala,22756,1957,48844,2
Arur,35,GEN,,,P. S. KARTHIKEYAN,INC,M,Kerala,23956,1957,46252,1
Arur,35,GEN,,,AVIRA THARAKAN,IND,M,Kerala,22296,1957,46252,2
Thakazhi,36,GEN,,,THOMAS JOHN,INC,M,Kerala,21940,1957,43525,1
Thakazhi,36,GEN,,,VARGHESE VAIDLIAN T. K.,CPI,M,Kerala,16480,1957,43525,2
Thakazhi,36,GEN,,,KRISHNANKUTTY NAIR C.,RSP,M,Kerala,5105,1957,43525,3
Changanacherry,37,GEN,,,KALYANAKRISHNAN NAIR M.,CPI,M,Kerala,22539,1957,42232,1
Changanacherry,37,GEN,,,RAGHAVAN PILLAI P.,INC,M,Kerala,19693,1957,42232,2
Vazhoor,38,GEN,,,CHACKO P. T.,INC,M,Kerala,20102,1957,40124,1
Vazhoor,38,GEN,,,RAGHAVA KURUP N.,CPI,M,Kerala,20022,1957,40124,2
Kanjirapally,39,GEN,,,THOMAS K. T.,INC,M,Kerala,14896,1957,29662,1
Kanjirapally,39,GEN,,,JOSEPH,PSP,M,Kerala,12893,1957,29662,2
