year,constituency,ST_NAME,AC_NO,rank,AC_TYPE,name,SEX,AGE,CATEGORY,votes,party,color,polled_votes
1964,Muthialpet,Pondicherry,1,1,GEN,"SHANMUGHAM, P",M,,,1726,INC,#019733,5221
1964,Courossucoupom,Pondicherry,2,1,GEN,PADMINI CHANDRASEKARAN,F,,,3605,INC,#019733,6773
1964,Cassicade,Pondicherry,3,1,GEN,KANKEYAN A.S.,M,,,1799,INC,#019733,4500
1964,Raj Nivas,Pondicherry,4,1,GEN,EDOUARD GOUBERT,M,,,2722,INC,#019733,3469
1964,Bussy,Pondicherry,5,1,GEN,ACHREAFF C.M.,M,,,2367,IND,#888888,3774
1964,Oupalom,Pondicherry,6,1,GEN,PERUMAL RAJA G.,M,,,3098,IND,#888888,5585
1964,Nellitope,Pondicherry,7,1,GEN,"RANGANATHAN, N.",M,,,3627,PF,#222,7238
1964,Modeliarpeth,Pondicherry,8,1,GEN,"KAILASA SUBBIAH, V.",M,,,3878,PF,#222,7487
1964,Ariancoupom,Pondicherry,9,1,GEN,"RATHINAVELU, P.",M,,,3376,INC,#019733,6915
1964,Courouvinattam,Pondicherry,10,1,GEN,SUBRAMANYA PADAYATCHI,M,,,3167,IND,#888888,6611
1964,Bahour,Pondicherry,11,1,SC,"THANGAVELY, C.",M,,,2612,PF,#222,5244
1964,Nettapacom,Pondicherry,12,1,GEN,VENKATASUBBAREDDY,M,,,4965,INC,#019733,5943
1964,Tiroubouvane,Pondicherry,13,1,SC,"KULANDAI, R.",M,,,3698,IND,#888888,5971
1964,Mannadipet,Pondicherry,14,1,GEN,MANICKAVASAGA REDDIAR,M,,,3369,INC,#019733,6555
1964,Oussoudou,Pondicherry,15,1,SC,"HARIKRISHNAN, N.",M,,,3027,INC,#019733,5497
1964,Villenour,Pondicherry,16,1,GEN,THILLAI KANAKARASU,M,,,4025,INC,#019733,6976
1964,Embalom,Pondicherry,17,1,SC,"ANGAMMAL, P",F,,,4924,INC,#019733,6168
1964,Oulgaret,Pondicherry,18,1,GEN,"GOVINDASAMY, S.",M,,,2511,INC,#019733,6136
1964,Calapeth,Pondicherry,19,1,GEN,JEEVARATHINA UDAYAR,M,,,4078,INC,#019733,6962
1964,Poudousaram,Pondicherry,20,1,GEN,"GURUSAMY, N.",M,,,2698,PF,#222,5757
1964,Couchery,Pondicherry,21,1,SC,"NAGARAJAN, G.",M,,,4313,INC,#019733,6132
1964,Karikal North,Pondicherry,22,1,GEN,FAROOK MARICAR,M,,,4211,INC,#019733,7467
1964,Karikal South,Pondicherry,23,1,GEN,MOHAMED IBRAHIM MARICAR,M,,,2491,IND,#888888,4913
1964,Neravy,Pondicherry,24,1,GEN,NAGAMUTTOU PILLAI,M,,,3222,INC,#019733,5673
1964,Grand Aldee,Pondicherry,25,1,GEN,"VARADHA PILLAI, V.M.C",M,,,3544,INC,#019733,5021
1964,Tirnoular,Pondicherry,26,1,GEN,SUBARAYALU,M,,,4000,INC,#019733,5804
1964,Nedouncadou,Pondicherry,27,1,GEN,"SHANMUGHAM, P.",M,,,3697,INC,#019733,5636
1964,Mahe,Pondicherry,28,1,GEN,VALAVIL KESHAVAN,M,,,2283,INC,#019733,4553
1964,Pallour,Pondicherry,29,1,GEN,VANMERI NADEYI PURUSHOTHAMAN,M,,,2436,INC,#019733,3770
1964,Yanam,Pondicherry,30,1,GEN,KAMISHETTY SRI PARASURAMA VARA PRASADA RAO,M,,,2412,INC,#019733,5142
1969,Mouttalpeth,Pondicherry,1,1,GEN,K. MURUGAIYAN,M,,,3290,DMK,#800000,5926
1969,Couroussoucoupom,Pondicherry,2,1,GEN,G. PERUMAL RAJA,M,,,4068,DMK,#800000,6793
1969,Cassicade,Pondicherry,3,1,GEN,P. ANSARI DORASAMY,M,,,2721,INC,#019733,4510
1969,Raj Nivas,Pondicherry,4,1,GEN,D. KANTHARAJ,M,,,1766,INC,#019733,3421
1969,Bussy,Pondicherry,5,1,GEN,C.M. ACHARAFF,M,,,2336,DMK,#800000,3076
1969,Oupalom,Pondicherry,6,1,GEN,S. GOVINDARAJALU,M,,,2676,DMK,#800000,5744
1969,Nellitope,Pondicherry,7,1,GEN,N.RANGANATHAN,M,,,4372,CPI,#DE0000,7655
1969,Modeliarpeth,Pondicherry,8,1,GEN,Y. KAILASA SURBIAN,M,,,4748,CPI,#DE0000,7657
1969,Ariancoupom,Pondicherry,9,1,GEN,S. PERUMAL,M,,,3774,DMK,#800000,7532
1969,Courouvinattam,Pondicherry,10,1,GEN,K.R. SUBRAMANYA PADAYACHI,M,,,4050,INC,#019733,7215
1969,Bahour,Pondicherry,11,1,SC,K. KRISHNASAMY,M,,,3211,INC,#019733,6149
