PARTY,YEAR,AC_NAME,ST_NAME,AC_NO,rank,AC_TYPE,NAME,SEX,AGE,CATEGORY,VOTES,polled_votes,color
INC,1964,Muthialpet,Pondicherry,1,1,GEN,"SHANMUGHAM, P",M,,,1726,5221,#2ecc71
IND,1964,Muthialpet,Pondicherry,1,2,GEN,THANGAPRAKASAM,M,,,1429,5221,#bdc3c7
PF,1964,Muthialpet,Pondicherry,1,3,GEN,DHATCHANAMURTHY,M,,,1011,5221,#222
IND,1964,Muthialpet,Pondicherry,1,4,GEN,MURUGAIAN. K.,M,,,882,5221,#bdc3c7
IND,1964,Muthialpet,Pondicherry,1,5,GEN,"ARUL RAJ A,",M,,,173,5221,#bdc3c7
INC,1964,Courossucoupom,Pondicherry,2,1,GEN,PADMINI CHANDRASEKARAN,F,,,3605,6773,#2ecc71
IND,1964,Courossucoupom,Pondicherry,2,2,GEN,"MURUGESA MUDALIAR, M.",M,,,3168,6773,#bdc3c7
INC,1964,Cassicade,Pondicherry,3,1,GEN,KANKEYAN A.S.,M,,,1799,4500,#2ecc71
IND,1964,Cassicade,Pondicherry,3,2,GEN,KUPPUSAMY MUDALIAR,M,,,1182,4500,#bdc3c7
PF,1964,Cassicade,Pondicherry,3,3,GEN,SARASWATI,F,,,880,4500,#222
IND,1964,Cassicade,Pondicherry,3,4,GEN,SIVAPRAKASAM,M,,,572,4500,#bdc3c7
IND,1964,Cassicade,Pondicherry,3,5,GEN,SIYALI VENKU CHETTY,M,,,67,4500,#bdc3c7
INC,1964,Raj Nivas,Pondicherry,4,1,GEN,EDOUARD GOUBERT,M,,,2722,3469,#2ecc71
IND,1964,Raj Nivas,Pondicherry,4,2,GEN,PAKIAM S.,M,,,662,3469,#bdc3c7
PF,1964,Raj Nivas,Pondicherry,4,3,GEN,JIMMY EBENEZAR ROBERT,M,,,85,3469,#222
IND,1964,Bussy,Pondicherry,5,1,GEN,ACHREAFF C.M.,M,,,2367,3774,#bdc3c7
INC,1964,Bussy,Pondicherry,5,2,GEN,PAUL AMBROISE,M,,,789,3774,#2ecc71
PF,1964,Bussy,Pondicherry,5,3,GEN,MUHAMMED HOUSSAIN,M,,,618,3774,#222
IND,1964,Oupalom,Pondicherry,6,1,GEN,PERUMAL RAJA G.,M,,,3098,5585,#bdc3c7
INC,1964,Oupalom,Pondicherry,6,2,GEN,"MUNISAMY, D.",M,,,2487,5585,#2ecc71
PF,1964,Nellitope,Pondicherry,7,1,GEN,"RANGANATHAN, N.",M,,,3627,7238,#222
INC,1964,Nellitope,Pondicherry,7,2,GEN,"PURUSHOTHAMAN, R.T.",M,,,3611,7238,#2ecc71
PF,1964,Modeliarpeth,Pondicherry,8,1,GEN,"KAILASA SUBBIAH, V.",M,,,3878,7487,#222
INC,1964,Modeliarpeth,Pondicherry,8,2,GEN,"SRINIVASAN, K.",M,,,3609,7487,#2ecc71
INC,1964,Ariancoupom,Pondicherry,9,1,GEN,"RATHINAVELU, P.",M,,,3376,6915,#2ecc71
PF,1964,Ariancoupom,Pondicherry,9,2,GEN,"THULASINGAM, V.",M,,,3135,6915,#222
IND,1964,Ariancoupom,Pondicherry,9,3,GEN,"SUNDARARAJAN, S.",M,,,360,6915,#bdc3c7
IND,1964,Ariancoupom,Pondicherry,9,4,GEN,"PALANI GRAMANY, T.",M,,,44,6915,#bdc3c7
IND,1964,Courouvinattam,Pondicherry,10,1,GEN,SUBRAMANYA PADAYATCHI,M,,,3167,6611,#bdc3c7
INC,1964,Courouvinattam,Pondicherry,10,2,GEN,"PURUSHOTHAMAN, R.L.",M,,,1760,6611,#2ecc71
IND,1964,Courouvinattam,Pondicherry,10,3,GEN,"RAMACHANDRAN, R.",M,,,1625,6611,#bdc3c7
PF,1964,Courouvinattam,Pondicherry,10,4,GEN,"RAMALINGAM, S",M,,,59,6611,#222
PF,1964,Bahour,Pondicherry,11,1,SC,"THANGAVELY, C.",M,,,2612,5244,#222
INC,1964,Bahour,Pondicherry,11,2,SC,"SIVA, A.",M,,,2405,5244,#2ecc71
IND,1964,Bahour,Pondicherry,11,3,SC,"PERUMAL, S.",M,,,227,5244,#bdc3c7
INC,1964,Nettapacom,Pondicherry,12,1,GEN,VENKATASUBBAREDDY,M,,,4965,5943,#2ecc71
IND,1964,Nettapacom,Pondicherry,12,2,GEN,"RAMAPUTHIRAN, S.",M,,,978,5943,#bdc3c7
IND,1964,Tiroubouvane,Pondicherry,13,1,SC,"KULANDAI, R.",M,,,3698,5971,#bdc3c7
IND,1964,Tiroubouvane,Pondicherry,13,2,SC,"THANGAVELY, S.",M,,,2273,5971,#bdc3c7
INC,1964,Mannadipet,Pondicherry,14,1,GEN,MANICKAVASAGA REDDIAR,M,,,3369,6555,#2ecc71
PF,1964,Mannadipet,Pondicherry,14,2,GEN,"VENUGOPAL, M.,",M,,,1347,6555,#222
IND,1964,Mannadipet,Pondicherry,14,3,GEN,"SUBBARAYAN, M.",M,,,1049,6555,#bdc3c7
IND,1964,Mannadipet,Pondicherry,14,4,GEN,"PALANI, M.",M,,,534,6555,#bdc3c7
IND,1964,Mannadipet,Pondicherry,14,5,GEN,"NATARAJAN, S.",M,,,256,6555,#bdc3c7
INC,1964,Oussoudou,Pondicherry,15,1,SC,"HARIKRISHNAN, N.",M,,,3027,5497,#2ecc71
PF,1964,Oussoudou,Pondicherry,15,2,SC,PERUMAL.S,M,,,2470,5497,#222
INC,1964,Villenour,Pondicherry,16,1,GEN,THILLAI KANAKARASU,M,,,4025,6976,#2ecc71
PF,1964,Villenour,Pondicherry,16,2,GEN,"ABDUL RAHIMAN, M.",M,,,2518,6976,#222
IND,1964,Villenour,Pondicherry,16,3,GEN,PAKIR MOHAMED SAHIB,M,,,433,6976,#bdc3c7
INC,1964,Embalom,Pondicherry,17,1,SC,"ANGAMMAL, P",F,,,4924,6168,#2ecc71
PF,1964,Embalom,Pondicherry,17,2,SC,"ANDAVAN, S.",M,,,1244,6168,#222
INC,1964,Oulgaret,Pondicherry,18,1,GEN,"GOVINDASAMY, S.",M,,,2511,6136,#2ecc71
PF,1964,Oulgaret,Pondicherry,18,2,GEN,"NARAYANASAMY, V.",M,,,2481,6136,#222
IND,1964,Oulgaret,Pondicherry,18,3,GEN,"DAMODARAN, N.",M,,,1144,6136,#bdc3c7
INC,1964,Calapeth,Pondicherry,19,1,GEN,JEEVARATHINA UDAYAR,M,,,4078,6962,#2ecc71
PF,1964,Calapeth,Pondicherry,19,2,GEN,"NARAYANASAMY, P.",M,,,1555,6962,#222
IND,1964,Calapeth,Pondicherry,19,3,GEN,RADHAKRISHNA NAYAKAR,M,,,1329,6962,#bdc3c7
PF,1964,Poudousaram,Pondicherry,20,1,GEN,"GURUSAMY, N.",M,,,2698,5757,#222
INC,1964,Poudousaram,Pondicherry,20,2,GEN,"RAJAMANICKAM, G.",M,,,2426,5757,#2ecc71
IND,1964,Poudousaram,Pondicherry,20,3,GEN,MUNISAMY (VARADARASU),M,,,633,5757,#bdc3c7
INC,1964,Couchery,Pondicherry,21,1,SC,"NAGARAJAN, G.",M,,,4313,6132,#2ecc71
IND,1964,Couchery,Pondicherry,21,2,SC,"SOKALINGAME, S.",M,,,1614,6132,#bdc3c7
IND,1964,Couchery,Pondicherry,21,3,SC,"GOVINDAN, V.",M,,,117,6132,#bdc3c7
IND,1964,Couchery,Pondicherry,21,4,SC,"KATHAPERUMAL ALIAS KATHAN, S.",M,,,88,6132,#bdc3c7
INC,1964,Karikal North,Pondicherry,22,1,GEN,FAROOK MARICAR,M,,,4211,7467,#2ecc71
IND,1964,Karikal North,Pondicherry,22,2,GEN,"SEMBULINGAM, M.",M,,,2033,7467,#bdc3c7
IND,1964,Karikal North,Pondicherry,22,3,GEN,THAMBISA MARICAR,M,,,810,7467,#bdc3c7
IND,1964,Karikal North,Pondicherry,22,4,GEN,NARAYANASAMY ALIAS VEMBU,M,,,413,7467,#bdc3c7
IND,1964,Karikal South,Pondicherry,23,1,GEN,MOHAMED IBRAHIM MARICAR,M,,,2491,4913,#bdc3c7
INC,1964,Karikal South,Pondicherry,23,2,GEN,RAMASSAMY PILLAI,M,,,2422,4913,#2ecc71
INC,1964,Neravy,Pondicherry,24,1,GEN,NAGAMUTTOU PILLAI,M,,,3222,5673,#2ecc71
IND,1964,Neravy,Pondicherry,24,2,GEN,RAMASSAMY,M,,,2163,5673,#bdc3c7
PF,1964,Neravy,Pondicherry,24,3,GEN,AMBIGASUDIRAMOURTHY,M,,,288,5673,#222
INC,1964,Grand Aldee,Pondicherry,25,1,GEN,"VARADHA PILLAI, V.M.C",M,,,3544,5021,#2ecc71
IND,1964,Grand Aldee,Pondicherry,25,2,GEN,PANDARINATHAN,M,,,1477,5021,#bdc3c7
INC,1964,Tirnoular,Pondicherry,26,1,GEN,SUBARAYALU,M,,,4000,5804,#2ecc71
IND,1964,Tirnoular,Pondicherry,26,2,GEN,SATHIAMOURTHY,M,,,1772,5804,#bdc3c7
IND,1964,Tirnoular,Pondicherry,26,3,GEN,ARUNACHALAM,M,,,32,5804,#bdc3c7
INC,1964,Nedouncadou,Pondicherry,27,1,GEN,"SHANMUGHAM, P.",M,,,3697,5636,#2ecc71
IND,1964,Nedouncadou,Pondicherry,27,2,GEN,MARIC PAUL ANDRE ALIAS PAUL,M,,,1939,5636,#bdc3c7
INC,1964,Mahe,Pondicherry,28,1,GEN,VALAVIL KESHAVAN,M,,,2283,4553,#2ecc71
IND,1964,Mahe,Pondicherry,28,2,GEN,IRAYI KUNNETHADUTHIL KUMARAN,M,,,2270,4553,#bdc3c7
INC,1964,Pallour,Pondicherry,29,1,GEN,VANMERI NADEYI PURUSHOTHAMAN,M,,,2436,3770,#2ecc71
IND,1964,Pallour,Pondicherry,29,2,GEN,POOTHATTA NARAYANAN,M,,,1334,3770,#bdc3c7
INC,1964,Yanam,Pondicherry,30,1,GEN,KAMISHETTY SRI PARASURAMA VARA PRASADA RAO,M,,,2412,2412,#2ecc71
DMK,1969,Mouttalpeth,Pondicherry,1,1,GEN,K. MURUGAIYAN,M,,,3290,5926,#c0392b
INC,1969,Mouttalpeth,Pondicherry,1,2,GEN,M. THANGAPRAGASAM,M,,,2636,5926,#2ecc71
DMK,1969,Couroussoucoupom,Pondicherry,2,1,GEN,G. PERUMAL RAJA,M,,,4068,6793,#c0392b
INC,1969,Couroussoucoupom,Pondicherry,2,2,GEN,N. GOVINDARAJ,M,,,1550,6793,#2ecc71
IND,1969,Couroussoucoupom,Pondicherry,2,3,GEN,R. LAKSHMANASAMY ODAYAR,M,,,1175,6793,#bdc3c7
INC,1969,Cassicade,Pondicherry,3,1,GEN,P. ANSARI DORASAMY,M,,,2721,4510,#2ecc71
CPI,1969,Cassicade,Pondicherry,3,2,GEN,R. AZHWAR,M,,,1409,4510,#ff5757
IND,1969,Cassicade,Pondicherry,3,3,GEN,THILLAI KANAGARAJ,M,,,380,4510,#bdc3c7
INC,1969,Raj Nivas,Pondicherry,4,1,GEN,D. KANTHARAJ,M,,,1766,3421,#2ecc71
DMK,1969,Raj Nivas,Pondicherry,4,2,GEN,S. SADAGOPAN,M,,,1655,3421,#c0392b
